track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Eletrika - Simas “frk-NaRrow” Remix,7zHFT6VBdLDI1ocSymS1ss,Simas,Eletrika (Simas “frk-NaRrow” Remix),0.571,0.553,10,-9.961,0,0.367,0.106,0.00223,0.158,0.708,174.07
Estilo Livre,6stvld0XECZf9WwISEiFzk,Simas,Estilo Livre EP,0.791,0.639,6,-10.08,1,0.357,0.0367,6.46e-05,0.152,0.619,129.958
Porquê!,6JJ4CvU3Vfmds82cdy1hAL,Simas,Estilo Livre EP,0.795,0.639,9,-10.266,1,0.0499,0.000548,0.855,0.0927,0.252,130.011
Txas Mania,54NO6pwGFxwV3s9T8v4XEp,Simas,Ilicitos,0.812,0.771,7,-5.195,1,0.0658,0.00189,0.0391,0.106,0.405,129.96
Semhash,2AFFdxVSWxBO2YvF0te6uM,Simas,Ilicitos,0.81,0.888,6,-8.747,0,0.0704,0.00642,0.348,0.069,0.81,123.969
Alcool,77WvypHQxRL84g4t3CnHN5,Simas,Ilicitos,0.823,0.553,11,-8.671,0,0.102,0.00249,0.00613,0.0564,0.791,124.976
Ogessos,0EvUxLrg3wWo5EUNa5ItNg,Simas,Ogessos,0.812,0.801,7,-10.702,1,0.0479,0.00151,0.717,0.0622,0.623,134.995
Flores,1HZRKZsufOBxpGvPlf4yJf,Simas,Flores,0.805,0.829,4,-8.093,0,0.051,0.000551,0.849,0.0983,0.858,126.009
Sorte,7l9uwMRXRbzlnBLBmED41w,Simas,Sorte,0.804,0.993,7,-10.669,1,0.0568,0.025,0.904,0.06,0.635,130.015
Gib Pappo,3w1FCx4t1UFFOeZosjrGdJ,Simas,Gib Pappo EP,0.748,0.917,0,-7.38,1,0.083,0.00321,0.522,0.247,0.674,130.032
KTMA,6BrvkjSSqS3faNkbirnKB8,Simas,Gib Pappo EP,0.794,0.982,1,-8.264,1,0.0555,0.00194,0.799,0.0951,0.854,129.998
A.I,5hDEnhqMGRvArM8XLeOdqt,Simas,Gib Pappo EP,0.803,0.906,1,-8.717,0,0.046,0.000349,0.766,0.124,0.889,127.991
TetraPak - Simas Ideia Mix,4UvWU9BoaiDd8phJHFJ0X7,Simas,TetraPak,0.754,0.927,7,-12.405,1,0.065,5.17e-05,0.885,0.0922,0.443,145.986
Causa,4hZtR0DTyflcXSppD5AqGV,Simas,STAH001,0.796,0.488,8,-10.152,1,0.0596,0.0054,0.821,0.046,0.51,130.011
XKke,6cjfJw5HJbFCPmCDQ3sJTS,Simas,STAH001,0.797,0.799,1,-8.103,1,0.0818,0.00243,0.707,0.0653,0.576,130.016
Tecido Especial,5O0yAGrnJcn8Hs3Tp24iHp,Simas,STAH001,0.797,0.678,11,-10.602,0,0.0705,0.000331,0.888,0.0843,0.47,130.013
Hexa,473HglzVjmOlgZdormtlJl,Simas,Hexa,0.787,0.935,11,-11.253,0,0.0471,3.66e-05,0.887,0.115,0.757,129.994
Grime,2Yen5imPSWpal6QoVHnTjS,Simas,Grime,0.777,0.859,11,-9.136,0,0.08,0.000738,0.896,0.099,0.437,127.992
137B,46KaXnwx3mYHbkjymHINlb,Simas,137B,0.8,0.652,1,-10.425,1,0.0618,0.00188,0.556,0.0914,0.696,131.993
Benja,3vKwST6gLEByvGRkcCMKbS,Simas,Benja,0.798,0.867,11,-8.884,1,0.0636,0.000275,0.871,0.0471,0.604,129.008
Anansi,3qPRrEdq01mhIQswehyKJi,Simas,Anansi,0.805,0.805,11,-10.076,1,0.0668,0.01,0.917,0.107,0.719,130.003
Ranxerox,0s28OJjLc0GLjQ5uzEGm5g,Simas,Ranxerox EP,0.792,0.912,11,-6.974,0,0.0534,0.000154,0.887,0.039,0.744,126.068
Mise En Place,6x4AaN59oqe26D9gnpmMOb,Simas,Ranxerox EP,0.794,0.73,11,-6.983,0,0.097,0.00112,0.845,0.1,0.693,130.008
Umel,4G2v7m9wLZZsTijB69kfA4,Simas,Umel,0.785,0.669,11,-11.951,0,0.208,0.0116,0.725,0.119,0.331,129.071
Majin,12XRCuPrkyjPfXMtkfLE0o,Simas,Umel,0.802,0.862,10,-9.531,0,0.0505,0.00354,0.886,0.0466,0.404,127.99
Balanza,10kCGDBeKK6rb0lc5bJW12,Simas,Balanza,0.805,0.967,10,-8.07,0,0.0618,0.0036,0.782,0.075,0.567,125.003
Suzanna,4XIu1qBv8PzyaW0raEn5t6,Simas,Balanza,0.808,0.995,11,-9.253,0,0.057,3.28e-05,0.778,0.0758,0.819,123.99
