track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Sabotage,7pVCgzMqsnh2hggEtpErnv,Snow Strippers,April Mixtape 2,0.533,0.952,11,-5.757,0,0.0354,0.00385,0.0,0.283,0.31,137.03
Heroes Don't Exist,4CEcy4bOP3v3DQTklHxhXp,Snow Strippers,April Mixtape 2,0.6,0.958,1,-4.988,1,0.148,0.00148,0.25,0.227,0.785,142.995
Almost A Threat,7wwbhQHNWPO8sopRaaY9dB,Snow Strippers,April Mixtape 2,0.677,0.676,1,-6.185,0,0.144,0.0826,0.0,0.0823,0.723,130.024
You've Done It This Time,2RtMoeYPLDy8CeTxezhZzL,Snow Strippers,April Mixtape 2,0.437,0.985,11,-5.067,1,0.117,0.033,2.8e-05,0.34,0.386,145.138
A Little Bit Now,2ahVr4i49IW0LM1ACWx7Ym,Snow Strippers,April Mixtape 2,0.593,0.99,0,-5.602,0,0.055,0.0304,0.953,0.233,0.333,131.979
My Own Mistakes,48jdqvxgzqlOHNTaZY7GXj,Snow Strippers,April Mixtape 2,0.52,0.958,7,-6.446,0,0.0329,0.251,0.325,0.328,0.538,128.053
It's A Dream,0FU08bwlUwnHLkONUV4aHy,Snow Strippers,April Mixtape 2,0.685,0.953,1,-4.847,1,0.078,0.0681,0.848,0.0636,0.338,146.073
Sad World,296eT2gXUYOnwg4eNeR4ME,Snow Strippers,April Mixtape 2,0.616,0.867,6,-4.401,1,0.092,0.0383,0.0,0.387,0.874,140.999
Already Dead,1BxkjEjc4fkmaf3VTpCbsx,Snow Strippers,April Mixtape 2,0.523,0.952,10,-4.827,0,0.0851,0.0906,0.000675,0.315,0.569,137.06
Throw Myself,6fKP97AOK2iFKUpLbgSjKT,Snow Strippers,April Mixtape 2,0.5,0.963,7,-4.274,0,0.171,0.00842,4.13e-05,0.133,0.524,142.999
Don't Make Sense Anymore,6HPDCFueSmLHGBF1s60mBU,Snow Strippers,April Mixtape 2,0.567,0.882,7,-4.969,0,0.133,0.176,0.0218,0.343,0.6,111.956
You Could Be The One,0rJvdHXHV9xOXAsq8bna7Q,Snow Strippers,April Mixtape 2,0.513,0.985,1,-5.029,1,0.0806,0.229,0.832,0.114,0.841,155.987
