track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1+1=11 - Spray Remix,7e19IpBFv1ZS0navRtitY8,Spray,I Hear You – Bonus Tracks Edition,0.556,0.988,3,-4.344,0,0.0393,0.000224,0.889,0.0832,0.79,136.989
"Diamonds (Feat. lIlBOI, Spray)",6KgkuACjbs8BCaGwwZt4Fj,Spray,SHOW ME THE MONEY 11 Final,0.692,0.765,1,-4.068,1,0.308,0.0404,0.0,0.265,0.4,184.003
OT Rails,4Q5Hqxgeldfux1PTLsXthX,Spray,OT Rails,0.728,0.884,10,-9.74,0,0.0459,0.00311,0.908,0.0188,0.512,134.002
Can't Deny It - Spray VIP,47L8se1Q98lPUryDWLoRJM,Spray,Can't Deny It (Spray VIP),0.624,0.927,11,-5.556,1,0.0379,0.00394,0.754,0.3,0.617,135.985
Ratenplan,1CjPeV76ysALniw6RD0FQI,Spray,Witches Drinner EP,0.77,0.942,7,-6.716,1,0.0589,0.000141,0.901,0.0796,0.558,136.012
"JANGJEON (feat.Coogie, pH-1 & PUFF DAEHEE)",75o7SzlCbsZKRqWx4c0fKi,Spray,JANGJEON,0.846,0.826,11,-3.183,1,0.223,0.0335,0.0,0.691,0.271,94.011
"Love (With Loco, Moon Sujin & Jason Lee)",4YxBrAB382dgFhSZYzdD61,Spray,Reaching Out,0.738,0.413,1,-9.149,0,0.163,0.802,0.00707,0.0691,0.236,129.965
SHOWDOWN (Feat. lIlBOI),3lH41KJxd4mFvTNzndIrNU,Spray,SHOWDOWN,0.672,0.771,9,-3.503,1,0.285,0.00829,1.71e-06,0.175,0.464,174.009
annoying (feat. SUMIN),4wSg05sjdBxw0xTXSdRFPs,Spray,mindspray,0.889,0.369,0,-5.453,1,0.0742,0.109,0.00338,0.0715,0.864,94.986
CITY (feat. SUMIN),4Xx7TtHSWXATlo99Y8Ye6r,Spray,SNATCH,0.903,0.836,0,-5.259,0,0.139,0.0384,0.0,0.122,0.82,123.955
"Jangjeon (With Coogie, pH-1 & PUFF DAEHEE)",0a3EevOKKbambELk2GnTJt,Spray,Reaching Out,0.84,0.75,11,-6.061,1,0.216,0.0298,3.6e-06,0.676,0.298,93.986
"Love (feat. Loco, Moon Sujin & Jason Lee)",0unN86elNEKkjrscaPjKbB,Spray,Love,0.752,0.406,4,-9.305,1,0.116,0.801,0.00378,0.0763,0.219,129.984
Ceathair,6Khp419zUSCnhh2n3Kbm4O,Spray,OT Rails,0.784,0.966,11,-7.56,1,0.065,4.79e-05,0.853,0.105,0.631,134.995
Set It Off,6ChidqLiL5aUUK5pIAZ9Ps,Spray,Set It Off,0.86,0.75,11,-7.039,1,0.0983,0.0154,0.0,0.285,0.496,119.985
Back!!! (feat. Coogie),5OPfwWOqVv4COY6W88BaC3,Spray,SNATCH,0.851,0.942,9,-2.621,0,0.24,0.0558,0.0,0.301,0.866,147.986
Monte Kali - Spray Remix,1lynll1INH55UZeG4zusw0,Spray,Monte Kali,0.77,0.913,10,-8.548,0,0.052,0.000762,0.848,0.14,0.5,141.01
Witches Drinner,5btahmeypTPGEw2V7J8qti,Spray,Witches Drinner EP,0.786,0.856,0,-6.967,1,0.0675,4.71e-05,0.909,0.0955,0.738,138.013
Bad Timing (With Coogie & meenoi),6wYWX7WCfCtuWm8aVFHdNb,Spray,Reaching Out,0.74,0.54,7,-8.269,0,0.278,0.168,0.0,0.119,0.642,123.998
Puk Codes,1kM9bqImiakn6TzW54CXLh,Spray,Witches Drinner EP,0.793,0.885,7,-6.765,1,0.0883,0.00139,0.927,0.0789,0.684,134.001
Think of Me,6KFwcG94HT7OixaDFuF99o,Spray,OT Rails,0.722,0.958,7,-9.215,0,0.0523,0.000916,0.852,0.228,0.71,139.998
Chez Moi (Waiting For You) - Spray's 'Club Spritzz' Mix,5JCjyRsnzkiic9vHoqpykC,Spray,Chez Moi (Waiting For You) [Spray Remixes],0.667,0.977,9,-8.699,0,0.0561,0.000856,0.926,0.0844,0.734,132.983
Mans Like (With Blase & Coogie),230FdOJ8YdjzGk6qiDHMCA,Spray,Reaching Out,0.855,0.863,10,-5.574,0,0.0549,0.00915,0.000643,0.0651,0.714,124.018
Posture - Correction Mix,4ErB7ROujUaO6XbpAUpoYJ,Spray,Witches Drinner EP,0.788,0.967,1,-6.819,1,0.0578,0.000265,0.908,0.0909,0.755,135.998
We Are Rhythm - Spray remix,5oYnqHgaRQ29hdRj0e3xED,Spray,WE ARE RHYTHM,0.64,0.986,5,-6.82,0,0.0421,2.24e-05,0.795,0.589,0.74,132.999
Mind Blowin' (feat. SHAUN),6fLewmaFolnyrD73bHy31o,Spray,mindspray,0.63,0.439,5,-5.771,0,0.0596,0.129,0.696,0.101,0.138,163.991
