track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Original Don,3jzXUnJxAG8Yqj9IVR8RZx,Sub Focus,Original Don,0.49,0.98,5,0.672,1,0.0697,0.0207,0.00215,0.5,0.486,174.146
Tidal Wave,3NKLPcvDM0pefpLNcmui2W,Sub Focus,Torus,0.522,0.868,5,-5.307,1,0.0412,0.0446,1.3e-06,0.635,0.514,173.96
Ready To Fly - Sub Focus & Dimension,0a2cA9H6KuOsoHLCnjl6YL,Sub Focus,Ready To Fly (Sub Focus & Dimension),0.486,0.972,8,-0.349,0,0.056,0.0331,0.658,0.177,0.34,173.965
Go Back (feat. Julia Church),68R0zVUeMJ2C852Ov6d2Mh,Sub Focus,Go Back (feat. Julia Church),0.392,0.924,7,-1.723,0,0.0572,0.163,0.000268,0.11,0.0555,136.013
Go Back (feat. Julia Church) - YDG Remix,4ASH49SxktKD1YzIbqUP0N,Sub Focus,Go Back (feat. Julia Church) [YDG Remix],0.548,0.868,7,-1.258,0,0.0423,0.314,2.22e-06,0.144,0.233,145.052
Roll Too Deep (feat. Subsonic),1xD3u3ZMWa8H8T4HdmtcQf,Sub Focus,Contact,0.632,0.982,8,0.447,1,0.125,0.236,0.00682,0.0755,0.366,174.011
Push The Tempo (feat. Katy B),1dSn7nd0ea1HFVqbGsIrl0,Sub Focus,Contact,0.623,0.823,1,-3.21,1,0.0417,0.0427,5.69e-05,0.11,0.223,87.493
Calling For A Sign (feat. Kelli-Leigh),3mS892OVPgwDSDX8bVrE7K,Sub Focus,Evolve,0.45,0.964,1,-1.659,1,0.0426,0.0202,0.0608,0.205,0.213,173.997
Fine Day,6z4YwmHuEAQXKrC6KukOoP,Sub Focus,Evolve,0.408,0.941,5,-2.192,1,0.0311,0.0136,4.23e-06,0.13,0.0884,173.975
Go Back (feat. Julia Church) - Kyle Watson Remix,4M02PvpMpHzt7zpI9RRLcF,Sub Focus,Go Back (feat. Julia Church) [Kyle Watson Remix],0.799,0.747,7,-7.135,0,0.0557,0.00481,0.00539,0.317,0.67,130.009
I Found You (feat. Hayla),3okzjbfNE8uagng0tHfB02,Sub Focus,Evolve,0.479,0.868,9,-2.673,1,0.0386,0.156,0.0202,0.092,0.0989,173.789
Freedom - Sub Focus & Wilkinson,4tElcYfEro42oZe7X6AbEf,Sub Focus,Portals,0.357,0.837,0,-4.083,1,0.0458,0.0213,8.63e-06,0.298,0.0395,174.096
Original Don (feat. Fireboy DML & IRAH),1PFY2R7qteN3MxjTZVP0yT,Sub Focus,Contact,0.497,0.977,5,0.484,1,0.068,0.0207,0.00211,0.451,0.469,174.108
Ecuador (feat. Fireboy DML),2zxXUT6wrHcjA1ZwOMdNWq,Sub Focus,Contact,0.625,0.965,1,-0.64,1,0.0672,0.119,0.00452,0.15,0.397,174.021
Alarm (feat. MC ID),4lI38Kj91ahnFG48FwVSrS,Sub Focus,Evolve,0.645,0.96,5,-1.461,1,0.0634,0.0723,0.394,0.419,0.243,174.001
Enter Night - Sub Focus & Wilkinson,68xHBNPekcpaxuEkSyeLny,Sub Focus,Portals,0.446,0.775,1,-4.923,1,0.0327,0.014,0.708,0.077,0.0361,86.979
Say My Name - Sub Focus Remix,4FgVnU3X6rcmnd5ujsfoK6,Sub Focus,Say My Name (Sub Focus Remix),0.442,0.971,11,-0.573,0,0.0423,0.00451,0.0308,0.581,0.279,174.051
So Many Colours,0HIpQEomgZmd5Kt1XHa4qu,Sub Focus,So Many Colours,0.55,0.92,5,0.383,0,0.0624,0.141,0.0,0.191,0.161,174.024
Fade (feat. Inéz),7F9J6ADl5P4V9qnx2p0mnd,Sub Focus,Contact,0.231,0.966,8,-0.93,0,0.0663,0.0324,0.767,0.115,0.251,173.345
Destiny,1iKkaI98zLjSH07G0rkt1e,Sub Focus,Second Nature,0.568,0.689,6,-3.531,0,0.0382,0.00273,0.0949,0.109,0.322,173.993
Hold On - Sub Focus Remix,4D1YzHNXLlBLlLlatzlyj0,Sub Focus,O.M.G.!,0.376,0.933,7,-4.759,1,0.0399,0.00594,0.0092,0.167,0.0394,173.992
Angel,5V00ZhzyrSKM6WSBn44gE3,Sub Focus,Angel,0.505,0.954,0,-0.679,0,0.045,0.216,0.159,0.132,0.458,174.045
Wildfire,4VfIkSQChkTcdL1M7wwt1B,Sub Focus,Contact,0.581,0.968,1,-1.215,1,0.119,0.0814,0.00456,0.137,0.235,174.0
Miracle,7cGXx6FiS6fhp0aIBliXFo,Sub Focus,Miracle (VIP Mix),0.583,0.988,1,1.117,1,0.0543,0.248,0.00763,0.173,0.433,173.99
So Many Colours (feat. Poppy Baskcomb),0RZWxStYiXI72PFVYys4kp,Sub Focus,Contact,0.552,0.92,8,0.403,1,0.0584,0.137,0.0,0.211,0.16,173.998
Off The Ground,3MbCPBMZzFMPa1vMCIcgwS,Sub Focus,Evolve,0.575,0.798,0,-3.53,0,0.0435,0.026,0.0794,0.106,0.0587,173.999
