track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Here Comes The Boom,35ktJRucjD4pw5w8t0Ha97,Sub Zero Project,The Edge Of Insanity,0.576,0.943,1,-5.431,1,0.146,0.0496,5.27e-06,0.319,0.0604,155.002
It Will Be OK,6CtHeORCTBgceaxVrWKgm0,Sub Zero Project,It Will Be OK,0.435,0.974,11,-3.479,0,0.214,0.00492,0.0597,0.389,0.364,159.89
Brace For Impact,3h7yXc3dy9bLKHNYVc8YrC,Sub Zero Project,Brace For Impact,0.467,0.965,4,-5.509,0,0.125,0.0095,0.000114,0.386,0.135,149.995
Our Church,6jzqY97VGs6UqEhAVOuGRz,Sub Zero Project,The Return Of Headhunterz,0.477,0.957,6,-3.468,0,0.26,0.00877,0.0496,0.304,0.117,150.001
Move Your Body,7wyv2NMXiktbhdvcFagS4G,Sub Zero Project,Move Your Body,0.238,0.915,11,-5.012,0,0.23,0.00691,0.748,0.0992,0.127,148.253
Judgement Day,2WtAN4pdVELZmswx5QGGyY,Sub Zero Project,Judgement Day,0.536,0.994,1,-5.908,0,0.13,0.0028,0.825,0.121,0.0703,150.008
Save Me,50cHsbjIjPC8CGKkfaDKSJ,Sub Zero Project,Save Me,0.432,0.902,3,-5.566,0,0.0752,0.00253,0.00748,0.124,0.211,153.064
Never Surrender,5WUi83oaFYgo7Y54mLlt5J,Sub Zero Project,Never Surrender,0.199,0.821,0,-4.161,1,0.107,0.000108,3.3e-06,0.657,0.193,153.95
Trip To Mars (Astronauts),7zXW8qC4ZFmA542eEHppke,Sub Zero Project,Renaissance Of Rave,0.434,0.868,2,-6.067,1,0.131,0.000653,0.000137,0.441,0.258,150.106
Refuse To Speak,2mag3VWfGlpBA6YOdpTeV6,Sub Zero Project,Refuse To Speak,0.36,0.682,5,-6.849,0,0.0471,0.00239,0.000316,0.226,0.213,150.09
The Race,3cv2fSTYRr42WM90C9dswx,Sub Zero Project,The Race,0.33,0.98,6,-6.803,0,0.175,0.0014,0.147,0.109,0.0367,138.527
Rave Into Space,2fR4NdUZJditzpS2iBWxiY,Sub Zero Project,Rave Into Space,0.36,0.896,10,-4.2,0,0.0958,0.0185,0.000895,0.579,0.119,150.127
Sweet But Psycho,4tuAQKIOvR2y93N2b8zI9m,Sub Zero Project,Sweet But Psycho,0.519,0.879,1,-4.463,1,0.106,0.000122,0.801,0.74,0.186,155.147
Rave Culture 2022,3xeaR6dAHQHU6rtUPRK9tX,Sub Zero Project,Rave Culture 2022,0.292,0.947,1,-4.449,1,0.0906,0.00171,0.593,0.191,0.0859,150.101
We Ignite,3PdQHt44xlYLjxKXDA759H,Sub Zero Project,We Ignite,0.375,0.912,1,-4.042,0,0.159,0.00648,0.0,0.685,0.152,155.09
LASER,6DjCL0BcCrOWGh2538hhVg,Sub Zero Project,LASER,0.278,0.924,2,-5.011,1,0.0855,0.00227,0.729,0.545,0.145,154.74
Project X,7q2EWEolm4VaE1qAnl7c1W,Sub Zero Project,Project X,0.401,0.939,7,-4.961,0,0.0914,0.000548,0.00153,0.157,0.132,150.278
HALO,5OnLWxxMNmTmXFaT8uRm3m,Sub Zero Project,Renaissance Of Rave,0.496,0.753,8,-6.253,0,0.0663,0.00158,0.00327,0.407,0.141,150.351
Soft Ass Shit,31w4zlTpovdyggvHvdWBuV,Sub Zero Project,Renaissance Of Rave,0.514,0.767,1,-6.043,1,0.096,0.000372,0.00844,0.135,0.0372,163.042
200 Beathoven,4kXOY43PzzmUSAEitFeuwI,Sub Zero Project,Renaissance Of Rave,0.55,0.979,8,-3.225,1,0.118,0.0223,0.221,0.107,0.325,100.079
Rockstar (feat. DV8),09pW7wXspkEkd8gjE93prk,Sub Zero Project,Rockstar (feat. DV8),0.382,0.973,1,-5.749,1,0.139,0.000497,0.0349,0.925,0.0375,127.528
Time Machine,24Yh9vNFl3CXhdiRVRNZ7E,Sub Zero Project,Time Machine,0.321,0.953,1,-5.657,1,0.463,0.000585,6.77e-05,0.0813,0.14,147.776
TECHNOBOTS,1FpFPb1VH1ZXqT1xrhpeaS,Sub Zero Project,TECHNOBOTS,0.423,0.942,1,-6.233,1,0.257,0.000132,0.000425,0.859,0.102,162.1
Change To Follow,5M1OQ87CeXnFbduLXxItcy,Sub Zero Project,Change To Follow,0.361,0.849,7,-4.502,1,0.0676,0.000838,2.52e-05,0.66,0.32,154.938
The Silence (Of My Sins),7mD85iEVS1TQa8zBLQZSIM,Sub Zero Project,The Silence (Of My Sins),0.496,0.949,6,-4.187,0,0.12,0.000807,9.97e-06,0.153,0.344,155.031
Capital Of Crazy - Official Intents Festival 2025 Anthem,359u0bxaE927xVFHOfRip9,Sub Zero Project,Capital Of Crazy (Official Intents Festival 2025 Anthem),0.191,0.809,7,-4.871,1,0.054,0.000103,0.0,0.363,0.122,159.341
Illusions,21kG2uhhjqAh3yJXDFs0M0,Sub Zero Project,Illusions,0.243,0.925,6,-5.684,0,0.124,0.000173,0.00103,0.0821,0.0448,149.61
Legends,5bvPJKVjgOcA2E4XvOJQmT,Sub Zero Project,360 Blue,0.367,0.925,3,-4.45,0,0.172,0.000726,0.000719,0.243,0.251,160.244
All For One,1F3WAbspkyNtxpVdJB06GZ,Sub Zero Project,All For One,0.416,0.915,9,-5.202,0,0.0602,0.000897,0.000121,0.154,0.0641,150.066
The Solution,595kceSwYuVeYZpufIpuqO,Sub Zero Project,Contagion,0.305,0.942,6,-5.672,0,0.463,0.000589,0.0339,0.32,0.124,160.728
Sinners Paradise,3zpOfaD3mZDnobX66g8hx6,Sub Zero Project,Sinners Paradise,0.441,0.843,7,-6.342,0,0.0668,0.00111,1.54e-05,0.452,0.159,159.842
Path Of The Warrior (Defqon.1 2023 Anthem),1rOqo7BgJ8iLqvF4RimAkw,Sub Zero Project,Path Of The Warrior (Defqon.1 2023 Anthem),0.357,0.883,7,-6.155,1,0.139,0.000461,0.00801,0.251,0.169,150.17
Renaissance Of Rave,3B09hehtG1E7r5QGWqNc2y,Sub Zero Project,Renaissance Of Rave,0.242,0.662,2,-5.777,0,0.0434,0.000383,0.000662,0.256,0.112,156.176
Darkest Hour (The Clock),5DWoPJxISs9VMRCJBzujB6,Sub Zero Project,Darkest Hour (The Clock),0.535,0.877,3,-2.181,0,0.0465,0.033,0.000167,0.144,0.115,150.022
Liberation,11iTb8iDCuX4UiFAtAjY1v,Sub Zero Project,Liberation,0.442,0.922,5,-4.794,0,0.113,0.00128,0.00013,0.134,0.119,154.946
Face Of A Champion,67IB9ZfmbFmo7S4Y1Ve2ti,Sub Zero Project,Face Of A Champion,0.59,0.935,11,-3.957,0,0.114,0.0121,0.000343,0.34,0.186,150.017
Fly With Me,2kx1Xt2tT0K0X0Vg3ZJdbB,Sub Zero Project,Renaissance Of Rave,0.518,0.959,11,-6.888,0,0.0488,0.00142,0.685,0.251,0.4,150.036
Robot Ravolution,6ZnQGHGcB1LU0X2Tl08bts,Sub Zero Project,Robot Ravolution,0.324,0.93,8,-4.053,0,0.185,0.000763,0.000327,0.311,0.279,156.852
We Are The Fallen,0rxN1O9XnyLVPYixqLrMWP,Sub Zero Project,We Are The Fallen,0.182,0.891,9,-3.22,0,0.0573,0.00132,0.00336,0.0787,0.136,149.86
The Showdown,0GMhPWb7ljKYBpJ8iEqInL,Sub Zero Project,The Showdown,0.222,0.691,2,-7.645,0,0.05,0.000959,0.201,0.143,0.0347,162.021
LFG PSYCHO,0MwEcodV2ILJPeUWf72761,Sub Zero Project,LFG PSYCHO,0.496,0.925,11,-6.299,0,0.248,0.00223,0.178,0.96,0.178,150.035
Aliens Rave In Peace,3goea2fCytDlEik6TnwAp6,Sub Zero Project,Renaissance Of Rave,0.352,0.856,11,-3.414,0,0.0519,0.000386,0.0884,0.201,0.0385,155.067
A New Beginning,0Z9J2O5kjOoZi53ZB8krgJ,Sub Zero Project,A New Beginning,0.33,0.881,3,-6.401,0,0.139,0.000767,0.0,0.0746,0.256,159.964
The Contagion,2jUNjV4gOwJH7Bt67zm19z,Sub Zero Project,Contagion,0.554,0.922,9,-5.522,1,0.529,0.0196,0.00377,0.848,0.15,150.04
Live Fast Die Young,5WZybtOPWN7wWgB8rD2stg,Sub Zero Project,Renaissance Of Rave,0.226,0.779,7,-7.138,1,0.083,0.00235,0.000809,0.0417,0.167,155.023
Maze Of Memories - Reverze Anthem 2024,7hG04m8ODWqF5abbbX74ge,Sub Zero Project,Maze Of Memories (Reverze Anthem 2024),0.292,0.833,9,-5.062,0,0.0936,0.00125,0.00064,0.38,0.144,155.138
All Night,5UZzNdaDIeuV0i9ZcMPf5z,Sub Zero Project,Contagion,0.506,0.967,6,-4.273,0,0.0548,6.84e-05,0.0161,0.599,0.069,160.026
Paradise,3vyw1KgD1UNpWbupv7vkE4,Sub Zero Project,Paradise,0.411,0.848,5,-4.707,0,0.104,0.000867,0.0244,0.17,0.141,150.197
Fight As One,4qJaSXeOW28mgxHFRQ87nF,Sub Zero Project,Fight As One,0.406,0.884,10,-5.939,0,0.112,5.34e-05,0.0224,0.1,0.0403,153.124
Nightwatch Underground,3g3Ht5QpT6uPLmAmDVQOjj,Sub Zero Project,Renaissance Of Rave,0.424,0.846,1,-6.745,1,0.0649,0.000141,2.4e-06,0.0999,0.0887,160.036
Doomed - Sub Zero Project Remix,1lmienGCl5PEyjVL4Nya8G,Sub Zero Project,The Art Of Remixes EP,0.519,0.852,6,-4.13,1,0.211,0.00192,0.0529,0.348,0.212,75.004
