track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Convivium,16koq0SV3LIAXl5V2FfGKM,T78,Convivium,0.632,0.953,7,-4.232,1,0.0434,0.0174,0.396,0.282,0.215,149.987
Rave Nation,5aKDCDN4iDqB4F2bfL5zZO,T78,Tektones #13 (Selected by T78),0.606,0.978,9,-4.514,1,0.0525,0.0232,0.716,0.109,0.204,150.007
Daitarn,1e11DOVqj6bIxTuoGdYDcI,T78,Daitarn,0.686,0.943,7,-3.583,1,0.149,0.000378,0.875,0.307,0.106,150.042
Axid,6vJqQyZsGsFBnJqRrAH7OF,T78,Axid,0.789,0.945,7,-3.602,1,0.124,0.000405,0.925,0.401,0.154,134.998
Fisto - Edit Mix,0ntwWswCIoTBMbusGjdKcQ,T78,Fisto / Tri-Klops,0.665,0.806,6,-7.342,0,0.0369,0.00567,0.843,0.772,0.272,125.995
Acid Lick,1wKvdhEdWatU04C5yM7trX,T78,"Tektones, Vol. 3",0.649,0.907,10,-7.016,1,0.0683,0.00194,0.834,0.112,0.236,131.989
Voices,6OS6FafuDd9CytXs2pTVWG,T78,Voices,0.728,0.911,1,-3.059,1,0.0358,9.97e-05,0.807,0.0759,0.319,145.004
Entrapta,7f0TFrN1o7BpYAUhgmc2kj,T78,Entrapta,0.61,0.945,10,-3.198,0,0.0446,0.000578,0.843,0.301,0.231,139.997
Struggle For Pleasure,48jEXJVMSDJBchg7NQRBxP,T78,Struggle For Pleasure,0.551,0.995,6,-4.14,0,0.0481,0.000632,0.779,0.108,0.19,140.022
Humans Love Me,13YWp1iozoy7YACZsRqRnK,T78,"Retro Future, Vol. 3",0.673,0.874,9,-7.17,1,0.085,0.00063,0.696,0.134,0.239,135.004
The Antidote,3kq4M7XbQ6c7yGzwE72VXM,T78,The Antidote,0.574,0.971,8,-5.53,0,0.044,0.00198,0.823,0.104,0.0741,134.002
Megator,7yyNaKHvH76G4tohz4cM7u,T78,Megator,0.717,0.986,11,-5.267,0,0.158,0.00127,0.838,0.0222,0.109,129.989
Hell Or Heaven,7DvL6EIGUSajp8qJSDgiEu,T78,Hell Or Heaven,0.609,0.876,9,-4.609,1,0.0567,0.000421,0.902,0.335,0.153,137.999
Throw This,27NwMTcfiuwUsf5VJp6jUw,T78,Throw This,0.584,0.994,0,-3.683,1,0.132,0.00217,0.785,0.073,0.318,137.992
Push To Start - T78 Remix,3RKCzGsThiB77vKvmNxUgG,T78,Push To Start (T78 Remix),0.675,0.905,0,-4.98,1,0.063,0.000362,0.508,0.145,0.503,135.005
The Outsiders - T78 Remix,0qP89hbMRlounSq9QDSK6v,T78,The Outsiders,0.851,0.904,2,-9.654,1,0.0582,0.00182,0.924,0.112,0.26,126.992
Ac/Id - Original Mix,2WcLzHxzoCkOvNPIIvNpAg,T78,Ac/Id (Original Mix),0.676,0.935,7,-5.892,1,0.0468,0.000256,0.856,0.0939,0.394,126.993
