track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Feeling When,0igcvVfpmTLSCfIIC7oZAa,The Carry Nation,Full Tilt Carry Vol 2,0.674,0.878,10,-8.551,0,0.0385,0.0031,0.793,0.0912,0.25,122.018
Way Too Much (feat. Maleigh Zan),0ISVgt7woswB7r3n5mJOf6,The Carry Nation,Full Tilt Carry Vol 2,0.801,0.965,5,-6.686,0,0.0795,0.347,0.81,0.0847,0.204,135.005
Colinda,2oCDRHgY6D2kcj3WdRr7kM,The Carry Nation,Full Tilt Carry Vol 2,0.771,0.705,7,-9.799,1,0.0654,0.0847,0.84,0.107,0.225,127.984
Hypnotise,5yNDX1XZKaC39N8eAsnos5,The Carry Nation,Full Tilt Carry Vol 2,0.796,0.816,1,-9.38,1,0.058,0.000508,0.468,0.143,0.462,129.999
Move It,5OcCFpsyn5Z93HbWMZrLCj,The Carry Nation,Full Tilt Carry Vol 2,0.799,0.977,5,-7.062,0,0.0633,0.000527,0.866,0.0819,0.92,124.981
Mwah (feat. Chi Chi Darling),5x34BMsagauaAC1hcj5JB4,The Carry Nation,Full Tilt Carry Vol 2,0.794,0.964,7,-5.543,1,0.0544,3.96e-05,0.762,0.0945,0.351,130.0
In Luv,4daBdyQwVboYqIMlgCNoLV,The Carry Nation,Full Tilt Carry Vol 2,0.72,0.98,1,-4.678,1,0.0568,0.00967,0.855,0.29,0.798,136.008
The Wild Side Of Love,0kZtE0tSiSbmMS76KXTMAT,The Carry Nation,Full Tilt Carry Vol 2,0.647,0.921,6,-7.554,1,0.045,0.00465,0.825,0.0987,0.801,132.005
Heat You - SISTRIX Mix,4Jq7Nqu1ZKtzdxzGUSRVVQ,The Carry Nation,Full Tilt Carry Vol 2,0.703,0.875,1,-7.096,0,0.0555,0.0052,0.8,0.0751,0.846,132.01
Whatever,7wBc9pgb2CIVaKvaKabutK,The Carry Nation,Full Tilt Carry Vol 2,0.755,0.799,6,-7.175,0,0.0835,1.3e-05,0.681,0.0665,0.907,149.99
Diva Down (feat. Glamour Cadaver),4i5Z3FEZjAHF9YmVTpIAEH,The Carry Nation,Full Tilt Carry Vol 2,0.667,0.749,11,-7.037,0,0.117,0.000206,0.228,0.0938,0.826,74.985
To The Dojo,0knkhFXlb4nttk8swJ0LNh,The Carry Nation,Full Tilt Carry Vol 2,0.777,0.993,7,-7.482,1,0.109,0.0513,0.947,0.0846,0.506,139.987
I Wanna,3PhhyhjhVAPVZi6Zmct9Mj,The Carry Nation,Full Tilt Carry Vol 2,0.786,0.852,10,-6.636,0,0.0786,0.00206,0.751,0.0461,0.601,134.969
This Is Not A Kiss,0AOh9wr04ZpfyN0SIJrsJi,The Carry Nation,Full Tilt Carry Vol 2,0.787,0.755,4,-5.895,0,0.0823,0.000241,0.0875,0.0701,0.156,127.985
Root of Desire,3P3v5qVEMXuE9Cgjo9OCW1,The Carry Nation,Full Tilt Carry Vol 2,0.798,0.897,6,-8.598,0,0.0423,0.000237,0.897,0.088,0.253,128.009
V Trigger,01dAnIJwzABVROV25bXxU8,The Carry Nation,Full Tilt Carry Vol 2,0.802,0.757,1,-8.471,1,0.0539,2.39e-05,0.927,0.0655,0.393,126.988
Cavaricci - The Carry Nation Remix,4WtkQ6hqyqB6Pdst1yE40g,The Carry Nation,Full Tilt Carry Vol 2,0.798,0.965,0,-9.534,1,0.0742,4.24e-05,0.897,0.785,0.491,126.993
Full Tilt Carry Vol 2 - Continuous Mix,3yLpG4hDA5n5992nKzbuzv,The Carry Nation,Full Tilt Carry Vol 2,0.517,0.924,1,-6.496,1,0.0706,0.0039,0.703,0.486,0.414,126.856
Mi Viejita,38Trc9gUGJNMwMw1b72xgy,The Carry Nation,Full Tilt Carry,0.711,0.837,1,-8.826,1,0.0626,0.000737,0.848,0.0744,0.517,126.014
Freakee,4yMoloONxPcFNjQvNwWYbd,The Carry Nation,Full Tilt Carry,0.842,0.902,6,-7.383,0,0.0528,0.0101,0.103,0.0851,0.643,123.994
