track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Summer Secrets,3sNmADk68ye2SZNK2nf0KL,The Purge,Summer Secrets,0.513,0.919,10,-1.963,0,0.0902,0.0236,0.0035,0.321,0.259,159.951
WINTER BLUES,1fyB9Aba2htvtwQUXurj2P,The Purge,WINTER BLUES,0.463,0.904,9,-3.018,0,0.374,0.0288,2.41e-05,0.826,0.517,159.928
EUPHORIA,3ttLOmyJCMworXjMa3EuXD,The Purge,EUPHORIA,0.587,0.98,7,-2.175,0,0.29,0.0106,0.00016,0.0961,0.222,160.035
FOREVER TRIPPIN',0vPjnqOIn9mXSICXgZocn2,The Purge,FOREVER TRIPPIN',0.602,0.97,8,-1.658,0,0.248,0.0515,0.000349,0.768,0.518,159.991
Tonight,0rmjUUbgDJOEjdWpHtMhI3,The Purge,Tonight,0.588,0.996,8,-0.836,1,0.463,0.0309,0.00283,0.339,0.309,159.94
ONE IN A MILLION,0fVcAL0U9lQhhEYdBJ8kO4,The Purge,ONE IN A MILLION,0.498,0.941,11,-2.855,1,0.0975,0.0394,0.0,0.536,0.506,160.009
NEXT TO U,7JwoBMrnKy23dqnQqv8fQE,The Purge,NEXT TO U,0.512,0.963,1,-3.054,1,0.0588,0.000881,0.0812,0.185,0.327,160.055
THE NATION,6vQF0OGHEbFag8svjKRcmp,The Purge,THE NATION,0.614,0.991,1,-1.752,1,0.151,0.0508,2.17e-06,0.118,0.645,160.006
Eyes On Me,7r5SkCqP8mR72OXDPYUUgs,The Purge,Through My Veins,0.456,0.968,8,-1.385,1,0.204,0.00122,0.0162,0.426,0.451,160.016
DREAMLAND,2N7AOIEoPeQmCZyikaF3GI,The Purge,BEYOND TRIPPIN',0.553,0.935,0,-2.191,1,0.153,0.00419,0.000181,0.772,0.603,160.074
ENDGAME,70uXDcd3G83wwXv0ysET8q,The Purge,Digital World EP,0.696,0.969,1,-3.024,1,0.111,0.0041,8.12e-06,0.0876,0.151,160.001
Freaky,5GLfLk9RDTTTvpg9YCCakj,The Purge,Freaky,0.633,0.998,0,-0.028,1,0.263,0.0337,0.583,0.376,0.39,160.017
RED MOON,5eDpI6sFAXfZvxwJNdZ66X,The Purge,BEYOND TRIPPIN',0.441,0.965,10,-2.464,0,0.137,0.00176,6.03e-06,0.329,0.392,160.028
