track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Silence - DJ Tiësto's In Search Of Sunrise Edit,2jAjkmZIKwV5VOBiZ3qUUL,Tiësto,The Best Of,0.602,0.847,11,-5.998,0,0.0588,0.00887,0.0308,0.0622,0.0871,138.037
Adagio for Strings,6TnnyFi6wLxV74NFpgNX0r,Tiësto,Just Be,0.604,0.939,10,-7.49,0,0.0543,0.0101,0.691,0.0723,0.204,139.975
Seavolution (From Hotel Transylvania 3),4PH6mswadkm3Ue05uBohEa,Tiësto,Hotel Transylvania 3,0.533,0.94,5,-2.636,1,0.0643,0.00252,0.788,0.829,0.417,75.001
L'amour toujours (feat. Delaney Jane) - Tiësto Edit,4UutBLYMby6whu2bMYh9Oa,Tiësto,L'amour toujours (feat. Delaney Jane) [Tiësto Edit],0.591,0.931,3,-2.867,1,0.0969,0.00763,0.000216,0.153,0.17,129.975
Mwaki - Tiësto's VIP Mix,0Ingh3RYKOuXaOCZG3fIf6,Tiësto,Mwaki (Major Lazer Remix),0.689,0.897,7,-6.422,0,0.041,0.0281,0.0147,0.119,0.38,127.993
Lose Control - Tiësto Remix,6Qw4mOkFM3UjCf3ybd4zCE,Tiësto,Lose Control (Alt. Versions),0.565,0.932,3,-2.662,1,0.0756,0.0044,0.206,0.293,0.171,127.956
Explode,4rnwQPqGNoHCQppYVdTZdu,Tiësto,Explode,0.679,0.913,3,-5.278,0,0.0472,0.0146,0.0877,0.0638,0.308,127.989
All Nighter,3jksOdXCaDXyGiZ7L4YZbp,Tiësto,DRIVE,0.756,0.921,11,-6.196,0,0.0508,0.0386,0.0546,0.327,0.384,124.981
VHS RAVE,1zgs6QpTBuJ67TQvXMtp7L,Tiësto,VHS RAVE,0.714,0.925,8,-6.119,0,0.0635,0.0277,0.348,0.137,0.282,127.988
Savage,76A1RRDEyHKtmV3Vh6PeVN,Tiësto,Savage,0.694,0.7,0,-5.53,0,0.0488,0.191,0.0,0.0719,0.261,127.965
Money,2AhKFNKiRxk2NZNF47bFjn,Tiësto,Money,0.755,0.828,8,-4.202,1,0.0488,0.00501,0.089,0.335,0.517,126.024
Thank You (Not So Bad),09CnYHiZ5jGT1wr1TXJ9Zt,Tiësto,Thank You (Not So Bad),0.673,0.95,11,-5.149,1,0.0488,0.0229,0.0823,0.398,0.563,150.019
Split (Only U),1Q4jb2UjtWUDUojHsB8mLY,Tiësto,Split (Only U),0.634,0.927,1,-3.282,1,0.136,0.048,0.687,0.0864,0.35,128.016
Fire for You - Tiësto Remix,0tM1GsbzKXq1Iy3O1YhaDU,Tiësto,Fire for You (Tiësto Remix),0.729,0.738,6,-6.338,0,0.0569,0.00602,0.676,0.132,0.424,121.974
WOW,3qPXWPkEZgUhUgPifbE99z,Tiësto,WOW,0.6,0.99,6,-3.016,1,0.337,0.00116,0.52,0.124,0.192,127.954
I Follow Rivers,1aGXmfXBq4koas7v3277P3,Tiësto,Prismatic: Pack One,0.709,0.913,9,-4.736,0,0.0599,0.000983,0.00813,0.282,0.334,128.004
Pump It Louder,2yEHX6MqAXPyD7bm47A2Br,Tiësto,Pump It Louder,0.66,0.942,4,-2.273,1,0.185,0.00789,1.76e-05,0.834,0.543,126.017
Baila Conmigo,3KruoUtSkm84Az0bJunnxl,Tiësto,Baila Conmigo,0.652,0.855,7,-6.411,1,0.0775,0.00658,0.409,0.341,0.0834,127.964
Rule The World (Everybody),2f2dRxjiUOoV5qhZFbnVO6,Tiësto,Rule The World (Everybody),0.627,0.998,11,-1.699,0,0.0735,0.031,0.0219,0.126,0.157,127.975
BOTH,7mobUfp1aL8A6CdugCMWft,Tiësto,BOTH,0.69,0.933,5,-3.099,0,0.0832,0.0252,2.51e-05,0.493,0.523,119.987
Won’t Be Possible,20kaCbdgkJRUPniPVZgsoR,Tiësto,Won’t Be Possible,0.929,0.846,10,-3.629,0,0.0756,0.0361,0.0457,0.113,0.574,129.968
Lay Low,0zKbDrEXKpnExhGQRe9dxt,Tiësto,Lay Low,0.555,0.884,1,-4.424,0,0.213,0.0645,8.18e-05,0.349,0.42,121.906
Secrets,0NIC4unbe5KZOp1d9T7OaF,Tiësto,"Club Life, Vol. 4 - New York City",0.648,0.812,11,-7.585,0,0.0414,0.000329,0.0369,0.0857,0.122,128.178
Another Love - Tiësto Remix,4Et6tUEO7biKxZEfJXpNj1,Tiësto,Another Love (Tiësto Remix),0.79,0.764,4,-4.685,0,0.0737,0.0836,0.0871,0.132,0.473,123.046
BOOM,6iC7vapdKp0XlKhxOkp8QJ,Tiësto,BOOM,0.886,0.84,2,-3.386,1,0.0502,0.0164,0.00622,0.329,0.203,123.035
Red Lights,5L2l7mI8J1USMzhsmdjat9,Tiësto,A Town Called Paradise,0.654,0.83,10,-4.801,1,0.0366,0.000629,1.13e-06,0.121,0.548,124.989
Don't Be Shy,0bI7K9Becu2dtXK1Q3cZNB,Tiësto,Don't Be Shy,0.77,0.787,11,-3.748,0,0.0583,0.198,0.0,0.262,0.513,119.986
Pepas - Tiësto Remix,1bFgMkoazsyZGSflpCzYm6,Tiësto,Pepas (Tiësto Remix),0.769,0.688,7,-4.378,1,0.0501,0.00215,0.107,0.088,0.387,130.026
Hot In It (feat. Charli XCX),5pNFibJLq7dvoDVIIcQBkn,Tiësto,DRIVE,0.748,0.841,7,-5.08,1,0.177,0.00445,1.33e-06,0.0413,0.717,123.045
Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,Tiësto,Jackie Chan,0.747,0.834,3,-2.867,0,0.045,0.374,0.0,0.0586,0.687,128.005
Bring Me To Life,6pkSEqfTFyoqaPXQ1d4nLp,Tiësto,Bring Me To Life,0.588,0.77,5,-4.75,1,0.051,0.000839,0.421,0.082,0.234,130.015
Adagio For Strings - Radio Edit,76uTbKqlADkTPQ1bXHMBww,Tiësto,Magikal Journey -The Hits Collection 1998 - 2008,0.49,0.916,10,-8.663,0,0.0461,0.0202,0.939,0.119,0.367,139.976
Dancing On My Own - Tiësto Remix,2EHVjRFRSsXQaHAsys74Us,Tiësto,Only Human (Deluxe),0.637,0.602,1,-5.546,1,0.0346,0.0176,0.000179,0.0818,0.291,122.019
Drifting,4EmH2iRucAgCOnhuJRotUi,Tiësto,Drifting,0.625,0.951,9,-4.866,0,0.0393,0.0718,0.585,0.164,0.376,130.001
Ritual,0FEk8LwY8h4rAR63ggfhV0,Tiësto,The London Sessions,0.647,0.726,3,-4.389,0,0.0552,0.157,0.0,0.0844,0.769,114.998
Mockingbird,2x4JC9TxW2LACuuxbsncfG,Tiësto,Mockingbird,0.656,0.857,6,-5.473,0,0.103,0.065,0.0131,0.0814,0.395,155.011
CONTIGO (with Tiësto),4UkUxO2WlKLc0Q1iEutGGh,Tiësto,CONTIGO (with Tiësto),0.85,0.562,5,-7.863,1,0.0724,0.169,3.23e-06,0.104,0.293,122.029
The Business,6f3Slt0GbA2bPZlz0aIFXN,Tiësto,The Business,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031
The Motto,18asYwWugKjjsihZ0YvRxO,Tiësto,The Motto,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953
10:35,6BePGk3eCan4FqaW2X8Qy3,Tiësto,10:35,0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003
Silence (feat. Sarah McLachlan) - DJ Tiësto's in Search of Sunrise Remix,7tU5JvCfG0t3PHG7mchPjv,Tiësto,Remixed,0.606,0.867,11,-5.696,0,0.0563,0.00173,0.571,0.0693,0.0954,137.98
God Is A Dancer (with Mabel),6fenHIxXuuzKB55wY4WCHP,Tiësto,God Is A Dancer (with Mabel),0.774,0.747,1,-3.908,0,0.082,0.0241,6.11e-06,0.342,0.833,119.964
Feel It In My Bones (feat. Tegan & Sara),6K9GLISAUJtCCno9cuCASa,Tiësto,Kaleidoscope,0.532,0.884,0,-5.214,1,0.132,0.0728,1.83e-06,0.119,0.286,129.979
Renaissance (The White Lotus) - Tiësto Remix,6CgnHnR0C1qsAiq4UAVO8B,Tiësto,Renaissance (The White Lotus) [Tiësto Remix],0.555,0.776,1,-2.58,1,0.0795,0.47,0.000806,0.337,0.14,128.036
Lethal Industry - Radio Edit,3NfcNWiWysF7aV5b3Jd9CE,Tiësto,Magikal Journey -The Hits Collection 1998 - 2008,0.513,0.949,7,-6.021,1,0.0454,5.38e-05,0.919,0.132,0.0441,134.983
PROVENZA - REMIX,7DmP5W2DbhXC7uKYbYXtIm,Tiësto,MAÑANA SERÁ BONITO (BICHOTA SEASON),0.774,0.882,1,-3.165,1,0.0404,0.00528,0.000444,0.14,0.541,128.011
The Only Way Is Up,1V0Zy7533bjXFSVtn3crzY,Tiësto,"Club Life, Vol. 4 - New York City",0.597,0.736,1,-7.793,0,0.0309,0.00296,0.921,0.0914,0.172,128.179
Traffic - Radio Edit,2LzEuRdNWNiHdGI1m5ALc5,Tiësto,Just Be,0.714,0.642,8,-10.241,0,0.0868,0.00251,0.887,0.186,0.102,137.836
Bittersweet Goodbye - Tiësto’s Hardcore Remix,4UWDgSvethiugRKFdbaiik,Tiësto,Bittersweet Goodbye (Tiësto’s Hardcore Remix),0.437,0.898,9,-2.252,1,0.0557,0.118,0.00143,0.386,0.167,173.888
Quédate - Tiësto Remix,79wDq3jpGu0yew1ngQpAAi,Tiësto,Quédate (Tiësto Remix),0.652,0.877,11,-2.767,0,0.141,0.00848,0.0158,0.695,0.722,127.996
All of Me - Tiësto's Birthday Treatment Remix - Radio Edit,1mzGywacjpeik00PVLBPpF,Tiësto,All of Me (Tiësto's Birthday Treatment Remix - Radio Edit),0.606,0.72,5,-6.253,0,0.0283,0.000149,0.00165,0.0745,0.178,127.985
All My Life,3qCCQas6tIP15Yjgu3gl9S,Tiësto,All My Life,0.613,0.963,7,-4.302,1,0.0585,0.00686,0.0176,0.235,0.0795,137.961
The Right Song,59yxjfkqhOPacjiolBHQDC,Tiësto,The Right Song,0.546,0.894,8,-3.56,1,0.0898,0.459,0.000106,0.322,0.387,125.031
RVN (Raven),0SWSe8vswFpBkStUsi8k6L,Tiësto,RVN (Raven),0.657,0.99,8,-5.188,1,0.184,0.0444,0.918,0.159,0.0464,129.999
Dancing In The Moonlight (feat. NEIMY) - Tiësto Remix,3dgVBgrgHLzbhAYepa1V1V,Tiësto,Dancing In The Moonlight (feat. NEIMY) [Tiësto Remix],0.679,0.619,9,-4.983,1,0.0528,0.213,0.0,0.105,0.497,124.944
Malibu - Tiësto Remix,1NvSQe0i4ApmQCnBI8Jwzq,Tiësto,Malibu (The Remixes),0.582,0.921,8,-2.496,1,0.0509,0.00216,0.000214,0.251,0.49,128.062
Chills (LA Hills),2N5cFPLy0TIasTWkfT1hri,Tiësto,DRIVE,0.784,0.772,0,-6.294,1,0.0567,0.022,0.000312,0.124,0.434,114.99
Tell It To My Heart (feat. Hozier) - Tiësto Remix,4bL0sCjnM6a1rKoBIHJYxI,Tiësto,Tell It To My Heart (Tiësto Remix),0.632,0.857,11,-3.659,0,0.0504,0.00177,0.000154,0.259,0.483,127.963
Carry You Home (feat. StarGate & Aloe Blacc),6bolfjXj78EIQRB48C6QTc,Tiësto,Carry You Home (feat. StarGate & Aloe Blacc),0.518,0.724,8,-6.327,1,0.0839,0.0308,0.0,0.116,0.334,121.884
OMG!,3zAKFFUsZQsQxtE7FNSUoe,Tiësto,F1 The Album,0.863,0.821,1,-5.538,1,0.1,0.0131,4.05e-05,0.0773,0.821,127.999
The Motto - Tiësto’s VIP Mix,6NNpXXkpPDZKxdavZbVhwJ,Tiësto,The Motto (Tiësto’s VIP Mix),0.682,0.922,7,-2.936,0,0.0421,0.00956,0.00215,0.0626,0.266,125.004
Tell Me Where U Go,4NuksWELZ9lBY9aazhZG16,Tiësto,Tell Me Where U Go,0.72,0.783,7,-6.283,0,0.0395,0.0609,0.00226,0.078,0.251,142.038
Clouds (Tiësto Remix),4QmpT4quTUvjUH128wow4w,Tiësto,Levi Don't Do It,0.63,0.989,9,-3.595,0,0.0896,0.0519,0.0982,0.29,0.0713,130.052
My City (feat. Katy Tiz),5sjvmFMLPjBXDd2XDr9JIm,Tiësto,My City (feat. Katy Tiz),0.668,0.943,2,-3.375,1,0.0498,0.00169,0.548,0.13,0.195,128.011
Hot In It - Tiësto’s Hotter Mix,0TejbZNnypwBQDwkUPjPrT,Tiësto,Hot In It (Tiësto’s Hotter Mix),0.723,0.99,7,-4.409,1,0.198,0.00214,5.63e-05,0.328,0.167,126.05
Your Love (9PM) - Tiësto Remix,3ZUGQQQdTteMWdPg2bvLsp,Tiësto,Your Love (9PM) [Tiësto Remix],0.689,0.914,7,-3.258,1,0.0421,0.00485,0.00134,0.179,0.465,128.013
Drums (Feat. Kim Petras) - Tiësto Remix,5QZmUKPG3uPU0hwJuHwfGD,Tiësto,Drums (Feat. Kim Petras) [Tiesto Remix],0.647,0.948,6,-3.802,1,0.0302,0.00043,0.115,0.116,0.474,127.966
Doses & Mimosas (Tiësto Remix),28vsFIcM2aJbXaBDOu6H93,Tiësto,Doses & Mimosas (Tiësto Remix),0.815,0.784,5,-4.084,1,0.0455,0.00162,0.0163,0.0679,0.4,123.036
Lose You,7sFk2PA3NsrrSsGa4CM3rs,Tiësto,The London Sessions,0.704,0.899,6,-5.61,0,0.178,0.189,2.43e-05,0.228,0.576,123.028
Wave Rider (From Hotel Transylvania 3),4DYsxBBZNIrRdWRm5JSjQX,Tiësto,Hotel Transylvania 3,0.637,0.982,5,-5.243,1,0.464,0.000232,0.853,0.111,0.344,140.048
Everlight,4g1gtAETdNfsNT5GBxNW34,Tiësto,Everlight,0.573,0.87,2,-7.403,0,0.0378,0.00269,0.634,0.14,0.118,132.981
Faded - Tiesto's Northern Lights Remix,7MDobIiZKLbDDibHDA1fl8,Tiësto,Faded (Remixes),0.419,0.752,6,-5.605,1,0.0805,0.0238,0.0032,0.129,0.129,125.846
Secrets - Radio Edit,69zxj1EFDfAouZu9JDmQld,Tiësto,Secrets (Radio Edit),0.677,0.811,11,-4.53,0,0.043,0.0012,0.00761,0.0896,0.185,128.004
I Follow Rivers (feat. Oaks),6M5JL2JSOjLIZQa0Q5enm9,Tiësto,I Follow Rivers (feat. Oaks),0.709,0.913,9,-4.736,0,0.0599,0.000983,0.00813,0.282,0.334,128.004
Tantalizing,799db91cR00On6N158VLHS,Tiësto,Tantalizing,0.671,0.888,10,-4.285,0,0.0412,0.0022,0.0106,0.0951,0.412,123.031
