track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Intro,5PTO8z10L10KuzlS8rVybc,timmy trumpet,Mad World,0.141,0.447,0,-6.81,1,0.031,0.373,0.706,0.0807,0.036,86.944
The City,65ixhkcfyWgOTH3K0FRZ4w,timmy trumpet,Mad World,0.633,0.844,2,-5.278,1,0.0387,0.0197,0.000564,0.675,0.155,118.007
Child Of The Devil,03kInDEY3Go2ysuIQKdxMv,timmy trumpet,Mad World,0.721,0.777,1,-3.303,1,0.0418,0.103,0.0,0.0482,0.467,155.011
Not Like You (feat. Kheela),67IMCpgkdCyxY7xR6ebScp,timmy trumpet,Mad World,0.781,0.618,5,-5.633,1,0.0602,0.0798,0.000872,0.233,0.165,106.004
Thunder,3HzTRw3smu7ncmdmhnYQfJ,timmy trumpet,Mad World,0.7,0.634,4,-7.41,0,0.0974,0.021,0.000222,0.135,0.111,103.55
Up & Down,5FhnPzf4sZ68ZZJ1n5oek1,timmy trumpet,Mad World,0.828,0.916,6,-5.38,1,0.0717,0.00488,0.851,0.457,0.645,135.008
El Toro (feat. Afandi),5R1ad8HRYduAvjF4CcEJzZ,timmy trumpet,Mad World,0.544,0.984,11,-4.753,0,0.076,0.0188,0.898,0.174,0.316,153.048
Cold,1XFonPPCY4FKTTgJg3B089,timmy trumpet,Mad World,0.321,0.638,5,-4.236,1,0.046,0.11,0.0,0.309,0.323,99.971
911,72WMsobkO8fjiumW3UwKSA,timmy trumpet,Mad World,0.454,0.787,11,-8.22,0,0.0618,0.0656,0.0356,0.0662,0.139,103.521
Paul Is Dead,40C0hMvGkWXDYstWR5t9Tx,timmy trumpet,Mad World,0.504,0.891,6,-4.175,0,0.126,0.33,8.65e-06,0.191,0.295,169.886
The Snail,6Lc5kcLD1SCJ1EcwS3OmhU,timmy trumpet,Mad World,0.691,0.815,6,-4.43,0,0.225,0.00445,0.1,0.175,0.501,128.227
Mad World,6WsaEpK2Bky9ZGCCaQPyg4,timmy trumpet,Mad World,0.54,0.892,11,-4.985,1,0.11,0.233,9.35e-05,0.195,0.152,106.594
Rollercoaster (feat. Just Juice),2wXmmoCUJhW2z9IkCGx0FP,timmy trumpet,Mad World,0.62,0.901,5,-4.992,0,0.0505,0.0537,0.000133,0.0835,0.495,159.995
One More Time (feat. PollyAnna),4moRaO4F4i1qaPyEqk2zeS,timmy trumpet,Mad World,0.677,0.865,0,-6.278,1,0.0377,0.0744,0.00375,0.247,0.0538,121.988
Happy,12LWh5UqEQedRjfUaPNoS3,timmy trumpet,Mad World,0.475,0.784,11,-5.382,0,0.056,0.0851,0.117,0.0943,0.346,157.422
Mars,76Am8MNioTZ18nXvD7nCqJ,timmy trumpet,Mad World,0.495,0.908,1,-3.439,0,0.143,0.0107,0.013,0.183,0.27,160.061
Easy,4Fast2U4BxHSq1GYj3ww5M,timmy trumpet,Mad World,0.637,0.823,11,-5.9,1,0.0713,0.00311,8.28e-05,0.136,0.353,139.947
Finalé,3nAC1QxaS6OxLT63FrXYui,timmy trumpet,Mad World,0.391,0.664,0,-5.263,0,0.0544,0.045,0.16,0.202,0.0589,140.154
Madhouse (feat. RANI),4FjDFPYRZVhYHh79YOw0iW,timmy trumpet,Madhouse (feat. RANI),0.763,0.801,6,-5.342,1,0.0837,0.0032,4.82e-05,0.115,0.361,128.033
Afterglow,02ACX88wFNYy3CAcE3GgTh,timmy trumpet,Afterglow,0.626,0.931,6,-5.56,1,0.0529,0.00273,0.0154,0.115,0.162,124.001
Born To Be Lonely,64jxrtV3U1jWXAleUxlIIx,timmy trumpet,Born To Be Lonely,0.394,0.897,10,-2.41,0,0.0513,0.106,0.00103,0.0826,0.215,163.352
Move Your Body,7wyv2NMXiktbhdvcFagS4G,timmy trumpet,Move Your Body,0.238,0.915,11,-5.012,0,0.23,0.00691,0.748,0.0992,0.127,148.253
We Own The Night (feat. Chandan Shetty),2XdU173I0vnlcgT8LAEBy7,timmy trumpet,We Own The Night (feat. Chandan Shetty),0.439,0.931,10,-2.926,0,0.121,0.0205,0.00335,0.0927,0.156,140.001
We Own The Night (feat. Chandan Shetty) [Festival Mix],3BGd2kBu4pbjj2mTvM8VK7,timmy trumpet,We Own The Night (feat. Chandan Shetty),0.457,0.899,1,-4.694,0,0.0687,0.0417,0.851,0.12,0.0937,140.02
Party So Hard,4cVy5JeJst4DxracwylORB,timmy trumpet,Party So Hard,0.605,0.964,1,-4.368,1,0.124,0.000749,0.00848,0.207,0.383,144.994
It Must Have Been Love (feat. Charla K),4xZcO6Kb9LikXY6OBT0WWF,timmy trumpet,It Must Have Been Love (feat. Charla K),0.368,0.756,2,-4.473,1,0.0479,0.00543,0.000138,0.0726,0.437,164.894
TECHNO PIEPS,7MBgoczN6RoXUtpuGSKCA5,timmy trumpet,TECHNO PIEPS,0.646,0.973,2,-2.201,1,0.48,0.00158,0.00778,0.258,0.426,155.076
My Way,21aEVznT4DeDGHQr3dWQ3S,timmy trumpet,My Way,0.363,0.935,2,-5.609,1,0.379,0.0729,0.0307,0.133,0.12,160.042
Diamond Heart,5XoKMYd0KgE4rcdb4o0ZfO,timmy trumpet,Diamond Heart,0.798,0.9,0,-3.935,0,0.135,0.144,0.328,0.0819,0.72,154.993
Addiction (feat. KEL),7GgpGxQmLLLEPj1c556hdP,timmy trumpet,Addiction (feat. KEL),0.411,0.886,9,-6.337,0,0.0729,0.134,0.0403,0.0681,0.0638,115.862
All The Small Things,0acm2odfDKZzuRLrViBnTb,timmy trumpet,All The Small Things,0.483,0.943,0,-2.97,1,0.205,0.00173,0.000534,0.674,0.418,170.068
MF Mosh Pit,3f7mzXUVmgFYpy46Rv7XXR,timmy trumpet,Timmy Trumpet's SINPHONY No. 3,0.213,0.967,7,-5.426,1,0.151,0.000116,0.567,0.0919,0.111,172.901
Lola,1RZTCJ86yLSS1v6oK1DXgU,timmy trumpet,Timmy Trumpet's SINPHONY No. 3,0.43,0.928,7,-1.321,0,0.116,0.051,0.000422,0.179,0.277,149.93
