track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Because You Move Me,05GvwwTLLID738BbKN1ze0,Tinlicker,Because You Move Me,0.789,0.435,2,-9.506,0,0.149,0.691,0.0418,0.107,0.166,122.995
Hide U - Tinlicker Remix,5r43Rwy2cBKF6HQYIS41Bw,Tinlicker,Hide U (Tinlicker Remix),0.498,0.868,0,-6.863,0,0.0327,0.00149,0.113,0.139,0.126,123.979
Strangers (with Mansionair) - Tinlicker Remix,7nMhRQY2qk6TBfhb64UopK,Tinlicker,Strangers (with Mansionair) [Tinlicker Remix],0.588,0.975,1,-6.131,0,0.0446,0.00919,0.893,0.0905,0.025,123.99
Never Let Me Go,461Usqeu4aQSrkm36xPvqN,Tinlicker,Never Let Me Go,0.594,0.969,2,-6.632,1,0.0591,0.00886,0.902,0.0787,0.0427,123.987
Vanishing,2oQJB9BXfHzfX3jLFkop6W,Tinlicker,This Is Not Our Universe,0.708,0.523,2,-9.298,1,0.0318,0.0474,0.454,0.133,0.0568,125.005
Be Here and Now,3pWEQvQ99TVGmP3Ht7jQYL,Tinlicker,In Another Lifetime,0.561,0.63,1,-8.019,0,0.0344,0.108,0.178,0.134,0.0378,121.998
Come Back Home,4yAGUSWR2xzOEV0SLgBWZX,Tinlicker,In Another Lifetime,0.546,0.77,5,-8.565,0,0.0364,0.0122,0.927,0.14,0.0724,123.002
Out Of Touch - Tinlicker Remix,13ig972QATBESPeXuhTsoz,Tinlicker,Out Of Touch (Remixed),0.606,0.872,7,-5.783,0,0.0345,0.0352,0.837,0.0681,0.371,123.993
Hide U - Tinlicker Extended Remix,4lAGIM7txtIOKtzB0RKJ93,Tinlicker,Hide U (Tinlicker Remix),0.545,0.749,0,-8.036,0,0.0415,0.00328,0.613,0.0907,0.244,123.996
Paradise (ft. Saro),38Nzs84S96AZYiICQ1rjaV,Tinlicker,Paradise (ft. Saro),0.693,0.771,6,-10.197,0,0.0387,0.629,0.829,0.104,0.0417,123.014
Because You Move Me - VIP Mix,3oHVwd7algLocPL4SY62MO,Tinlicker,Because You Move Me II,0.688,0.941,2,-8.525,0,0.0492,0.00246,0.694,0.41,0.107,123.0
Bird Feeder,2ksrUHkaKkLU3t4qt1C6iY,Tinlicker,This Is Not Our Universe,0.532,0.813,11,-7.606,0,0.0365,0.0116,0.931,0.509,0.0378,122.994
Anthracite,3dmMyqDdULDoKFTgEqQ9QC,Tinlicker,Feld / Anthracite,0.391,0.794,8,-8.861,1,0.0427,0.026,0.864,0.0852,0.0662,122.982
Perfect Mistake,39xbjWMhqIpPZVT0V4uDSh,Tinlicker,Perfect Mistakes,0.549,0.954,1,-8.762,1,0.036,0.00444,0.852,0.11,0.0382,123.99
Nothing Without You,2n86VXvZ68L5muM1j3faIo,Tinlicker,Nothing Without You,0.525,0.781,0,-7.21,1,0.0506,0.172,0.748,0.204,0.103,123.94
Because You Move Me - Extended Mix,5evn5af0qETDoSwqfOWP7M,Tinlicker,Because You Move Me,0.883,0.371,5,-9.807,1,0.188,0.469,0.0163,0.109,0.145,123.054
Hypnotised,3o5P6TF0Gop8MiuuuTtttl,Tinlicker,Hypnotised / I Can Feel,0.671,0.912,10,-6.531,0,0.0391,0.00121,0.801,0.089,0.164,124.994
Sleepwalker,3Iq3oYSc1sDlerHlMDxkhk,Tinlicker,Sleepwalker EP,0.624,0.945,0,-4.814,1,0.0448,0.00059,0.916,0.107,0.201,123.994
Voodoo,5cGBQ9W3XtRuRQFgDklDrI,Tinlicker,Perfect Mistakes,0.558,0.834,5,-8.585,1,0.0366,0.00573,0.89,0.0987,0.108,123.998
Glasshouse (feat. Julia Church),1fUyoGJs0QM15YnBFUwOVb,Tinlicker,Cold Enough For Snow,0.544,0.949,0,-7.361,1,0.0336,0.0168,0.397,0.096,0.0394,120.0
I Want My Freedom,4JJyCkIjB5l1axC1p5X3uN,Tinlicker,I Want My Freedom,0.592,0.83,5,-6.902,0,0.041,0.0488,0.227,0.1,0.0892,119.992
Breezeblocks - Tinlicker Remix,07KAToiEVIKU7WvXkoTWQR,Tinlicker,This Is Not Our Universe,0.569,0.887,2,-6.477,0,0.0363,0.00219,0.0638,0.576,0.139,123.005
Fractal,5K5CvZolPrlzOIvo080rAI,Tinlicker,This Is Not Our Universe,0.535,0.883,7,-8.089,0,0.031,0.0144,0.853,0.127,0.0358,122.999
Need You,0LcN82PW3JQLCnyEQWAFs5,Tinlicker,Need You,0.637,0.837,2,-6.12,0,0.0372,0.0098,0.0296,0.129,0.0517,122.969
Tell Me,6gOR8xTSQWEMfEJa7r52k7,Tinlicker,Tell Me (feat. Hero Baldwin),0.758,0.7,8,-8.771,1,0.0351,0.135,0.177,0.442,0.0987,124.041
Soon You'll Be Gone,3HLpWJfoLc0f66eIgqXLlH,Tinlicker,Soon You'll Be Gone,0.597,0.862,9,-6.884,0,0.0397,0.021,0.885,0.209,0.169,122.998
Dream With Somebody,4SErnGGqWKWguljxnMNLg6,Tinlicker,Dream With Somebody,0.664,0.966,10,-5.222,1,0.038,7.67e-05,0.895,0.0694,0.0457,123.014
Fade Into Black,6iLmRyoQ1y7zVkWzmXL4nt,Tinlicker,Fade Into Black,0.604,0.805,7,-8.196,0,0.0324,0.0572,0.728,0.124,0.0758,122.989
Run Away,4l8fwDaGkOWJqvNacpcBTo,Tinlicker,Run Away,0.552,0.837,5,-7.825,1,0.044,0.0356,0.434,0.0982,0.0795,121.99
Rebirth,4Xz2mxHREzWiEr0AyCJuU6,Tinlicker,In Another Lifetime,0.541,0.911,8,-7.152,1,0.0556,0.0154,0.136,0.121,0.026,123.968
Soon You'll Be Gone - Vocal Mix,46X9WB1b42Wbtzqaw1MRbi,Tinlicker,Perfect Mistakes,0.622,0.897,7,-6.958,1,0.0406,0.00894,0.818,0.113,0.202,123.03
Light Beam,3ElJuZPmBGeyZotv1yrusW,Tinlicker,In Another Lifetime,0.543,0.835,7,-8.139,1,0.0337,0.000362,0.84,0.229,0.0809,123.967
Lost - Edit,6cpe4oNhyyo4i2LTDyudoR,Tinlicker,This Is Not Our Universe,0.546,0.851,5,-6.699,0,0.0363,0.00472,0.736,0.195,0.0393,123.989
I Am Free,1JRSuXtaM9ecKdwI91RjRa,Tinlicker,In Another Lifetime,0.548,0.839,1,-7.599,0,0.0338,0.0167,0.948,0.0557,0.403,125.001
God In You,5MMEBxm1mliJlMZnydNYMA,Tinlicker,God In You,0.514,0.959,0,-6.44,0,0.0462,0.00308,0.841,0.28,0.131,128.004
Just To Hear You Say,66F2eP3BZWCmQiycL0trAs,Tinlicker,In Another Lifetime,0.709,0.803,3,-5.863,0,0.035,0.102,0.924,0.197,0.342,124.001
