track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
De Bongo Man,4mxCb5HKGdXGTGFeh2nMTC,Toman,Dolce Far Niente,0.803,0.81,6,-8.235,0,0.0536,0.0021,0.916,0.0898,0.7,128.009
That Booty,46fdrYQJa82ispjCHmjgBb,Toman,Hello,0.827,0.741,11,-6.766,0,0.145,0.00412,0.721,0.0554,0.923,129.0
Una Y Nada,6RtwdJkzDf9STdYaOfDYYA,Toman,Una Y Nada,0.805,0.9,10,-10.053,0,0.0614,0.000354,0.788,0.0602,0.776,128.0
Ardent,6PMJy2z3LEYSWioHeuPM3E,Toman,Wax Collection,0.806,0.692,7,-12.514,0,0.0725,0.0195,0.941,0.0961,0.215,124.042
Don't Hesitate,4xyBiFKkZfJLzhPqWggDGr,Toman,Don't Hesitate,0.81,0.853,1,-8.206,1,0.0589,0.00067,0.799,0.065,0.607,127.012
Gamba Roja,22aZutH6h0j1S6rgm4d2xX,Toman,Gamba Roja EP,0.809,0.885,2,-9.849,1,0.0657,0.000496,0.908,0.0736,0.321,125.992
No Worries - Toman RMX,7IiDfdJCZGoSVYyACHWBFG,Toman,No Worries '22,0.808,0.758,6,-9.379,1,0.0477,0.00052,0.529,0.128,0.599,126.0
Whatudo,3qMGjDq22sEsBjASDujE7e,Toman,What U Do EP,0.801,0.802,4,-10.307,0,0.064,0.0489,0.91,0.0984,0.378,125.002
Libino - Cut version,6NNoiT1SzXcrELDfSQhPiW,Toman,Due EP (Cut version),0.756,0.997,11,-8.413,0,0.0622,0.000595,0.886,0.0261,0.594,126.028
Time - Cut version,1eFKNsUkezmlSaq4jxHgmj,Toman,Due EP (Cut version),0.664,0.943,9,-7.793,0,0.0467,0.0233,0.836,0.164,0.369,127.991
Sunshine & Ravioli,3fHKxHGiuf6d3QMdBEXLwL,Toman,Chevere EP,0.767,0.891,8,-7.099,1,0.0403,4.93e-05,0.904,0.0761,0.0645,126.019
Dolce Far Niente,4g8aJokyH1tEBAH1yAn7OO,Toman,Dolce Far Niente,0.745,0.966,1,-7.332,0,0.0432,2.63e-05,0.913,0.0625,0.164,133.994
Buenos Aires,2Q9mHTHguRyIy4FLtem2WM,Toman,Buenos Aires,0.782,0.818,11,-9.122,0,0.0509,0.0195,0.816,0.0397,0.896,131.552
Fantanized,4KN5RYadecTTLJBaFFwZ8N,Toman,Otopeni E.P.,0.81,0.933,11,-9.4,0,0.0615,0.000295,0.921,0.0648,0.723,126.007
Riddle - Toman Remix,5tMX6pIl7lgZCWGgvSRZLs,Toman,Riddle,0.809,0.825,6,-10.267,0,0.0567,0.00453,0.926,0.0971,0.257,127.005
Courtyard,0uwMH6cppEhY7YG64r5Adg,Toman,Dolce Far Niente,0.804,0.935,0,-7.086,1,0.0452,9.81e-05,0.926,0.0907,0.532,128.005
Am I Conscious,6WWAY2MrSEm9OF4GvIo3t5,Toman,Am I Conscious,0.802,0.908,4,-8.673,1,0.05,0.000224,0.937,0.118,0.34,129.998
Otro Mundo,6ES3m4pXpPQKIM4s2JqJCb,Toman,Otro Mundo,0.809,0.847,11,-8.304,0,0.0386,0.000197,0.925,0.0704,0.586,128.0
Be Heard - Cut version,3Xiv91Sd7eHbUk9xpeQs5z,Toman,Due EP (Cut version),0.679,0.951,9,-8.256,1,0.0413,7.37e-05,0.824,0.0988,0.326,131.998
Serendipity,7lehmNc8nwPSrknuUBa5eI,Toman,Timewriter EP,0.807,0.935,0,-8.794,0,0.0625,0.0238,0.918,0.0766,0.784,128.0
Surfin',3GIZoiACf33BbRt1Se2FHF,Toman,5 Years Of PIV,0.801,0.924,5,-9.276,0,0.0663,0.000982,0.916,0.0953,0.701,129.991
Split The Bill,4e3TLB0I6M22dqRfRqel01,Toman,Gamba Roja EP,0.809,0.849,11,-8.266,0,0.0531,0.000102,0.951,0.047,0.371,127.003
Good Old Sunny Day,5pRDEFfAlnliBSPoY1xRCK,Toman,Dolce Far Niente,0.75,0.88,0,-7.685,1,0.0504,0.00661,0.835,0.0949,0.319,132.995
Zerlon,3CYjramB0EgNqCkR90zIRO,Toman,Timewriter EP,0.807,0.798,9,-9.652,0,0.0688,0.000193,0.878,0.0907,0.376,129.028
Downtown,2kq6hvNpdexfDWr30fLOqd,Toman,Gypsy Girl,0.809,0.692,6,-9.424,0,0.054,0.0145,0.85,0.084,0.0928,124.992
Waves,0c2Vym7mAwmS4OVfeIcdI8,Toman,Waves EP,0.802,0.816,7,-8.143,1,0.0588,0.0433,0.881,0.062,0.355,125.001
Timewriter - Edit,1G3YaCMBEJD1M6MxR9VXho,Toman,Timewriter EP,0.801,0.891,1,-10.206,1,0.0625,0.00845,0.84,0.102,0.644,127.025
Boiling Point,1B1N71m5pRNACaD96qYuSL,Toman,Timewriter EP,0.808,0.803,6,-10.252,0,0.0534,0.000141,0.836,0.0708,0.879,127.998
Timewriter,1qVdm5I2rcLb69Rwrn9mQL,Toman,Timewriter EP,0.804,0.882,1,-10.418,1,0.059,0.00299,0.886,0.0871,0.499,127.02
Chevere,3hjYp8ZFlMGvcpof8rYwqs,Toman,Chevere EP,0.8,0.861,1,-8.855,1,0.0407,5.59e-05,0.895,0.0744,0.821,127.994
"Emotion - Extended Mix, Mixed",6yv7lK5s7custnmRgKlt0F,Toman,fabric presents Carlita (Mixed),0.805,0.931,6,-5.775,0,0.0488,0.00359,0.938,0.0637,0.539,129.004
Kilombito Mal (feat. Antonia Montero),4KEyvTU5LmxxyXw08bhnJ1,Toman,Kilombito Mal,0.797,0.887,1,-8.413,1,0.0562,0.00109,0.898,0.0441,0.153,129.006
Boiling Point - Edit,53blmaQQu1slY4xitqBlp7,Toman,Timewriter EP,0.807,0.805,6,-10.143,0,0.0559,0.000663,0.802,0.0829,0.861,128.005
Between Two Loves,69VbctbcE8OyynDcpEXLWC,Toman,Between Two Loves,0.645,0.635,11,-9.126,0,0.104,0.00892,0.622,0.116,0.415,121.001
Automatic,3MubfO5Ei8Pm1as7MLU2lg,Toman,Am I Conscious,0.8,0.951,10,-8.607,0,0.0495,4.08e-05,0.894,0.0402,0.891,132.004
Squares,5yHP9W2LWJLQf5UwyCldYX,Toman,Circles,0.814,0.687,6,-8.013,0,0.0555,0.000348,0.903,0.045,0.693,123.97
Taxi 244,0XOgILSysAjdwdy5Syjcua,Toman,Destino EP,0.848,0.569,8,-11.812,1,0.171,0.00189,0.921,0.104,0.54,128.011
Subtly,53ORvps15xI2TcG7Cyp7Hx,Toman,PIV ADE Sampler,0.811,0.674,8,-9.666,1,0.058,0.000252,0.897,0.0597,0.532,126.012
She Jazz,28ZUGDYjRkvynuY8RjNeym,Toman,Afterhours With You,0.81,0.94,1,-8.599,0,0.0612,0.000625,0.918,0.0449,0.717,126.021
Destino,0BSVuUDY1s3wCWpzYquJ2K,Toman,Destino EP,0.805,0.851,3,-11.48,0,0.0704,0.16,0.934,0.3,0.736,126.998
Feel For You,1fQfnFVV4NdusJZhhZbfP9,Toman,Feel for You EP,0.808,0.885,0,-9.291,1,0.0498,0.000145,0.911,0.111,0.49,127.008
Trinidad,2RGw4JFUGMvP12VWy1Nrge,Toman,Chevere EP,0.804,0.751,9,-9.365,1,0.0544,0.00435,0.908,0.0643,0.474,126.994
Moved By Me - Toman Remix,6vZxj4bWiiB81g78BUlBDB,Toman,Da Revolution E.P.,0.8,0.877,6,-8.907,0,0.0664,0.00013,0.922,0.105,0.73,128.036
Everywhere I Go I'm Haunted By Jazz,34YVTgtl8UfyRuElVxNDFJ,Toman,Am I Conscious,0.805,0.938,11,-8.785,0,0.0596,0.000189,0.863,0.0549,0.93,129.008
Serendipity - Edit,2ClFLLUlAaf6CM9EN3WHec,Toman,Timewriter EP,0.806,0.944,0,-8.921,0,0.0613,0.0623,0.908,0.0926,0.742,127.999
Triangles,6ZuqpFD6oFdortRGNbR3rF,Toman,Circles,0.806,0.559,0,-10.081,1,0.0501,0.000772,0.919,0.109,0.0622,123.011
Patience,5Api8qbxPEyk6ftLQgMEtX,Toman,Otro Mundo,0.815,0.806,7,-9.645,0,0.0514,0.000576,0.725,0.128,0.29,127.989
Solanas,3RK7ETsq1FRDM2FJyRxUZG,Toman,Solanas,0.816,0.835,9,-11.262,1,0.0513,0.000516,0.925,0.0695,0.263,121.013
Up The Crane,0h6Zff9kFuS5xpdimJJdA7,Toman,Destino EP,0.813,0.685,1,-10.257,1,0.0546,9.26e-05,0.917,0.07,0.302,126.041
Gypsy Girl,4Faek70r6YT51WckC52GII,Toman,Gypsy Girl,0.814,0.781,7,-8.803,1,0.0398,4.08e-05,0.939,0.0716,0.131,123.987
Sabelo,0AoLQdNODsjpVAFB6qI5Wm,Toman,Am I Conscious,0.792,0.898,9,-8.836,1,0.0443,9.33e-06,0.916,0.0516,0.885,134.011
Contigo,3Mm4Tt8ypRW8LOpSHYgiSo,Toman,Am I Conscious,0.811,0.762,11,-8.826,0,0.0477,3.29e-05,0.906,0.0778,0.499,124.0
Murmur,1hgUhzdxO4UbObyUoYdf6V,Toman,Broodrooster EP,0.816,0.798,1,-9.602,1,0.0534,1.8e-05,0.934,0.0961,0.397,125.005
She Got Me,78o2dv2oTAqVGNZ0p32CZg,Toman,Waves EP,0.808,0.924,1,-7.986,1,0.046,0.0122,0.933,0.0751,0.527,126.992
Destino - James Dexter Remix,1IiP8YYURze5bdG2pPJOz0,Toman,Destino EP,0.808,0.627,10,-10.548,0,0.114,0.000967,0.707,0.111,0.712,125.065
Patience - Archie Hamilton Remix,1ReDkkBh3Le1hbbYCuSu42,Toman,Otro Mundo,0.796,0.753,11,-9.296,0,0.0427,0.0165,0.916,0.0829,0.63,128.015
Sometimes Is Not Forever,4fCywaWXq9BQkYwh90X0RO,Toman,Otro Mundo,0.803,0.777,1,-7.882,1,0.0429,0.000617,0.854,0.0804,0.479,128.999
Otopeni,65agPmldOvvCVtvcY3T3Ac,Toman,Otopeni E.P.,0.812,0.913,1,-10.522,0,0.0447,0.000544,0.905,0.0998,0.802,127.008
House Brause - Toman Remix,0zzRPUfnwkfiFOlpKcsLQe,Toman,House Brause EP,0.787,0.914,10,-8.895,0,0.0545,0.00036,0.878,0.0718,0.733,126.987
Gamba Roja - Dimmish Remix,5MywAW33o57rxGbpmOEPSP,Toman,Gamba Roja EP,0.807,0.915,7,-8.978,1,0.0752,0.00416,0.905,0.0613,0.797,126.039
No Strings Attached,4q6QVvsU7gcBvtAX8RFVKZ,Toman,Afterhours With You,0.813,0.939,10,-8.345,0,0.0912,0.00309,0.938,0.0657,0.462,125.004
Cold Memories,0rMnRObRtph1DM38HjezZJ,Toman,Waves EP,0.807,0.884,7,-9.052,1,0.0567,0.00186,0.89,0.0653,0.333,127.01
Walk,6MvTiD35RxvNsKqUUk0RJU,Toman,Walk,0.867,0.648,11,-7.983,0,0.0434,0.015,0.881,0.0996,0.547,126.011
Moonwalk,1NSGWnyo47cPKBeA9OGXuo,Toman,Solanas,0.817,0.964,11,-8.312,0,0.0576,8.22e-05,0.934,0.0512,0.471,122.002
Madrugada,1VJok1jwKXkM53imqb9G4H,Toman,Madrugada,0.805,0.842,7,-8.523,1,0.0496,3.99e-05,0.917,0.0925,0.82,130.033
Locals Only,5kffOv4ABdBEakiJCYo9lV,Toman,Gamba Roja EP,0.811,0.836,1,-10.533,1,0.0683,0.000562,0.938,0.08,0.747,126.999
Slapback,4YTvto1lENai3cqgygHFOS,Toman,Broodrooster EP,0.811,0.737,6,-10.578,0,0.0659,0.00163,0.901,0.095,0.463,124.0
The Grind,5IrJDkmwQob7Msbx1FjRMJ,Toman,The Grind,0.81,0.859,8,-8.561,0,0.0582,0.0818,0.905,0.083,0.469,123.006
Groovin',3uoB4fu2QxOe9x6f61xXt7,Toman,Solanas,0.816,0.864,6,-11.206,1,0.0431,0.00107,0.912,0.0659,0.888,122.001
Afterhours With You - Felipe Venegas & Fco Martinez Remix,7LA7BQn1q7Mfy3dKF956fh,Toman,Afterhours With You,0.808,0.935,1,-7.765,1,0.0671,0.00538,0.892,0.0675,0.866,126.986
Emotional Closure - Toman Remix,1zwZHFXhTtRoF8thX4NJtm,Toman,"Current II (Remixes, Pt. 1)",0.804,0.805,5,-9.606,0,0.0554,0.0011,0.908,0.0683,0.593,127.997
Fantanized - LondonGround Remix,183YKUjhhnPWIJiaNoTv88,Toman,Otopeni E.P.,0.796,0.802,11,-10.082,0,0.0639,0.0689,0.946,0.0494,0.525,124.014
ZRH,157fPeDUytMLISFFrkxQn8,Toman,Gypsy Girl,0.808,0.75,10,-10.614,0,0.0595,0.0818,0.918,0.0738,0.692,127.992
Departure,3DLeuwx9v9wwB7Ez9QrmUs,Toman,Departure,0.811,0.74,11,-9.013,1,0.0753,0.0414,0.862,0.0749,0.0856,125.009
Le Premier,59FjO3rOlCsI4zAlPrrC85,Toman,ENDZ035,0.807,0.923,2,-8.12,1,0.0672,0.000154,0.921,0.0561,0.676,128.001
Lucid Dreaming,5ALTqvSUM4Ika72TlSV7uY,Toman,Lucid Dreaming,0.808,0.876,5,-10.009,0,0.0811,0.0364,0.925,0.11,0.212,124.999
Fever 105,69pICInp3ZLquchgSKsa9f,Toman,Broodrooster EP,0.808,0.77,1,-8.7,1,0.0509,0.00989,0.847,0.0525,0.353,124.989
Snowy Groove,2AK88bqT6dhwA7iEDQUMIw,Toman,Departure,0.813,0.799,7,-10.555,1,0.0648,0.00159,0.926,0.134,0.516,125.042
Better Is Weather,5GKtpFjcU9QupMS2ArGPzG,Toman,Madrugada,0.801,0.899,11,-8.637,0,0.0616,0.00109,0.9,0.046,0.966,131.027
Zerlon - Edit,4ViURHmZQyUbsia78tMtMJ,Toman,Timewriter EP,0.805,0.754,9,-9.475,0,0.0836,0.000457,0.864,0.0926,0.401,129.048
Hindsight Bias,7eSC4GTHB3ACP7lk51no6Q,Toman,Tamango Shots Vol.1,0.807,0.931,0,-6.55,1,0.0501,0.00152,0.947,0.0744,0.483,127.008
Vintage,50hCvMwVLg65RNkwHt9Nbx,Toman,Lucid Dreaming,0.81,0.679,6,-8.676,1,0.0552,0.000302,0.918,0.103,0.228,123.0
Enderman - Cut version,1XU5eReIsUuWLef14ovwbE,Toman,Due EP (Cut version),0.799,0.977,0,-8.566,1,0.0535,0.00507,0.91,0.092,0.868,130.012
Circles,6mSrv6yDGI7v3B7awKfZtd,Toman,Circles,0.814,0.82,1,-9.369,0,0.0583,0.000751,0.938,0.0926,0.453,124.006
Isolation Operations,2GU8CxHahuI76wNWWLu0gW,Toman,Isolation Operations EP,0.805,0.899,11,-9.177,0,0.063,0.000144,0.89,0.0692,0.703,126.003
Je To Jak To Je,5j1OPXM698k72lnBjpGe7c,Toman,Život Z Kostí,0.743,0.846,5,-9.101,0,0.557,0.337,0.0,0.135,0.773,180.073
