track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Shifting To The Source (Orchestral Mix),3lWVBIlfdpRhAH1ccayMp1,Toneshifterz,Shifting To The Source,0.459,0.71,5,-9.018,0,0.116,0.702,0.0195,0.329,0.186,74.988
Put Your Hands Together,0REpIQcFmrg80NLKnU2JNB,Toneshifterz,Shifting To The Source,0.619,0.92,1,-2.759,1,0.067,0.0038,0.249,0.0924,0.1,74.986
Define Yourself (I AM HARDSTYLE 2018 Anthem),67Cg4czbgiO1Hl8N4awQom,Toneshifterz,Shifting To The Source,0.562,0.915,8,-3.743,0,0.177,0.0124,0.0464,0.0997,0.242,149.965
Don’t Walk Away,71nSkqz1OzBZqDA8dwOp7U,Toneshifterz,Shifting To The Source,0.571,0.902,7,-4.115,0,0.0469,0.00384,0.00139,0.149,0.366,150.037
At Night,4Xfm5XUMN0ToiBJk3cOwtW,Toneshifterz,Shifting To The Source,0.551,0.922,10,-5.402,0,0.0587,0.0322,0.324,0.103,0.328,150.001
You & Me,3ABdiJjpTZReuuRQyanjry,Toneshifterz,Shifting To The Source,0.503,0.87,7,-4.569,1,0.049,0.0277,4.6e-05,0.184,0.399,149.923
Party Takes Me,7aIKo4P89FjMozXikBKZMJ,Toneshifterz,Shifting To The Source,0.558,0.995,1,-1.226,1,0.143,0.023,0.595,0.199,0.344,149.938
Before You Go,3GRVvOavyLw0gk3rVrKHTO,Toneshifterz,Shifting To The Source,0.585,0.913,9,-2.673,0,0.0462,0.109,1.1e-05,0.0829,0.21,149.967
Home To You,15tUnUaot59GVCjGOL7hFz,Toneshifterz,Shifting To The Source,0.63,0.954,5,-3.272,0,0.0473,0.0426,0.0193,0.0735,0.23,149.935
Shadows,5gd0ptBzJqqefBSfvF7lNQ,Toneshifterz,Shifting To The Source,0.707,0.93,0,-4.55,1,0.0612,0.0224,0.441,0.316,0.156,150.041
Become One,7MHb2ghlxhrnTBeDWbBIy7,Toneshifterz,Shifting To The Source,0.53,0.887,9,-5.235,0,0.0355,0.0205,0.00615,0.0924,0.251,150.012
Engulfed In Ecstasy,3tN1favTAEXAadxfygjNmG,Toneshifterz,Shifting To The Source,0.598,0.921,5,-4.883,0,0.0589,0.0573,0.0184,0.117,0.458,150.03
