track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Me & U,2n2PzAD3tIzxmJMI5sBBF2,Trace,Me & U,0.761,0.959,7,-6.559,1,0.0629,0.0166,0.753,0.294,0.856,125.006
"Bitch, Don't Kill My Vibe",7BDfhY395y8U4dZCiCoIYW,Trace,"Bitch, Don't Kill My Vibe",0.788,0.925,1,-6.041,1,0.0662,0.0211,0.465,0.14,0.721,128.014
Shake It,2juRJXaQq5vjUlyNO11U12,Trace,Shake It,0.793,0.987,1,-5.384,1,0.0497,0.0122,0.657,0.494,0.552,128.004
Selecta,6uH0UV20T1Ba38BJgcAjbL,Trace,Selecta,0.798,0.97,2,-8.168,1,0.0516,0.0177,0.422,0.0984,0.745,127.964
Gas Pedal,5s24ksyBUs153SriP1Vk8v,Trace,Gas Pedal,0.807,0.95,7,-6.765,1,0.082,0.0254,0.49,0.335,0.779,124.981
I Know - Original Mix,3IrQ2Rzp6t2UBfc1E8bAs8,Trace,Dhamar,0.799,0.807,7,-7.814,1,0.0759,0.00176,0.361,0.065,0.912,127.024
Formula,6PjKXOWRPKhXPUWJWuyFu6,Trace,Formula,0.77,0.845,0,-6.406,1,0.116,0.0223,0.674,0.298,0.839,126.991
Taka Doom,42qyBa2ID6T0tDiwyHcSuR,Trace,Taka Doom EP,0.804,0.918,7,-11.11,1,0.0599,0.064,0.847,0.0562,0.932,126.996
"Bitch, Don't Kill My Vibe - Extended Mix",69cPWyI1BgmGYysbxSRjid,Trace,"Bitch, Don't Kill My Vibe",0.803,0.922,1,-6.385,1,0.0692,0.00723,0.753,0.034,0.69,127.998
Heavy Shoulders,7jAruA22Cexq3Aiwy7cnx9,Trace,Heavy Shoulders,0.664,0.33,9,-11.015,0,0.173,0.109,0.0,0.0769,0.354,151.9
G.L.A.M,7snNRMbRJbe5E314uBlzq3,Trace,G.L.A.M,0.777,0.963,11,-6.139,1,0.107,0.00339,0.21,0.182,0.525,128.003
RIP To My Feelings,6O006yehRUETdQvxfCAVl9,Trace,RIP To My Feelings,0.764,0.64,0,-7.348,0,0.0307,0.409,0.0046,0.194,0.473,97.994
Snuff,7ITXuFo8BEtMssMs186ZDE,Trace,Birds (expanded & remastered),0.196,0.772,11,-10.305,0,0.0469,0.00183,0.902,0.133,0.436,199.66
Freak (Trace Remix),2qsE0aGKWoJoVBl8epsvGq,Trace,Freak (Trace Remix),0.734,0.887,6,-6.068,1,0.0882,0.0134,0.0912,0.0928,0.933,125.995
