track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
POLSKA JUMPSTYLE,2mShDoJYcOa4OdO2MFatxz,Vieze Asbak,POLSKA JUMPSTYLE,0.774,0.785,7,-5.224,1,0.161,0.0725,0.00247,0.109,0.594,155.019
Meet Her At The Love Parade - Slowed,3LD5vicyTecINUhjtUfpf5,Vieze Asbak,Meet Her At The Love Parade,0.791,0.987,0,-2.752,1,0.0466,0.00893,0.811,0.211,0.785,113.021
Meet Her At The Love Parade - Beuk Mix,3NwuKJXrxNNZ1xKCPUTxl4,Vieze Asbak,Meet Her At The Love Parade (Beuk Mix),0.807,0.928,6,-4.267,0,0.0449,0.00073,0.868,0.0735,0.458,139.987
SPIJKERBOM,3vK4A2BPFWDe4FatXwQhdN,Vieze Asbak,SPIJKERBOM,0.674,0.999,5,-0.237,0,0.266,0.0624,0.713,0.0549,0.0587,155.001
Ratata,26VuPU1V823QU6VjM1ZZEV,Vieze Asbak,Ratata,0.727,0.939,1,-1.931,1,0.276,0.00749,0.432,0.0845,0.62,180.03
Acid Plaat - Vieze Asbak Remix,0d5G5nGURKmw7SR9u1w1Br,Vieze Asbak,Acid Plaat (Vieze Asbak Remix),0.662,0.931,7,-5.389,1,0.201,0.00432,0.809,0.319,0.0396,169.988
Rookpauze 2,7M0HgBi7WvF7l1aGzN3Knh,Vieze Asbak,Rookpauze 2,0.518,0.984,7,-7.144,1,0.134,0.0194,0.00572,0.128,0.523,200.006
Zandstorm,0X2omypgHDOJJmPtblZlY2,Vieze Asbak,Vieze Asbak III,0.619,0.991,7,-1.163,1,0.0811,0.0483,0.885,0.0625,0.195,144.948
"TITS FLAT, KICKS FAT",3jmjD6kv8li2PzlMxPuzv6,Vieze Asbak,NO LONGER HUMAN,0.747,0.987,1,-1.359,1,0.134,0.0195,0.913,0.316,0.466,160.007
Pump This Party,3qyHsb6YR26Axy1t7CVZ2Y,Vieze Asbak,Pump This Party,0.688,0.986,7,-1.86,1,0.0415,0.000454,0.616,0.348,0.123,99.949
Countdown,7MmyrhFl0BNKeVhID9fPVi,Vieze Asbak,TOO FAST,0.684,0.996,2,-2.063,1,0.0669,0.00407,0.000375,0.0806,0.826,160.005
HEROÏNE,4geb6Mm0MUidqHPXr8xwit,Vieze Asbak,HEROÏNE,0.743,0.967,1,-0.058,1,0.369,0.0685,0.00386,0.0527,0.594,199.982
STOTENPAAL,7MMhoyvu4uHp3BHXHL75uq,Vieze Asbak,VIEZE BAAP,0.711,0.949,1,-6.058,0,0.0776,0.0965,0.814,0.686,0.237,149.993
Samson & Ket - Vieze Asbak Remix,5muuSv5LgvcXPLWvXObjhe,Vieze Asbak,Samson & Ket (Vieze Asbak Remix),0.783,0.925,5,-2.883,1,0.318,0.0268,7.45e-06,0.487,0.429,160.029
FC Horsepower,0exyChJR9xrhQlJDhpoioI,Vieze Asbak,FC Horsepower,0.575,0.991,1,-2.681,1,0.0689,0.00061,0.793,0.148,0.35,150.037
RAVEGENERATOR,4zOELwdkmFVcY0UXxhhEn6,Vieze Asbak,RAVEGENERATOR,0.642,0.947,6,-7.356,1,0.155,0.00595,0.442,0.0674,0.215,160.047
Techmozart,3L77IegrP2sOEpjt4aqHu9,Vieze Asbak,Techmozart,0.736,0.66,1,-8.516,1,0.09,0.0401,0.927,0.098,0.111,139.99
Vivacity - Vieze Asbak Remix,02Np3SsQShZXOzRtdNDfeB,Vieze Asbak,Vivacity (Vieze Asbak Remix),0.678,0.994,10,-0.488,1,0.112,0.00507,0.4,0.337,0.662,159.966
I Kiss Your Lips,00MDOq3cgr5pFQtJZ6gfCF,Vieze Asbak,I Kiss Your Lips,0.697,0.805,2,-2.054,1,0.085,0.00227,0.212,0.0947,0.391,164.957
Applause,4WXGBW0U9WvEHsQOdYqnwC,Vieze Asbak,Applause,0.577,0.985,5,-5.633,1,0.0428,0.017,0.847,0.19,0.119,165.076
Ameno,0kmWzly3fqBOFlVE39q7JT,Vieze Asbak,Ameno,0.801,0.511,1,-13.811,1,0.235,0.581,0.585,0.242,0.0839,149.973
Hardcore Power,5qKsOAdN4kftZiUTBEVozQ,Vieze Asbak,Hardcore Power,0.617,0.997,7,-0.13,1,0.118,0.0471,0.65,0.0663,0.299,160.023
ASBAK ANTHEM,6gXag9ON69aYPQW6YHGFfV,Vieze Asbak,ASBAK ANTHEM,0.6,0.999,5,-1.25,0,0.28,0.0787,0.726,0.195,0.106,170.052
Latin Gabber,0JNX08cECbnm1HHaMuytKL,Vieze Asbak,Latin Gabber,0.726,0.931,7,-5.652,1,0.295,0.0811,0.00461,0.0284,0.832,162.996
Pompen Met Die Subwoofer,5y6Lsv2tRiEbGK6y1bLef3,Vieze Asbak,Pompen Met Die Subwoofer,0.679,0.842,6,-6.801,0,0.158,0.0164,0.377,0.166,0.603,160.133
Bungelrave,658cX1xwwflgoUyLyKNmo0,Vieze Asbak,Vieze Asbak III,0.598,0.937,0,-5.684,1,0.0373,0.00842,0.824,0.163,0.154,139.993
Dinsdag,5EI94cNPh81RIh1NZy5qqR,Vieze Asbak,Dinsdag,0.943,0.642,5,-7.029,0,0.112,0.317,0.467,0.108,0.263,126.985
Lekkere Boterham,1xQ7uibzjdYQ0UsIKhdF5E,Vieze Asbak,Lekkere Boterham,0.66,0.904,5,-7.648,0,0.0948,0.0106,0.358,0.0691,0.475,155.004
TIMMERCLUB,1SPQgLQSzAsdBhYVpb70KK,Vieze Asbak,DOOMSDAY,0.713,0.991,4,-2.458,1,0.294,0.0408,0.795,0.58,0.0396,158.006
Muschi Muschi - Vieze Asbak Remix,0hOMl0UX0tkXj8EZwNOY0G,Vieze Asbak,Muschi Muschi (Vieze Asbak Remix),0.611,0.977,0,-1.419,0,0.0844,0.0125,0.278,0.0745,0.653,170.012
