track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Cyanide,37iVjhBGNBnxVSuF67TX0H,Viperactive,MINDFULL,0.584,0.898,2,-4.772,1,0.044,0.000495,0.497,0.163,0.14,140.0
One Time,2YnGM1dxvvqmr02WDDaGA9,Viperactive,Bout To Break,0.694,0.993,1,-0.945,1,0.0464,0.0151,0.435,0.169,0.875,140.018
Dead To Me,2Q4N4dG8jJegNGNgyToYaq,Viperactive,Dead To Me,0.483,0.994,11,-0.531,1,0.0796,0.000314,0.684,0.335,0.143,139.738
Throw It Back,6mjAMJjMb5FUvRFOyBLeKv,Viperactive,Throw It Back,0.687,0.965,9,-1.558,1,0.0419,0.000349,0.84,0.0761,0.196,139.988
Angels Crest,5OgGGCHu7nLEX31rSnqbOD,Viperactive,Angels Crest,0.633,0.987,1,-2.08,1,0.0433,0.00135,0.829,0.07,0.102,140.009
Set Me Free,1pSVHYdn6KP0ZNqD6hqtV9,Viperactive,Set Me Free,0.655,0.978,2,-2.038,0,0.0384,0.0037,0.278,0.11,0.279,130.009
In The Cut,4VaQSqvF2vX7vqv8f8HLRO,Viperactive,In The Cut,0.661,0.994,2,-1.67,1,0.0823,0.00169,0.907,0.184,0.231,149.045
Crazy In The Club,4OohwCzQCntVJTNvYSpipr,Viperactive,Crazy In The Club,0.631,0.961,1,-2.214,1,0.0575,2.24e-05,0.214,0.11,0.292,142.963
From The Dead,259YxXZ5TBS5JTujU2vaF3,Viperactive,From The Dead EP,0.724,0.915,10,-4.212,1,0.0575,0.0057,0.801,0.204,0.28,139.926
Night Owl,6Y1MgWD1GaACKpwmKPu12d,Viperactive,Night Owl,0.729,0.947,6,-1.017,0,0.069,0.0102,0.386,0.171,0.364,145.0
Heist - VIP Mix,7wrVO5IwAoz7oNCmRae3Aq,Viperactive,From The Dead EP,0.658,0.996,11,-1.937,1,0.177,0.00289,0.456,0.043,0.151,149.953
All Day,42x4TD1rj2wq3F91RKQ0DK,Viperactive,Bout To Break,0.65,0.979,9,-2.165,1,0.0441,0.00256,0.887,0.237,0.149,147.016
Poison,3PEGZzr4UkuBEL7fSBN00c,Viperactive,Poison,0.604,0.985,1,-1.169,0,0.398,0.00164,3.09e-05,0.345,0.352,139.761
In The Cut - VIP,7woUgOCaCOFChP9J84iqzx,Viperactive,The R♾️ts (Remixes),0.643,0.998,6,-1.091,0,0.217,0.00394,0.85,0.174,0.282,149.005
HITA,6JCrdaTOIDiOydph1ZfPP3,Viperactive,HITA,0.638,0.977,11,-1.192,0,0.0984,0.00866,0.606,0.237,0.347,149.996
Bout To Break,4bNrncBCRWlfSn3qCJGwGE,Viperactive,Bout To Break,0.55,0.931,4,-3.286,0,0.0506,0.00701,0.722,0.111,0.0575,160.007
Invane,5GXQKVMqoz4jBQA6Botohj,Viperactive,Invane,0.618,0.907,4,-1.131,0,0.0512,0.00778,0.00157,0.473,0.173,139.98
Underground,31w3Z3HpRMlQJX3nEQU9kF,Viperactive,Bout To Break,0.716,0.986,1,-0.278,1,0.181,0.0659,0.542,0.0971,0.337,140.026
Save Her,7zC55rVEUobZStMMa0AslH,Viperactive,Uncaged EP,0.667,0.597,5,-2.791,0,0.0465,0.00129,0.177,0.157,0.491,144.871
Stay,6VTbD5RClpG2CcMK9ZcO15,Viperactive,Stay,0.581,0.916,2,-3.082,0,0.0366,0.0528,0.00104,0.125,0.074,130.021
Rupture,6Oup6i5lm1xssamPvGVgrI,Viperactive,From The Dead EP,0.55,0.918,6,-3.584,1,0.21,0.0112,0.493,0.473,0.244,149.659
Get Low (feat. DJ Snake) - Viperactive Remix,4Gv5iFpss3u9BKalqRTGoH,Viperactive,"Money Sucks, Friends Rule (10 Year Remix Album)",0.572,0.995,6,-2.877,1,0.0559,0.00203,0.786,0.11,0.704,150.024
To The Point,3eGkQbM7ivrMiOn6iKB7dq,Viperactive,Uncaged EP,0.607,0.944,2,-4.09,1,0.426,0.0063,0.0315,0.105,0.059,145.012
Cabin Fever,1wKg9y4X4dYfZ9UGCMZnzD,Viperactive,Subsidia Night: Vol. 1,0.435,0.893,2,-1.145,1,0.0471,0.0704,0.0329,0.434,0.0493,150.027
HITA - Altierr Remix,7x91Xvy33kQ2nfnRkbk8xs,Viperactive,HITA REMIXES,0.637,0.992,0,-2.977,1,0.0619,0.00216,0.909,0.388,0.503,126.002
I Got That,0rvQQOEQQtvAbpwVaF1LJe,Viperactive,From The Dead EP,0.6,0.698,3,-4.827,0,0.129,0.0981,0.716,0.097,0.0485,113.557
Untouchable,4ckVQADKUzqlsZNyTppibw,Viperactive,Rated M,0.594,0.907,2,-3.434,1,0.242,0.0685,0.299,0.114,0.261,144.999
Heist,209jN8kMNBWoySoShmPtX8,Viperactive,Heist,0.646,0.979,11,-1.771,1,0.0762,0.00149,0.54,0.102,0.116,149.991
HITA - BVNISHED Remix,5YSPZMW4oOLJHtD8xt2sul,Viperactive,HITA REMIXES,0.567,0.948,11,-1.296,0,0.126,0.0691,0.417,0.232,0.162,150.066
Bleed,1YiUclu8wZRC4W0oBG4caQ,Viperactive,Uncaged EP,0.64,0.993,2,-1.697,1,0.054,0.000472,0.878,0.288,0.429,145.0
Bloodline,5F7Tx8yVZSmm2G4uNDvdrF,Viperactive,Bloodline,0.608,0.662,2,-3.689,1,0.328,0.0239,0.00501,0.101,0.349,149.926
Let It Drop,5Um8TGXpCsgQ8tuNbNhTcH,Viperactive,Uncaged EP,0.627,0.922,2,-0.939,1,0.0915,0.00323,0.375,0.456,0.124,150.001
Kill The Lights,3RNhybytdqZgITo1uhrDEP,Viperactive,Uncaged EP,0.601,0.97,10,-2.358,0,0.0962,0.000225,0.021,0.0977,0.512,149.975
X Games Mode,0hMZVJ7DS3at5Mou1eVHiH,Viperactive,Rated M,0.54,0.921,2,-3.66,1,0.198,0.00615,0.483,0.374,0.351,74.924
HITA - Soltan Remix,68Vbnj7Ge6LcF8PWo6HPG7,Viperactive,HITA REMIXES,0.665,0.994,1,-1.53,0,0.0736,0.00655,0.737,0.425,0.331,139.997
Rated M,74dJc6G5AasRGIlEitZ2QY,Viperactive,Rated M,0.681,0.584,7,-5.874,1,0.314,0.0266,0.57,0.46,0.124,75.055
Let You In,7a4HxrmJ3i4sm1LE5V3kP1,Viperactive,Let You In,0.737,0.936,1,-2.897,0,0.145,0.058,0.363,0.0967,0.496,150.041
Thrill,1Qiq5jhnxgo6e8VnbKUDfr,Viperactive,Thrill,0.671,0.874,1,-3.517,1,0.118,0.119,0.0288,0.0719,0.0884,149.726
Stay (Velvet),2pxbtMK8XcCwNyWURpkjiY,Viperactive,Stay,0.712,0.529,2,-8.431,0,0.0316,0.536,0.553,0.102,0.217,135.01
Follow Me - Original Mix,1cGRXSwVU7VOxB6Ke7H3N7,Viperactive,Issue 5,0.685,0.968,2,-0.889,1,0.245,0.0666,0.482,0.0675,0.246,149.991
Twelves (Risk Remix),4hYZq8zPwiDzUZJuRuBJlg,Viperactive,Twelves Remixes,0.631,0.986,2,-3.669,1,0.0795,0.003,0.627,0.328,0.355,150.037
Fallout,7Bwmomof4hj8EKIx0L2zyd,Viperactive,No Man's Land,0.625,0.831,5,-5.903,0,0.0447,0.00422,0.497,0.0919,0.234,150.097
Blood Money,0PZvYQPzkSqMnV2LHDnDc6,Viperactive,Blood Money,0.735,0.824,9,-4.65,1,0.27,0.00887,0.111,0.712,0.153,74.988
The Haunt,3k672j8kb6HqIWfVpzur21,Viperactive,No Man's Land,0.642,0.855,10,-5.506,0,0.253,0.00522,0.466,0.169,0.166,112.532
Base Jump,6YkBadkWvdfHV9v594gcba,Viperactive,Base Jump,0.677,0.994,3,-2.957,0,0.0844,0.00544,0.205,0.123,0.0869,149.916
Cursed,2vqHcPtcbVsXQXgZVJX3pU,Viperactive,Bewitched,0.47,0.834,11,-5.39,1,0.125,0.0613,0.108,0.14,0.296,143.463
Shots,3i0RSS7T2jh2AMJgqMwNyK,Viperactive,Fricks / Shots,0.58,0.95,11,-3.49,1,0.0559,0.00392,0.0755,0.793,0.18,145.043
Ambush,6ARlyd1SKq6OOsRpoPbbQO,Viperactive,Rated M,0.647,0.905,1,-5.735,1,0.383,0.0151,0.074,0.311,0.304,150.002
Riddim Machine Broke,6P23Z9W41ptShYC1XFIF8H,Viperactive,Bewitched,0.818,0.829,1,-4.107,1,0.0966,0.00584,0.0191,0.102,0.36,145.056
Problems,2VRrTVMKhzwJjEgXfgCvfa,Viperactive,Problems,0.648,0.758,9,-1.55,1,0.0775,0.331,1.6e-05,0.166,0.39,150.062
The Traitor,1szvgDeykgkPug4sxZFgie,Viperactive,Code Breaker,0.539,0.721,6,-1.562,1,0.21,0.00137,0.209,0.121,0.0803,149.91
Waste Away,5OcRUNlsjLfAOdwtLrdd88,Viperactive,Project Uncharted (Inspired by ‘The Outlaw Ocean’ a book by Ian Urbina),0.942,0.711,1,-2.304,1,0.0694,0.0401,0.00134,0.338,0.267,104.09
Every Night,3a9DX5T6Dwnf46tng2aS8H,Viperactive,Every Night,0.651,0.936,4,-1.176,0,0.0975,0.0189,0.589,0.155,0.135,75.007
Drown (Introduction),6zw4qEqmgd9JhnDVYxPMTk,Viperactive,Project Uncharted (Inspired by ‘The Outlaw Ocean’ a book by Ian Urbina),0.508,0.312,3,-15.417,0,0.0325,0.956,0.951,0.328,0.131,140.016
Twelves (VIP),6SYx8bJXMK09TtKoMJksYx,Viperactive,Twelves Remixes,0.596,0.977,2,-4.58,1,0.0611,0.00629,0.728,0.0968,0.532,150.002
Witch's Dance,7hpxFtmEq2lmjcxpXDi6FN,Viperactive,Code Breaker,0.898,0.648,11,-2.495,1,0.148,0.0041,0.641,0.359,0.168,140.014
Heretic,5ui0Kr0tZh3OPUzeTbV4dE,Viperactive,Heretic,0.574,0.861,5,-3.931,1,0.412,0.00164,0.352,0.39,0.298,159.851
HITA - n0zero Remix,1Ky6SMOUnKu3n1LyqZCbFo,Viperactive,HITA REMIXES,0.495,0.978,0,-1.36,1,0.186,0.0133,0.759,0.486,0.207,172.073
Right To Kill,1URxfkmD0Jcl6RDNE80n2W,Viperactive,Right To Kill,0.675,0.679,6,-5.465,0,0.0671,0.00279,0.393,0.0785,0.146,150.085
Backfire,5Z1QMt0N3lseEPaaJdC0zy,Viperactive,No Man's Land,0.666,0.917,2,-5.427,1,0.0697,0.0208,0.0579,0.137,0.153,150.017
Signal,0Ff9zhgxRrr7wEgs76v96P,Viperactive,Bewitched,0.516,0.944,2,-2.916,1,0.335,0.00861,0.00113,0.14,0.201,144.097
Uncharted,0zITPB3yw2aHlLrIKdnwqo,Viperactive,Project Uncharted (Inspired by ‘The Outlaw Ocean’ a book by Ian Urbina),0.662,0.923,1,-1.79,1,0.0878,0.0021,0.859,0.193,0.171,149.955
Something Heavy,1CJYc6qcwcs8VKISdz1orl,Viperactive,Something Heavy,0.464,0.887,5,-5.248,0,0.0803,0.000417,0.888,0.158,0.0965,112.504
Ode To Lazers,5XKlpOwT5rrbxSpvA3cdWM,Viperactive,Ode To Lazers,0.624,0.993,2,-2.705,1,0.119,0.0128,0.687,0.16,0.073,140.02
Code Breaker,485NLdBb5h8548WbxoGOpQ,Viperactive,Code Breaker,0.677,0.919,4,-0.903,1,0.327,0.0151,0.000423,0.637,0.077,139.959
Latchkey Kids,2oJGp9Qogn2Obqkxd548uQ,Viperactive,Latchkey Kids,0.612,0.97,5,-5.014,0,0.0418,0.00382,0.0104,0.362,0.528,149.997
Get Wet,7IT6QMv6qnDSqCjcEJ1D9J,Viperactive,Get Wet,0.663,0.981,8,-1.52,0,0.0767,0.0312,0.00372,0.498,0.824,130.0
Danger,7ltAEZnv315fDK3hUamsZJ,Viperactive,Knights Of The Round Table Vol. 4,0.556,0.872,3,-1.953,0,0.218,0.0567,0.000109,0.154,0.458,149.759
OG,4wLyVztmcrXCIM86m4AV9m,Viperactive,No Man's Land,0.423,0.696,2,-6.715,1,0.367,0.0263,0.00957,0.0868,0.145,140.687
HITA - BASSGALAXY Remix,1vZqZKSSkPlQeU4hFYpEPa,Viperactive,HITA REMIXES,0.474,0.997,11,-0.316,0,0.27,0.00693,0.0266,0.376,0.245,75.055
Hookup,7Iw9Ypam2Nkv7jyrQouAl6,Viperactive,Hookup,0.761,0.767,2,-1.876,1,0.213,0.191,0.615,0.606,0.24,74.959
Get To U - Viperactive Remix,7k4050sgCDyLv304RDbuxa,Viperactive,Get To U Remixes,0.568,0.872,8,-2.272,1,0.273,0.0097,0.32,0.447,0.319,174.037
Voyage,2dhic1OqyKAikMrQFHW7ic,Viperactive,Project Uncharted (Inspired by ‘The Outlaw Ocean’ a book by Ian Urbina),0.644,0.9,2,-2.01,1,0.0763,0.0629,0.69,0.363,0.0991,145.027
The Storm,3ipbReiUNykHmTUe5CefT1,Viperactive,Project Uncharted (Inspired by ‘The Outlaw Ocean’ a book by Ian Urbina),0.803,0.991,9,-2.747,1,0.34,0.2,0.672,0.246,0.233,103.981
Misfits,4C82p4VNuhXrMDHTKINkrm,Viperactive,Misfits,0.719,0.954,11,-2.628,0,0.377,0.0158,1.08e-05,0.271,0.242,130.031
HITA - Noise Complaint Remix,6p9cjcmCwcB8PrJhYNgSME,Viperactive,HITA REMIXES,0.716,0.951,9,-1.734,1,0.105,0.015,0.0119,0.129,0.327,130.005
Trying,2sU0oORGx39btCvsV9T3XX,Viperactive,Trying,0.685,0.938,5,-1.08,0,0.176,0.00155,0.00133,0.136,0.24,149.965
Take It Back,6aZMHgAwhQVNnYmoIvGIVo,Viperactive,Code Breaker,0.685,0.757,2,-3.14,1,0.0392,0.27,0.823,0.355,0.514,145.029
Get Yeeted,79sS5HthDY5VLEm3tdXri4,Viperactive,No Man's Land,0.643,0.704,2,-7.855,1,0.0961,0.0218,0.661,0.154,0.0691,150.03
HITA - JPKy Remix,4OcLq5RpaESgwjE7pu3AJs,Viperactive,HITA REMIXES,0.572,0.975,11,-3.688,0,0.124,0.0119,0.366,0.51,0.445,139.968
Rudeboy Soldier,6cuQHrCmTh2c42vDDbYOru,Viperactive,Rated M,0.582,0.975,2,-3.868,1,0.0656,0.0134,0.817,0.372,0.279,150.026
Hunted,6EIyrdCqBmDV2iF2cB4won,Viperactive,Hunted,0.646,0.996,11,-1.461,0,0.343,0.00286,0.0868,0.291,0.401,140.146
Bring Ya Murda,0hktJuF1RgNZXnwOsqZY3P,Viperactive,Bring Ya Murda,0.551,0.883,5,-4.559,1,0.137,0.00217,0.0398,0.316,0.376,149.858
Twelves (Krymsa Remix),7AioqMulE1vRvZSUbx6a8v,Viperactive,Twelves Remixes,0.689,0.836,10,-3.125,1,0.165,0.0507,0.185,0.098,0.359,75.178
Twelves (Tyraz Remix),24LRXwGU0txWvPlz41AWgG,Viperactive,Twelves Remixes,0.88,0.88,2,-6.56,1,0.0777,0.0105,0.774,0.0453,0.245,128.023
Twelves (BVNISHED Remix),1rTrutT2pO9zRZz4EBwGMF,Viperactive,Twelves Remixes,0.668,0.983,2,-3.278,1,0.364,0.00234,0.00879,0.319,0.701,149.892
Crisis - Original Mix,3KGTMsbutqUsqRxnCtTstT,Viperactive,Untapped Vol. 8,0.552,0.835,1,-1.864,1,0.357,0.0739,0.111,0.184,0.418,144.669
Reckless,7d7M0xSf9GVQZeJIGEgNRj,Viperactive,Reckless,0.564,0.915,1,-4.954,1,0.0401,0.00018,0.936,0.312,0.15,149.93
Fricks,52yiVe96c5P6rPoscRUNHv,Viperactive,Fricks / Shots,0.662,0.981,6,-4.042,0,0.0636,0.00901,0.0843,0.271,0.75,149.988
