track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Borg,3pXmEIRFqRBmJUUWT6j1ol,Virtual Riot,Chemistry EP,0.52,0.96,1,-4.514,1,0.27,0.0133,0.00137,0.0734,0.04,149.565
Wallmonger,1RgDgUyz0LmD6hXi5Rwkwa,Virtual Riot,Save Yourself EP,0.63,0.955,1,-2.268,1,0.102,0.00144,0.508,0.121,0.499,150.083
Nights On Fire (2024),3kuEaIlwAtcFvCw1WD1sB6,Virtual Riot,Stealing Fire,0.541,0.856,1,-3.813,1,0.037,0.0132,0.788,0.235,0.272,178.047
Nothing,2E5IP0OrSc1snoi34GgxxT,Virtual Riot,Nothing,0.507,0.942,5,-3.131,0,0.246,0.000665,0.496,0.261,0.366,149.874
How We Roll,3M8gHbzXAUMlAsKGeRaeWg,Virtual Riot,Disciple Alliance Vol. 6,0.378,0.924,11,-2.646,0,0.275,0.0139,1.38e-05,0.233,0.158,74.561
Throwin' Elbows - Getter & Virtual Riot Remix,5gKplc2VD2j7KDkYhxGFwb,Virtual Riot,Virus: The Remixes,0.409,0.879,11,-4.582,0,0.218,0.000239,0.0356,0.33,0.187,78.614
Lunar,3KdAUFpiqkuOJUmCfbjlV9,Virtual Riot,The Classics,0.367,0.798,0,-5.686,1,0.0542,0.00189,0.327,0.104,0.0381,113.483
RAVEN,6tk1LRABEXt2zygYj3jmPt,Virtual Riot,RAVEN,0.773,0.749,2,-4.55,1,0.0624,0.0654,0.000221,0.136,0.606,90.005
Fuck Gravity,7CU2gGLgHim3t2zx4S0BEV,Virtual Riot,The Classics,0.604,0.867,9,-5.161,0,0.0462,0.0746,0.432,0.0927,0.351,110.017
This Could Be Us,45PEs9rgK7Q4gcxwOsPM4o,Virtual Riot,This Could Be Us,0.526,0.896,3,-3.598,0,0.0455,0.000459,0.00102,0.119,0.424,150.075
Evil Gameboy,022tNTw3OO5e5vnKZBwnuh,Virtual Riot,There Goes Your Money,0.488,0.857,3,-4.377,0,0.293,0.165,1.74e-05,0.117,0.075,111.989
Simulation,1jtyxVkYi3WDDswiOXulx3,Virtual Riot,Simulation,0.68,0.904,10,-3.127,0,0.078,0.00792,0.371,0.256,0.704,144.903
REDLINE,2rAH5DmorvybHnY6wqFaIA,Virtual Riot,Simulation,0.684,0.993,10,-1.866,0,0.0977,0.00281,0.332,0.38,0.534,140.025
Pray For Riddim,3p23SEF1mvTwh4IW1dIX1p,Virtual Riot,German Engineering EP,0.678,0.832,1,-2.535,1,0.343,0.0022,0.174,0.236,0.152,74.992
Teardrop,5mWqBhE6m1qC8o7KTSyUjT,Virtual Riot,DRMVRSE,0.534,0.904,4,-4.968,0,0.0768,0.000433,8.65e-05,0.358,0.216,160.127
Blame Myself - ILLENIUM and Virtual Riot Remix,72srz1PlxoUUNiw6JcqaaI,Virtual Riot,Fallen Embers (Deluxe Version),0.583,0.922,5,-3.704,0,0.0716,9.28e-05,0.141,0.13,0.317,140.01
Pleasure Seeker - Virtual Riot Remix,3Jt8oGA1MOaoDNDOjobe8n,Virtual Riot,Phantasmagorical,0.657,0.868,10,-2.975,0,0.0579,0.0703,0.107,0.0979,0.34,140.308
Paper Planes,4bfjYn6kXbWBI3jnCjRgVq,Virtual Riot,The Classics,0.58,0.494,0,-7.587,1,0.0696,0.398,0.0482,0.105,0.43,175.083
Warriors of the Night,5SVWUrkhwUkdSJXa6qdrDg,Virtual Riot,Master of Shadows,0.735,0.92,2,-3.036,1,0.051,0.000634,0.186,0.394,0.453,150.0
Still Kids,2SFhJe79faMbb5fgEFJGg0,Virtual Riot,Still Kids - EP,0.655,0.663,0,-6.068,1,0.0479,0.219,0.00351,0.173,0.359,139.958
Need / Get,6sGtFDSyc1C7IzAfAZCZuk,Virtual Riot,Stealing Fire,0.715,0.979,11,-3.761,0,0.0744,0.0987,0.225,0.141,0.747,140.03
Believe What You Want,3sy4NoBaGDlu2cz4TsYs4r,Virtual Riot,Stealing Fire,0.648,0.909,11,-3.927,0,0.0941,0.0115,0.116,0.0826,0.524,150.093
In My Head,3omHpz9fmngYFdHDRLGeRZ,Virtual Riot,In My Head,0.708,0.713,11,-5.39,1,0.0657,0.0555,0.00389,0.32,0.264,101.999
Everyday,3zPaMD0hfE7wvmIQXcR8MO,Virtual Riot,Still Kids - EP,0.709,0.672,5,-6.886,0,0.205,0.405,1.55e-06,0.125,0.746,159.924
Preset Junkies VIP,2BfYVLbX9ZQuUvxzFjaczw,Virtual Riot,Preset Junkies EP,0.562,0.955,1,-3.067,1,0.152,0.000988,0.0371,0.419,0.46,112.263
Damage,4uwscfpPs3qMpswueaKISw,Virtual Riot,Damage,0.684,0.816,11,-3.658,1,0.262,0.00355,0.00112,0.112,0.613,173.958
Spacetime - Virtual Riot Remix,5VJuzCF7u2Q7G9hYvtd6f6,Virtual Riot,ANTIFRACTALS,0.626,0.895,4,-2.136,0,0.0785,0.0169,0.000352,0.285,0.4,144.97
WHILE YOU WERE SLEEPING VIP,2MX61zLIo9LohKn8cGTqY8,Virtual Riot,F*CK U SKRILLEX YOU THINK UR ANDY WARHOL BUT UR NOT!! <3,0.573,0.88,8,-4.325,1,0.327,0.0192,0.000325,0.368,0.92,150.02
MIRCHI TEST,6c1UuZY7krEHMqxogCkvAw,Virtual Riot,F*CK U SKRILLEX YOU THINK UR ANDY WARHOL BUT UR NOT!! <3,0.637,0.845,8,-4.916,0,0.174,0.00516,0.0209,0.593,0.851,79.463
