track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
No Room For A Saint (From F1® The Movie) - Walker & Royce Remix,6dECxGLLCMrntF12AslbNO,Walker & Royce,No Room For A Saint (From F1® The Movie) [Walker & Royce Remix],0.662,0.749,0,-5.107,1,0.0309,0.00905,0.524,0.23,0.327,132.0
Language - Walker & Royce Remix,1V3ospRPnuTsFL7FIemwF1,Walker & Royce,Imaginary Audience (Remixes),0.844,0.8,6,-6.475,0,0.0636,0.0249,0.276,0.0945,0.8,126.985
Death By Love,6YOg0daCavgHVBZ3u9hZWc,Walker & Royce,Death By Love,0.6,0.891,4,-7.498,1,0.0475,0.0257,0.502,0.295,0.321,133.961
Might Just,4SdpfVxKaLv2RGmhympsxY,Walker & Royce,No Big Deal,0.792,0.824,0,-6.899,1,0.062,0.0185,0.819,0.0659,0.0745,129.996
Feel The Vibe,4tYdBDmk4sUev0awbcO7Ma,Walker & Royce,Feel The Vibe,0.804,0.618,1,-6.47,1,0.0411,0.0186,0.679,0.0829,0.205,126.993
Need2Freek,4pWP8DtEO9037bdIAkVuMY,Walker & Royce,Need2Freek,0.827,0.738,1,-6.358,1,0.0414,0.00803,0.626,0.498,0.53,126.006
Na Real Sekele Fo'Ya - Escapade Edit,2F5ndth7ODtTzHC6X2JZb9,Walker & Royce,Na Real Sekele Fo'Ya (Escapade Edit),0.779,0.942,11,-5.761,0,0.0966,0.00476,0.0298,0.631,0.727,127.011
Can't Kill Me,3AXeYyaikTR4qOTWCGicSk,Walker & Royce,Daydream Accelerator,0.651,0.669,1,-7.175,1,0.0382,0.00992,0.0191,0.112,0.209,115.014
Diamond Therapy,5lSfq3EFWwD9yylL0zaqqj,Walker & Royce,Diamond Therapy,0.821,0.774,9,-7.384,1,0.176,0.00474,0.0143,0.0806,0.472,126.977
WORD,0oSWQjfe5dnRPbXQnZNJ4u,Walker & Royce,WORD,0.664,0.926,1,-5.519,0,0.0456,0.000917,0.244,0.0781,0.711,125.002
Rave Grave,2M72ge9OrR7muKhcBi509v,Walker & Royce,Rave Grave,0.795,0.797,10,-5.96,0,0.0634,0.00438,0.302,0.129,0.627,124.952
I Don't Remember,3ACGEHYrvkK5lfWtLLoFoi,Walker & Royce,No Big Deal,0.806,0.838,4,-5.304,1,0.172,0.0191,0.134,0.212,0.0382,128.013
Stop Time,0CYSRaY4zA6599oCMcuUxI,Walker & Royce,No Big Deal,0.693,0.866,1,-6.232,1,0.0328,0.0434,0.00293,0.284,0.105,127.963
Jetsetter,1ngjPnoeRNLB922MFkFUjq,Walker & Royce,Jetsetter,0.798,0.812,9,-6.658,1,0.046,0.00348,0.313,0.155,0.424,128.018
Cheap Thrills,744bD8ZdgYN8nDCEpwrsxo,Walker & Royce,No Big Deal,0.71,0.875,7,-7.642,1,0.0515,0.0469,0.032,0.135,0.579,131.078
Role Models (feat. OnCue),6XzBPwx4txJOFJYtXTF9Gw,Walker & Royce,Self Help,0.706,0.531,7,-8.391,1,0.0337,0.028,0.0132,0.221,0.143,125.991
Let's Live It Up,1AuKaXlrMy9KaHjyQKFpR4,Walker & Royce,No Big Deal,0.708,0.888,11,-5.547,0,0.0414,0.0748,0.721,0.344,0.64,129.016
Motivashun,5fqzAlhEUdPCWkLGiKajUU,Walker & Royce,No Big Deal,0.728,0.662,11,-7.981,0,0.0653,0.0505,0.541,0.0874,0.595,130.049
Run From Me,0jY0i6kA20ZrD4AhkcZZPG,Walker & Royce,Run From Me,0.802,0.966,9,-5.429,1,0.13,0.00859,0.0494,0.104,0.169,130.015
San Frandisco - Walker & Royce Remix,3ogoA6486sKGqRZN3xREW9,Walker & Royce,San Frandisco (Walker & Royce Remix),0.762,0.826,1,-4.868,1,0.0406,0.00154,0.731,0.137,0.314,125.996
The Biznes,5DCSFGxrLMYYio1NKPNEO6,Walker & Royce,Rave Grave,0.749,0.904,1,-5.184,0,0.0554,0.00546,0.545,0.0683,0.664,125.005
My Own Thang (feat. Sophiegrophy),29ilvf6QjSWKUFrkXKvWM5,Walker & Royce,Self Help,0.956,0.398,1,-8.748,1,0.168,0.00591,0.00126,0.0968,0.391,125.011
Take Me To Your Leader (feat. Dances With White Girls),5iasEuzsvhtbLNsgqHSmKH,Walker & Royce,Self Help,0.737,0.593,11,-7.715,1,0.0416,0.000923,4.87e-05,0.0962,0.862,125.008
No Drama,1MZmduhi0sK3RbF4cN3dbv,Walker & Royce,No Drama,0.8,0.94,10,-6.182,0,0.0606,0.0281,0.0105,0.0911,0.764,126.987
WORD - Chris Lorenzo Remix,2JB8ohu4iJ5MlFwHa80zQ4,Walker & Royce,WORD (Chris Lorenzo Remix),0.774,0.81,11,-5.999,0,0.0615,0.00104,0.56,0.0699,0.732,124.978
Why Tho,4DLq9phHDM7cPYUi3Tv0qo,Walker & Royce,Self Help,0.706,0.538,5,-6.652,1,0.0341,0.0762,0.872,0.105,0.348,125.011
Enthusiasm,5ELmVUYtJHWdLAq0YEwz8n,Walker & Royce,Enthusiasm,0.683,0.854,1,-6.586,1,0.0346,0.000591,0.872,0.0426,0.268,127.007
Get Down Down,3mDsBejOh9dfsD6IMX5TXU,Walker & Royce,No Big Deal,0.851,0.769,10,-8.62,0,0.0934,0.0279,0.403,0.13,0.694,128.021
Rewind It,4XOKwe8h0ZTOrweD1wnJqa,Walker & Royce,Rewind It,0.751,0.902,2,-6.136,1,0.0621,0.0537,0.567,0.293,0.817,126.987
Sunday,3vKjfQRF6ALjsuEaawof9W,Walker & Royce,Self Help,0.754,0.419,2,-6.581,1,0.0357,0.0951,0.874,0.083,0.0861,119.98
Bodies Do The Talking (feat. Sue Yenn),3EOC8Q2UdXB3UvEsPP9eok,Walker & Royce,Bodies Do The Talking,0.7,0.861,1,-4.668,1,0.0368,0.00392,0.239,0.0966,0.434,125.021
Iz The Shit,7fpJvGrtyhXgXVbObwNarG,Walker & Royce,Escapade,0.823,0.57,1,-8.455,1,0.0536,0.000357,0.84,0.0807,0.482,125.01
Rub Anotha Dub (feat. Green Velvet),5VWvT6fzwWlQByQF47jWQA,Walker & Royce,Self Help,0.709,0.787,0,-7.339,1,0.071,0.000718,0.633,0.527,0.642,125.993
The End Of The Lime,5zp5DIUxep46FoJizuh9d1,Walker & Royce,Enthusiasm,0.743,0.638,7,-6.252,1,0.0433,0.0346,0.854,0.0998,0.133,124.969
Playing Wit Ya,4TI1IiXI5cJetmw4Ayiurh,Walker & Royce,MYCELiUM,0.663,0.891,9,-6.04,0,0.0305,0.00986,0.00927,0.118,0.165,127.976
Fatalistic Groove,1dzgaxRdah1vzHERkGUbfF,Walker & Royce,No Big Deal,0.649,0.812,1,-6.313,1,0.0409,0.0188,0.0143,0.154,0.756,131.005
Diamond Therapy - VIP,2Mu2YlVCDCZ6VDnLEHIVG4,Walker & Royce,Diamond Therapy,0.8,0.863,9,-7.731,1,0.0909,0.000311,0.758,0.0883,0.806,127.005
All For the Gram (feat. Sophiegrophy),46rVtOMDrzfxghhYofq5es,Walker & Royce,All For the Gram (feat. Sophiegrophy),0.755,0.843,2,-6.054,1,0.0424,0.00214,0.00571,0.0618,0.135,125.994
Uh Oh,7DL9nhHJ9CqClHsCVolmjU,Walker & Royce,Bodies Do The Talking,0.784,0.679,1,-6.333,0,0.0448,0.000802,0.803,0.0858,0.545,125.988
Loaded - Walker & Royce Remix,2S3MuQLlYI6AuNoyRrvSJp,Walker & Royce,Loaded Remixes,0.85,0.738,6,-6.999,0,0.0734,0.00593,0.0915,0.0882,0.54,126.016
2 Tha Moon - Walker & Royce remix,7zTxkzmr7eUEgRbQTaqaEX,Walker & Royce,2 Tha Moon (Walker & Royce Remix),0.834,0.883,1,-6.566,1,0.0792,0.00219,0.798,0.0821,0.0612,127.996
Brazilian Soul (feat. Sofi Tukker) - Walker & Royce Remix,6tRFkzcnXn1xOCbrwBHOkc,Walker & Royce,Brazilian Soul (feat. Sofi Tukker) [Remixes],0.713,0.879,8,-6.913,1,0.0421,0.000161,0.35,0.0555,0.48,125.988
Love & Marriage (feat. Dances With White Girls),6IUygyHrGE7tptIG234W5N,Walker & Royce,Self Help,0.791,0.651,7,-7.319,1,0.0421,0.000745,0.00117,0.366,0.61,123.03
Could Heaven Ever Be Like This (Walker & Royce and Chris Lorenzo Remix) - Mixed,5cLZPXmA9P10lJYq6IoRbA,Walker & Royce,Ultra Records presents: U R House (DJ Mix),0.791,0.835,9,-8.03,0,0.0759,0.00365,0.0672,0.301,0.35,126.932
Role Models (feat. OnCue) - Walker & Royce Empty Bottle Remix,4ilNfpTU5VNpTcl0XfGgmI,Walker & Royce,Self Help Remixes,0.608,0.751,2,-7.044,1,0.0351,0.000712,0.406,0.11,0.348,126.016
Language - Walker & Royce Sunday Afternoon Remix,5gYHKbcOb3SjjsYkRfq8Tn,Walker & Royce,Imaginary Audience (Remixes),0.797,0.614,4,-7.22,0,0.111,0.0024,0.372,0.159,0.499,124.998
Can You Pass That? (feat. Mr. JPatt),3MkgtO2ODF4tYfViMIvi4L,Walker & Royce,Self Help,0.728,0.782,6,-6.36,1,0.0352,0.00246,0.578,0.0938,0.464,125.992
You're Not Welcome - Francesca Lombardo Remix,2LCX75vtvSBJaR7zzbniwN,Walker & Royce,You're Not Welcome,0.814,0.603,10,-9.684,0,0.0617,0.0119,0.299,0.112,0.707,124.018
Rise to the Sky - Original Mix,4sL0HtqjTRgRq5Kct4MHBL,Walker & Royce,"It Began in Africa, Vol. 3",0.796,0.779,7,-6.421,1,0.0369,0.000482,0.879,0.0822,0.646,124.991
Best Track Ever,52YFq8A06JYy5nwOyHIRVD,Walker & Royce,Self Help,0.873,0.526,8,-6.655,0,0.0649,0.0177,0.531,0.0975,0.551,124.992
Turn It Around,4yg9bdRP6UA2RUeskY9rbh,Walker & Royce,Escapade,0.797,0.645,11,-6.456,0,0.0401,0.00104,0.879,0.0942,0.41,124.981
Take Me To Your Leader (feat. Dances With White Girls) - Extended Mix,78IRuZTBYrxE5PJPD5Q33W,Walker & Royce,Take Me To Your Leader,0.78,0.515,11,-8.129,1,0.0439,0.000913,0.00394,0.0814,0.893,125.004
Could Heaven Ever Be Like This - Walker & Royce and Chris Lorenzo Extended Mix,6KNPvi68u8FT44s1hZT02j,Walker & Royce,Could Heaven Ever Be Like This (Walker & Royce and Chris Lorenzo Remix),0.823,0.775,9,-7.088,0,0.108,0.00392,0.091,0.0964,0.3,127.023
La La Land - Walker & Royce Remix,7zgnMl3u0AJB8C0mN4GRfQ,Walker & Royce,La La Land 2017 Unreleased Remixes,0.784,0.951,1,-6.565,0,0.0692,0.000143,0.12,0.0783,0.749,127.01
Tha Tea,5pCOAF2f8A0NQNjUtOXdT8,Walker & Royce,"No Big Deal, Pt. 2",0.723,0.829,7,-3.441,1,0.0778,0.0021,0.152,0.0766,0.653,87.49
Did You Mean It,1mkcXyueU2okXojZ2Mzmbl,Walker & Royce,No Big Deal,0.615,0.753,11,-4.889,1,0.0431,0.00304,0.444,0.102,0.747,86.983
Take My Hand (Walker & Royce Remix),6XF48DnOZae2M4V1ixqNHt,Walker & Royce,Take My Hand Remixes,0.74,0.829,7,-6.216,1,0.0437,0.00282,0.567,0.119,0.678,126.986
