track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2 Be High,2bmy7s8VuHTyWQB2cbansD,Warface,You Can't Stop The Movement,0.587,0.936,1,-6.07,1,0.0823,0.00145,0.661,0.667,0.309,155.028
2 Be High - Holy Priest Remix,5AasW9NXAJMfvun0XOLECt,Warface,2 Be High (Holy Priest Remix),0.629,0.925,7,-5.596,1,0.332,0.000107,0.787,0.377,0.131,159.949
HOOYAH,5AokLgh7SwrhLwXS9QZNZS,Warface,HOOYAH,0.31,0.934,7,0.2,0,0.0667,0.0158,1.4e-05,0.617,0.196,201.172
Release The Kraken - Sefa Remix Edit,1TbafpKeTekVYjgC6f2vCN,Warface,Release The Kraken (Sefa Remix),0.578,0.996,7,-1.767,0,0.144,0.297,0.406,0.539,0.401,100.008
FLYIN' HIGH,6UjTx1wIv9GuxMwyl1D6Q0,Warface,FLYIN' HIGH,0.492,0.95,11,-4.253,0,0.2,0.00107,4.08e-05,0.109,0.4,160.044
Cry Me A River,5qFM4UxTzNtzl402nUOQh4,Warface,Cry Me A River,0.513,0.962,8,-2.898,0,0.459,0.00521,4.72e-05,0.0951,0.216,159.904
Heart Bass,44i1tIz1Iq0iY7wLJ34FLo,Warface,Heart Bass,0.57,0.989,10,-2.093,0,0.11,0.0216,0.0358,0.465,0.385,155.04
I Need You,0t9ofbK0n9oXlcikIzKXUs,Warface,I Need You,0.582,0.906,11,-3.081,0,0.0811,0.019,0.000458,0.331,0.355,159.975
Sensory,74gECA67oUmYxdqTPNf93n,Warface,Sensory,0.61,0.968,6,-4.848,0,0.156,0.00421,0.137,0.33,0.492,154.981
Sky Fall,7cF9dl2GzashZuScE7BL7A,Warface,Rest In Pieces,0.618,0.893,1,-3.331,1,0.0934,0.00692,0.000348,0.541,0.4,155.116
REVELATION,76VDWzdfYhfv2S1nuOZTJY,Warface,REVELATION,0.496,0.996,6,-1.645,0,0.248,0.0111,0.000175,0.88,0.132,160.022
Robot Gangbang,4uiothMaLevwg9TmPCrJ45,Warface,Vengeance,0.598,0.989,10,-1.362,0,0.272,0.28,0.0862,0.115,0.137,100.013
Radioactive,5gvOmg1u7B3WxBjbHMd4lK,Warface,Vengeance,0.561,0.892,7,-5.485,1,0.145,0.127,0.0,0.0656,0.0742,154.992
Watch The Throne,36q3xASJ3gv2WKZmndmxmB,Warface,Watch The Throne,0.304,0.977,1,-1.504,1,0.44,0.0722,0.00216,0.192,0.158,173.95
Bloody Valentine,51MReGf6y2vyoAODSRt2H9,Warface,Bloody Valentine,0.568,0.92,0,-3.574,1,0.17,0.00266,0.0,0.283,0.218,154.87
Here Forever,6lbyFYjLKlV1gmKzDNsKpZ,Warface,Here Forever,0.517,0.965,8,-0.544,0,0.515,0.035,0.000589,0.0873,0.231,159.898
Control The Soul - Mutilator Remix,3AjtOmrRaBYUvJ3DQIoH5n,Warface,Rest In Pieces,0.599,0.981,8,-2.346,1,0.138,0.00162,4.21e-05,0.697,0.283,159.939
OOH LALA,0iSLjblXsl7VgS47ApVzZw,Warface,OOH LALA,0.657,0.936,1,-2.287,1,0.0987,0.0167,0.182,0.344,0.711,154.969
Obey No More,2hcXoiKBlf3eq9bsWyy8bh,Warface,Obey No More,0.556,0.87,4,-5.182,0,0.126,0.004,0.00109,0.11,0.325,155.012
Break Through This,27SOa2S12CfP76NUrWUUs5,Warface,Break Through This,0.427,0.963,10,-1.844,0,0.267,0.00143,0.0281,0.125,0.222,160.069
Anarchy,60PfZlelbusQETp115JdN6,Warface,Anarchy,0.559,0.995,10,-0.466,0,0.43,0.000479,0.00159,0.14,0.151,159.962
Come With Me,6vFEXiW7QPKGRardogdK6f,Warface,Come With Me,0.634,0.91,1,-3.029,1,0.195,0.0306,0.00105,0.225,0.659,159.978
Rave From The Grave,5hnmpL3XJwHP9McJ0RSkxl,Warface,Rave From The Grave,0.554,0.956,11,-2.006,0,0.22,0.00069,0.051,0.157,0.358,159.894
Fighting For,22JELf6p8cyWBDwa91e7pL,Warface,Fighting For,0.642,0.96,6,-1.792,0,0.238,0.0942,0.00321,0.365,0.462,155.007
Drilla Killa,5c5q9FQNfTJiuS3EuVG5xu,Warface,Drilla Killa,0.521,0.954,6,-2.004,0,0.257,0.000258,0.00321,0.356,0.253,159.782
CAN'T STOP US NOW,1b6GY4a7wAapD2hPCXbBbF,Warface,CAN'T STOP US NOW,0.406,0.966,11,-0.529,0,0.13,0.00565,0.0,0.363,0.0766,160.071
