track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Push,3C3fcJrotTD6XcfGrqXqwT,Warung,Push / Trouble,0.614,0.701,1,-8.585,1,0.0334,0.00531,0.884,0.108,0.179,132.0
Who We Are - Lufthaus Remix,4cGZ0rJqgcu3lyfqDtk308,Warung,Who We Are (Lufthaus Remix),0.546,0.836,4,-9.124,0,0.0373,0.0094,0.709,0.108,0.0382,122.99
Worlds Apart,43clOQYz4Jhr7AuU1hOS78,Warung,Worlds Apart,0.626,0.687,6,-10.418,1,0.0288,0.0203,0.84,0.138,0.19,120.015
Falling - Extended Mix,4zh3elC7imSd5TwrmOIhuq,Warung,Falling EP,0.68,0.615,11,-8.548,0,0.0465,0.00346,0.926,0.0633,0.403,116.016
Can't Hold On Forever,53fEFYicAKzQdnQJ9wsITE,Warung,Can't Hold On Forever / Body & Mind,0.56,0.857,8,-8.443,1,0.0428,0.00013,0.802,0.154,0.312,126.021
Luminescence - Mixed,3qaZvTCljx1ygXwCsPTxtz,Warung,The Anjunadeep Edition 429 with James Grant,0.648,0.798,6,-9.084,1,0.0355,0.0195,0.866,0.098,0.147,123.002
Overgrown (ABGT570) - Warung Remix,5J2OXnhv3en9vyGjb70f3N,Warung,Group Therapy 570,0.719,0.629,0,-8.543,0,0.0327,0.0209,0.272,0.638,0.172,122.021
Sinuous - Mixed,1CMTwR9SUdAwfgC5cgAxPY,Warung,Anjunadeep 12,0.662,0.859,6,-8.725,1,0.0399,0.0588,0.848,0.104,0.68,122.996
Don't Let Me Go,3auPISpqQ2aPT4NWKwbP81,Warung,Have We Gone Too Far / Don't Let Me Go,0.661,0.816,8,-7.217,0,0.0346,0.00578,0.153,0.169,0.526,123.991
Blue - Warung Remix,1yv6F6wvQD35ipZHBMzBXy,Warung,Endless (Remixed),0.587,0.905,10,-7.754,0,0.0319,0.0213,0.876,0.0808,0.469,124.992
Falling,7uvAleiaf45eK4FR1gZCnU,Warung,Falling EP,0.622,0.624,11,-8.877,0,0.0407,0.0429,0.96,0.125,0.374,115.998
Sinuous,6v6YqwH38kDXhTxPHGi1UN,Warung,Sinuous EP,0.68,0.865,6,-8.51,1,0.0425,0.0593,0.841,0.176,0.763,121.991
Who We Are,3vRA721uK5h75UqA2iLHbo,Warung,Who We Are,0.539,0.919,7,-8.918,1,0.0466,0.0178,0.333,0.0988,0.541,122.992
Melah,6R5Jt6T2VdICx21rwLudWa,Warung,Racing Heart,0.7,0.813,6,-7.738,1,0.0538,0.0155,0.921,0.124,0.316,126.006
Forget Your Name,60I0dA7p4sWt2Ha4X6ZmZs,Warung,Forget Your Name,0.714,0.888,6,-8.547,0,0.0429,0.0139,0.684,0.235,0.12,121.99
Body & Mind,5TDWIovyN3bpbw61jJogKs,Warung,Can't Hold On Forever / Body & Mind,0.569,0.772,5,-9.39,0,0.0326,0.0141,0.496,0.219,0.149,125.011
Ivory,32pRxA0qFQUsk4eokSQJnp,Warung,Ivory,0.376,0.665,6,-10.258,1,0.0507,0.0392,0.648,0.301,0.0366,123.27
The Truth - Mixed,4Gag1OOySJd1eJ9OT8Y7Vc,Warung,Anjunadeep 14,0.673,0.976,0,-6.877,1,0.0298,0.127,0.943,0.0913,0.911,123.475
Racing Heart,2xhvYeWoaWQNoOSAsuAz0Y,Warung,Racing Heart,0.699,0.634,2,-8.74,0,0.0329,0.1,0.309,0.103,0.383,123.042
Have We Gone Too Far,7AbyWTP7lTG28tVRw71aSj,Warung,Have We Gone Too Far / Don't Let Me Go,0.692,0.568,4,-11.303,1,0.0366,0.455,0.541,0.147,0.242,124.986
Java In Spring - Mixed,58CUm3JfwgY5yZ4lDMbvmz,Warung,"Colorscapes Volume Six - Mixed by PRAANA, Estiva & Modera",0.55,0.697,8,-9.411,0,0.036,0.0177,0.775,0.306,0.23,122.971
Something To Hold Onto,2dLalFrekRyApNXvMmgjn5,Warung,Something To Hold Onto,0.629,0.573,10,-12.112,0,0.042,0.231,0.283,0.195,0.31,122.015
Falling - Mixed,3cgQnd8iObeY4GTfRNLHuD,Warung,Anjunadeep 14,0.638,0.704,11,-9.689,0,0.0348,0.0128,0.923,0.0808,0.378,120.006
Overgrown - Warung Remix,7JJ4b1MfnD6vfJUVEef0Fe,Warung,About Us [Deluxe],0.778,0.509,0,-8.052,0,0.0436,0.0109,0.542,0.0654,0.315,122.016
