track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Win You Over (feat. Soak),7piA9DxQTCKwxXWOOK7zXZ,Whethan,Win You Over (feat. Soak),0.807,0.749,0,-5.519,1,0.0833,0.00488,5.17e-06,0.439,0.664,118.008
In the Summer (feat. Jaymes Young),0ooXt1AXI84i1j7jK7y9HE,Whethan,Fantasy,0.756,0.717,2,-4.96,1,0.0427,0.0013,0.258,0.305,0.393,120.018
SUNNYD,4vnauoJf6OYYU73jPUJbZa,Whethan,SUNNYD,0.649,0.746,10,-4.43,1,0.219,0.00324,0.000875,0.07,0.507,131.862
Freefall (feat. Oliver Tree),5VsZwt7AyePLXFrlHhMvoI,Whethan,Freefall (feat. Oliver Tree),0.559,0.674,7,-6.554,1,0.0552,0.00681,0.0,0.546,0.808,127.009
Sunshine (with The Knocks),2jokLd93nobhAlHcWiGusC,Whethan,Fantasy,0.795,0.877,7,-2.6,1,0.0796,0.0308,0.315,0.0573,0.773,122.035
Hurting on Purpose (feat. K.Flay),0YskQxkk79HIPJyuuIMb6P,Whethan,Fantasy,0.796,0.698,0,-5.867,1,0.0676,0.0162,0.00115,0.312,0.727,140.966
All In My Head (feat. grandson),2DuWtGyGAhc9GIhLCkerZH,Whethan,All In My Head (feat. grandson),0.747,0.932,9,-4.671,0,0.157,0.0225,0.0122,0.176,0.937,147.04
DANCE THROUGH THE NIGHT (with Norma Jean Martine),5jkmB5saGb5oQVEgVJK7st,Whethan,PULSE,0.641,0.796,0,-4.376,0,0.0768,0.0644,2.53e-06,0.319,0.671,126.121
"LOCK IT UP (feat. Yeat, midwxst & Matt Ox)",3LkWdvgrJtFuM0ZoXKPlpH,Whethan,MIDNIGHT,0.741,0.787,1,-3.653,1,0.0373,0.0114,0.0,0.261,0.296,122.978
High (& Dua Lipa),3dD9yyYTQ73SZvyOygyKva,Whethan,Fifty Shades Freed (Original Motion Picture Soundtrack),0.708,0.552,10,-5.552,0,0.211,0.0922,0.0,0.0541,0.686,147.839
Wallflower,7lfADuEexIpuP4EjO46eZW,Whethan,"Life of a Wallflower, Vol. 1",0.658,0.697,0,-6.682,1,0.0645,0.129,0.279,0.108,0.51,139.96
love gang (feat. Charli XCX),3jjUphDBlbPzWD3Ft3tya1,Whethan,love gang (feat. Charli XCX),0.602,0.859,0,-3.063,1,0.0761,0.122,0.0,0.357,0.628,137.065
Drumdown Mambo (feat. Jasiah),0ww5NVJt3quNKHp8Fn5wQK,Whethan,Fantasy,0.716,0.775,1,-1.584,1,0.121,0.0931,0.0,0.0677,0.322,91.077
Superlove (feat. Oh Wonder),0lchLc0vSyRRqKSPIkFtJI,Whethan,"Life of a Wallflower, Vol. 1",0.578,0.491,11,-8.544,0,0.21,0.203,0.000378,0.182,0.64,98.273
Clouds (feat. The Wombats),1vKhN4uPpLXW91qQ1Gu0z8,Whethan,Fantasy,0.572,0.711,9,-6.19,0,0.173,0.000644,4.79e-05,0.258,0.434,160.119
Let Me Take You (feat. Jeremih),2tVzoSuPQpZ1yY7HHnXw7B,Whethan,Let Me Take You (feat. Jeremih),0.75,0.752,11,-4.888,1,0.061,0.0408,0.0241,0.0981,0.528,127.007
When I'm Down,556l9P7WVZVyYUBjT1YFTT,Whethan,When I'm Down,0.827,0.769,7,-4.058,1,0.126,0.209,9.54e-05,0.091,0.491,93.986
Wave,4DejIFYUvkb0cgJBw6t8qR,Whethan,Fantasy,0.755,0.805,4,-6.443,1,0.0706,0.00209,0.029,0.683,0.318,134.91
Do You Feel Me?,2O7itneeXoILR304z8zzev,Whethan,Do You Feel Me?,0.656,0.547,7,-8.582,1,0.0392,0.0149,0.181,0.356,0.232,114.013
So Good (feat. bülow),27lqXB7rGJIUjMgL8j8BxV,Whethan,Fantasy,0.602,0.603,0,-5.265,1,0.0841,0.00421,0.00582,0.194,0.455,138.963
Radar (feat. HONNE),1WfMi7xvOti8F4dSf7atd9,Whethan,"Life of a Wallflower, Vol. 1",0.734,0.724,7,-6.935,0,0.165,0.0387,0.000772,0.303,0.501,101.967
XE3 (Whethan Turn),0uUQq7tP8upuBaN6cmQuqx,Whethan,XE3 (Whethan Turn),0.483,0.779,0,-6.188,0,0.171,0.0183,2.01e-05,0.317,0.199,73.961
Savage (feat. Flux Pavilion & MAX),0kD586ste6xyDRqUYhVlCh,Whethan,Savage (feat. Flux Pavilion & MAX),0.679,0.662,7,-5.861,1,0.0773,0.151,0.0,0.376,0.365,90.054
Good Nights (feat. Mascolo),08Kj0lvbsqAxzeUOBYZRL6,Whethan,"Life of a Wallflower, Vol. 1",0.849,0.483,6,-7.114,0,0.291,0.443,0.000141,0.0786,0.282,101.015
Stay Forever (feat. STRFKR),3N80kyacf7jzzOkYgLKW3q,Whethan,Fantasy,0.554,0.835,5,-4.699,1,0.0334,3.34e-05,0.832,0.0912,0.0649,117.932
Get Nasty (w/ Rico Nasty & Whethan),5l9IES7aHrrjA1yStzXaVW,Whethan,Get Nasty (w/ Rico Nasty & Whethan),0.587,0.978,8,-1.553,0,0.122,0.0014,0.0,0.21,0.657,135.096
Enemy,6qbDaweRAmUpXmQfJyX1Xd,Whethan,Enemy,0.721,0.504,6,-3.544,0,0.0474,0.306,0.0,0.116,0.0723,140.005
Sleepy Eyes,3EMp6kj0bAkU7OYh1Lh3fA,Whethan,Elohim,0.608,0.736,6,-6.7,1,0.165,0.051,0.0,0.215,0.489,97.038
Cruise Control,61svLjB9BCjdtkUtqbDSXp,Whethan,Cruise Control,0.588,0.784,11,-5.994,0,0.0599,0.155,0.00153,0.181,0.374,150.038
Can't Hide,7CotyU8EcChJlqOFnxPPmI,Whethan,Can't Hide,0.61,0.69,2,-2.656,0,0.0911,0.0422,6.62e-05,0.166,0.318,179.944
Be Like You (feat. Broods),1zRdhBRqRnMSLkZTODa5OL,Whethan,"Life of a Wallflower, Vol. 1",0.677,0.492,1,-4.764,1,0.0597,0.118,2.52e-05,0.0844,0.166,83.962
Sensations (Whethan Remix),6v7ocxFjUmVqV2CES0PlZY,Whethan,Sensations (Whethan Remix),0.699,0.832,5,-4.324,1,0.0378,0.166,0.00395,0.318,0.176,109.964
Swag Surfin',4orH1YqyAjXBtBr0DfsqjV,Whethan,Swag Surfin',0.728,0.845,2,-5.264,1,0.089,0.00582,0.0293,0.262,0.344,144.038
SLUT ME OUT 3 (feat. Carey Washington),7FCsancbnLoZrmL6bX6Yti,Whethan,SLUT ME OUT 3 (feat. Carey Washington),0.809,0.827,11,-4.211,0,0.0454,0.0164,0.0,0.313,0.793,117.976
Summer Luv (feat. Crystal Fighters),5YPfFN0EsuvOgisgC4tzBq,Whethan,Summer Luv (feat. Crystal Fighters),0.404,0.661,4,-5.751,0,0.361,0.0982,5.01e-06,0.532,0.523,206.228
It's Strange (feat. K.Flay) - Whethan Remix,1siY7GK7TPPCyA2mIWi9qM,Whethan,It's Strange (feat. K.Flay) [Remixes],0.66,0.529,1,-8.814,1,0.0751,0.492,5.17e-05,0.237,0.17,91.893
All In My Head (feat. grandson) - Saint Punk Remix,3rA7rTcsdoTLscBvTFUqbj,Whethan,Fantasy: Remixed,0.782,0.745,11,-3.587,0,0.29,0.00164,0.00284,0.0592,0.517,128.124
Upside Down (feat. Grouplove),5SRbCgZtJwjql6ITCrRmeV,Whethan,Upside Down (feat. Grouplove),0.51,0.748,2,-5.955,1,0.0776,0.00964,0.00163,0.161,0.327,164.982
MENTAL (feat. Slump6s & glaive),1eh7z9iR3RFDYWfcd8g8EK,Whethan,MIDNIGHT,0.597,0.895,5,-2.31,1,0.18,0.0984,0.0,0.298,0.563,145.037
Summer Luv (feat. Crystal Fighters) - Chrome Sparks Remix,66orPRle7aNvH8EtXroPr6,Whethan,Summer Luv (feat. Crystal Fighters) [Chrome Sparks Remix],0.61,0.727,7,-6.976,1,0.0604,0.00282,0.00721,0.34,0.259,103.992
DON'T WORK LIKE THAT (feat. Kamiyada+),61SWw9J74R6vITEz7tpaw4,Whethan,MIDNIGHT,0.623,0.797,7,-5.621,1,0.182,0.00495,5.31e-06,0.473,0.404,139.969
Body,18WGlC1D3rEIQCtudHRMHg,Whethan,The Party Never Dies,0.615,0.851,8,-5.02,1,0.0508,0.000658,0.0854,0.0497,0.575,140.024
EVERYONES DEAD ALREADY,6E7Q0eCeRW9mSsuRKFcjaA,Whethan,EVERYONES DEAD ALREADY,0.325,0.778,11,-4.443,1,0.0482,0.000192,0.0,0.353,0.191,74.933
COMPLICATED (feat. aldn & 8485),3dKd0adfI8l6tKfoLsuaJ1,Whethan,COMPLICATED (feat. aldn & 8485),0.563,0.8,5,-4.053,1,0.0565,0.0136,1.05e-06,0.175,0.211,124.171
Hurts (feat. Louis The Child & Whethan),30Z12rJpW0M0u8HMFpigTB,Whethan,Hurts (feat. Louis The Child & Whethan),0.747,0.56,5,-7.086,1,0.0494,0.169,0.0,0.55,0.351,129.019
NO PLACE IS TOO FAR (feat. Whethan & Selah Sol),0kzuyl0Tclw5F8Xn3zqj5L,Whethan,EXISTENTIAL DANCE MUSIC,0.679,0.675,5,-5.462,1,0.0783,0.516,1.71e-05,0.529,0.445,128.015
THINK YOU RIGHT (feat. ericdoa & glaive),6cK1xNtn2du31wECBULTfU,Whethan,MIDNIGHT,0.582,0.697,0,-6.042,1,0.0364,0.00835,0.0,0.115,0.366,127.974
MONEY ON THE DASH - Marlon Hoffstadt aka DJ Daddy Trance Remix,2BeoGYw46Le2cYafiZwxOr,Whethan,MONEY ON THE DASH - Marlon Hoffstadt aka DJ Daddy Trance Remix,0.676,0.935,10,-6.34,0,0.0653,4.31e-05,0.815,0.0325,0.784,150.984
MIDNIGHT (feat. Magsy),0bPhfWBE2GC4h9FOuvaGDL,Whethan,MIDNIGHT,0.62,0.768,7,-5.173,1,0.0454,0.0119,3.97e-05,0.258,0.637,167.998
Warning Signs (feat. Kevin George),2AT7i3bONwPIN19pXJDO21,Whethan,Warning Signs (feat. Kevin George),0.722,0.722,2,-4.139,1,0.0647,0.0153,0.00101,0.131,0.635,130.955
Make You Mine,5deGcgsjJIE6t0veH4rLdU,Whethan,The Sun Comes Up,0.823,0.628,11,-6.078,0,0.0902,0.118,0.00417,0.129,0.717,125.006
Ocean Energy (with Mr Gabriel),5JhPbo2a1K1nGhdZQSYXnE,Whethan,Fantasy,0.618,0.815,1,-6.035,0,0.0851,0.00909,0.000467,0.398,0.375,115.036
Fall Out Girl,67wsvppF1DTqzhMZqJY8qd,Whethan,Fall Out Girl,0.737,0.727,5,-5.006,0,0.0652,0.0479,3.54e-06,0.0852,0.723,139.886
I Miss You,2rdenwiGenT4xciBAMaGFX,Whethan,"Life of a Wallflower, Vol. 1",0.599,0.889,0,-6.225,1,0.0368,0.0823,0.466,0.163,0.0697,118.039
Top Shelf (feat. Bipolar Sunshine),0c2r4R6A5eSz1yqrSvMkmj,Whethan,"Life of a Wallflower, Vol. 1",0.646,0.836,0,-7.479,1,0.0405,0.00358,0.00203,0.275,0.307,126.911
Outta Here (with RL Grime),5uRUkGvfFkQ0iN7Y3ia5Gt,Whethan,Fantasy,0.567,0.824,9,-3.414,0,0.0395,0.000501,0.873,0.0653,0.142,132.014
Do You Feel This Way (feat. Whethan),5p0UXw8VPvtgGEgBltcIwU,Whethan,Do You Feel This Way (feat. Whethan),0.687,0.551,6,-5.212,0,0.0708,0.536,0.000195,0.101,0.147,142.009
Never Die - Whethan Remix,0mYabHTWvNoirzERcAVX17,Whethan,Diplo Presents Thomas Wesley: The Mixtape,0.708,0.858,9,-4.822,0,0.0401,0.000409,0.00978,0.168,0.188,127.989
2 MUCH (feat. Jasiah & KA$HDAMI),3DcTajdSnowQvIsZwy4FJt,Whethan,MIDNIGHT,0.56,0.738,0,-7.192,1,0.054,0.105,0.0,0.473,0.693,159.92
Together,6EKii07Q5FPgd5LVmvtqK4,Whethan,"Life of a Wallflower, Vol. 1",0.675,0.776,4,-7.421,1,0.291,0.0191,0.000172,0.567,0.472,121.938
So Good (feat. bülow) - NGHTMRE Remix,797YyB5fr2CwkaR2bRHc2e,Whethan,Fantasy: Remixed,0.373,0.833,11,-6.712,0,0.0575,0.00123,0.417,0.0781,0.104,143.751
All I Needed (with The Front Bottoms),50DzhcK8JvPZL2rnZsR3mn,Whethan,Fantasy,0.694,0.668,0,-7.973,1,0.048,0.000393,0.319,0.0912,0.792,128.031
HOW I FELT (feat. Reo Cragun),1pG6XBkC1Gjpe2bDaTXfWn,Whethan,MIDNIGHT,0.526,0.534,7,-5.434,1,0.0439,0.00548,7.98e-05,0.304,0.0881,161.02
Freefall (feat. Oliver Tree) - Tchami Remix,3VswnlwZN8u6V31hc0SEPm,Whethan,Freefall (feat. Oliver Tree) [Tchami Remix],0.74,0.579,7,-10.489,1,0.0762,0.0316,0.698,0.477,0.453,126.991
Sleepy Eyes (RAC Mix),18xuj0ejXDctHmvhvm4eBZ,Whethan,Elohim (Deluxe Edition),0.716,0.68,6,-5.472,1,0.0587,0.551,9.01e-06,0.111,0.652,97.046
Takeoff (with Whethan),52EweGUbcCO6o0pKY9B9hi,Whethan,Candy II [Beat Tape],0.699,0.856,2,-6.678,0,0.175,0.0055,0.796,0.163,0.395,144.058
Hurting on Purpose (feat. K.Flay) - Biicla Remix,2ZGQIj9e02EkzGG6nbbPFu,Whethan,Fantasy: Remixed,0.747,0.544,0,-4.648,1,0.344,0.386,0.0,0.365,0.361,129.975
Upside Down (feat. Grouplove) - Flux Pavilion Remix,2Fx7hVFDxGOIOM3urzxORR,Whethan,Fantasy: Remixed,0.568,0.557,2,-8.479,1,0.033,0.0425,0.00748,0.299,0.251,110.051
Wallflower - MELVV Remix,3FhzUK2kAWH2bFImnlvkSc,Whethan,"Life of a Wallflower, Vol. 1 (Remixes)",0.717,0.581,2,-6.854,1,0.21,0.0053,0.738,0.219,0.225,129.963
Radar (feat. HONNE) - SAINT WKND Remix,3XAU3a1PpYLue56JqooCmh,Whethan,"Life of a Wallflower, Vol. 1 (Remixes)",0.709,0.538,7,-11.698,0,0.261,0.14,0.000453,0.12,0.429,108.017
Freefall (feat. Oliver Tree) - MEMBA Remix,0CBzNO4QwQk5hoBs6ppNvB,Whethan,Fantasy: Remixed,0.626,0.801,4,-6.347,0,0.042,0.00406,0.147,0.582,0.354,146.091
Hurts (feat. Louis The Child & Whethan) - MELVV Remix,4as7eTJa0bhYePQ2AwWy9c,Whethan,Hurts (feat. Louis The Child & Whethan) [MELVV Remix],0.7,0.776,0,-4.157,1,0.0628,0.144,0.0,0.167,0.333,129.006
ROOM IS ON FIRE - SPED UP (feat. AG Club),6g0udemkVLKozZnrZFBWU8,Whethan,ROOM IS ON FIRE - SPED UP (feat. AG Club),0.765,0.714,6,-5.568,0,0.264,0.0659,0.0571,0.116,0.878,75.023
MONEY ON THE DASH (Mixed) - Armin van Buuren Remix,1YDgjwITkGXVnwAn5tg2VB,Whethan,A State of Trance Year Mix 2024 (Mixed by Armin van Buuren),0.522,0.971,11,-5.982,0,0.054,0.00202,0.52,0.343,0.853,140.988
Superlove (feat. Oh Wonder) - Chet Porter Remix,4UtOosm8TERNRosp4Wcmf6,Whethan,"Life of a Wallflower, Vol. 1 (Remixes)",0.343,0.705,0,-6.008,1,0.0366,0.143,0.00843,0.0978,0.163,121.901
Drumdown Mambo (feat. Jasiah) - Hekler Remix,4IzYlLcpOs6hYZAwGa80om,Whethan,Fantasy: Remixed,0.72,0.801,5,-2.014,0,0.0701,0.126,1.64e-05,0.407,0.185,89.981
love gang (feat. Charli XCX) - Danny L Harle Remix,3jfGW6jzCtGDqnFVovfbch,Whethan,"Life of a Wallflower, Vol. 1 (Remixes)",0.452,0.944,0,-3.45,0,0.0854,0.0222,1.11e-05,0.305,0.381,159.955
Stay Forever (feat. STRFKR) - Midnight Kids Remix,4MAIvQuFtCirmzwG6AnQXh,Whethan,Fantasy: Remixed,0.44,0.688,7,-5.446,0,0.037,0.0685,0.887,0.132,0.115,119.901
Fighting For You,7L71jX5uDYFXBCVCvZzb9D,Whethan,Come True,0.76,0.769,5,-6.822,0,0.0292,0.0718,0.0731,0.0856,0.556,126.975
Intro (with Chrome Sparks),1wnNgc3OmbtRsXBoCdQErn,Whethan,Fantasy,0.776,0.699,10,-6.783,0,0.259,0.0954,0.694,0.371,0.763,180.111
