track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Back To U,19m23w2ANVhtB7rApM6pbN,William Black,Back To U,0.586,0.499,4,-6.627,1,0.049,0.645,0.0,0.109,0.272,149.79
I Wish (feat. Skylr),7FKemQbQrVPZOMrkoW67Po,William Black,I Wish (feat. SKYLR),0.532,0.582,0,-6.267,1,0.0373,0.809,0.000172,0.109,0.232,79.981
Glimmer (William Black Remix),0k1MoS7hoODnEIROQRad8I,William Black,Glimmer (William Black Remix),0.43,0.761,7,-5.076,0,0.0407,0.0129,0.00221,0.224,0.0489,99.995
My Own Advice,76K4ShMg2oDyw6VfKeabB8,William Black,My Own Advice,0.422,0.611,7,-3.837,1,0.0576,0.0781,0.0,0.241,0.195,93.23
Lie,7IrW6S7QoOCIfK4Ivn7prQ,William Black,The Nature of Hope,0.524,0.861,10,-4.443,0,0.0678,0.0608,0.0,0.103,0.648,159.961
Deep End,1UtRBq2n0IlQNA1WI3axWX,William Black,Pieces,0.63,0.706,5,-5.989,1,0.0289,0.0991,0.0,0.119,0.215,114.028
Stay,10C3H7jfxvrWnGoLeXylvl,William Black,The Nature of Hope,0.519,0.618,7,-5.11,1,0.0313,0.456,0.0,0.133,0.0896,75.066
Straight Into The Ground,01HgVS08pxNO7CZGoeeBXa,William Black,The Nature of Hope,0.442,0.699,5,-4.868,1,0.042,0.32,0.0,0.101,0.251,145.237
Save Me,4JqlKqjoVqGpmC0oAZHJdC,William Black,Save Me,0.577,0.763,7,-5.428,0,0.0505,0.1,0.0,0.125,0.226,137.98
In The Cold,3BajuGMCYm9PJaVOPYCN47,William Black,In The Cold,0.587,0.782,11,-4.932,0,0.0398,0.0169,5.59e-06,0.367,0.292,116.973
Real Life,7wOnbrHLoWR0Ifh5swXzIJ,William Black,Pieces,0.503,0.709,2,-6.204,1,0.0418,0.204,0.0,0.124,0.255,149.953
On My Own,7JiWFKym2XX7vgQDt0uUmB,William Black,On My Own,0.468,0.744,7,-6.097,1,0.087,0.015,0.0,0.0946,0.188,149.651
Stay - Afinity Remix,0G49KEMyEwf8pDfrpzXE3e,William Black,The Nature of Hope Remixes,0.465,0.48,7,-6.678,1,0.0325,0.486,1.06e-06,0.135,0.191,150.099
Don't Look Down,6NIdLv8heyXjKYj1LwuiqR,William Black,Pieces,0.583,0.629,7,-7.013,1,0.0453,0.195,0.0,0.128,0.279,143.916
Remedy,0UTuVzQv9wDnzFAZnEJgc4,William Black,Pieces,0.441,0.823,11,-3.55,1,0.0836,0.118,0.000116,0.143,0.347,156.77
Wish I Could Forget - William Black Remix,4cDt111m1lza60RxflHUoA,William Black,Wish I Could Forget (William Black Remix),0.647,0.938,2,-2.9,0,0.0416,0.0124,0.0,0.129,0.224,139.953
Only One I Need,6RSg9UdBiLzqqCGb2h1KBJ,William Black,Only One I Need,0.554,0.637,1,-3.716,1,0.0319,0.512,0.0,0.12,0.183,142.057
Need You Now,6OzRF5Oqmsb1Ec1sMKY4g7,William Black,Pieces,0.588,0.719,10,-6.897,1,0.035,0.639,0.0037,0.113,0.149,128.981
Whiplash,4P9yQ3aInRsEYdiU2yUNh5,William Black,The Nature of Hope,0.628,0.732,1,-5.367,1,0.0459,0.0737,0.0,0.138,0.249,98.005
Closer Than You,0G5N8E8nEQXtlnxi2Xfrj3,William Black,Pieces,0.501,0.505,10,-6.428,1,0.0284,0.098,0.0,0.112,0.227,149.916
Keep U Warm (ft. Jordan Shaw),15OBV0oLTxJvXQtIhBSOCZ,William Black,Keep U Warm (ft. Jordan Shaw),0.58,0.772,0,-5.294,1,0.0465,0.165,0.0,0.0922,0.423,139.942
Broken,2yg53XBaQDtIk6hYT2VFSD,William Black,Broken,0.49,0.828,1,-4.374,1,0.0379,0.0265,0.0,0.149,0.31,170.049
Butterflies,0Rz2MaUfMUkWZR6jbhtRkP,William Black,Butterflies,0.563,0.72,3,-4.194,1,0.0384,0.173,0.0,0.213,0.263,145.085
Take Me,6hh8nY4fmUxAlDrKk5m89u,William Black,Take Me,0.48,0.752,4,-6.004,1,0.177,0.00908,3.49e-05,0.117,0.34,159.992
Deep Blue,3lzmoZIPWJxew5Tjyi715j,William Black,Pages,0.564,0.722,11,-5.453,1,0.0444,0.566,1.26e-06,0.323,0.244,150.042
Drown the Sky,6s3lekI5yHpDaOWa3QTI8b,William Black,Pages,0.499,0.714,5,-5.057,1,0.0366,0.257,0.0,0.105,0.243,144.913
Superhero,1dVn0YP06AMySJXG6hdC55,William Black,Fallen Embers (Deluxe Version),0.607,0.868,8,-4.328,0,0.111,0.0226,7.71e-05,0.128,0.523,171.934
Haven,7tQyxRUBcy0XVZbATedxBU,William Black,Pieces,0.536,0.786,0,-4.205,0,0.0376,0.0583,0.0,0.104,0.344,149.999
Would You Even Know,07FMnItEdDXZ2WAgNR9n6a,William Black,Would You Even Know,0.505,0.804,6,-2.514,1,0.0438,0.109,0.0,0.124,0.253,95.924
Beautiful Nothing,0x5j3PoYG2Hex2bUrbBX3v,William Black,Beautiful Nothing,0.519,0.765,0,-5.734,0,0.0441,0.021,0.0,0.217,0.402,145.011
Whiplash - Nikademis Remix,4pwP7hEjpxkpJ80URytPsg,William Black,The Nature of Hope Remixes,0.533,0.804,10,-4.164,0,0.043,0.00324,0.0,0.106,0.246,97.995
I’m Fine,0vjM6S5UDxcIFmCWyAamid,William Black,Pages,0.66,0.653,2,-6.152,1,0.0526,0.19,2.71e-05,0.117,0.159,137.991
Fallen (feat. Desiree Dawson) (WILLIAM BLACK Remix),7eurOgoz8MJB50prrw3Sv5,William Black,Fallen (feat. Desiree Dawson) (WILLIAM BLACK Remix),0.578,0.678,0,-8.206,0,0.0666,0.143,1.3e-06,0.143,0.237,145.021
Coming Home,32zfVcHlNGals2P9RE3OuU,William Black,Universe,0.374,0.746,1,-5.953,0,0.0988,0.384,0.0262,0.168,0.109,170.123
Potions - William Black Remix,1Iu6eWkJUCiOpzuMdZyqnN,William Black,Potions (William Black Remix),0.56,0.568,0,-8.666,0,0.0394,0.428,6.21e-05,0.114,0.197,150.088
Shadow,2xM1e6A3g5Fuu2plNKnIx6,William Black,Shadow,0.47,0.731,9,-7.098,1,0.0527,0.0907,0.0,0.0837,0.226,80.043
Back Together,0cATFfzPijFdBYXs1nCNeZ,William Black,Pages,0.537,0.697,1,-4.58,0,0.0385,0.134,0.0,0.104,0.228,144.013
Want It All,1T2qSCk276omxQQmvuOsiO,William Black,The Nature of Hope,0.44,0.774,4,-4.381,0,0.0443,0.00778,1.12e-06,0.54,0.144,166.258
Wasted On You,42vKl66sQeXUnUEflHc00k,William Black,Universe,0.61,0.572,9,-5.74,0,0.0438,0.275,0.000942,0.0917,0.24,145.02
Only Reason,7ftFQzHnWKnXaiIPOr2gkt,William Black,Pieces,0.311,0.709,5,-5.408,1,0.05,0.162,0.000753,0.126,0.257,175.176
You're Not Alone,4idjrwbfYRg5QlqJqdBQyT,William Black,You're Not Alone,0.545,0.827,10,-4.856,1,0.0351,0.0537,0.000478,0.135,0.111,95.028
Worth It,3myvDJZeKHu5j5uBedmdrW,William Black,Pieces,0.54,0.791,2,-3.788,1,0.0811,0.311,0.0,0.122,0.491,139.87
Last Forever,13aVHTuCpXuVkucrdNe1w7,William Black,The Nature of Hope,0.581,0.752,2,-4.629,1,0.0524,0.227,0.0,0.265,0.488,140.031
Senses - William Black Remix,5hGYKVDhsLtE44UDpfN3Kb,William Black,Contact,0.599,0.693,8,-8.273,1,0.0753,0.203,0.121,0.102,0.181,144.94
Eyes Closed,0nGL495Yd34Hc1inWF3hWm,William Black,Pieces,0.536,0.701,8,-5.95,1,0.0448,0.164,2.66e-06,0.0856,0.215,149.996
Deep Blue - Nurko Remix,3XiXQ42tLgjSL1QkfLJZQ5,William Black,Pages (The Remixes),0.567,0.506,11,-7.477,1,0.0544,0.302,3.25e-06,0.129,0.196,142.01
Lost - William Black Remix,7g2zJC8JmpZF2vcXjZOHOe,William Black,Lost,0.594,0.806,8,-8.878,0,0.276,0.0738,0.000909,0.115,0.259,144.891
Here at Last,624VRzAvMV5uJRDYXD0f1g,William Black,Here at Last,0.485,0.707,11,-4.326,0,0.0442,0.449,7.1e-06,0.11,0.207,144.984
Good Things Fall Apart (with Jon Bellion) [William Black Remix],7vZqILkKnaX40eUhDSbU06,William Black,ASCEND (Remixes),0.59,0.615,11,-6.068,0,0.0357,0.062,0.0,0.0874,0.189,143.965
Daydreamer,3bToEljuzvsBFBd0smEDBx,William Black,Daydreamer,0.554,0.87,8,-4.229,1,0.0583,0.174,0.00124,0.117,0.159,149.933
Miss It,0hbN9TsZ5c0XMIQEjjK2v8,William Black,Pages,0.553,0.722,0,-4.971,0,0.0394,0.0515,0.0,0.114,0.267,150.063
Shatterproof,5u4swRwMpaURxHbz8yUrlN,William Black,The Nature of Hope,0.376,0.872,5,-4.135,1,0.0433,0.000789,0.0,0.269,0.131,90.067
Ready,47JWtQ56jHLGsBOqRbQYBC,William Black,Between Broken,0.336,0.666,2,-4.828,1,0.0478,0.00507,0.0,0.265,0.179,79.834
Bleed 4 U,115T2Jelthbr7rakBNS8gk,William Black,The Nature of Hope,0.528,0.632,5,-5.354,1,0.0364,0.108,7.41e-06,0.225,0.334,170.085
Higher Now,3xbuwiGmqqAJWLuDzYSGd5,William Black,The Nature of Hope,0.408,0.864,1,-4.605,1,0.0634,0.0523,0.000217,0.124,0.308,123.54
Back To U - Matrix & Futurebound Remix,04gpFR5gsNonaD6nLu5ync,William Black,Back To U (Remixes),0.533,0.919,4,-3.395,1,0.0477,0.000404,0.185,0.525,0.23,173.972
Dying Day,0gcjkpVvxEcfC0nw3UjmPr,William Black,Pages,0.616,0.682,7,-7.212,0,0.0857,0.253,0.0,0.0817,0.246,150.052
Enemy,7wVlESY6jLiNI9uSZl4Dh0,William Black,The Nature of Hope,0.621,0.686,1,-5.324,1,0.0485,0.116,0.0,0.0968,0.35,140.982
I Wish (Tofû X Yetep Remix),1eQ24sRLax6dNVAUtmBJzm,William Black,I Wish (Remixes),0.436,0.609,0,-7.111,1,0.032,0.19,0.00723,0.179,0.121,159.952
My Own Advice - Midnight Kids Remix,3FsOn2oHiVLBGd5Dsyv8Bz,William Black,The Nature of Hope Remixes,0.513,0.668,7,-4.535,1,0.0396,0.301,0.0,0.142,0.105,110.039
Spirals - William Black Remix,3QJzHLuI4vd1dBmLCBnbmO,William Black,Ashes (Remixes),0.546,0.72,10,-7.237,0,0.0409,0.327,3.27e-06,0.0993,0.287,139.861
On My Own - REAPER Remix,44gnnTPX5fNRCY99mV0kCb,William Black,On My Own - REAPER Remix,0.519,0.917,9,-3.363,1,0.157,0.00456,0.000112,0.115,0.54,174.033
Hallucinate,15jsuop5pK7UZiYpBOHViI,William Black,Hallucinate,0.58,0.835,9,-4.779,0,0.0523,0.017,0.000406,0.132,0.277,97.913
Letting Go,5vxkGuOIA3cRus3NsyGNnH,William Black,Letting Go,0.479,0.696,4,-4.407,1,0.0442,0.496,3.28e-05,0.148,0.207,140.093
Back To U - Mazare Remix,3iZBDmN8wZxj6mLmNMxnPZ,William Black,Back To U (Mazare Remix),0.469,0.763,4,-3.323,1,0.0605,0.136,0.0,0.304,0.486,176.188
Back To U - Fairlane Remix,7ein09aBamuYxrJyiTWOaT,William Black,Back To U (Fairlane Remix),0.583,0.76,4,-6.156,1,0.0378,0.0976,0.0,0.158,0.368,75.004
