track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Down Low - YDG Remix,20iODoi8eZUC1sBS5C01GF,YDG,Down Low (YDG Remix),0.522,0.931,10,-2.585,0,0.0859,0.268,0.0137,0.206,0.356,145.069
Burnt Rice (feat. Yung GEMMY),2S4N7RYlhHr1vWadDaleuJ,YDG,Burnt Rice (feat. Yung GEMMY),0.717,0.9,1,-2.326,1,0.0559,0.0528,0.203,0.0726,0.906,159.999
Go Back (feat. Julia Church) - YDG Remix,4ASH49SxktKD1YzIbqUP0N,YDG,Go Back (feat. Julia Church) [YDG Remix],0.548,0.868,7,-1.258,0,0.0423,0.314,2.22e-06,0.144,0.233,145.052
Symphony of Death,23Ewtzf4i4WS69UgQGLvmF,YDG,Symphony of Death,0.604,0.978,11,-0.082,1,0.253,0.0261,0.676,0.33,0.354,144.852
CRUSH (YDG Remix),65CEeKOpCmi0LwONLXIGGj,YDG,CRUSH Remix Pack,0.544,0.882,9,-4.429,0,0.107,0.346,0.11,0.119,0.115,139.918
Hyphy,0hv4T3BAQngJdgVz5nx4Hs,YDG,Hype Or Die: Nightmares,0.514,0.905,11,-3.716,0,0.0635,0.000145,0.165,0.457,0.18,75.054
All For Me - YDG Remix,3PQyUnys3YOJsfypLPKtkB,YDG,All For Me (feat. HRVY) [YDG Remix],0.503,0.813,8,-4.777,1,0.0686,0.17,1.45e-05,0.136,0.289,144.985
MAGIC (feat. babyidontlikeyou) (YDG Remix),1eu0xqqylNqm82Bb9BwyX5,YDG,MAGIC (feat. babyidontlikeyou) (Remixes),0.547,0.937,6,-2.287,0,0.248,0.055,0.000158,0.33,0.415,139.968
Let's Go Back,4Lm5hfdEAxyzbTzaEejcx5,YDG,Let's Go Back,0.664,0.93,11,-0.154,0,0.0677,0.000338,0.0669,0.687,0.271,72.504
Bad Boys - BARELY ALIVE & YDG Remix,6jtoRAs2bc8ppl5sW1aMPl,YDG,Bad Boys (BARELY ALIVE & YDG Remix),0.707,0.989,9,-1.461,1,0.129,0.0149,0.0457,0.304,0.162,140.043
No Mercy,6bhRyUYwuVC5uddHVP3zb0,YDG,No Mercy,0.595,0.982,1,-1.204,1,0.0632,0.00141,0.134,0.366,0.293,149.936
Lose Control,1E6meFZ4yDVstks1aK5SUa,YDG,Lose Control,0.382,0.965,0,0.652,1,0.256,0.004,0.00134,0.542,0.184,145.368
Echo,5MTVFDootgaqUVyUourtIf,YDG,Echo,0.63,0.923,10,-1.172,0,0.0438,0.0115,0.504,0.278,0.184,145.054
Cash Out - YDG Remix,6ewgmx37XRRI3WZgtUbEEY,YDG,Cash Out (YDG Remix),0.609,0.981,11,-3.181,1,0.0713,0.00561,0.000312,0.12,0.0564,139.997
Diamond,3G3oGZa8nfjofmhXokFbtU,YDG,Diamond,0.811,0.84,10,-2.289,0,0.286,0.284,0.0,0.137,0.681,145.006
Loving Me,7CCaLsJgZDFWJqD58LM2HM,YDG,Loving Me,0.358,0.804,5,-4.253,0,0.0504,0.0563,0.000599,0.112,0.208,144.688
