track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
CRUSH (Dr Donk Remix),77TzWWoisvN5VA8klzA1cy,yellow claw,The Essential Remixes 2024,0.71,0.98,8,-3.708,1,0.332,0.192,0.32,0.176,0.453,149.917
ALL MFS (Brett Allen Remix),0dXs5UCmdcrrSjPgkF0mV1,yellow claw,The Essential Remixes 2024,0.591,0.987,11,-4.368,1,0.0921,0.0149,0.673,0.366,0.789,156.025
ALL MFS (Isis Cloudt Remix),1nyHqWGI9FgFOYxYprHIEd,yellow claw,The Essential Remixes 2024,0.496,0.938,7,-2.937,0,0.0525,0.000247,0.706,0.0589,0.339,174.118
ALL MFS (T A N E Remix),6jhtQbxpznmGi7yWdPdkB9,yellow claw,The Essential Remixes 2024,0.583,0.967,1,-3.18,1,0.0914,0.0126,0.625,0.0693,0.437,149.978
CRUSH (Zonii & sakegirlz Remix),2Ae4xa9MI6KqvEX3TxhfMY,yellow claw,The Essential Remixes 2024,0.765,0.941,8,-5.159,1,0.0693,0.0809,0.58,0.15,0.454,150.049
ALL MFS (Nozz Remix),5sR6wRy0W57qwinj7L0zxQ,yellow claw,The Essential Remixes 2024,0.636,0.925,11,-3.908,0,0.254,0.00201,0.842,0.318,0.387,155.006
ALL MFS (CAB Remix),3pzahNdytcIv6AJvFZ4dWM,yellow claw,The Essential Remixes 2024,0.49,0.968,4,-1.071,1,0.112,0.0043,0.12,0.366,0.359,150.122
Bassgod (Nifty Cat & Stanzer Remix),0E8eS7UxnkDstACFLuiic0,yellow claw,The Essential Remixes 2024,0.58,0.998,4,-1.871,1,0.196,0.00669,0.829,0.299,0.191,155.053
Did You Really? (Ardex Remix),7EKBl342JQJGmynOv8oz8n,yellow claw,The Essential Remixes 2024,0.542,0.923,7,-6.832,0,0.0389,0.0286,0.0907,0.335,0.323,172.019
10 Outta 10,1JpbQdQCS7iE4v5Ko2a9vI,yellow claw,House Music For Stripclubs,0.793,0.934,4,-3.747,0,0.0796,0.00362,0.417,0.11,0.684,130.015
I like It,3fSgi07rh7RuaUkOmf77Jy,yellow claw,House Music For Stripclubs,0.831,0.818,0,-7.179,1,0.0564,0.00496,0.179,0.0596,0.843,126.001
What You Looking For,7cPQqIMXsFYp1T8WMAIKl5,yellow claw,House Music For Stripclubs,0.801,0.803,6,-6.784,1,0.0448,0.00296,0.452,0.0645,0.321,128.02
Stick Ya Lips,72deZwgkDxjMCCxokR4SdK,yellow claw,House Music For Stripclubs,0.806,0.874,11,-6.358,0,0.0775,0.000252,0.856,0.0656,0.431,126.013
Body Pop,2OUIjD3a6s5U3cr7sEE6ZR,yellow claw,House Music For Stripclubs,0.818,0.838,11,-5.319,0,0.0622,0.00073,0.727,0.075,0.659,126.036
Pipe It Up,2t4hetIfJ5dT250koQiTbn,yellow claw,House Music For Stripclubs,0.8,0.871,9,-6.077,1,0.0664,0.00739,0.682,0.0601,0.443,127.007
