track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
DOPPELT,5xTN6c9PocPboRnAEyBUmR,yuta imai,DOPPELT,0.479,0.934,1,-1.842,1,0.0968,0.00034,0.804,0.379,0.569,173.965
Death by Glamour,5komSp3dSzYbxzHP5fLeT6,yuta imai,Death by Glamour,0.475,0.97,11,-2.343,0,0.105,0.00153,0.0123,0.143,0.324,160.057
Acid God,1GtGxu0dvzirTleWZNU7cz,yuta imai,Acid God,0.225,0.998,1,-2.109,1,0.288,0.000464,0.747,0.266,0.193,160.101
IS DEAD,6A8XBPH9xjKVC7PqhgWMZr,yuta imai,IS DEAD,0.453,0.991,7,-3.625,1,0.0737,0.00066,0.352,0.352,0.445,160.065
FORGIVE (feat. RANASOL),1k8oco8QolT6g0EqeL3WUP,yuta imai,IS DEAD,0.49,0.994,7,-1.35,0,0.0902,0.000658,0.02,0.394,0.152,99.954
OVERPOWER,73WCj2n7X2hHEvqrZ6egJ2,yuta imai,OVERPOWER,0.522,0.996,5,-2.517,0,0.299,0.00186,0.0334,0.5,0.215,160.126
ALTER EGO,1K4iAuwC7o6O2mAb5CqzZn,yuta imai,ALTER EGO,0.509,0.989,1,-1.885,1,0.159,0.00212,0.0448,0.341,0.243,97.493
GAS GAS GAS - Yuta Imai Remix,00cylsI9TEJKnCp8xrw746,yuta imai,GAS GAS GAS (Yuta Imai Remix),0.388,0.999,1,-0.788,1,0.0843,0.000408,0.0163,0.291,0.431,170.068
GAS GAS GAS - Yuta Imai Extended Remix,1z5wfkrtyeO1moXEbubJuN,yuta imai,GAS GAS GAS (Yuta Imai Remix),0.428,0.999,1,-0.858,1,0.121,0.000874,0.0194,0.112,0.634,169.972
BACK 2 ROOTS,4MC5D61yeeXTEKMLOxLGfX,yuta imai,RAVE TOOL,0.452,0.954,10,-3.043,0,0.0702,0.00277,0.000269,0.108,0.447,160.019
LONE WOLF,46Doen0pK0UjTVTsLVbakl,yuta imai,RAVE TOOL,0.486,0.997,11,-1.87,0,0.249,0.029,0.232,0.356,0.318,160.065
GET FREE,6QjroWGYFqpvxRobQx4Jpq,yuta imai,RAVE TOOL,0.534,0.99,6,-3.12,0,0.0943,0.00582,0.0213,0.343,0.241,104.467
PIECES,7i0N5wTjcq8ZTI9N3PDkoF,yuta imai,PIECES,0.521,0.984,5,-3.473,1,0.123,0.0107,0.0582,0.266,0.383,159.917
Tokyo Midnight (feat. mami),3MW6Xx6gp17o4WSuxLj3PN,yuta imai,Tokyo Midnight (feat. mami),0.578,0.995,1,-1.58,0,0.195,0.0444,0.000809,0.356,0.519,94.988
NRG DRINK,1DZBOwC9BUfFTPdfZnsT87,yuta imai,NRG DRINK,0.483,0.989,6,-0.599,1,0.0993,0.0032,0.022,0.282,0.35,159.96
X,2HS3v1E2TM3IZdBpqK0lDM,yuta imai,X / UNKNOWN LEVELS,0.479,0.977,9,-1.753,1,0.101,0.0339,0.198,0.392,0.109,173.973
UNKNOWN LEVELS Extended Mix,6jQSZIM8wWuvbHxKj6aTNF,yuta imai,X / UNKNOWN LEVELS,0.227,0.99,1,-2.711,0,0.315,0.00212,0.00754,0.326,0.263,165.011
UNKNOWN LEVELS,55IhPhYc40RTAAbSt0G4rs,yuta imai,UNKNOWN LEVELS,0.4,0.983,1,-3.618,0,0.255,0.00231,0.00666,0.406,0.325,164.882
DEJA VU - Yuta Imai Remix,7xGdck3GbTSk7b3uSFQ91w,yuta imai,DEJA VU (Yuta Imai Remix),0.533,0.998,8,-1.084,1,0.169,0.0144,4.51e-06,0.302,0.47,159.994
DEJA VU - Yuta Imai Extended Remix,4rZ1BJiv2oJffsvKPlsJZc,yuta imai,DEJA VU (Yuta Imai Remix),0.547,0.999,8,-1.415,1,0.184,0.0187,2.59e-05,0.056,0.596,159.957
Ghost Ray,2RvglC7Ga4GAwLJei8h7DC,yuta imai,Ghost Ray,0.426,0.996,6,-1.441,1,0.151,0.000856,0.596,0.516,0.158,156.986
Overdose,6Kh6KJFTzWUsaZ6OedQDjP,yuta imai,Overdose,0.569,0.986,7,-3.052,1,0.141,0.0199,0.77,0.333,0.0808,149.973
SUPERSONIC,2T5fVFxNeWpBIQrQQxyjoL,yuta imai,SUPERSONIC,0.404,0.995,7,-1.941,1,0.246,0.0222,9.15e-05,0.299,0.198,200.131
SUPERSONIC - Instrumental,7iR3eS6d22e7uwATsjYlLg,yuta imai,SUPERSONIC,0.462,0.998,7,-2.538,1,0.0671,0.000658,0.00104,0.33,0.131,100.082
Acid Rain,5KlVbtMqWyBxGq2OWQMTjB,yuta imai,Acid Rain,0.482,0.999,1,-1.778,1,0.226,0.0219,0.332,0.379,0.273,160.022
Kaibutsu Dance,6YlUKQyZPRhTqnde7XqYgQ,yuta imai,Kaibutsu Dance,0.601,0.997,1,-1.442,1,0.127,0.0895,0.24,0.569,0.532,100.022
Cheat Codes - Yuta Imai Remix,5seCKk2tgl69YMwaVvS0ER,yuta imai,Cheat Codes (Yuta Imai Remix),0.501,0.999,11,-2.229,0,0.375,0.0296,0.000591,0.523,0.136,154.951
Give It To Me - Radio Edit,5VENJYUbt7fXITp6BN7qTs,yuta imai,Give It To Me (Radio Edit),0.384,0.998,2,-0.389,1,0.192,0.0848,0.93,0.339,0.321,169.981
Give It To Me - Extended,5Bx4tB4w5D5RYmd4yUI0GU,yuta imai,Give It To Me (Extended),0.405,0.998,2,-0.591,1,0.201,0.0776,0.923,0.0741,0.257,169.972
BULK UP,6gtJPqupZVeNW3ndIAUEYP,yuta imai,BULK UP,0.582,0.998,11,-0.597,1,0.139,0.0125,0.308,0.276,0.587,100.1
Smooth Operator,2znrAUF8Avu1Y73rL3u6Lb,yuta imai,Smooth Operator,0.563,0.991,5,-2.148,1,0.127,0.0452,0.16,0.334,0.663,154.969
ERROR - Yuta Imai Remix,2BEuDFxTpL6YmeaIhu9R2J,yuta imai,ERROR (Yuta Imai Remix),0.607,0.998,1,-1.659,1,0.198,0.0457,0.182,0.216,0.597,154.972
Breakthru,3ui6mnCTpwsMQeVaSqc9sd,yuta imai,Breakthru,0.571,0.995,11,-1.179,1,0.118,0.0537,0.000351,0.397,0.504,154.973
To The Ones We Hate The Most,674xk8ZDWT9a5qqYizvOjE,yuta imai,To The Ones We Hate The Most,0.477,0.995,11,-1.68,1,0.486,0.0582,0.00167,0.0894,0.366,200.029
Friends,0gmuZISOmF900CAqCfWfDQ,yuta imai,Friends,0.511,0.954,1,-2.436,0,0.0737,0.00239,0.00116,0.139,0.382,165.003
Rising Sun,5C1FYwcy85HmSOsHdxjVhL,yuta imai,Rising Sun,0.422,0.998,9,-2.012,1,0.12,0.00234,0.158,0.459,0.188,154.947
How Could You Say,5MGgFnoFixYGAU8XsfkvZ2,yuta imai,How Could You Say,0.531,0.996,7,-3.922,1,0.307,0.00682,0.00778,0.106,0.242,155.148
S.T.L.,6AsNrbb1QUxWFPLBoABRtN,yuta imai,S.T.L.,0.423,0.998,5,-2.388,0,0.13,0.000135,0.656,0.322,0.216,154.968
Cyka Blyat,2GBWy0wyJoUYZUexHAz7Ij,yuta imai,Cyka Blyat,0.616,0.971,1,-3.16,1,0.0788,0.0465,0.0153,0.384,0.6,154.967
In My Head,0jbZyC8mUY4RnyXndvt9LE,yuta imai,In My Head,0.477,0.996,11,-3.293,0,0.0849,0.00119,0.873,0.378,0.33,154.965
Arcade,6DSg7xDhRmLMjTA68iUZRF,yuta imai,Arcade,0.557,0.993,0,-2.752,1,0.174,0.00263,0.0276,0.325,0.433,154.987
Supersonik,339KKcaDrjzeiwVX9s66L9,yuta imai,Supersonik,0.474,0.936,9,-4.264,1,0.0651,0.000546,0.473,0.114,0.444,154.925
Jump In,1W7Uu74lO6lxF9kDaMwAkf,yuta imai,Jump In,0.633,0.942,11,-3.103,0,0.122,0.00235,0.00626,0.201,0.846,155.098
Newstyle,7xRzPzBWth5WzIwHWrIYNB,yuta imai,Newstyle,0.544,0.945,1,-5.919,1,0.074,4.52e-05,0.0924,0.314,0.333,149.963
Feel Da Beat - Radio Edit,5LcexmzSEUiqFV7OIugRLF,yuta imai,Feel Da Beat,0.475,0.995,10,-4.076,0,0.0645,0.00737,0.755,0.655,0.425,150.046
Take Me Away - Radio Edit,6LGPKSpKDFIrcqmksLxzFj,yuta imai,Feel Da Beat,0.557,0.97,6,-3.291,0,0.0993,0.00204,0.00146,0.239,0.486,150.003
