track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Little Black Girl - Live,0Q5oBI8mRchMORpaNN71R0,Rebekah,"Lilith Fair: A Celebration of Women In Music, Vol. 3 (Live)",0.525,0.0931,4,-12.956,0,0.0294,0.852,0.0,0.183,0.264,77.328
Murder In Birmingham,6pCsB5Jk6po7ugv8Zr1OCJ,Rebekah,Murder In Birmingham,0.566,0.713,5,-11.101,1,0.0345,7.29e-05,0.881,0.107,0.166,138.983
Code Black - Slam Remix,7yBGsYKINijwDjMbUdXQXK,Rebekah,Fear Paralysis (The Remixes),0.716,0.759,9,-9.773,0,0.0671,0.000989,0.805,0.0777,0.135,129.998
Sin so Well,3mUmd78qWMY1qxYgXgO0gT,Rebekah,Remember To Breathe,0.727,0.629,6,-5.022,0,0.0331,0.288,0.0,0.107,0.518,119.663
Rave Creators,3vVq1qam2jUhA1Q61w91UL,Rebekah,Rave Creators,0.439,0.996,11,-3.012,0,0.145,0.000909,0.907,0.235,0.142,159.999
Last Summer,6phXaP28ZIrCuAfBKSnSpc,Rebekah,Last Summer,0.415,0.759,4,-11.102,0,0.0395,7.56e-06,0.917,0.383,0.0362,138.006
Self Destruct,7iR8iNBs227Isbrev9DmZ7,Rebekah,Cycles EP,0.919,0.952,6,-7.77,0,0.118,0.000703,0.924,0.107,0.16,128.005
Shutter,18Qqt45u1cFDvvmteCaORS,Rebekah,Murder In Birmingham,0.705,0.942,1,-7.53,0,0.0479,2.33e-05,0.879,0.11,0.121,136.004
Waiting For You,2FUGMupOJ7elS4JPclCqNB,Rebekah,My Heart Bleeds Black EP,0.64,0.963,1,-8.928,0,0.051,0.00168,0.879,0.136,0.41,136.009
The Vision,5UEzdm8fJdP2oExrzQW4VT,Rebekah,The Vision,0.698,0.657,11,-9.639,0,0.0395,0.00265,0.945,0.109,0.218,127.991
Code Black,59gG1XmPUl5bZdjQGKFFX9,Rebekah,Fear Paralysis,0.641,0.481,7,-9.381,1,0.0677,0.000151,0.89,0.1,0.167,129.0
Rancor,4ZvtoneuGescYoD6fIMREr,Rebekah,Rancor EP,0.511,0.986,6,-6.639,1,0.0635,5.69e-06,0.855,0.677,0.37,150.027
Beneath the Sun,0wDHuJPoCSuUMpqI8ouZlx,Rebekah,Sounds from the Fridge,0.921,0.613,2,-7.23,0,0.0617,0.105,0.00045,0.0466,0.96,125.989
1997 Reprise - JoeFarr FLR Remix,6DM26qdD28EV4HqYIsYhuh,Rebekah,Fear Paralysis (The Remixes),0.659,0.749,4,-8.589,0,0.0561,0.00214,0.45,0.43,0.0318,129.026
Breathe - Stephanie Sykes Remix,5aK0NeuGSbBlAnXznEibJr,Rebekah,Fear Paralysis (The Remixes),0.694,0.638,9,-12.402,1,0.0774,0.108,0.934,0.0848,0.0532,131.006
Believe In The Night,20i1hwKYjAATtawgF463rw,Rebekah,"Louder Than Chaos, Vol. 3",0.611,0.966,11,-4.88,0,0.0553,1.74e-06,0.915,0.0403,0.244,141.001
Broken - Original Mix,5joNBTbQ8Os8Gi1eqiJPKq,Rebekah,Transient Being EP,0.689,0.805,6,-11.632,1,0.0692,0.114,0.878,0.106,0.0375,131.005
Unwanted,7q62WnW3Q386dgjzT41uZY,Rebekah,My Heart Bleeds Black EP,0.562,0.787,7,-11.891,1,0.0498,0.0032,0.794,0.121,0.152,135.995
You Be the Leader,1kiepoIfA88IxhpA7rWiiw,Rebekah,Angels from Hell,0.508,0.777,4,-10.442,0,0.0458,0.033,0.877,0.103,0.24,129.982
Peaking,1GHQknPknjv4AlTZNbyujS,Rebekah,Murder In Birmingham,0.698,0.869,11,-7.134,0,0.0384,3.02e-05,0.872,0.0707,0.0862,139.993
The Riddle,2uhqjvUED7ZcfMkrppwAWc,Rebekah,Anxiety,0.714,0.834,8,-10.316,1,0.0536,0.000803,0.924,0.102,0.0896,132.989
Unfound Truths,0JPv8dCQ3V4sFinNiQXpZn,Rebekah,1997 Reprise,0.766,0.571,2,-12.906,1,0.0352,0.000666,0.692,0.101,0.768,131.022
Fear Paralysis,6U5VmWuVh4fp7vSBzB3Rgs,Rebekah,Fear Paralysis,0.713,0.87,0,-12.184,0,0.0388,0.0002,0.888,0.114,0.553,129.999
Lobotomy - Driller Mix,7qzma5Md4feAgU6ypkbWqJ,Rebekah,Lobotomy (Driller Mix),0.653,0.99,6,-2.312,1,0.165,8.68e-05,0.587,0.327,0.11,155.026
Who Poisoned Ivy?,6z6MFOqJY6I8SviFupuSg5,Rebekah,Who Poisoned Ivy,0.788,0.803,0,-11.745,0,0.0428,9.64e-05,0.791,0.115,0.0571,129.007
Enigma,1ix25n1hy2evlwngfaRGFx,Rebekah,Enigma,0.785,0.656,1,-11.756,1,0.0517,0.00423,0.928,0.111,0.0395,133.014
Equilibrium,4o4VweAmmExayPbjPrxzKW,Rebekah,Cycles EP,0.673,0.873,1,-10.044,0,0.0512,6.11e-05,0.916,0.104,0.033,128.009
Intelligence Fetish - Rebekah Remix,7st0DpObKfFbIu7idNPQI9,Rebekah,Caibu Expanded,0.603,0.736,1,-13.314,1,0.0414,0.0464,0.795,0.112,0.0422,132.006
