track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Syren,3hGXZKj3lYKKRQtKE8XN55,Rebūke,Genesys,0.716,0.779,10,-8.084,0,0.0464,0.0137,0.862,0.0882,0.0723,125.018
The Chase - Rebūke Remix,6ZHMVT32TtD6IzvbxBo4eF,Rebūke,The Chase (Remixes),0.658,0.559,5,-12.283,0,0.0462,0.391,0.737,0.113,0.547,126.972
Along Came Polly,6fL2wAZuNKGpze9E3SINnW,Rebūke,Along Came Polly,0.825,0.595,0,-9.393,1,0.0669,0.00107,0.94,0.0578,0.0781,124.004
Hear Me Now,1IPZfbfenyYPTg45HcNxgS,Rebūke,Genesys II,0.642,0.697,0,-7.873,0,0.0456,0.0203,0.0057,0.0834,0.0761,126.056
Glow,5Q9m03fBYtSlKwAUnfZ9RB,Rebūke,Glow / Void,0.689,0.909,0,-8.367,1,0.0381,0.0109,0.837,0.189,0.0992,126.996
Endless (feat. Ed Graves),5KnAP0D4wcOBPC6aKw3kDA,Rebūke,Endless (feat. Ed Graves),0.404,0.831,2,-9.207,1,0.0418,0.042,0.157,0.173,0.029,128.013
Digital Dream,5DRrrh8TWc0jgGrzIE44HI,Rebūke,Digital Dream,0.666,0.931,7,-7.007,1,0.0443,0.00035,0.598,0.333,0.0332,126.964
Portal,4BEZdUHo53IH1MdjQLRqz1,Rebūke,Portal / Echoes,0.628,0.783,2,-7.596,1,0.0317,0.00737,0.9,0.117,0.0755,127.01
Syren - Amelie Lens Remix,2CAWDnsgQ5zIXef4ONWmUK,Rebūke,Genesys II,0.627,0.898,8,-6.82,1,0.0602,0.000978,0.82,0.119,0.135,141.95
Choose Life,2OkOgmVzRjhph4kawX1MHF,Rebūke,Choose Life,0.692,0.75,6,-8.071,0,0.0632,0.00986,0.0478,0.247,0.237,130.024
Forever,0ZzYZVCXnfGrc5bgPuUwZC,Rebūke,Forever / Chaos,0.566,0.782,10,-8.291,0,0.0399,0.029,0.813,0.102,0.167,125.949
Rise,3OA3QzszT68km4YEfTIJtF,Rebūke,Rise,0.611,0.885,6,-8.961,1,0.0527,0.0168,0.89,0.101,0.0361,128.054
The Pipe,3HeIJsfuR0rjjmwJWl0gnh,Rebūke,Jump Ship,0.847,0.749,7,-7.811,1,0.0744,0.0523,0.924,0.0886,0.374,125.992
Syren - Adam Sellouk Remix,3xZp6ajHw5LLgA2LhA64XZ,Rebūke,Genesys II,0.596,0.796,10,-6.189,0,0.0555,0.0531,0.818,0.171,0.325,125.007
Dystopia,4HroXwGskJHBvEUKPz18Pp,Rebūke,Dystopia,0.619,0.687,7,-7.878,1,0.0563,0.187,0.779,0.195,0.0381,129.991
Teardrops,1ooF1GtoHziUctFM94iRVW,Rebūke,Teardrops,0.623,0.872,2,-8.275,1,0.0506,0.00809,0.0104,0.335,0.0369,128.024
Hand In Hand - Rebūke Remix,4z5TeX7iJyiBU0J0CbzToz,Rebūke,Hand In Hand (Rebūke Remix),0.585,0.745,11,-9.752,0,0.0363,0.000513,0.514,0.394,0.282,127.024
Out Of My Mind,1b8ukj8lFaaJn1L5buFICj,Rebūke,Out Of My Mind,0.624,0.866,1,-8.33,0,0.0387,0.0177,0.88,0.195,0.0379,127.955
"Along Came Polly (Konstantin Sibold, ZAC, CARMEE Remix)",5EkSIWWEX7zkFTtSO28vT7,Rebūke,"Along Came Polly (Konstantin Sibold, ZAC, CARMEE Remix)",0.805,0.961,7,-3.815,1,0.0744,0.000779,0.894,0.0686,0.0479,123.995
Storm 2022,39N9R61hAatOAIjBs2RH6z,Rebūke,Storm 2022,0.763,0.954,5,-6.561,0,0.048,0.456,0.944,0.0953,0.253,129.999
A Drug From God (Rebūke Remix),2O0ESQqVFf95Hcm6NMeEON,Rebūke,A Drug From God (Rebūke Remix),0.622,0.845,11,-6.957,0,0.0432,0.00206,0.611,0.254,0.106,127.996
