track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Desperado,5QiiRVrLieGw72JbMJEY2M,Red Axes,Mumia,0.719,0.834,0,-7.061,0,0.113,0.0212,0.33,0.0983,0.438,114.011
Flawless,6mMhF0ubvWg3fWN5hsgVNj,Red Axes,Flawless,0.805,0.568,0,-6.482,1,0.0451,0.00488,0.239,0.138,0.577,119.988
Hue,7McdYczkJu76zhnphGgcWh,Red Axes,Trips #2: Vietnam,0.628,0.949,0,-6.278,1,0.0332,0.0979,0.92,0.179,0.729,121.985
Sticks & Stones,3SEbtUizfVgPdYnHct8TK5,Red Axes,Red Axes,0.703,0.798,1,-7.79,0,0.0703,0.000735,0.46,0.351,0.377,123.957
Ho Chi Min,2vykok21C0IyTjpvUOcBWi,Red Axes,Trips #2: Vietnam,0.765,0.83,2,-6.768,1,0.0516,0.159,0.429,0.0681,0.513,118.001
Relax Shiva,6bU5V5LKTHjFB9LvJaH0xH,Red Axes,Relax Shiva,0.708,0.913,5,-9.522,1,0.0408,0.293,0.502,0.28,0.0652,122.009
Gengis - Red Axes Remix,3eRrnxpVwuHyieL0s2NdZc,Red Axes,Gengis,0.687,0.937,8,-8.25,1,0.0419,0.072,0.851,0.099,0.509,120.009
Hanoi,1uN9pGuOevDQmQ1CqW5sny,Red Axes,Trips #2: Vietnam,0.81,0.757,11,-8.87,1,0.064,0.0036,0.0477,0.172,0.668,118.008
No Disco (Red Axes Remix),4mkPzwgkPozuumwYUox2hS,Red Axes,No Disco,0.717,0.904,7,-6.719,1,0.0427,0.0251,0.652,0.0726,0.377,124.993
Mumia - Red Axes Remix,6WqflluOJH72hUh3oW5fRg,Red Axes,Mumia,0.805,0.748,0,-8.093,1,0.0706,0.00387,0.836,0.157,0.311,124.981
Calib,7BFMiZmVTZaLKuqp7eh2Oz,Red Axes,Calib,0.641,0.955,7,-8.832,1,0.0411,0.276,0.902,0.0802,0.103,120.006
What Is In Your Head,1S1K7cID6ydwZMTwk7LWMl,Red Axes,The Beach Goths,0.482,0.801,9,-6.065,1,0.0372,0.0318,0.000468,0.25,0.451,127.906
Relax Shiva - Extended,0SXF8cUAN2BAoy8Xrf0I9A,Red Axes,Relax Shiva,0.709,0.923,7,-9.465,1,0.0407,0.217,0.619,0.0979,0.087,121.973
Flawless - Club Mix,2siUiwi7N8paNehEMIz3WM,Red Axes,Flawless,0.761,0.597,0,-7.072,1,0.0411,0.000425,0.836,0.0715,0.199,119.995
Fly To Colombia,078hth6e76XqwiFGRwnfiH,Red Axes,Covered In Gloria,0.806,0.487,2,-11.086,1,0.074,0.00209,0.922,0.118,0.278,114.002
Pad Yoga Raga,1tRtP4MFJBXbWk69OmUl8b,Red Axes,Trips #3: India,0.578,0.602,1,-11.242,1,0.0516,0.283,0.352,0.0783,0.0385,119.964
Kicks out of You,0nV6KMqTxVDbktKz1qQT5u,Red Axes,Ballad of the Ice,0.852,0.706,2,-9.055,1,0.0519,0.0357,0.91,0.15,0.578,122.012
Nyx Tape,2UwWPtVPXsETvL0FN9xU16,Red Axes,Nyx Tape,0.757,0.774,1,-6.247,1,0.0358,0.0744,0.0825,0.281,0.0736,119.99
Problem - Red Axes Remix,1MNd0iWkcrjhkgqJpRTblY,Red Axes,Problem,0.734,0.889,7,-7.084,1,0.0483,0.00157,0.854,0.0816,0.578,124.979
Sipoor,0rFsgkb1KUpjeMSbJcWqN0,Red Axes,The Phantasy Collection (Pt. 1),0.807,0.895,1,-8.008,1,0.0459,0.00116,0.764,0.0722,0.0786,117.993
Rotation! Rotation! - Red Axes Remix,6CSulcG26NaxMKG2wks5yn,Red Axes,Rotation! Rotation!,0.762,0.941,5,-7.05,1,0.0409,0.00933,0.741,0.0855,0.5,115.969
Caminho De Dreyfus,6Vu4teXIYQf4y5MRTWMRW4,Red Axes,Caminho De Dreyfus,0.931,0.53,2,-7.814,1,0.037,0.00361,0.119,0.0963,0.9,122.032
Wipe the Shame - Red Axes Remix,72eFN2z7rH3mXg1iZg3pRr,Red Axes,"I Love You, Go Away (The Remixes)",0.779,0.65,8,-8.719,1,0.0773,0.035,0.892,0.127,0.11,120.003
Mumia - Polo & Pan Remix,6J3C542w9ZZNStCn9IdVpv,Red Axes,Mumia,0.788,0.619,1,-8.082,1,0.0433,0.24,0.917,0.0687,0.266,121.02
Sabor,6qLoJv9lxaY8WpLLUPnBc9,Red Axes,Sabor,0.697,0.771,2,-8.236,1,0.04,0.000301,0.609,0.378,0.123,119.997
Subaru Pesha - Red Axes Remix,4JlciJEZqP94xYvN8vrvbk,Red Axes,Subaru Pesha,0.81,0.902,9,-9.509,1,0.0438,8.24e-05,0.867,0.102,0.0825,120.009
Sun My Sweet Sun,7lho7sTZBzie1gERq3dEtm,Red Axes,Sun My Sweet Sun,0.704,0.932,10,-8.083,0,0.036,0.0758,0.79,0.369,0.447,119.978
Phu Quok,3nJKFmOAZYauBLuVut81Es,Red Axes,Trips #2: Vietnam,0.675,0.947,2,-7.763,1,0.0414,0.00112,0.687,0.0491,0.707,124.012
UP,2NUuXg4flEYoJfp2lLeWn0,Red Axes,UP,0.697,0.739,9,-9.672,1,0.0385,0.00765,0.901,0.111,0.137,124.013
Incognito (Il Est Vilaine Remix),3gQCeCrQwVJAm77j4blwXp,Red Axes,Caraxes,0.922,0.583,9,-8.275,1,0.0532,0.0536,0.864,0.0881,0.39,122.006
Spicy Stick,3JT5pqT40Sal9YMDFHmeWZ,Red Axes,Caminho De Dreyfus,0.859,0.43,9,-7.368,1,0.249,0.00245,0.805,0.109,0.0799,122.005
Sun My Sweet Sun - Afro Tech Mix,4FB3xLIBLKKK1DO5qtfACi,Red Axes,Sun My Sweet Sun Remix,0.818,0.798,8,-8.757,0,0.0412,0.0277,0.433,0.107,0.044,121.001
