track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
House Is Dead,3dEJbGy6GDUwH0saptxllf,Rob Gee,"Texcore, Vol. 3",0.648,0.993,4,1.611,0,0.158,0.0383,0.00156,0.183,0.222,109.937
Son Of Rob Gee,77nVvJWWECWuJ0phSzKY8Y,Rob Gee,Old School Geemixes,0.677,0.93,4,-8.497,1,0.121,0.000486,0.498,0.365,0.578,103.971
"Ecstasy, You Got What I Need",2FNyEMsZtwVm3Pw8CzZwpL,Rob Gee,30 Years Of Rob GEE,0.714,0.943,1,-4.773,1,0.327,0.0162,0.0716,0.19,0.605,96.432
Thunderdome Tribute,0JqWYL43zJ9MUEHBPj3F6J,Rob Gee,I Am Me,0.35,0.972,9,-2.712,0,0.183,0.00118,0.00448,0.314,0.475,120.081
Pretty Fucked Up,2Dk299fljHFrWlAlwWqi1L,Rob Gee,30 Years of Industrial Strength,0.565,0.936,4,-4.254,1,0.208,0.000237,0.0038,0.256,0.106,109.907
Live Your Life,1sXpLnSGOpKkDBv0M1EDmR,Rob Gee,I Am Me,0.601,0.997,7,-3.527,1,0.137,0.0157,0.0846,0.149,0.14,94.983
Step To These,6JBN8Gua0QTrC9sCYsjwea,Rob Gee,The New Leader,0.78,0.869,1,-3.087,1,0.141,0.218,0.00076,0.355,0.617,93.028
Jersey Base,1IhwHiU1hURtXY1KOjCprT,Rob Gee,Jersey Base,0.829,0.854,9,-9.365,1,0.347,0.0368,0.27,0.171,0.0717,94.839
You get me high,7BwLKFlhVh05waAGv8CA8z,Rob Gee,Exterminate,0.39,0.994,1,-2.113,1,0.14,0.000871,0.0681,0.389,0.197,175.083
1 Gabber Family,5u8xoqHDawYjSGayeIxz37,Rob Gee,1 Gabber Family,0.785,0.977,7,-2.325,1,0.266,0.0422,1.56e-06,0.437,0.475,100.054
Down For The Core - Radio Edit,42Z0vrOOgcpOVr13LH7wdH,Rob Gee,Till I Die Vol.1,0.46,0.98,11,-1.58,0,0.073,0.000285,0.28,0.336,0.0748,100.038
We Are the Creators of Hardcore - Rob Gee Speed Mix,5ZxbNwzTkOwSuvmKhU3CuA,Rob Gee,The Creators of Hardcore,0.633,0.748,10,-9.915,0,0.0712,0.00102,0.469,0.24,0.346,99.928
Riot in N.Y. - Mental Lownoise Mix,3EVZbygope0WAJ8NwJ8lFt,Rob Gee,Riot in N.Y. (The Geemixes),0.6,0.859,6,-8.742,0,0.0533,0.00387,0.161,0.42,0.101,98.912
What The Fuck Are You Laughing At??????,0fDPQYp8qCLmJ0dPzCZbyg,Rob Gee,Tri Pax Vol. 1,0.689,0.95,7,-4.628,1,0.115,0.00677,0.851,0.0536,0.353,95.404
Fuck the Politics,64qfyhczkVcYxzvUFmHsrI,Rob Gee,Fuck the Politics,0.553,0.996,11,-1.369,1,0.0894,0.00106,0.00115,0.0788,0.321,99.998
Nonshlentustokken 'Ode to Vortex',7jD3PZuVqSBznKvFLVNajq,Rob Gee,My Voice My Words,0.568,0.975,9,-3.54,0,0.167,0.0115,0.273,0.101,0.142,97.558
Riot In New York Remix,7G94aj72T3hnltEUn8xnIb,Rob Gee,The New Leader,0.623,0.653,11,-10.114,0,0.207,0.039,0.0219,0.343,0.424,97.274
Coming At You Strong - Original Mix,5pucKyAhfNTXHOknHjoL8k,Rob Gee,Coming At You Strong,0.574,0.992,9,-4.416,0,0.133,0.102,0.00221,0.521,0.381,100.015
Bong Bong,2pfdQrNilvtIPWZQgXt9dT,Rob Gee,Bong Bong,0.616,0.996,2,-1.375,1,0.176,0.0099,0.206,0.0597,0.379,99.973
Riot in N.Y. - The Original,6QXrqttMEfoEE1VjsRerqR,Rob Gee,Riot in N.Y. (The Geemixes),0.616,0.775,4,-8.824,1,0.193,0.000719,0.0127,0.351,0.465,97.401
Realm Of Natas,1l3QIXCdkryrTDI2FZVQtd,Rob Gee,Old School Geemixes,0.654,0.773,2,-11.294,1,0.0571,0.000964,0.709,0.118,0.122,103.406
Gabber Is A Way Of Life,6lHfy8oRdP1ovbw1r6HnIW,Rob Gee,The Essence Of Hardcore,0.667,0.946,11,-1.437,0,0.0696,0.00169,0.000115,0.103,0.555,102.523
Peacock Is My Trip Advisor,4O5xfv6n7upFbQfjI3TfMo,Rob Gee,Acid Bomb,0.594,0.993,11,-0.279,1,0.216,0.0641,0.598,0.931,0.29,104.984
Allright Now Here We Go!!! - Rob GEE Remix,3S86sBidAlmWRxK47G7WgM,Rob Gee,The Hardcore Archive Part 1 (1993 - 1994),0.66,0.757,6,-5.551,0,0.0561,0.000491,0.553,0.324,0.151,97.499
Hypocrisy of Faith - Manufactured Hope Remix,1eWIojYjiSyhNhWhBZdqRI,Rob Gee,Recoded,0.441,0.977,8,-5.151,1,0.137,0.00333,0.0,0.323,0.338,179.994
