track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Unknown,4wyDCRj3MR6bHKG1gWff65,Roddy Lima,Unknown,0.802,0.635,4,-7.665,1,0.0742,0.0184,0.701,0.0825,0.524,128.025
2015,7iHKOgojlLNbhHKRI4zK4T,Roddy Lima,2015 EP,0.758,0.489,2,-8.548,1,0.0819,0.214,0.919,0.181,0.207,127.954
Long Time,2rHkFYuJsGyr2uOow4eHRu,Roddy Lima,Long Time (Roddy Lima Remix),0.723,0.722,6,-10.016,0,0.0399,0.00429,0.174,0.194,0.487,128.019
Crystal,6Kxdy3nt65UFoNhTLQmVo3,Roddy Lima,Crystal,0.797,0.858,6,-6.543,1,0.056,0.0316,0.635,0.0806,0.47,127.988
New Age,5TbgD272zitcbj0san21sl,Roddy Lima,Unknown,0.806,0.638,11,-8.397,1,0.0529,0.00181,0.659,0.105,0.617,128.016
Be A Freak,2NdQOjSTgjA55R5BJCFX5R,Roddy Lima,Be A Freak,0.804,0.883,11,-5.237,1,0.0405,0.00609,0.686,0.0596,0.652,128.013
Zaza,6cVCk99iVLiAHxX6Ys1hOI,Roddy Lima,Zaza,0.805,0.988,2,-7.802,1,0.0472,0.00134,0.812,0.111,0.848,129.997
Believe,2ppTh6vxJf2y3864A6JQ3F,Roddy Lima,2015 EP,0.792,0.649,11,-8.043,0,0.0514,0.000545,0.792,0.113,0.0376,129.984
Rollin,2fvTY6ZMhXtVyaB4DJl4ho,Roddy Lima,Rollin,0.815,0.601,0,-10.152,1,0.0774,0.00777,0.000682,0.107,0.716,128.02
B!tches,3H2w1CNT84BDHF4KZBK3w5,Roddy Lima,Unknown,0.807,0.773,7,-9.144,1,0.0845,0.000353,0.791,0.0895,0.338,128.012
Guzman,7ghaiEgzgrtvIVH341zAQ1,Roddy Lima,Guzman,0.807,0.584,6,-9.612,0,0.0694,0.0854,0.848,0.0879,0.405,128.008
Punk,5PDbye8wj0HBPO1diYjtXv,Roddy Lima,Punk,0.83,0.793,2,-8.417,1,0.0423,0.0164,0.908,0.0969,0.181,127.991
Analog Ascent,1HBiN4vgEq75YD0HFvhM7F,Roddy Lima,"Vintage Culture & Friends, Vol. 6 (Pt. II)",0.805,0.548,5,-7.973,1,0.0639,0.0149,0.91,0.0732,0.695,128.015
Bandz,0do1caYeepcq43NMx9lfZE,Roddy Lima,Unknown,0.804,0.951,1,-6.672,1,0.0467,0.0135,0.88,0.093,0.485,127.983
Desire,1oXdtTyLWTmt1T6evUMr4S,Roddy Lima,Unknown,0.799,0.668,7,-8.406,1,0.0698,0.00768,0.825,0.0519,0.754,130.032
Turn Up,4Qz0DnVwBwjyoSmKl5tNEP,Roddy Lima,2015 EP,0.796,0.476,8,-8.571,1,0.0646,0.00158,0.863,0.0878,0.409,127.99
Effector,6z5K7nO3kkUFSsnubzhOJj,Roddy Lima,Effector,0.798,0.921,9,-8.251,1,0.0604,0.0837,0.874,0.12,0.569,127.994
Triptamina,01B3CihqFU3TufZhOeVKIO,Roddy Lima,Triptamina,0.79,0.866,1,-7.68,0,0.0482,0.00899,0.926,0.101,0.45,130.0
Fantasy,08ztSdGxVYDOT9iF8OYDBR,Roddy Lima,Fantasy EP,0.804,0.541,10,-11.381,0,0.0607,0.00867,0.695,0.106,0.706,127.985
Way Back,1Q1clcocESI1KAgIQ638lS,Roddy Lima,Way Back,0.805,0.811,0,-7.372,1,0.0691,0.0129,0.927,0.067,0.77,127.993
Lie To Me,4OtRerwQgp4qEnYsrrhYCN,Roddy Lima,Lie To Me,0.8,0.722,4,-8.545,0,0.0645,0.0195,0.839,0.116,0.651,127.998
