track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
FCK DAT!,5nvs5WItsAmnmnWqWfwTWJ,Rooler,FCK DAT!,0.445,0.98,10,-2.042,0,0.398,0.00321,0.000473,0.975,0.209,159.991
SAVE ME,15YYQC2n1LJblmAoN8F5ke,Rooler,SAVE ME,0.382,0.848,1,-4.477,1,0.0617,0.00198,0.0,0.561,0.196,159.837
Hammertime,0Tzhd4uYSQtOh7ocQsThIV,Rooler,Hammertime,0.555,0.939,1,-2.746,1,0.413,0.12,7.88e-06,0.0726,0.229,160.06
Trip to Italia,37YjbaFWtcE0Iw3ngEffg9,Rooler,Trip to Italia,0.69,0.952,4,-2.824,1,0.187,0.0105,0.000988,0.341,0.192,100.0
FLYIN' HIGH,6UjTx1wIv9GuxMwyl1D6Q0,Rooler,FLYIN' HIGH,0.492,0.95,11,-4.253,0,0.2,0.00107,4.08e-05,0.109,0.4,160.044
LOVE THE WAY,5xPXUK6x8cWrL5xsqJv9eF,Rooler,LOVE THE WAY,0.515,0.919,8,-4.379,0,0.195,0.0126,0.000952,0.126,0.459,160.005
Return Of The Return,43Bu2RvrKaEkQL36OLrDzA,Rooler,Return Of The Return,0.593,0.945,9,-4.379,1,0.296,0.0158,0.000166,0.603,0.289,160.017
TOO HAPPY,55UUc12En4gVEdzwNTFAkQ,Rooler,TOO HAPPY,0.501,0.886,8,-4.796,1,0.276,0.0329,5.39e-05,0.713,0.273,160.109
REMEMBER THE NAME,5CBBUtGcySXV4dydC0BGXC,Rooler,STRAIGHT OUTTA FUTURE,0.476,0.957,1,-0.509,1,0.245,0.022,0.0248,0.35,0.0783,99.864
TOO HOT,1QPbJChjmO2UQC18Ex8Pcg,Rooler,HEY X2,0.692,0.966,0,-1.174,1,0.103,0.204,0.00387,0.205,0.466,160.039
LET THE BASS KICK,2ISaOt0CE6bmaw71NysCkI,Rooler,WELCOME TO THE GANG VOL. 1,0.62,0.996,10,-2.963,0,0.167,0.0316,0.174,0.137,0.549,160.033
YES!,58z9kC7jSgB1qRbQGFcWJE,Rooler,YES!,0.596,0.977,1,-1.737,1,0.22,0.0656,0.00158,0.371,0.373,154.989
