track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Peach,5cGZN0P1QnSfhCFBCHtp2N,Salute,Peach,0.866,0.668,1,-7.472,1,0.0969,0.0115,0.889,0.238,0.657,135.009
saving flowers,5s54Ts1rJwUwaxQqoTC4jQ,Salute,TRUE MAGIC,0.687,0.895,10,-3.843,0,0.2,0.00037,0.0312,0.193,0.38,132.101
Electricity (salute Remix),6OBBLO7lE3E2EaqIv3bJ0i,Salute,Electricity (salute Remix),0.659,0.919,4,-5.692,1,0.0699,0.02,0.315,0.123,0.713,132.01
luv stuck,6IVLo37kObJF38G7LaJUnt,Salute,luv stuck,0.701,0.872,8,-5.508,1,0.0652,0.00899,0.0418,0.117,0.869,133.013
system,0Tc7p0cKE8078NVGRDcDOX,Salute,system,0.608,0.872,6,-6.415,1,0.333,0.00239,0.00441,0.214,0.506,137.007
softly,0KQSbxSJyukdlbuElEA3pU,Salute,TRUE MAGIC,0.53,0.751,2,-7.692,0,0.139,0.275,6.83e-06,0.166,0.211,129.983
maybe it's u,2K0onXEr9iCUSYonEf0Bl4,Salute,maybe it's u,0.649,0.831,0,-5.54,0,0.222,0.000669,7.9e-05,0.637,0.556,123.977
drive,3nQbx8MEoRsxCdoSMVcSmA,Salute,TRUE MAGIC,0.641,0.745,7,-6.733,0,0.0851,0.0539,0.56,0.561,0.285,129.981
go! - George Daniel Remix,0wtbc9t9qvEX5ELtUHJNJX,Salute,go! (George Daniel Remixes),0.911,0.802,1,-3.993,1,0.164,0.00755,0.758,0.0757,0.244,127.993
lift off!,1lsuQNbQXg0smdcAaRpmja,Salute,lift off!,0.673,0.93,2,-4.154,0,0.0433,0.00238,0.643,0.0854,0.203,136.022
Feel The Same,4NOiZh0m02AQZbIvnfE8wU,Salute,Condition,0.781,0.738,11,-8.624,0,0.232,0.155,0.463,0.0754,0.497,132.91
one of those nights,2uXLgeQtjvHquZGs3j7XYE,Salute,TRUE MAGIC,0.712,0.835,6,-5.259,0,0.276,0.0079,0.00043,0.383,0.579,133.99
Honey,2ipbVg9oVEJ6VJMOAwZOVG,Salute,Condition,0.767,0.523,11,-8.367,1,0.361,0.0553,0.00513,0.0594,0.669,126.979
heaven in your arms,1uGvxm9aFt0oyUolJt8ooi,Salute,heaven in your arms,0.622,0.873,9,-4.388,0,0.35,0.0154,0.000129,0.914,0.715,127.933
love has come again,3kbZzQlb5eGnbvVGRwEdC6,Salute,love has come again,0.7,0.955,2,-5.402,1,0.0521,0.000611,0.819,0.0726,0.791,136.995
Run Away With You,17lNneB8PxBx8rttZDywXU,Salute,Shield,0.635,0.932,8,-6.565,1,0.0906,0.0185,0.00016,0.122,0.29,139.045
move faster…,52H8mKfgmftGulypJdnyin,Salute,TRUE MAGIC,0.804,0.938,6,-3.435,1,0.356,0.00587,0.158,0.144,0.885,139.993
Someday - salute Remix,0cVdMdtrHdCuHQBWjzvQed,Salute,MIRRORS (REMIXED),0.628,0.893,8,-8.908,0,0.121,0.0474,0.449,0.136,0.693,135.982
go!,5t2y268snYiNava21XWxMZ,Salute,TRUE MAGIC,0.695,0.895,6,-3.974,1,0.131,0.0161,0.0239,0.64,0.89,135.036
Looking For Love - salute remix,1Qtkvj7St3q1s68Ak0FKWg,Salute,Alchemy (The Remixes),0.692,0.925,3,-4.999,0,0.0745,0.0151,0.272,0.0978,0.691,137.005
reason,3n26Ovng64RtXwmRzfn5fi,Salute,TRUE MAGIC,0.682,0.88,1,-4.44,1,0.249,0.00103,0.00123,0.333,0.744,134.95
All About U,50wmUC3yAds4R1E3PMuPjD,Salute,Condition,0.768,0.721,1,-7.482,0,0.0529,0.182,0.722,0.253,0.289,129.995
perfect,1KA839TZFJXYBmoLXejjUQ,Salute,TRUE MAGIC,0.799,0.767,6,-5.072,1,0.367,0.00855,0.154,0.113,0.834,135.04
Peach VIP,35P8wQxbmltmHvawUxk6Uu,Salute,Peach Remixes,0.84,0.689,5,-7.652,0,0.307,0.0101,0.868,0.141,0.563,134.969
Joy,17E3lZxFJnO49Gb0tdgVn0,Salute,Joy,0.663,0.971,4,-3.014,1,0.0771,0.0204,0.00379,0.0669,0.683,132.049
All Over This Party - salute Remix,74y9q95NblVSvnurtU62WR,Salute,All Over This Party (salute Remix),0.793,0.756,11,-7.012,0,0.107,0.372,0.701,0.0751,0.788,134.013
Survive,1jGjskedXDR7MIVzMSyTvH,Salute,Same Day Cleaning,0.728,0.709,1,-7.996,1,0.111,0.256,0.77,0.229,0.307,134.07
double luxury,3mniWvZDbiXup6vp7ebPJi,Salute,double luxury,0.698,0.993,10,-3.516,0,0.159,0.0237,0.0344,0.628,0.214,127.037
Wait For It,6YjVrP2g7gJYh3aXkgnspC,Salute,Wait For It,0.732,0.885,1,-4.538,1,0.129,0.000639,0.00127,0.032,0.809,133.018
Therapy,2ZT87sTizofihiECifOJnm,Salute,Therapy,0.622,0.937,6,-4.978,1,0.0337,0.00156,0.00491,0.0869,0.579,135.009
Bitter Fuck (salute remix),7DPl2FNuOhvPsNaqDehQ0c,Salute,In Tongues (Deluxe),0.523,0.623,0,-7.992,1,0.0719,0.751,0.436,0.341,0.375,132.985
Heather Park - salute Remix,0Mi8JLsaxOoSSHKiBXE3zp,Salute,Heather Park (salute Remix),0.815,0.897,0,-4.192,0,0.449,0.00723,0.658,0.562,0.786,134.997
Want U There,3wqYbseRjx11Bh2lJvmGxi,Salute,Want U There,0.623,0.965,6,-3.157,0,0.376,0.00135,2.44e-06,0.482,0.346,134.066
Shut The Door - salute Remix,6nYGmeDC12GK8Sa6o61MVp,Salute,Defected presents House Masters - Todd Edwards Deluxe Edition,0.687,0.835,11,-6.435,1,0.162,0.00215,0.0503,0.699,0.66,137.016
Oxygen - Salute Remix,75siLrURb6ShHHuPRPyEai,Salute,Ten Thousand Feet & Rising (The Remixes),0.691,0.781,11,-5.226,1,0.16,0.2,0.0793,0.217,0.424,133.079
Heaven,0yMpVpxCMgwXyFBsMQdbts,Salute,Ultra Pool,0.743,0.873,5,-7.783,0,0.358,0.00343,0.0,0.205,0.905,135.015
Jennifer,3H1mZpn3YUMS8wk96Chzog,Salute,Jennifer,0.691,0.916,10,-5.647,0,0.192,0.0762,0.0752,0.289,0.532,130.095
Hey Baby (salute remix - radio edit),3Wt9BeTK8SlTG7c3KEBJN5,Salute,Hey Baby (salute Remix),0.783,0.907,0,-4.388,0,0.351,0.0243,0.0,0.34,0.481,134.894
Pleasures,61VqMH0CIfpjLFG4zIbfPh,Salute,Ultra Pool,0.65,0.869,3,-9.555,0,0.137,0.0497,0.731,0.371,0.789,136.979
Feels Like My Hands Are On Fire,4WUYv43gJtAAIaeSBml8ow,Salute,Shield,0.74,0.787,4,-9.813,1,0.079,0.071,0.0672,0.0867,0.623,132.992
"true magic, bonus round",01UE7OLvYdkCVB2RjSGxg5,Salute,TRUE MAGIC,0.525,0.989,5,-4.127,0,0.488,0.0538,0.0969,0.328,0.846,169.489
Thief in the Night - salute Remix,3M9NHqlQ4vUvTAsw5URDOU,Salute,Thief in the Night (Remixes),0.662,0.91,6,-6.367,0,0.0752,0.00225,0.581,0.109,0.4,134.992
So High - salute Remix,1UpecSLwJ5BJhv9TtSgrqU,Salute,So High (salute Remix),0.622,0.853,5,-6.041,0,0.06,0.0195,0.466,0.0832,0.313,135.041
Fly Life - salute Remix,3LTHqCkYnYtqTYDqoi3FPl,Salute,Fly Life (salute Remix),0.698,0.946,7,-5.184,1,0.243,0.000458,0.334,0.113,0.902,137.009
Say U Luv Me - salute Remix,7uzMSnGDevJO66l5Y99OmJ,Salute,Say U Luv Me,0.647,0.867,11,-8.454,0,0.0878,0.00203,0.562,0.571,0.697,136.942
Kudi,4v8XDqvSevedsUVxrZoQP4,Salute,Condition,0.803,0.721,10,-9.166,0,0.231,0.00486,0.214,0.0499,0.265,130.009
Colourblind,6lTMBQGYjLYWqPZjGCQnTh,Salute,Gold Rush,0.531,0.64,4,-5.562,0,0.0777,0.0163,0.000203,0.233,0.129,144.873
Sternenhimmel,3g4JgXeSpv5wXGzdsDxCRi,Salute,Sternenhimmel,0.577,0.911,6,-8.914,0,0.119,0.0471,0.0,0.0862,0.195,133.979
Nostalgia '96,4A10cblffS7CS9wmBnbaAW,Salute,Condition,0.752,0.786,11,-7.291,1,0.243,0.0233,0.0016,0.0882,0.51,128.004
Tank,5h8JOT88VJXtzs9TyNMAQS,Salute,Tank,0.47,0.832,1,-5.972,1,0.149,0.0826,1.87e-06,0.0833,0.289,139.906
Light Up,4sRr2yt7VDSiloikk50eqy,Salute,Light Up,0.553,0.659,7,-6.264,1,0.0527,0.425,0.0,0.117,0.498,90.042
Peach - Thys Remix,0Jc6RAqy8fgsPgUwRfSySE,Salute,Peach Remixes,0.898,0.592,1,-7.056,1,0.339,0.0312,0.882,0.116,0.547,137.471
Unity - salute Remix,0uqFA5wm27DmAl8fyeJTt8,Salute,Unity (salute Remix),0.639,0.839,5,-6.489,1,0.0903,0.0148,0.0921,0.127,0.825,137.037
"Lullaby, for J",3ZnfkawqyKgN9R6rzWW6lr,Salute,"Lullaby, for J",0.817,0.152,5,-14.412,0,0.0794,0.757,0.844,0.112,0.274,135.003
Never The Right Time - salute Remix,4ZxLyo3FN4noqFEN4CjbYn,Salute,Never The Right Time (salute Remix),0.666,0.485,0,-12.267,0,0.076,0.505,0.129,0.168,0.15,130.054
Want U There - Logistics Remix,4v7CTbYXfFgIDzozgKuau4,Salute,Want U There (Logistics Remix),0.51,0.945,1,-3.934,0,0.0571,0.00151,0.137,0.352,0.165,174.057
25,2hffh9CKVtkmcb8NGl40f0,Salute,25,0.828,0.852,1,-7.19,1,0.229,0.00795,0.0,0.125,0.729,138.007
Piece of Me - salute Remix,61QFm5wxcUkfETCPIBIPiS,Salute,Piece of Me (salute Remix),0.728,0.786,11,-6.076,1,0.0464,0.12,0.0202,0.131,0.369,136.056
Feel The Same - Mixed,4VnImhOXth2olJxPyCrmwP,Salute,The Kiwi Sound (DJ Mix),0.7,0.956,7,-4.964,1,0.32,0.0641,0.125,0.683,0.441,68.867
JTS,2WJ9931tHi2WA6wfPS70DG,Salute,Condition,0.727,0.805,6,-6.539,1,0.0538,0.0609,0.659,0.112,0.42,129.991
Hey Baby (salute remix),7Dm8TUkoDReoNRRz0Ymokk,Salute,Hey Baby (salute Remix),0.804,0.933,0,-4.871,0,0.406,0.015,1.24e-06,0.0584,0.393,135.007
Warrior - salute Remix,33tGnauiyheBkrFDvrPtHY,Salute,Renaissance (Kiwi Remixes),0.704,0.72,6,-7.046,1,0.306,0.0152,5.82e-05,0.525,0.59,133.042
Undercover - Salute Remix,5ScqIHgQd5TisPel66CnNb,Salute,Undercover (salute Remix),0.721,0.498,5,-4.213,0,0.0625,0.656,0.0,0.0907,0.503,124.025
My Purple iPod Nano - salute Remix,0RoltIfGhqICXocqnAmxKx,Salute,My Purple iPod Nano (2nd Gen),0.788,0.512,0,-8.655,1,0.295,0.0519,0.36,0.203,0.62,140.049
