track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Talk of the Town,0Y2QAFRdkzrNAJDPJ5lATF,Sammy Virji,Talk of the Town,0.904,0.596,6,-6.029,0,0.0774,0.00806,0.693,0.0948,0.794,129.93
Goodums - Sammy Virji Remix,0SLedTMdKihqLsR6CGPAfD,Sammy Virji,Goodums (Sammy Virji Remix),0.881,0.724,10,-4.927,0,0.251,0.133,0.0,0.223,0.8,138.077
Shella Verse,2aoWvGMW6W40WelevwsOUx,Sammy Virji,Shella Verse,0.82,0.894,2,-3.906,1,0.278,0.00516,0.00234,0.124,0.833,133.825
Winny,4qhrMsB4w2pHYB3BhX5WPr,Sammy Virji,Winny,0.549,0.693,1,-7.311,1,0.118,0.00483,0.00149,0.309,0.0857,140.018
Nostalgia,5D5uC8J6xBkGN66eLnqdvG,Sammy Virji,Nostalgia,0.589,0.622,5,-6.244,0,0.0576,0.036,0.00644,0.104,0.115,132.207
Peach,5cGZN0P1QnSfhCFBCHtp2N,Sammy Virji,Peach,0.866,0.668,1,-7.472,1,0.0969,0.0115,0.889,0.238,0.657,135.009
Burn The River,4ZLiHdZHDe0hpzElVQEvDT,Sammy Virji,Same Day Cleaning,0.773,0.418,11,-6.476,0,0.256,0.166,0.0621,0.0796,0.258,136.035
Dis Badman - BAKEY Remix,7dFdyPT5T9ynBe9raSMn2u,Sammy Virji,Next Day Cleaning,0.723,0.809,11,-6.808,1,0.346,0.0845,1.7e-05,0.219,0.444,136.153
925 - Malugi Remix,6oCLSMWsuwCkGdgkm92MkM,Sammy Virji,Next Day Cleaning,0.728,0.871,10,-7.763,1,0.0596,0.000398,0.0237,0.108,0.58,136.996
I Guess We're Not The Same,36nYS9AwMR06ph6imdjn7J,Sammy Virji,I Guess We’re Not The Same,0.869,0.444,8,-9.476,1,0.351,0.347,0.59,0.188,0.207,140.008
