track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Horny,04GYAnoZJajIurWLcjTMIF,San Pacho,Horny,0.667,0.929,1,-6.317,1,0.0532,0.00172,0.736,0.0227,0.354,128.006
Amor,0XP4jb9IjvliEXDt8rK3XY,San Pacho,Amor,0.804,0.973,3,-5.962,0,0.0575,0.0358,0.675,0.323,0.491,125.992
Trompeta,6o4BO9LLCPe5p43YKZzFuv,San Pacho,Trompeta,0.691,0.918,2,-5.619,1,0.0435,0.00245,0.864,0.0612,0.464,126.006
Freak,6LDoJdEJW4NTOTOLTH71IL,San Pacho,Freak,0.678,0.936,1,-5.355,1,0.0541,0.00285,0.49,0.14,0.324,126.015
Cha Cha Cha,1ZU9C5s4NbM30SI7pB3Uql,San Pacho,No Guest List,0.812,0.97,5,-5.821,0,0.176,0.046,0.795,0.113,0.279,128.005
Taka,2DxP7y3GFruzMeKdSWFQZ2,San Pacho,Taka,0.81,0.921,11,-3.871,1,0.153,0.0487,0.912,0.287,0.563,127.994
La Pasion,5xRKvc3MJfOYh9M1E9Fnid,San Pacho,La Pasion,0.851,0.812,8,-7.984,0,0.123,0.0435,0.442,0.12,0.497,125.969
Oye,7LrNUnWXx7ypK8jdQPH3SN,San Pacho,Oye,0.782,0.988,11,-4.72,0,0.0687,0.00215,0.786,0.0983,0.867,125.995
The One,3eZo7yRLmrHbj60FKxG1mx,San Pacho,The One [UKF10],0.778,0.863,8,-3.557,0,0.0544,0.00512,0.786,0.0457,0.14,126.021
Party People,4CdNJGwzSXTU1EE1GJBxM6,San Pacho,Party People,0.744,0.989,4,-4.713,0,0.0609,6.45e-05,0.805,0.135,0.628,126.013
Shaky,4hSDDnDiSaTSqIB8u9Zoap,San Pacho,Shaky,0.815,0.982,11,-3.363,0,0.11,0.0451,0.0114,0.0496,0.597,128.01
In Your Mind,1fljgBD0HxUOOtLDQ9WSaM,San Pacho,In Your Mind,0.737,0.945,10,-3.394,0,0.046,0.0165,0.65,0.0911,0.542,127.998
Born Funky,3NR678vn8CA4WtNfujey2W,San Pacho,Born Funky / Lights Off,0.72,0.971,1,-4.685,0,0.05,0.000321,0.816,0.242,0.89,128.035
No Guest List,3LKg0CXVZx5ToWLLK7ugHE,San Pacho,No Guest List,0.759,0.963,1,-4.393,1,0.0751,0.0348,0.254,0.275,0.789,128.003
Afloja,2IcXnAG6z8ZBv1mTNVjJhf,San Pacho,Afloja,0.803,0.945,7,-4.935,1,0.0728,0.0172,0.803,0.117,0.825,128.002
Tequila,7ICg4Hz9LuayHPuTfuSIsg,San Pacho,Tequila,0.722,0.947,8,-4.045,1,0.0489,0.00599,0.671,0.0597,0.414,127.995
Playboy,6PWMNrSexfbrn7Fw1mxupR,San Pacho,Playboy,0.793,0.956,10,-4.31,0,0.0583,0.000271,0.832,0.333,0.815,129.998
Voy,7eVAueNTldeMplUKSlOKs9,San Pacho,Voy,0.762,0.888,6,-4.538,0,0.122,0.0116,0.47,0.213,0.322,126.014
Elektro,4HlB5NebD83I1KkhJ2Vbkf,San Pacho,Elektro,0.827,0.855,1,-7.768,1,0.181,0.0614,0.0234,0.118,0.506,125.965
Dale,5ZScfMuHGy2Z8Ryc3B0pXo,San Pacho,Dale,0.839,0.721,9,-6.461,1,0.0887,0.0185,0.615,0.173,0.367,128.022
Amor - Extended Mix,2amgCr1hZvTYFAdfiR1XW4,San Pacho,Amor,0.807,0.958,6,-5.96,1,0.0566,0.0174,0.719,0.0563,0.617,126.015
Mamacita (feat. LexBlaze),3BDaQ8OZwJxRvnrMDJssCL,San Pacho,Mamacita (feat. LexBlaze),0.818,0.876,8,-5.615,1,0.0486,0.00787,0.0608,0.3,0.79,125.998
Lights Off,423h8JtMj2Hp2yYZcvL3dy,San Pacho,Born Funky / Lights Off,0.794,0.982,4,-4.011,0,0.0727,0.0076,0.878,0.0527,0.734,130.051
Beat Go Bump,51RhTPvrVNx7DmGscgNJuc,San Pacho,Beat Go Bump,0.798,0.998,11,-4.003,0,0.0504,0.00404,0.8,0.146,0.685,127.985
Soundboy,5RU33jajJPKSXfqJoZpABf,San Pacho,Soundboy,0.791,0.983,5,-4.421,0,0.106,0.0539,0.688,0.182,0.648,127.963
Disco Tool (San Pacho Tech Mix),655bVyFYERoWAPacZHEu97,San Pacho,Disco Tool (Remixes),0.787,0.934,5,-4.168,1,0.0545,0.00226,0.495,0.0827,0.666,124.953
Paralyzed By Your Eyes,5hEet4S4TiD6zw0C9ekzdt,San Pacho,Paralyzed By Your Eyes,0.757,0.886,11,-5.321,0,0.0505,0.00351,0.775,0.186,0.96,126.012
