track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Act of God,5712EypGa7HP0wusr6zRFj,Sarah de Warren,Act of God,0.838,0.853,11,-5.203,1,0.0526,0.00543,0.0179,0.0984,0.687,128.999
Act of God (CamelPhat Remix),0jeMKIHXINpsn6b7Ym9A9h,Sarah de Warren,Act of God (CamelPhat Remix),0.63,0.906,6,-7.269,0,0.0514,0.000239,0.424,0.395,0.0385,128.033
Stone,250zOPOsHbZPEIeXmmipTR,Sarah de Warren,Stone,0.601,0.885,2,-1.779,0,0.0465,0.182,0.000452,0.141,0.286,173.926
The Upside Down (ft. Sarah de Warren),6uAkBtwFdy4hucHFFssda9,Sarah de Warren,The Upside Down (ft. Sarah de Warren),0.548,0.579,9,-6.982,0,0.0366,0.273,4.51e-06,0.104,0.14,134.973
Love Takes Over,4cGhsEZuHW25c7njXpSx2v,Sarah de Warren,Love Takes Over,0.621,0.985,0,-7.482,1,0.126,0.0463,0.376,0.456,0.648,139.998
White Lines (ASOT 1261),5mJx9yGR3TNKzFyXILnrtf,Sarah de Warren,ASOT 1261 - A State of Trance Episode 1261,0.641,0.932,11,-5.3,0,0.0818,0.00467,0.216,0.265,0.324,133.06
White Flag,31dO0TT4H8YogMgM8g983k,Sarah de Warren,White Flag,0.744,0.784,6,-5.761,0,0.0306,0.0468,0.218,0.104,0.463,116.996
Never Surrender (feat. Sarah De Warren),39EnASjfLU5hwoWnzsGsv9,Sarah de Warren,Love // Chaos,0.398,0.702,0,-4.037,0,0.044,0.0217,0.0,0.109,0.27,149.833
On Repeat (ASOT 1261),0vxSH4C3eXmkR214KoTKGN,Sarah de Warren,ASOT 1261 - A State of Trance Episode 1261,0.604,0.95,0,-5.871,1,0.0313,0.0124,0.103,0.0766,0.243,142.071
Home,2verKGfrmdQ1CuI2kkvQAS,Sarah de Warren,Home,0.691,0.943,9,-3.184,0,0.0817,0.0249,0.00875,0.13,0.228,134.975
Breathing (ASOT 1261),30DwaqqWOvYW9uH17J6R0s,Sarah de Warren,ASOT 1261 - A State of Trance Episode 1261,0.618,0.926,9,-6.851,0,0.0767,0.000136,0.0454,0.128,0.198,133.054
On a Trip (ASOT 1261),4sDbND26TP2QkhbdYMCqvK,Sarah de Warren,ASOT 1261 - A State of Trance Episode 1261,0.624,0.879,9,-5.474,1,0.05,0.00112,0.651,0.2,0.8,132.936
Harley Fvcking Quinn,1lyrMWxaXaTb8Fe6rFvAOy,Sarah de Warren,Harley Fvcking Quinn,0.63,0.962,9,-2.025,0,0.0534,0.131,7.03e-06,0.292,0.605,130.992
Pulse,5IWZWLUlFAKT2NJBwnN7NO,Sarah de Warren,Pulse,0.595,0.989,1,-3.286,1,0.0701,0.00396,0.39,0.345,0.369,144.944
Carry On,27Bm6ZNUK3Xh357Vbqo9Mx,Sarah de Warren,Carry On,0.488,0.85,5,-5.228,1,0.0474,0.0211,2.09e-05,0.0991,0.0457,133.064
This Is The Life - Paradise Inc. Remix,1k8UhmiSVxit4kIPynyQ4l,Sarah de Warren,This Is The Life (Paradise Inc. Remix),0.733,0.756,1,-9.319,0,0.0634,0.0244,0.0398,0.202,0.41,114.993
C'est La Vie,6hiq2xWWWVf5VG3XTeqIZR,Sarah de Warren,C'est La Vie,0.585,0.966,3,-5.305,1,0.0572,0.00422,0.554,0.0469,0.787,142.007
Back to Life,59ghBOwUpiY5hpNLHImWEY,Sarah de Warren,Onyx,0.342,0.717,2,-3.892,1,0.0451,0.0858,1.95e-05,0.225,0.0795,144.528
Dream (feat. Sarah de Warren),0jRa2dPRM6SRVp2UcL0G75,Sarah de Warren,Dream (feat. Sarah de Warren),0.399,0.541,7,-4.833,1,0.0491,0.0685,0.0206,0.455,0.251,128.071
Weekend,1AwSmnJem4UF8dHyLRlKPL,Sarah de Warren,Weekend,0.617,0.713,1,-7.311,1,0.0346,0.0375,6.64e-05,0.0795,0.381,134.947
Psycho (ASOT 1261),64upQq97rPa97a2a9RYjjA,Sarah de Warren,ASOT 1261 - A State of Trance Episode 1261,0.487,0.92,1,-6.055,1,0.0478,0.000776,0.041,0.182,0.462,134.841
Kill The Lights,4FYXh0MJf1aCu7RNadVuhK,Sarah de Warren,Kill The Lights,0.715,0.96,6,-5.722,0,0.0441,0.0673,0.734,0.0991,0.124,129.995
Aerials,2shFsQSw0h1abkoK6zFF5w,Sarah de Warren,Aerials,0.367,0.899,0,-6.566,0,0.113,0.000304,0.000171,0.106,0.233,174.833
This Is The Life,3vnmnrIuNrlNfrrrzZ69me,Sarah de Warren,This Is The Life,0.741,0.879,1,-5.225,0,0.0536,0.178,2.86e-06,0.0671,0.429,103.075
How This Ends (ASOT 1261),7DYtXyRKdBZ5c5lHo3FDfL,Sarah de Warren,ASOT 1261 - A State of Trance Episode 1261,0.69,0.719,6,-7.37,0,0.0657,0.00702,0.151,0.335,0.214,130.058
No Tears,2DulJqgu8UAmIcQKCtEexq,Sarah de Warren,No Tears,0.65,0.885,8,-6.047,1,0.0353,0.117,0.00245,0.946,0.763,125.973
No Sleep,0IfBHPh5QvtEAM46nKERjR,Sarah de Warren,No Sleep,0.572,0.938,2,-4.683,1,0.0597,0.0261,0.59,0.239,0.622,74.99
Reading My Mind,2c8TIDfFaU5LH6U05aTlIY,Sarah de Warren,The Unexplained,0.705,0.705,5,-7.236,0,0.0487,0.00775,0.21,0.131,0.446,128.029
Escape From Planet Monday,2IqFYZ4Vocia7PmzEZh67r,Sarah de Warren,Escape From Planet Monday,0.679,0.992,6,-4.228,0,0.144,0.00392,0.804,0.0808,0.332,139.978
Capsize (feat. Sarah de Warren),6FxILeOa0DIDHq5oD05zpI,Sarah de Warren,HER,0.72,0.733,5,-5.025,0,0.132,0.0371,0.00345,0.191,0.249,125.131
Born To Love,7IB3u6v0wDwEYEVVQ2lKoD,Sarah de Warren,Born To Love,0.666,0.953,10,-6.439,1,0.234,0.00321,0.786,0.335,0.203,137.006
Vertigo,1p6IvCBlHrWIi6AmXiMtdw,Sarah de Warren,Vertigo,0.561,0.914,9,-4.994,0,0.0312,0.104,0.0184,0.11,0.0791,121.977
Hellbound,5fvVLhYMv13ygNvYlHaB5f,Sarah de Warren,Hellbound,0.663,0.951,4,-4.144,0,0.0417,0.628,0.305,0.0973,0.151,125.974
White Flag - nowifi Remix,6jDoDtx0rieQnlIPn5EDLY,Sarah de Warren,White Flag (nowifi Remix),0.698,0.617,1,-6.331,0,0.0747,0.476,0.0,0.699,0.331,117.078
