track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
BUBBLE BOUNCE,2rYaP0uIxuIruDcihOApvf,Serafina,240 PROMISES EP,0.72,0.864,7,-6.592,1,0.0968,4.7e-05,0.705,0.0869,0.233,170.024
FAST SALSA,5IuQCJvISZ68bd9Aq83MeE,Serafina,FAST SALSA,0.727,0.892,1,-3.7,1,0.0706,2.71e-05,0.631,0.0705,0.597,164.99
SNAKEBITE,7ApttO1VnzSpaR0VZaU2Y9,Serafina,SNAKEBITE,0.705,0.963,11,-6.697,0,0.12,0.0117,0.85,0.105,0.315,161.996
BIBI,3htGfQvzVIrQG5NYXmVuMj,Serafina,SERAFINA & FRIENDS 001,0.714,0.907,4,-7.89,1,0.17,0.0115,0.764,0.102,0.691,162.992
BOOTYLICIOUS,4uAdKcZq47Mpnj7gNZJC1d,Serafina,SAMBAFINA 001,0.761,0.967,7,-5.866,1,0.0719,0.00245,0.906,0.0762,0.924,147.013
SAMBALICIOUS,2WI2H9u7omKDnF0GOAEKMa,Serafina,SAMBAFINA 001,0.752,0.808,1,-7.117,1,0.116,0.026,0.93,0.0774,0.612,144.007
Samudrartha,1VdBnoGPBFE9oVbkwgrKOB,Serafina,Samudrartha,0.469,0.584,1,-5.818,0,0.0343,0.535,0.0,0.273,0.154,94.952
LOST SIGNAL,7sVHuGzOawS8omIxEDE4zE,Serafina,SERAFINA & FRIENDS 001,0.705,0.943,11,-7.556,1,0.0959,0.176,0.681,0.0724,0.494,169.977
LEAVE A MESSAGE,5Ow8QxjEuIAhoAfT04DY5d,Serafina,SERAFINA & FRIENDS 001,0.715,0.896,10,-4.722,0,0.0618,0.00205,0.865,0.314,0.835,165.033
LOUCURA,6WbT0ePlQroH1P3iSrtAfD,Serafina,SERAFINA & FRIENDS 001,0.747,0.973,1,-6.273,1,0.0981,0.0008,0.263,0.0599,0.605,164.013
Vahva omillaan,5rg4EI2Pn1tnGZ4Ur2BJDi,Serafina,Vahva omillaan,0.661,0.718,11,-11.473,0,0.0402,0.0739,0.683,0.648,0.84,116.017
Bruma,1zLBcaKPDIcpgH6sa6uQJt,Serafina,Narval / Bruma,0.277,0.668,9,-9.986,1,0.0301,0.13,0.898,0.182,0.307,132.853
Narval,08Ewoh0JqDKhxROXZyV3Le,Serafina,Narval / Bruma,0.483,0.681,1,-11.796,0,0.0386,0.166,0.946,0.115,0.122,127.999
Across the Universe - Mr. Pit Dub,29NNwGaxBfS2VnzfnENkkp,Serafina,Global DJ Broadcast - Top 20 September 2015,0.595,0.731,0,-6.755,1,0.0375,0.000159,0.901,0.105,0.132,128.021
Gaude Plaude,3BSVSWFlBPMG4gvEmeRgQ5,Serafina,In a Different Voice,0.256,0.0193,7,-30.942,1,0.0435,0.98,0.00138,0.169,0.142,128.121
Kaiserwetter,33Tyg5bcPCWxHDARma7TKA,Serafina,1 nach dem anderen,0.798,0.662,5,-7.786,0,0.082,0.451,0.0,0.123,0.645,136.011
