track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
I Don't Trust A Soul,6XIh9BtczdxO7HRQwrIPti,Ship Wrek,I Don't Trust A Soul,0.784,0.799,7,-3.963,0,0.094,0.00258,0.00527,0.0855,0.598,131.98
The Function,34fXpiwE0KrGzirOItUh9m,Ship Wrek,The Function,0.775,0.96,1,-7.282,0,0.0618,0.00462,0.648,0.103,0.589,127.028
Atmosphere,0YbCdkaZYNIkNHuEQ7Kpiv,Ship Wrek,Atmosphere,0.644,0.808,5,-7.721,0,0.0333,0.0454,0.18,0.123,0.232,128.0
Sober,4zA1GmTijWtxqbzoXQMS7w,Ship Wrek,Sober,0.819,0.726,11,-5.834,1,0.0483,0.00524,0.47,0.0816,0.556,125.997
Night In Milan,5WZp98NX90Oqy2mAQcwleA,Ship Wrek,Night In Milan,0.833,0.736,1,-4.179,1,0.048,0.00239,0.236,0.105,0.568,122.004
Dance with Me,5lUr466oUS99XxmsP9u5s4,Ship Wrek,Jauz Presents: This Is off the Deep End,0.834,0.804,2,-4.519,0,0.0614,0.00481,0.0654,0.0567,0.833,126.027
I TOLD YA,4ewH8JfcFyfTgsU6Nz55a3,Ship Wrek,I TOLD YA,0.756,0.66,10,-7.783,0,0.0566,0.0211,0.0214,0.394,0.748,129.979
Over & Over,5yxZgGzAoRUntxuqBeiX7a,Ship Wrek,Over & Over,0.641,0.889,4,-6.302,0,0.0466,0.029,0.000209,0.116,0.693,125.014
Lost In The Music,0w9cuzYWnR5eSyCZPHTxkK,Ship Wrek,Lost In The Music,0.683,0.983,6,-3.73,0,0.0561,0.016,0.681,0.066,0.382,125.99
Stardust,2wSA5eZnTCjZer0f4dxZch,Ship Wrek,Stardust,0.647,0.841,1,-7.467,0,0.0448,0.058,0.446,0.125,0.208,127.996
Gory Love - Ship Wrek Remix,3ZtfOe7eDHW3fOeo5E98up,Ship Wrek,Gory Love (Ship Wrek Remix),0.777,0.871,1,-5.935,1,0.0542,0.04,0.0498,0.177,0.586,123.0
Mamacita,6HWy1YDfSdPvJJ7DTDp8AP,Ship Wrek,NO GUEST LIST,0.794,0.908,11,-7.249,0,0.0579,0.00294,0.874,0.116,0.343,126.024
Radiation,5NhqdTRCcqww2HaRv9nXiF,Ship Wrek,Metaphysical,0.657,0.785,5,-6.949,0,0.0322,0.0112,0.0286,0.294,0.0972,123.965
Peace of Mind,4WwfpOIISmychHPjGomGOj,Ship Wrek,Peace of Mind / Where Do I Belong?,0.593,0.761,0,-8.225,1,0.0374,0.293,0.0216,0.164,0.165,132.047
Metaphysical (feat. Bipolar Sunshine),1iD9Iftc9ptjqycUNTxCQw,Ship Wrek,Metaphysical (feat. Bipolar Sunshine),0.846,0.925,0,-6.064,1,0.0484,0.0685,0.0841,0.236,0.896,124.02
It's My House (with Dillon Francis),25Jo5t6If3McpUUM3iBQ6u,Ship Wrek,Mirror Mirror,0.787,0.892,2,-4.792,1,0.0951,0.00128,0.66,0.248,0.264,123.995
Danger,6W9xnRasZucJOudBIuGoPN,Ship Wrek,Mirror Mirror,0.819,0.777,2,-5.75,0,0.0894,0.0009,0.803,0.0563,0.572,126.055
Stranded,5pgDD9mgRfOkVT4hLDyZYo,Ship Wrek,Stranded - EP,0.523,0.853,9,-5.749,0,0.0529,0.011,0.874,0.0871,0.0983,150.074
Underground,4LGm8vygHnOdvoATybWmaW,Ship Wrek,Underground,0.7,0.936,10,-4.404,0,0.0336,0.00758,0.819,0.623,0.427,126.011
Too Fuego,7AcaEuCzD6Us9jO1xVqNrC,Ship Wrek,NO GUEST LIST,0.844,0.868,2,-4.77,1,0.0622,0.00825,0.594,0.691,0.258,123.966
Show Me A Sign (with MKLA),49yvk8qS9L7I5aDeIMSutb,Ship Wrek,Show Me A Sign,0.717,0.763,2,-5.178,1,0.0559,0.0437,6.02e-05,0.154,0.741,126.002
Surfacing,1VIksht906Cl2etpCPxDhp,Ship Wrek,Surfacing,0.525,0.755,9,-6.488,1,0.0533,0.00144,0.000775,0.111,0.149,139.927
Where Do I Belong?,1EH7IE8HalqRz5LO1265jo,Ship Wrek,Peace of Mind / Where Do I Belong?,0.769,0.553,9,-8.134,0,0.0387,0.0783,0.154,0.0866,0.34,125.047
Stimulate,6GKyjW8BA1BUMX1BwUyabt,Ship Wrek,Stimulate,0.849,0.763,11,-4.692,0,0.0518,0.00144,0.892,0.123,0.749,125.049
Silent,5MvvEKnfgMVLLBkzsgStpD,Ship Wrek,Silent,0.79,0.84,2,-4.637,1,0.0609,0.0025,0.422,0.0783,0.627,126.001
Obsession,55jJiuvjDJ3opwgVI6SlVa,Ship Wrek,Obsession,0.854,0.559,10,-2.516,0,0.0347,0.0083,0.513,0.135,0.639,126.015
Feelin' Good,3pGA6MWXTysdtvtL9p15q7,Ship Wrek,Stranded - EP,0.462,0.49,8,-7.458,0,0.036,0.33,0.00133,0.0737,0.324,74.805
Animal,0N4X1hvBtjRkF8zbD1FOGc,Ship Wrek,Animal,0.754,0.902,8,-4.029,1,0.0496,0.0205,0.376,0.0894,0.81,131.989
Hard To Say Goodbye (feat. Chloe Angelides) - Ship Wrek Remix,5R0W21CFhLqVw3epCGrdSB,Ship Wrek,Hard To Say Goodbye (feat. Chloe Angelides) [Ship Wrek Remix],0.717,0.907,10,-5.031,1,0.039,0.0382,0.0721,0.0538,0.186,123.996
Whole Lotta Drugs,5WYRO89wwasU6XwYVX2uGQ,Ship Wrek,Whole Lotta Drugs / Over The Edge,0.749,0.945,9,-4.469,1,0.0738,0.000212,0.235,0.356,0.253,125.986
Soul,6woDcRWJO5EcNgiKo3bleO,Ship Wrek,Soul,0.804,0.887,1,-4.075,1,0.0668,0.00124,0.544,0.268,0.64,125.955
Only A Fool (with Pink Sweat$) [DJ D-Sol Remix],7zAGKjsI7Tyz8QAfG8rWhA,Ship Wrek,Only A Fool (with Pink Sweat$) [DJ D-Sol Remix],0.577,0.804,5,-6.786,0,0.0569,0.00684,2.63e-05,0.474,0.361,124.051
Misbehave,5ycGcr8ZiWiutDmLps8UQG,Ship Wrek,Misbehave,0.736,0.861,10,-5.419,0,0.0429,0.32,0.00742,0.0726,0.568,124.036
Jerk It Out,5b4Ptx29cPXsKenFpVGJZq,Ship Wrek,Jerk It Out,0.685,0.95,6,-5.13,1,0.0517,0.000423,0.654,0.339,0.76,127.929
Mirror Mirror,4v7iD5hHhy5CQshGKmleGw,Ship Wrek,Mirror Mirror,0.881,0.844,0,-5.563,1,0.0687,0.00692,0.131,0.372,0.476,123.99
Over The Edge,3IZ2gEi6CBFpPhYTdSdo2y,Ship Wrek,Whole Lotta Drugs / Over The Edge,0.679,0.706,4,-8.103,0,0.0625,0.207,0.468,0.103,0.276,131.972
Need It,5cG2xC4qPmUTerZdWupWNi,Ship Wrek,Need It,0.8,0.862,5,-4.373,0,0.068,0.000286,0.843,0.0516,0.405,125.97
