track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Goth - Silvie Loto Remix,5DmzMyWd2LkdZBBe5kVAFZ,Silvie Loto,Eterea,0.807,0.873,4,-7.921,0,0.0549,0.0768,0.957,0.0879,0.0357,126.004
Creature's Falls - Silvie Loto Remix,3VaA2HhuybsZ2d8wk8ixnv,Silvie Loto,Concierto Cósmico,0.786,0.696,5,-10.045,1,0.0726,0.111,0.892,0.111,0.131,126.999
AM,0aY1pj57QGowG5A1jp0AGd,Silvie Loto,Roots 5 Years Va,0.8,0.879,6,-8.273,0,0.125,0.0143,0.899,0.0727,0.557,127.988
A Side Away,1dZ4g9mixQlHHiuyDvE5Un,Silvie Loto,Solstice,0.74,0.285,5,-16.55,0,0.0369,0.279,0.918,0.138,0.0445,119.99
Crying Love,18VifiVh4K9yKongquXAuf,Silvie Loto,Crying Love,0.768,0.544,4,-11.41,0,0.0888,0.111,0.881,0.098,0.23,113.995
Flow,4Eb2SMPuxVrypiVO3NmyzU,Silvie Loto,Crying Love,0.833,0.446,7,-11.313,1,0.0384,0.154,0.914,0.0832,0.348,120.021
Coral Sun,3ThbfDuunuzqucQGbqAHjK,Silvie Loto,Solstice,0.796,0.482,1,-14.125,1,0.0496,0.0779,0.91,0.1,0.185,121.988
Loveness,3bOPKMgx3Yt8p6k4pwGL0k,Silvie Loto,Solstice,0.809,0.516,2,-15.381,0,0.0675,0.0021,0.895,0.0928,0.396,123.0
Shét,3sJfhSvsDKzyWn23bB54hB,Silvie Loto,Details - Volume 3,0.805,0.806,6,-14.351,0,0.0604,0.000763,0.878,0.102,0.201,124.0
Breeze,2kS0MzgAQHpjlut773qnmm,Silvie Loto,Crying Love,0.761,0.412,5,-14.984,0,0.0588,0.384,0.945,0.0728,0.142,118.008
Wind from the East,3GmRSdOsAYY0e7kUOPn589,Silvie Loto,Solstice,0.645,0.306,1,-17.668,1,0.0531,0.611,0.847,0.114,0.14,119.002
Woo,7cmsY36dxe2q5bkJczw5gj,Silvie Loto,Crying Love,0.883,0.349,0,-12.642,1,0.158,0.0576,0.751,0.356,0.132,115.014
Solstice,1x8LpnZOgQBfcpULCkBEa8,Silvie Loto,Solstice,0.711,0.448,9,-12.84,0,0.0374,0.0165,0.341,0.0557,0.306,120.005
Fluction,1CLwtWlnViJGP9c4yrt1Gu,Silvie Loto,Solstice,0.761,0.291,1,-21.148,1,0.0433,0.111,0.917,0.111,0.0449,119.998
Retry,2r9wCdCC5OllhkDlGs4cE1,Silvie Loto,Solstice,0.883,0.466,5,-11.545,0,0.0629,0.00179,0.917,0.0884,0.564,120.004
Cosmic Drums,0VAUCET9oPnM6mTexskYH2,Silvie Loto,Killing Time,0.801,0.871,7,-11.444,1,0.0601,0.00349,0.889,0.108,0.331,123.999
The Answer,4MrHaSqLm7deVxYR8NSl1K,Silvie Loto,Earth Night 2019,0.838,0.479,0,-14.437,1,0.0623,0.0393,0.884,0.0471,0.226,124.011
Visual,73dxD80Y33WG58YTUo2zu8,Silvie Loto,Killing Time,0.786,0.596,1,-16.344,1,0.0547,0.143,0.87,0.136,0.16,124.998
