track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Get Wompy,3JFbLpgf57vGArmdFULXNB,Sippy,Get Wompy,0.778,0.836,5,-3.428,1,0.0641,0.0159,0.74,0.17,0.361,150.046
Sip On This,1mH6LCjX9SiM6rJEEz8jz4,Sippy,Sip On This,0.753,0.72,11,-2.398,1,0.0337,0.00938,0.726,0.467,0.448,97.033
Inferno,3W0quvkBSs4vDveb1jkeYB,Sippy,GRL GANG Presents: RIOT!,0.677,0.929,10,-3.378,1,0.056,0.0209,0.0615,0.432,0.406,149.999
WYKA,0XYjfHyOQyvWD3isRadqvd,Sippy,Run It Up EP,0.598,0.984,1,-3.503,1,0.191,0.137,9.02e-05,0.346,0.182,150.127
Takin' Over,37NNddQyvj4jiBqp2mKlYY,Sippy,Takin' Over,0.431,0.938,5,-4.832,0,0.108,0.00547,0.000131,0.172,0.872,145.624
DEVIATE,2G4MaMy3KT6tCsicJzvDbL,Sippy,DEVIATE,0.602,0.883,5,-5.09,1,0.356,0.164,0.00151,0.11,0.197,75.056
Bone Breaker,6t7QJBcI7xDcjKjRO4mBDf,Sippy,Bone Breaker,0.437,0.88,2,-3.546,1,0.0795,0.0103,0.813,0.153,0.056,145.019
Watch The Crown Fall - SIPPY Remix,3swot0VjeklwwDSRCNe8iI,Sippy,Overthrown (The Thrones of Blood Remix Album),0.188,0.974,10,-0.417,0,0.559,0.00861,0.0463,0.0772,0.193,180.201
Captive,6ZvgvFGY2Pv5iL8u0ptduc,Sippy,Captive,0.519,0.829,4,-4.283,0,0.0582,0.00708,2.89e-05,0.0526,0.0832,159.941
Run It Up,0iNUbvzTSxeTHT9DVaXrJa,Sippy,Run It Up EP,0.674,0.971,2,-3.111,1,0.0948,0.123,5.45e-06,0.121,0.723,150.082
Blast Like,5Fn7KUbxPiAcXxbHor4p8W,Sippy,Friends: The Album,0.709,0.926,8,-2.881,1,0.275,0.0526,0.0282,0.326,0.411,74.986
Real Gud,4xVBbeAD2VUjbTdLcUfXZb,Sippy,Run It Up EP,0.735,0.929,0,-4.859,1,0.162,0.0014,0.0616,0.0645,0.484,74.99
Bassface,6JMlB2FSy3OxFo40Fx5tjf,Sippy,Bassface,0.626,0.912,11,-3.382,1,0.305,0.386,0.00508,0.4,0.466,173.966
Going Insane,3kqfov5qf3VfQMsnq35su1,Sippy,Going Insane,0.589,0.394,11,-10.876,1,0.0415,0.0998,0.759,0.111,0.25,139.98
Candy Kid,6Q7mn0KjoCZGYeuWR8pAmZ,Sippy,Shockwave,0.61,0.979,1,-3.459,0,0.0627,3.78e-05,0.584,0.114,0.423,150.053
