track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Pound Town,61yXM2XDYQkjWJsydNtwTz,Skream,Pound Town,0.691,0.945,1,-6.829,1,0.032,0.00395,0.279,0.116,0.835,141.993
Lost Without You,1vEJxn8P40cRIcQKjDbjLG,Skream,Lost Without You,0.734,0.894,10,-4.956,0,0.0469,0.0199,0.439,0.0656,0.466,130.023
Otto's Chant,3j8PXtq0NN7QQVdNwkoFBe,Skream,Otto's Chant,0.807,0.835,9,-9.46,1,0.0843,0.00372,0.564,0.0852,0.826,128.0
Jah No Partial (Skream Remix),7yZPSIC0vOlfPu7cNBeqQ1,Skream,Free The Universe (Extended Version),0.646,0.697,7,-5.939,1,0.0377,0.000232,0.815,0.111,0.374,86.973
LOL OK - Habstrakt Remix,02YKc6E7tLCqNQn29mpIdo,Skream,LOL OK (Habstrakt Remix),0.729,0.801,1,-4.555,1,0.0461,0.00443,0.909,0.269,0.275,125.071
LOL OK,1ADS7rypoDahvOPH5UnASF,Skream,CRISIS VISION,0.633,0.973,1,-3.143,1,0.0999,0.012,0.249,0.105,0.389,137.989
World Is Empty,2nXrGRA0qLwXtZ4QtQD6Jg,Skream,World Is Empty,0.76,0.816,11,-6.068,0,0.0826,0.104,0.0028,0.186,0.246,131.026
Trip,7GwDMfDBgPn29Tsq8NAtID,Skream,Trip,0.609,0.921,7,-5.129,0,0.0521,0.00459,0.791,0.124,0.45,134.008
Keep Movin',4b85ZjT24dCgchtPZ0RO3J,Skream,Dark Matter,0.577,0.873,0,-7.117,0,0.0433,0.000643,0.0133,0.0679,0.201,120.002
Where You Should Be,4ShsjAwpwahtygMefp4gsV,Skream,Outside the Box (Expanded Edition),0.505,0.684,11,-9.424,0,0.0401,0.0143,0.0111,0.159,0.445,144.997
Devon Analogue Raver,3l2ecmr8p40qLJAjhneI4a,Skream,Skreamizm 8,0.645,0.86,3,-6.947,0,0.0347,0.000149,0.722,0.114,0.308,139.032
Body Moving - Skream Remix,4Si92Ccti5JgtMIhYVaEEt,Skream,Body Moving (Skream Remix),0.711,0.873,10,-8.043,0,0.0337,0.000219,0.064,0.0313,0.542,127.998
Need U (100%) (feat. A*M*E) - Skreamix,6Uc6yEJR5Vdy0SB3kc7ise,Skream,Need U (100%) (feat. A*M*E) [Remixes],0.688,0.613,10,-7.471,0,0.0556,0.00322,0.505,0.0234,0.362,123.983
So Sorry,0m8Mz4HBphiBVEiI99u8jU,Skream,So Sorry,0.639,0.463,11,-10.716,0,0.0532,0.446,0.135,0.133,0.601,129.931
Exothromic Reaction,5QuMajKIg5pWFf1L2NzNcY,Skream,Exothermic Reaction,0.829,0.793,2,-6.883,1,0.065,0.0299,0.00332,0.116,0.501,140.078
The Attention Deficit Track - Edit,7AKaUvMxAw88jMdy9wXYFW,Skream,The Attention Deficit Track,0.789,0.974,6,-7.874,1,0.0532,1.38e-05,0.858,0.103,0.0965,130.011
The Attention Deficit Track - Terrace Mix,6lMyilWDPQ9SYz0lGZiXK1,Skream,The Attention Deficit Track,0.793,0.944,6,-8.463,1,0.0641,1.09e-05,0.863,0.0938,0.0893,130.014
Anticipate (feat. Sam Frank) - Netsky Remix,4TZHOZG9j2pdXVJDgtnCoE,Skream,Anticipate EP,0.494,0.809,6,-4.083,0,0.0343,0.00071,0.00104,0.199,0.454,86.477
Flesh and Blood - Skream Lockdown Autonomic Remix,3I3sR162CQKsgL72RKlIhS,Skream,Dream in Colour (Remixes),0.598,0.599,6,-8.095,0,0.0439,0.0745,0.777,0.105,0.0812,165.983
Sometimes I Feel So Deserted - Skream Remix,3WO41fJVbhrYsCOdr4QOQt,Skream,Sometimes I Feel So Deserted,0.725,0.959,1,-5.992,1,0.0346,0.00163,0.325,0.0542,0.0295,119.983
Waiheke Island - Radio Edit,2T2IRIdVQfWOJAeGl4xeCp,Skream,Waiheke Island,0.613,0.898,10,-7.589,1,0.0351,0.0104,0.866,0.0391,0.359,137.997
Anticipate (feat. Sam Frank),59IEQysGzhCxY6e4ub9wb6,Skream,Anticipate EP,0.399,0.437,6,-5.763,0,0.0686,0.000548,0.615,0.109,0.513,140.066
Deeper Concentration,5n9jXH1wQlu7PseB4bTqbk,Skream,Unreleased Classics. Vol.3,0.652,0.648,5,-8.414,0,0.0858,0.0102,0.785,0.283,0.326,140.01
Pizza Boy - Skream Remix,6XbOIXbjJYaAe9vIGc5oTg,Skream,Pizza Boy (Skream Remix),0.696,0.616,4,-8.372,0,0.0344,0.0284,0.566,0.0809,0.23,127.975
Cpu,1mF7WWRvhrB7Wylst7lVWq,Skream,Outside the Box (Expanded Edition),0.42,0.536,7,-6.981,1,0.0419,0.000314,0.00207,0.435,0.129,141.947
0800 Dub,4ZoZW2Bv4XWmnt1n1GEybJ,Skream,Skreamizm (Vol. 2),0.366,0.356,10,-12.51,1,0.028,0.0919,0.797,0.111,0.1,139.988
Song for Olivia,3G69N93wUnXpTOuoo2pJT1,Skream,Song for Olivia,0.551,0.931,0,-4.586,0,0.0342,1.11e-05,0.911,0.0299,0.81,123.995
My Body,1NISyNrwwO4ysIDadFQI1c,Skream,Skreamizm 8,0.681,0.873,7,-6.044,1,0.045,0.301,0.759,0.0928,0.168,139.968
Bahl Fwd,0JGesdhQ6ljlNLGjJzp6dG,Skream,"Tectonic Plates, Vol. 1",0.723,0.551,7,-9.386,1,0.0496,0.0086,0.801,0.185,0.104,140.08
Finally,4v42sPebyqAY6zJQIX98Kx,Skream,Outside the Box (Expanded Edition),0.587,0.581,5,-9.366,0,0.0282,0.00823,0.00634,0.0953,0.63,140.038
Drive - Skream Remix,0Wizn3l3rOpRJBob0pGRAI,Skream,Drive (Skream Remix),0.658,0.667,7,-6.889,1,0.03,3.28e-05,0.238,0.0963,0.556,119.504
World Is Empty - Extended Mix,2aUeoEDkEjCFjgzhiqKaZj,Skream,World Is Empty,0.779,0.888,11,-6.279,0,0.0558,0.0485,0.16,0.0771,0.266,131.019
FIYA SELECTA,0CkYrIQRRCQKxV1EmN6JxK,Skream,FIYA SELECTA,0.785,0.907,8,-3.644,0,0.0486,0.000311,0.00111,0.305,0.28,139.981
Blipstream,1Bybwa5SxMd2JUDDQJWqag,Skream,Skreamizm (Vol. 2),0.743,0.508,0,-10.335,1,0.0692,0.00758,0.921,0.786,0.288,140.011
Track 3,49k0tlgbSc5JpTKaFVIetG,Skream,The Attention Deficit EP,0.66,0.638,6,-9.944,0,0.0596,0.000124,0.886,0.04,0.63,120.002
