track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
SATOSHI'S NIGHTMARE,2Qm5EB1sSlUK2LeWr3wKYD,Slamm,SATOSHI'S NIGHTMARE,0.81,0.667,1,-6.769,1,0.0591,0.00209,0.943,0.0681,0.244,127.0
BROKEN,64p3YVkVBhXEjuxu5NJdoT,Slamm,BROKEN,0.801,0.891,6,-6.833,1,0.0723,0.00287,0.909,0.237,0.485,131.007
Energize,4lELabuisCBYemQ4ZFQ8e9,Slamm,We Thank You All,0.618,0.938,8,-10.648,0,0.0402,0.0483,0.023,0.0784,0.937,134.665
C'mon Billy,3F5cQ9Puysg9VmqfpUSpL5,Slamm,Kill Your Friends,0.462,0.45,9,-12.529,0,0.0294,0.112,0.0,0.188,0.483,79.039
Whats Going On,3u36p2Q4BVKudOoScVLCNk,Slamm,We Thank You All,0.692,0.494,1,-13.051,0,0.0343,0.121,0.00902,0.0775,0.52,102.398
Candybar Express,18zshDyoOjCqBUkA3yy2iX,Slamm,We Thank You All,0.635,0.986,7,-3.641,1,0.0587,0.024,0.000983,0.19,0.426,113.927
Slamm Interview,0siUxa213ScHbJvYVwjsMX,Slamm,We Thank You All,0.669,0.283,9,-13.998,0,0.862,0.584,0.0,0.175,0.672,82.407
Can't Get By,2pCm02k8eVsdHLVw92cEwE,Slamm,We Thank You All,0.634,0.863,0,-7.068,1,0.0368,0.0207,1.95e-06,0.0425,0.445,100.008
Yuri G,77OnUODhWYMSszAbNhsVAJ,Slamm,PJ Harvey Interpreted,0.66,0.431,11,-12.441,0,0.0397,0.00374,0.0957,0.0877,0.79,141.989
Stand Up,6IYeAZZTfDfw1IyMNoM7c3,Slamm,We Thank You All,0.632,0.953,0,-8.413,1,0.041,0.0106,0.000307,0.091,0.751,117.555
Kashmir,3UGbOGCxsjVHb0HoUNHqer,Slamm,Harley Quinn and Mr.J,0.533,0.455,2,-10.735,1,0.0257,0.0464,0.000249,0.177,0.368,82.041
I Thank You All,23RLbIW5LJsflt6BoypJto,Slamm,We Thank You All,0.612,0.915,9,-8.976,1,0.0434,0.00771,0.013,0.0468,0.938,113.345
Better Day,2J9EbiK2iHCxzwHXID0XX2,Slamm,We Thank You All,0.694,0.788,0,-5.73,1,0.0283,0.0111,0.0,0.109,0.699,100.067
Abraham Martin & John,5aNapjgdv9YAIj33BIhnDP,Slamm,We Thank You All,0.644,0.35,9,-9.341,1,0.0283,0.785,1.69e-05,0.0855,0.0916,103.934
DEBUTNATE (feat. SLAMM),1AP0FbMeIgdYt7Ok2PPpfb,Slamm,DEBUTANTE,0.594,0.679,3,-6.439,0,0.256,0.0135,0.0,0.0904,0.252,74.449
Virginia Plain,5mAObsaY5VoLvZMglBa86Z,Slamm,We Thank You All,0.547,0.974,8,-4.667,1,0.0426,0.00596,0.000243,0.0751,0.889,130.922
That's Where My Mind Goes,5ckWYrXFErIUJzRu1pDbPA,Slamm,We Thank You All,0.42,0.363,7,-12.648,1,0.029,0.361,7.98e-06,0.104,0.107,156.179
Just Can't Stop my Heart,2eYr9AY4gh5aWqihhSQyRB,Slamm,We Thank You All,0.591,0.913,1,-3.012,0,0.0358,0.0267,0.0,0.0411,0.637,96.983
Like Right Now,6aNfXMLGo95xlLwF4KiQ7F,Slamm,We Thank You All,0.6,0.925,9,-4.984,1,0.0466,0.042,0.0,0.0661,0.435,98.029
