track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
tema do castelo,0LBqfE55gqYQBFQXuWDejI,Slugg,tema do castelo,0.61,0.796,6,-4.678,0,0.0452,0.0259,0.0,0.161,0.248,138.479
FONk,3gWh0fVMlbU9phKU57VClY,Slugg,FONk,0.768,0.83,1,-7.916,1,0.051,0.00305,0.391,0.0957,0.585,129.992
"No, No, No",6ig23dXeXlhsG0rSuKoWLP,Slugg,Whats Going On EP,0.791,0.869,2,-4.498,1,0.0814,0.000179,0.757,0.0916,0.64,129.039
Ex Bitch,0E9bWH0q0uXcXgOkQ7KMAs,Slugg,Fashion Baby EP,0.803,0.731,7,-8.806,1,0.0737,0.000332,0.774,0.0646,0.733,128.992
Juanita,50IXKjhumczDcjGZtpREwq,Slugg,Juanita,0.801,0.96,11,-5.953,0,0.0524,0.00059,0.79,0.369,0.963,128.02
Currency,57jZlN4fpaC8GtRAht1PJs,Slugg,Carolina2Cashville 350MilesLater,0.914,0.489,2,-10.475,1,0.264,0.0176,0.0,0.041,0.432,130.023
Gas In My Blunt,3jTU1FSXRrwk1fXFJCrq6q,Slugg,Hip HoP Delights,0.798,0.746,7,-7.852,1,0.0477,0.000127,0.701,0.0731,0.348,127.983
Fashion Baby,3zDogsDpurYFZ9QUfPlI8m,Slugg,Fashion Baby EP,0.781,0.85,4,-10.502,0,0.0719,0.000486,0.529,0.0966,0.475,128.002
Hip HoP Delights,5AVy9WAMEUfeYhayW3nnff,Slugg,Hip HoP Delights,0.835,0.856,6,-6.137,0,0.0929,0.000135,0.713,0.0821,0.809,130.003
OFFDAWALL,10EhepclEXIbdD6V1yHmFE,Slugg,Pimpin' Aint Easy,0.817,0.726,11,-7.166,0,0.0695,0.0843,0.475,0.0833,0.77,128.014
Carolina's Finest,4NRqaPaG9177aP6gBuJ3Uw,Slugg,Pimpin' Aint Easy,0.83,0.932,11,-6.514,0,0.112,0.00639,0.16,0.103,0.697,126.993
Shawty Don't,6YETwZpl0evsBx6ASELeg2,Slugg,Shawty Don't,0.803,0.621,10,-11.588,0,0.0546,0.00501,0.293,0.0475,0.544,127.991
White Women,7tmoeZ7zBmoPEYxc9Tywv0,Slugg,Hip HoP Delights,0.741,0.937,11,-6.425,1,0.0425,0.000131,0.808,0.034,0.488,128.014
Appeal2DaMasses,6JtvnoJbbpILKtwd3uH56L,Slugg,Pimpin' Aint Easy,0.787,0.716,6,-9.169,0,0.106,0.000238,0.543,0.113,0.58,126.976
trust me,3CYoufyDa7ygRl018FUYGJ,Slugg,fuckfakefriends deluxe,0.492,0.654,5,-7.729,0,0.0628,0.118,0.0,0.207,0.319,157.946
For Da Peeps - Original Mix,3w28jzdTIxnSsNcpK5z5cF,Slugg,Don't Forget To Go Home,0.84,0.712,3,-7.616,0,0.0961,0.00539,0.381,0.0756,0.84,127.996
Kid Franklin,0pzPz1Hrw6wgU3aopvwgA0,Slugg,Pimpin' Aint Easy,0.81,0.672,11,-7.105,0,0.0718,0.00259,0.873,0.0632,0.617,126.017
АНИМЕ ДЕВЧОНКА,4AZG9X2xQPpej347drAu9D,Slugg,DREAM GARDEN 2,0.34,0.841,4,-8.528,0,0.0656,0.000233,6.88e-06,0.129,0.385,172.179
Killa C - Edit,5bA2fRLPyMxuE4MABOFTrE,Slugg,SHMMUSHROOM EP,0.801,0.701,4,-8.722,1,0.058,0.01,0.88,0.0739,0.706,129.002
Juanita - Jesse Perez Remix,2LquDqyUtRIcNd84p6pMFS,Slugg,Juanita,0.703,0.894,6,-6.938,0,0.0388,0.000177,0.859,0.102,0.829,128.005
WannaBeez,205ubAMrTs22H5E3xL2hFj,Slugg,Pimpin' Aint Easy,0.751,0.786,11,-7.472,0,0.042,0.000132,0.615,0.0645,0.543,128.004
Used By A DJ,1x5G84LnnvCcybaJTRBbKo,Slugg,Pimpin' Aint Easy,0.802,0.854,10,-8.735,0,0.0505,0.000291,0.894,0.0814,0.488,127.99
Sosa Baby,5MLirY5FxbVHexr1MRQBYJ,Slugg,Sosa Baby,0.804,0.755,2,-11.406,1,0.0702,4.34e-05,0.856,0.45,0.3,127.998
Pimpin' Aint Easy - Continuous Mix,3RNWyst88ZEZS21X9g0VUC,Slugg,Pimpin' Aint Easy,0.716,0.797,11,-7.625,0,0.0701,0.00593,0.274,0.136,0.459,127.464
Dade County,11sF4tW9S6DSbHnr4ZJNLY,Slugg,Back to da Streets,0.863,0.81,1,-7.549,1,0.0817,0.000828,0.491,0.131,0.759,127.978
Compared2Wutt,2SIhzVaSNzEQhir56KU3mn,Slugg,Pimpin' Aint Easy,0.781,0.918,6,-7.481,1,0.0405,0.0385,0.508,0.0616,0.63,127.984
Beat That Beat,5OhfRrKrS3reUGR3SSkBFm,Slugg,Taking Life Easy,0.798,0.772,11,-7.005,1,0.0601,0.00013,0.792,0.0468,0.832,127.009
Tell Dem Hoes - Leyva Remix,5w9TECkIo6TLA9vghlUcU2,Slugg,Tell Dem Hoes (Leyva Remix),0.804,0.952,7,-7.928,1,0.0587,0.00852,0.675,0.0759,0.751,129.968
Party's Never Over,4tefFw4r2V8lOXRtANBQw8,Slugg,Fashion Baby EP,0.804,0.766,11,-9.253,1,0.0491,0.00102,0.817,0.0593,0.675,126.988
Suspect,3YmWaLRgbzZsLkr6zXKB6w,Slugg,Rookie of the Year,0.806,0.848,7,-6.925,1,0.055,2.03e-05,0.185,0.0817,0.538,126.989
Juanita - Afriqua's Juaniqua Dub,1p6PbhlPDMwa9fNBXMe4Dw,Slugg,Juanita,0.79,0.92,1,-5.751,1,0.0452,0.00379,0.729,0.0853,0.377,128.006
Follow Me - 3am Mix,6JeNisoK2Ba7m6aof9IOEu,Slugg,Back to da Streets,0.798,0.89,11,-6.338,0,0.0812,0.0123,0.0377,0.0745,0.768,127.988
Fortune Like The Wheel,6Icie4ffpnWNWMcUkcIYBE,Slugg,Out My Face,0.792,0.803,11,-6.436,0,0.0982,0.00428,0.616,0.0879,0.492,128.982
СО МНОЙ,0QiihuEiXMxfeBxCDAZ2Ct,Slugg,DREAM GARDEN 2,0.639,0.33,1,-14.333,0,0.0767,0.0304,0.000105,0.138,0.311,159.877
&One,6pRO8bXQ3WmMiOfRFH3kcB,Slugg,Summer Series VA,0.794,0.83,1,-8.78,1,0.12,0.000516,0.803,0.0777,0.613,127.009
Tell Dem Hoes,2E5GpgQ6qdBxkKpAFNnlk2,Slugg,Tell Dem Hoes,0.824,0.871,11,-7.398,0,0.073,0.00362,0.702,0.0354,0.921,128.008
Mrs. Jones,6ETQVUafCpY86cpS3nypDk,Slugg,Pimpin' Aint Easy,0.801,0.844,4,-7.498,0,0.0585,0.000358,0.872,0.0809,0.681,127.012
Shmmushroom - Edit,1zmDyTYVFUjvtIeCCSmlXR,Slugg,SHMMUSHROOM EP,0.841,0.636,11,-8.633,1,0.0964,0.0685,0.828,0.119,0.425,127.99
eskimo,6V4130FAMdKI0RlmEtjlai,Slugg,Highest,0.582,0.72,11,-6.816,1,0.0428,0.323,0.0,0.466,0.269,147.042
Double Take,7uufkUPX9dkIcZsYuicYaH,Slugg,Pimpin' Aint Easy,0.803,0.695,7,-8.201,1,0.0514,0.000249,0.792,0.0991,0.649,126.015
Out My Face,66D4Bqbwa8kOzSh6F5JmrS,Slugg,Out My Face,0.797,0.88,0,-6.59,0,0.0406,9.42e-05,0.479,0.0968,0.888,129.021
Steady Pushin',3CNdOx9MszQGORrikBCWl7,Slugg,Shawty Don't,0.807,0.805,11,-8.348,0,0.0498,0.0222,0.82,0.176,0.703,128.053
Bounce Wit Me - Radio Edit,2QLBU1SMnAsXdes9oyl16k,Slugg,"Clarisse Various Artists, Vol. 4",0.73,0.836,6,-7.622,0,0.0572,0.000854,0.682,0.0501,0.8,128.016
Whats Going On,0eDodu4hfK3Xhcbm4vHbti,Slugg,Whats Going On EP,0.809,0.8,9,-5.21,1,0.0543,0.00311,0.358,0.166,0.624,128.019
Intro - Marvins Beat,4cnOXNnRk50t0oZb1I7nPH,Slugg,Pimpin' Aint Easy,0.701,0.646,4,-11.441,0,0.0443,0.39,0.0142,0.0891,0.15,94.997
highest,4ka5jYKqxTdxDWvAgnZKch,Slugg,Highest,0.427,0.698,1,-6.952,1,0.0375,0.00904,0.0,0.0886,0.165,139.819
Woodstock,3g02raxbpGHrIoDbd2mo39,Slugg,Woodstock,0.77,0.705,9,-7.096,0,0.0413,0.0466,0.000127,0.232,0.301,100.042
NUMERO UNO,6oC2tH68kEF0zz8CwMF73f,Slugg,NUMERO UNO,0.335,0.121,6,-17.179,1,0.256,0.0283,0.716,0.117,0.352,73.466
matilha,3SvnpqSGIPzEGOlf2suK90,Slugg,Laços,0.758,0.366,10,-12.682,0,0.0858,0.0362,7.47e-06,0.307,0.495,148.115
0a0,7bK7k0wH6AAAiFqazCpBtL,Slugg,peeked by elkay,0.716,0.538,2,-10.65,1,0.279,0.124,1.98e-06,0.106,0.46,110.474
