track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Hey Homie,187ncCMMqbzQg6UEyBAj9W,Sofi Tukker,BREAD,0.681,0.687,5,-6.417,1,0.0448,0.229,9.25e-05,0.0756,0.468,90.009
911 - Sofi Tukker Remix,4jw0We86Jsyj134Yp5RseD,Sofi Tukker,911 (Sofi Tukker Remix),0.849,0.699,10,-6.603,1,0.0365,0.105,0.0,0.0998,0.38,123.999
more than love - Sofi Tukker remix,0CICivRwFKqLs5oiBLYicx,Sofi Tukker,more than love (Sofi Tukker remix),0.675,0.65,6,-10.415,1,0.0273,0.193,0.0257,0.375,0.193,120.015
It Don’t Matter - Spotify Singles,7ltLi7CG003USSGYsSba9s,Sofi Tukker,It Don’t Matter - Spotify Singles,0.732,0.864,3,-5.94,0,0.0378,0.161,1.34e-05,0.367,0.568,118.032
Hey Homie (TroyBoi Remix),6p4hG0n7UCqfSBoO4n3hQI,Sofi Tukker,Hey Homie: The Remixes,0.854,0.453,2,-5.846,0,0.181,0.0319,0.0017,0.311,0.401,92.015
Perfect Someone,4xmAEAbMldER7mz8DnFk1b,Sofi Tukker,BREAD,0.762,0.778,11,-7.068,0,0.0786,0.0692,0.0417,0.102,0.402,123.998
Veneno,7eUalfb6XYFlpM8LvHmsJD,Sofi Tukker,Veneno,0.699,0.883,6,-4.991,0,0.0707,0.137,0.0181,0.279,0.511,120.038
Baby Don't Hurt Me (feat. Anne-Marie & Coi Leray) - Sofi Tukker Remix,5js0S06HeHofz7ZtlXV7In,Sofi Tukker,Baby Don't Hurt Me (feat. Anne-Marie & Coi Leray) [Sofi Tukker Remix],0.747,0.712,9,-7.044,0,0.045,0.0753,0.799,0.145,0.38,127.993
Bread (Odd Mob Remix),2a7S20OOYMYdwka6SxCynO,Sofi Tukker,Bread: The Remixes,0.805,0.962,4,-4.74,1,0.0601,0.0494,0.162,0.0978,0.889,130.005
Bread,7uEbRqAcg5EX3Y8k1rH1Jp,Sofi Tukker,BREAD,0.723,0.904,11,-7.177,0,0.0468,0.0386,0.00704,0.222,0.766,125.016
Jacaré,5honS07J6MC9cvJwPiBvfR,Sofi Tukker,BREAD,0.694,0.84,7,-5.18,0,0.0364,0.00375,0.0163,0.116,0.711,125.063
