track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Tout le monde est fou - Club version,1LIl33nypV0BZhHVUZ6dEU,Solomun,Tout le monde est fou,0.716,0.755,8,-6.914,1,0.0365,0.000303,0.645,0.0598,0.341,124.011
Can't Stop,1JR3cLdPWwOuLOKeOEdigw,Solomun,Can't Stop,0.593,0.746,7,-10.857,1,0.0388,0.00541,0.78,0.282,0.38,133.004
Till I Die (feat. Claudia Valentina),4pawR52ONFQTCYUzI6C2xZ,Solomun,Till I Die (feat. Claudia Valentina),0.656,0.541,2,-6.983,0,0.033,0.00137,0.0754,0.0892,0.391,130.018
Prospect (feat. ÄTNA),4sYPwKoJeFPlKHz3Dwa9NB,Solomun,Nobody Is Not Loved,0.853,0.403,9,-10.004,0,0.0515,0.0801,0.424,0.0421,0.377,122.003
Television - Solomun Remix,55oy5F3HqrHXZ9scrDSoAD,Solomun,Television (Solomun Remix),0.614,0.941,11,-7.356,0,0.036,0.00458,0.47,0.349,0.355,127.973
Strange Feelings - Solomun Remix,5icCLb51rZ05DHdLKqQFJp,Solomun,Promised Land (Remixes),0.564,0.792,5,-7.928,0,0.0298,0.000292,0.821,0.13,0.465,127.999
Don't Give Up,41IzbkTcmjj8EMsMCAw0iM,Solomun,Don't Give Up,0.589,0.767,9,-7.999,0,0.0283,0.00123,0.832,0.101,0.298,128.0
Atlas World - Solomun Day Remix,5z9tdnpXDqJ8Enauagfc7W,Solomun,Atlas World (Solomun Remixes),0.684,0.58,9,-9.77,0,0.0309,0.0675,0.49,0.125,0.0702,120.014
Late Night - Solomun Remix,0l2C9pw5nBeMlzQW8Xz8F9,Solomun,Late Night (Remixes),0.87,0.701,7,-7.385,1,0.0485,0.0225,0.479,0.104,0.195,121.988
West Coast - Solomun Remix,2yc61Nbwi0fHPscKqf5VZm,Solomun,Solomun - Selected Remixes 2009-2015,0.773,0.553,6,-12.236,0,0.0432,0.0799,0.487,0.139,0.311,119.992
