track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Warp 1.9 (feat. Steve Aoki),0HIruANJzlQkYwlpvh8cn6,Steve Aoki,ROMBORAMA,0.654,0.599,1,-6.174,1,0.262,0.00109,0.888,0.0403,0.398,130.171
MIC Drop (Steve Aoki Remix) (Full Length Edition),01380RE6UfsPSdiUIwrCoH,Steve Aoki,Love Yourself 結 'Answer',0.606,0.85,11,-3.952,1,0.183,0.0114,1.01e-06,0.206,0.542,170.01
Mi Gente - Steve Aoki Remix,6tK77Y61ZxGga7uCbMaEI1,Steve Aoki,Mi Gente (Steve Aoki Remix),0.72,0.953,11,-2.47,0,0.245,0.00215,1.94e-05,0.105,0.554,127.991
Azukita,5e45GhSF18JYoLpaq2F48h,Steve Aoki,Azukita,0.715,0.942,8,-2.889,1,0.107,0.00175,0.000461,0.0581,0.818,130.019
The Truth Untold,4eP8Syl3aBEQw3Jy5Bhq0D,Steve Aoki,Love Yourself 結 'Answer',0.571,0.422,1,-7.561,0,0.0422,0.374,0.0,0.127,0.169,113.016
Back to Earth (feat. Fall Out Boy),1SqHHN5Mqy13gHbDGjTaU7,Steve Aoki,Neon Future I,0.585,0.906,4,-3.044,0,0.228,0.0268,0.0,0.0482,0.209,128.072
I Love It When You Cry (Moxoki) - Radio Edit,6vscP7Fweq7fwosyliwjRq,Steve Aoki,Neon Future II,0.639,0.795,9,-3.535,1,0.0416,0.0246,0.000324,0.509,0.454,128.013
Thriller (Steve Aoki Midnight Hour Remix),2SrGtpbPh7czhWKGmXk8Aw,Steve Aoki,Thriller (Steve Aoki Midnight Hour Remix),0.592,0.917,11,-3.022,1,0.0596,0.00149,0.0474,0.328,0.45,125.076
Let It Be Me,1g88jUJGJupu5QysiJUBI2,Steve Aoki,Neon Future IV,0.661,0.758,7,-5.299,1,0.0868,0.0797,0.0,0.106,0.387,114.096
The Way I Are - Steve Aoki Pimpin Remix,6AGcdXzZA1MHJQ9zFzMeSs,Steve Aoki,The Way I Are (Steve Aoki Pimpin Remix),0.661,0.902,6,-5.213,0,0.0525,0.000361,0.33,0.039,0.797,128.02
Pretender (feat. Lil Yachty & AJR),4edSvphSxQkc5WAhJ9tuF6,Steve Aoki,Neon Future III,0.637,0.778,5,-3.642,0,0.0706,0.0248,0.0,0.228,0.286,103.093
Get Lower,7xKmcNxk4wF03Xpc4oIXbg,Steve Aoki,Get Lower,0.661,0.989,8,-1.654,1,0.123,0.0175,0.0,0.655,0.287,128.082
Mayhem,4m8wqeb8HEE7LLVVxi3Jal,Steve Aoki,Mayhem,0.604,0.964,8,-4.713,1,0.033,0.00016,0.611,0.858,0.078,127.93
Just Hold On,27zK2lkAiqFw7y113I94H5,Steve Aoki,Neon Future III,0.647,0.932,11,-3.515,1,0.0824,0.00383,1.5e-06,0.0574,0.374,114.991
KULT (feat. Jasiah),7yWOt3C6vOEOcGl3Sf1rTP,Steve Aoki,HiROQUEST: Genesis,0.446,0.832,4,-4.195,0,0.0596,0.000331,0.000784,0.203,0.558,165.983
MIC Drop (feat. Desiigner) [Steve Aoki Remix],6XxpvCj3eLWs3lYowSgC4G,Steve Aoki,MIC Drop (feat. Desiigner) [Steve Aoki Remix],0.612,0.841,10,-4.332,0,0.219,0.0157,0.0,0.23,0.644,169.915
Boneless,75f4fO9adbAYJqNBKJNrxs,Steve Aoki,Boneless,0.743,0.962,11,-3.205,0,0.0626,0.00436,0.643,0.351,0.648,127.995
"Burrow (with Don Toliver, Steve Aoki & Dot Da Genius) - Bonus Track",79QdtrBWO8lCVaZCYMIxvn,Steve Aoki,Entergalactic,0.645,0.743,8,-7.0,0,0.0279,0.0175,0.321,0.0916,0.226,135.012
Delirious (Boneless) (feat. Kid Ink),2SSFvQBwsxeazzo7z5l9gD,Steve Aoki,Neon Future I,0.706,0.912,8,-4.44,0,0.0565,0.0195,0.0,0.232,0.925,128.004
A LIGHT THAT NEVER COMES,3BnBKNItMng824sLx0pUfy,Steve Aoki,RECHARGED,0.687,0.871,0,-5.531,1,0.0689,0.00225,0.00708,0.134,0.539,115.0
Nataaoki,7w47Qtyrw5y4w5Qa0wNjco,Steve Aoki,NataKong,0.768,0.835,6,-4.961,0,0.11,0.07,3.94e-06,0.0593,0.797,119.982
He's A Pirate (Save Me),1Vj7ZZgVpNIKqkC2bA9mpx,Steve Aoki,He's A Pirate (Save Me),0.336,0.935,2,-3.527,1,0.0727,0.00116,0.000121,0.319,0.235,143.892
2 Times,03xIKiQXopptD4Sv8ijvcG,Steve Aoki,2 Times,0.772,0.951,9,-3.375,0,0.271,0.0634,0.000738,0.036,0.4,74.973
The Truth Untold (feat. Steve Aoki),7DEKa5Z7Cl8s3Y7imb88OM,Steve Aoki,Love Yourself 轉 'Tear',0.571,0.422,1,-7.561,0,0.0422,0.374,0.0,0.127,0.169,113.016
Waste It On Me (feat. BTS),2J0X46UkpfLlWbuCXFgDLr,Steve Aoki,Neon Future III,0.669,0.684,7,-4.595,1,0.0585,0.252,0.0,0.72,0.466,96.097
Corridos y Alcohol,0rM42t81JYJ3N6FOmD9gTQ,Steve Aoki,Corridos y Alcohol,0.725,0.917,2,-5.037,1,0.0357,0.0211,3.53e-06,0.103,0.888,132.028
Muñecas,1PAvhqefivTNdxZ4u8RT1d,Steve Aoki,Muñecas,0.681,0.711,10,-4.79,0,0.0846,0.0278,0.0,0.312,0.826,89.89
"Mambo (feat. Sean Paul, El Alfa, Sfera Ebbasta & Play-N-Skillz)",06JY9GFaHBQuFEvbO0Mhkc,Steve Aoki,"Mambo (feat. Sean Paul, El Alfa, Sfera Ebbasta & Play-N-Skillz)",0.718,0.93,6,-4.719,0,0.0876,0.0167,0.0,0.207,0.77,128.003
"Radio (feat. Trippie Redd, Jessica Baio & KABU)",5H38vBUsQxZcigRGIDeyv5,Steve Aoki,"Radio (feat. Trippie Redd, Jessica Baio & KABU)",0.487,0.563,1,-5.67,1,0.0286,0.0491,0.0,0.125,0.276,89.993
"My Life (ft. Swae Lee, PnB Rock, KABU)",0gWBJI9s7jeQPH2YlQwM0b,Steve Aoki,"My Life (ft. Swae Lee, PnB Rock, KABU)",0.713,0.886,8,-3.075,0,0.172,0.633,0.0,0.769,0.477,123.843
Rolex - Steve Aoki Remix,16i3H5whsxhyLCBwceuR4j,Steve Aoki,Rolex (Steve Aoki Remix),0.666,0.816,8,-3.595,0,0.0614,0.0102,0.0,0.11,0.333,145.042
RITMO (Bad Boys For Life) - Steve Aoki Remix,6cg7xTJ0KnJS59h5RHWZ6K,Steve Aoki,RITMO (Bad Boys For Life),0.84,0.719,1,-3.333,1,0.0887,0.0728,0.0188,0.112,0.494,111.993
Losing My Religion (feat. MKLA),4x8iDJnhOJSMSu1rJzDEgL,Steve Aoki,Losing My Religion (feat. MKLA),0.603,0.82,10,-8.506,0,0.0396,0.0196,0.0462,0.11,0.285,123.971
