track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Gas Pedal Remix,18SVzej2aT7rf04XvCs7CB,Subtronics,Gas Pedal Remix,0.529,0.828,11,-7.005,0,0.062,0.00678,0.000355,0.408,0.249,135.852
Black Ice,1oacAKa5ReNOfuqaJ1gdBJ,Subtronics,Black Ice,0.509,0.392,9,-5.58,1,0.0824,0.0185,0.196,0.332,0.191,146.955
crystallized (feat. Inéz) - Subtronics Remix,0nRYjxQQCzMVyjgpTtKjLt,Subtronics,crystallized (feat. Inéz) - Subtronics Remix,0.419,0.879,1,-3.472,1,0.381,0.0433,3.95e-06,0.0972,0.0398,135.049
Sploinky Dub,0b8WrzU0hzr5WH2uEpMlcL,Subtronics,Sploinky Dub,0.907,0.668,2,-1.535,1,0.288,0.0215,0.061,0.278,0.32,139.986
Amnesia - HOL! Remix,3Eao1qm5hHfL2YplGHeI1N,Subtronics,Amnesia (HOL! Remix),0.587,0.966,10,-1.229,0,0.292,0.017,0.0641,0.966,0.0618,145.12
Fuck Up,6GTcXY7czG1MNQV2dJGF1E,Subtronics,Fibonacci,0.63,0.926,1,-1.745,1,0.324,0.0555,0.326,0.19,0.342,140.144
Scream Saver,3svdq1Crgj8IMezbI1K6cO,Subtronics,Scream Saver,0.644,0.88,10,0.91,0,0.274,0.0225,0.544,0.575,0.415,75.021
Black Ice (feat. Phantogram),0i3NZpE5KwC70tf0GSKekx,Subtronics,Black Ice (feat. Phantogram),0.514,0.534,1,-4.621,0,0.288,0.0309,7.94e-05,0.321,0.216,146.872
Lock In,0A6IKTxklEXg3GhSZrudG7,Subtronics,Lock In,0.646,0.96,0,-0.035,0,0.466,0.0182,0.0471,0.316,0.339,144.977
Gangstas,71y2XSHScrSeAz2xSg6YZ0,Subtronics,Fibonacci,0.667,0.987,9,-0.813,1,0.339,0.0459,0.012,0.326,0.128,165.084
Quantum Queso,2z0lSL8A8BOvQweRqcoXaJ,Subtronics,TESSERACT,0.761,0.878,5,-2.214,0,0.203,0.057,0.193,0.235,0.112,139.94
Oblivion,0ETcg35I3T0BMV0Pf2isfz,Subtronics,Fibonacci,0.614,0.927,6,-1.77,0,0.0958,0.000595,0.337,0.0853,0.0399,144.966
Escape - Subtronics Remix,11IQ89bxoC3bklnfP5TZiM,Subtronics,Escape (Subtronics Remix),0.562,0.837,9,-5.007,0,0.0843,0.0763,0.00846,0.135,0.232,145.059
Friends (feat. Linney),1EsZsMfCTp3ccYwWQIEg7z,Subtronics,Fibonacci,0.551,0.914,6,-2.304,1,0.11,0.00416,1.25e-05,0.361,0.0886,131.96
Clockwork - Original Mix,4DKxWLVkjGZoZtCPtDxIcH,Subtronics,String Theory EP,0.778,0.924,2,-1.108,1,0.0943,0.161,0.0275,0.0819,0.736,144.994
Infinity (feat. Grabbitz),4rxJXv00ATGhCx2mIFUiKc,Subtronics,Fibonacci,0.518,0.809,11,-4.639,0,0.17,0.0449,1.73e-05,0.143,0.165,139.948
Gassed Up VIP,65k1IBYMYbs11LxaIT28g7,Subtronics,ANTIFRACTALS,0.752,0.98,4,-2.236,0,0.209,0.0325,0.000937,0.161,0.331,140.023
No One Does It Like,3tX4wGJbMYgNGZC0Tr5V3t,Subtronics,No One Does It Like,0.519,0.782,1,-3.426,1,0.0531,0.00476,0.221,0.175,0.104,75.042
Hieroglyph - Of The Trees Remix,1Wl1KASQ6HweiMALASXbbm,Subtronics,ANTIFRACTALS,0.367,0.452,7,-8.335,0,0.0792,0.242,0.871,0.701,0.0709,69.944
Nuclear Bass Face (feat. Boogie T),2N6EnehmF6MOH2fgnQB73d,Subtronics,Nuclear Bass Face (feat. Boogie T),0.677,0.904,5,-1.43,1,0.105,0.0178,0.000934,0.585,0.614,149.996
Got Away (feat. Royal & the Serpent),5lIW37wg5kwRWcbUYlTpuP,Subtronics,Got Away (feat. Royal & the Serpent),0.642,0.841,1,-0.93,0,0.0463,0.116,7.45e-05,0.123,0.147,139.999
Spacetime (feat. NEVVE),0yotOi6EFaBal5Gy7YVcuI,Subtronics,FRACTALS,0.709,0.802,4,-1.146,0,0.137,0.0877,1.43e-05,0.323,0.546,140.072
Final Breath,0KmWcBQsiZgiKqzfgjxC6x,Subtronics,Final Breath,0.566,0.859,6,-1.661,0,0.116,0.0126,0.0163,0.0899,0.335,175.063
Final Breath (feat. A Little Sound),0sXUqyQr7Sxt7uKJvNt3WS,Subtronics,Fibonacci,0.566,0.859,6,-1.661,0,0.116,0.0126,0.0163,0.0899,0.335,175.063
Headband,40dMUT9OmYUYgEO5OuWZCy,Subtronics,Headband,0.444,0.809,9,-2.793,0,0.145,0.027,0.00145,0.0996,0.426,72.519
Power (feat. Grabbitz),3OPcGN44zYI7eg1OwHrSD0,Subtronics,Power (feat. Grabbitz),0.378,0.914,2,-1.468,1,0.193,0.00418,0.0171,0.133,0.111,148.816
Hallelujah,78a91L74IHZVQNyh3wgE3d,Subtronics,Hallelujah,0.464,0.918,2,-2.152,0,0.122,0.026,0.00019,0.956,0.101,140.058
Gassed Up,6uwjDA0Qi6hk8C6lPJIMc9,Subtronics,Gassed Up,0.643,0.985,4,-1.848,0,0.41,0.0152,0.000965,0.311,0.182,140.029
Into Pieces - Wooli x Grabbitz Remix,00aIKTpRUwcoGvOfCUMYQr,Subtronics,ANTIFRACTALS,0.531,0.883,11,-2.862,0,0.0515,0.0134,4.77e-06,0.081,0.264,155.089
GRiZTRONICS II (Another Level) VIP,0D8OdE68Ppw1jXCA2oCQTo,Subtronics,ANTIFRACTALS,0.518,0.913,0,-1.023,1,0.229,0.024,0.105,0.337,0.769,148.957
GodLovesUgly - Remix,76xfSfbw0byLqMHykJyPru,Subtronics,GodLovesUgly (Remix),0.679,0.861,9,-5.189,1,0.214,0.307,0.723,0.103,0.536,94.985
Amnesia,4ve0TT5ArW7PbfRjp9pvhE,Subtronics,TESSERACT,0.626,0.937,2,-0.005,1,0.237,0.174,0.00028,0.679,0.358,144.808
Puzzle Box,5EhnuLMer8qAXEDwmLtyrW,Subtronics,Puzzle Box,0.696,0.488,1,-7.508,1,0.0403,0.196,0.836,0.2,0.202,95.064
Runaway (U & I) - Subtronics Remix,0yz6PylgDjlUDkOZayhwOs,Subtronics,Runaway (U & I) [Subtronics Remix],0.472,0.935,1,0.444,1,0.182,0.0226,0.000396,0.157,0.226,149.194
Griztronics,6OTClxme7EYRZGO6An3SMc,Subtronics,Bangers[2].Zip,0.607,0.941,11,-3.807,0,0.481,0.037,0.0137,0.321,0.521,75.401
Black Out Days - Subtronics Remix,0Tcy9RRWvcnqepvmVcqv05,Subtronics,Black Out Days (Subtronics Remix),0.473,0.974,4,-3.554,0,0.0782,0.00161,0.891,0.166,0.105,175.097
Asteroid,4HyTnXK9PN9SETwMBCvIWs,Subtronics,TESSERACT,0.56,0.979,8,0.333,0,0.604,0.0098,0.0249,0.195,0.144,149.928
Nothing Between,2pWN4nWFydoDI7QAQMweL5,Subtronics,Fibonacci,0.499,0.536,2,-3.495,0,0.0451,0.154,0.00404,0.251,0.315,132.015
Stratosphere,0b9wEAL5z4SzfAqU8U2c3m,Subtronics,Fibonacci Pt 1: Oblivion,0.81,0.907,2,-2.162,1,0.0933,0.273,0.0473,0.714,0.116,135.058
Bounce,2Xt6CHGKptcnbBEvdq5kLs,Subtronics,Bounce,0.724,0.991,11,-0.115,0,0.205,0.0681,0.103,0.669,0.49,72.462
Anxious,3956pgq1mysjvgHfLpSWbW,Subtronics,Fibonacci Pt 2: Infinity,0.793,0.865,1,-7.312,0,0.0566,0.007,0.421,0.24,0.573,128.015
By A Thread (feat. Jem Cooke),2XawSU75jnJGCP2ouzIpyZ,Subtronics,Fibonacci,0.596,0.877,10,-0.989,1,0.0711,0.0635,0.0181,0.641,0.253,149.892
Nitrous Mafia - Original Mix,51Fdv93I4VLEDaAMzJ0vLX,Subtronics,String Theory EP,0.587,0.993,1,1.004,1,0.487,0.341,0.0133,0.717,0.38,139.906
Senpai,4TebxwaRPwVGlX3RQxo2FS,Subtronics,Senpai,0.81,0.916,1,-1.469,1,0.176,0.0127,0.00101,0.133,0.638,150.041
House Party,3LuKDSqL4z1BL8HjSwxh5b,Subtronics,Shockwave,0.726,0.876,1,-4.204,1,0.16,0.0331,0.00569,0.0658,0.569,75.026
Mind Pluck,3W9xukFv9kGLkLbEe2YITe,Subtronics,Mind Pluck,0.648,0.933,9,-2.683,1,0.0624,0.00443,0.72,0.361,0.137,139.984
Fibonacci (Part 1),4uvE3TQVF9BgkfZbZeFL16,Subtronics,Fibonacci,0.663,0.931,0,-1.807,0,0.158,0.0094,0.778,0.362,0.325,149.97
Antidote (Midnight Coffee) (feat. CREG),2MV2dLYPB8xq7z21cEMwqT,Subtronics,Fibonacci,0.521,0.874,2,-7.519,0,0.0977,0.0518,0.143,0.423,0.146,149.972
Gummy Worm (feat. Boogie T),3CvIbxdih7XqVgtoRmYMAq,Subtronics,FRACTALS,0.641,0.931,11,-1.888,0,0.298,0.0954,0.209,0.777,0.439,140.148
Mothclaws,7b4SFcCgN4oiC53rm4kdIR,Subtronics,Fibonacci,0.634,0.994,8,-1.744,1,0.0932,0.00334,0.429,0.102,0.376,145.056
Bunker Buster VIP,55kFUr5gwMNGXbJNxyR7Ix,Subtronics,ANTIFRACTALS,0.412,0.977,0,-0.403,1,0.218,0.00785,0.00136,0.106,0.508,144.937
O.P.U.S.,6MvZQACqOmFmpL7NDZN4rx,Subtronics,FRACTALS,0.263,0.701,4,-2.586,0,0.0974,0.231,0.497,0.601,0.0368,93.249
Contour (feat. Lyrah),6UqU3y0kieGQxAQvKaZHpA,Subtronics,Fibonacci,0.71,0.643,2,-8.243,1,0.0548,0.0989,0.00776,0.116,0.0432,144.009
Cyclops Rocks - LEVEL UP Remix,5qXU0DH9PLlbXy09Z5MF46,Subtronics,ANTIFRACTALS,0.486,0.95,6,-2.639,1,0.074,0.00316,0.144,0.448,0.5,72.534
Melt Ur Brain - Original Mix,08FNpvmZIUpLGm9lJWIjql,Subtronics,String Theory EP,0.719,0.885,8,0.168,1,0.511,0.223,0.705,0.109,0.463,144.718
Open Your Mind (Anthology 999),01xfy9bWLpLyIAbtMT68VO,Subtronics,FRACTALS,0.616,0.974,11,-1.264,0,0.0529,0.00374,0.508,0.208,0.0984,136.039
Touhou Riddim - Subtronics Remix,3PFxc75RY3fsgt4KeHlcci,Subtronics,Simulation - The DLC,0.597,0.988,6,-1.494,1,0.587,0.041,0.0911,0.134,0.317,72.454
Reality Distortion,7fOAIayx2XwGfccAoA3bCE,Subtronics,TESSERACT,0.618,0.816,11,-2.427,0,0.326,0.00629,0.459,0.106,0.374,140.166
Step Aside,6JZcYmtHCnEEIyENCDNgRd,Subtronics,Step Aside,0.734,0.958,1,-0.688,0,0.199,0.059,0.215,0.331,0.366,74.966
Brass Danger,7mvHuyhA2Ts2ZEdw6aKEdp,Subtronics,Fibonacci Pt 1: Oblivion,0.589,0.86,11,-0.927,0,0.388,0.028,0.105,0.195,0.195,139.31
Hieroglyph,6yPqKo9Sr45978wcmwP0cL,Subtronics,FRACTALS,0.304,0.556,7,-8.153,0,0.0528,0.103,0.862,0.472,0.0395,86.865
Blow Stuff Up,7KcnvP0wNkNJhipGmg4bhr,Subtronics,Scream Saver,0.785,0.991,10,0.287,0,0.257,0.0573,0.136,0.2,0.441,75.008
Womp Portal,6f7DajZEUmnM3DBcrFvNhk,Subtronics,Unity,0.498,0.842,9,-4.561,0,0.051,0.00072,0.614,0.067,0.143,140.011
Cyclops Rocks,1if3mNkkrlhuNUA6lgiMUA,Subtronics,FRACTALS,0.762,0.94,10,1.148,0,0.357,0.0693,0.0198,0.615,0.619,149.978
