track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Whip (Mixed),4Mq5CINHYA3OvlPg0Cej4u,Superstrings,A State of Trance Year Mix 2025 (Mixed by Armin van Buuren),0.538,0.997,8,-8.51,1,0.0434,5.33e-05,0.852,0.252,0.973,140.034
Have Me (If You Want Me Too),0dZiD65nVUS5eeuowSpmNo,Superstrings,Have Me (If You Want Me Too),0.481,0.977,11,-5.263,0,0.0498,5.43e-05,0.678,0.503,0.537,145.02
Remember,2Hnr9PJk0eHCIupm3o198W,Superstrings,Remember,0.534,0.99,9,-5.296,0,0.0615,0.0262,0.658,0.369,0.241,137.974
What Ya Got 4 Me,6rvf6lYs8cvrial6nhr1vm,Superstrings,What Ya Got 4 Me,0.535,0.991,6,-6.048,0,0.0595,0.000171,0.909,0.615,0.214,146.04
Remember (FYH426),3gzRjZ4azNDcOveLp0KReU,Superstrings,FYH426 - Find Your Harmony Radio Episode #426,0.496,0.99,9,-5.18,0,0.0688,0.0042,0.863,0.0901,0.15,138.009
The Whip (ASOT 1210),1pOWHRlTQucLGC6yWY86za,Superstrings,"ASOT 1210 - A State of Trance Episode 1210 [Incl. Live at F1 Chinese Grand Prix 2018 (Garage Set) [Shanghai, China]]",0.484,0.991,10,-6.388,1,0.0586,0.000572,0.917,0.152,0.481,139.975
Remember (ASOT 1195),1LUN5tr4xO7EMDi286wG8Q,Superstrings,ASOT 1195 - A State of Trance Episode 1195 (ADE Special) [Including Live at EDC Las Vegas 2023 (Highlights)],0.505,0.984,9,-6.412,0,0.0584,0.000465,0.821,0.0895,0.173,137.99
Remember (ASOT 1198),0ygXQ6jBIlP4OP6RajFqSx,Superstrings,ASOT 1198 - A State of Trance Episode 1198 [Including Live at EDC Las Vegas 2024 (Highlights)],0.535,0.983,9,-6.684,0,0.053,0.00142,0.798,0.0955,0.205,140.007
Soundpiercing - SUPERSTRINGS Remix,4r8yNUM3ST0IjwztOaNWzO,Superstrings,Trance 100 - 2024,0.547,0.929,0,-5.893,0,0.0354,0.00915,0.816,0.17,0.275,140.023
The Whip (ASOT 1213),6RxeRSOC5NNjTDKQbM3BFv,Superstrings,ASOT 1213 - A State of Trance Episode 1213 (Including A State Of Trance Showcase - Mix 001: ReOrder),0.432,0.996,7,-6.371,0,0.0503,0.000203,0.969,0.108,0.381,141.728
What Ya Got 4 Me (ASOT 1179),1gylZ00b9egsNciMQ1ndKq,Superstrings,"ASOT 1179 - A State of Trance Episode 1179 [Including Live at ASOT 950 (Utrecht, The Netherlands) [Who's Afraid Of 138?!] (Highlights)]",0.482,0.978,1,-6.997,1,0.0441,5.73e-05,0.925,0.33,0.187,140.032
Soundpiercing (ASOT 1156) - SUPERSTRINGS Remix,7gTkI3kZaGmxEXkaflIKKt,Superstrings,ASOT 1156 - A State of Trance Episode 1156 [Including Live at Tomorrowland Belgium 2018 (Highlights) [A State Of Trance Stage]],0.503,0.961,8,-7.224,1,0.0377,0.00379,0.925,0.127,0.162,145.018
Remember (ASOT 1202),6Jk4Y0HizgUdB4JzWFRUJT,Superstrings,ASOT 1202 - A State of Trance Episode 1202 [Including Live at Tomorrowland 2024 (Highlights)],0.501,0.974,9,-6.864,0,0.048,0.0012,0.903,0.0454,0.232,138.384
Remember (ASOT 1206),2rY3C111hwLonzcYGoHtVX,Superstrings,ASOT 1206 - A State of Trance Episode 1206 [Including Live at Tomorrowland Brasil 2024 (Highlights)],0.486,0.978,9,-6.762,0,0.0602,0.0013,0.913,0.0987,0.239,138.579
Soundpiercing (ASOT 1150) - SUPERSTRINGS Remix,5rSQtbe4zUQvSiX7koU4D6,Superstrings,ASOT 1150 - A State of Trance Episode 1150 [Including Live at Ultra Music Festival Miami 2019 (Highlights)],0.403,0.958,1,-6.776,1,0.0332,0.00095,0.916,0.106,0.221,137.983
The Whip (ASOT 1187),4OkqhRITuvcJB6YJ33PQet,Superstrings,"ASOT 1187 - A State of Trance Episode 1187 [Including A State of Trance, Ibiza 2024 (Mix 2: In The Club)]",0.555,0.998,2,-6.251,1,0.0439,2.44e-05,0.893,0.092,0.453,143.971
Remember (Dream Sequence 2024 (Uplifting Trance Mix)),4iTqPfuZYJSf1MeQIET6h2,Superstrings,Markus Schulz - Dream Sequence 2024 (Uplifting Trance Mix),0.56,0.985,9,-8.974,0,0.0595,0.0231,0.886,0.353,0.175,135.0
Remember (ASOT 1194),40KZiEtGAvbit9w6HEeYLv,Superstrings,ASOT 1194 - A State of Trance Episode 1194 [Including Live at Ultra Music Festival Miami 2018 (Highlights)],0.489,0.984,9,-6.431,0,0.0552,0.00175,0.748,0.148,0.263,138.014
What Ya Got 4 Me (ASOT 1180),4L9m3fq5gVK5tFXlkF208y,Superstrings,"ASOT 1180 - A State of Trance Episode 1180 [Including Live at ASOT 950 (Utrecht, The Netherlands) [Warm Up] (Highlights)]",0.537,0.971,6,-6.963,0,0.0462,0.000161,0.899,0.346,0.282,140.0
