track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Can you keep up?,6Tnplx5d81VuaQHI50iaXn,Syzy,The weight of the world,0.36,0.88,1,-2.261,1,0.316,0.0263,0.000171,0.603,0.159,74.557
ILUUUU,3YJNZdcjzoC1oxNHlBohtb,Syzy,The weight of the world,0.425,0.923,1,-1.624,1,0.603,0.0389,0.000273,0.806,0.2,72.948
Get a grip!,0RGvd9MTOl2uOL25P41ljj,Syzy,The weight of the world,0.516,0.947,2,-1.851,1,0.257,0.0059,0.501,0.734,0.173,139.5
In your face!,3R4kjUODdnbRS3393bY3vS,Syzy,The weight of the world,0.395,0.953,11,-1.031,0,0.535,0.0416,0.0311,0.254,0.43,73.49
HEART123,6SRDN6AyatafwXnJh6KI1n,Syzy,The weight of the world,0.178,0.9,1,-4.327,1,0.394,0.356,0.00224,0.661,0.289,75.398
Take my energy!,3pNrrURrG5PaGQAZcHM3Pz,Syzy,The weight of the world,0.381,0.893,9,-1.781,1,0.186,0.0408,4.85e-06,0.899,0.257,143.106
Caught up (in circles),7h7gVOk2S34jPs2fYGPkDU,Syzy,The weight of the world,0.341,0.878,5,-2.361,0,0.174,0.0477,0.000568,0.614,0.261,111.472
DOPE1,3RDg6BcjHZuKTmtGU6WvwE,Syzy,The weight of the world,0.349,0.939,7,-3.702,1,0.088,0.102,0.0938,0.28,0.0549,107.225
Experience (HIGHER),1qZ6Jxfl7f7fK1GGSVy5ht,Syzy,The weight of the world,0.208,0.769,8,-3.751,1,0.116,0.00472,0.557,0.13,0.15,75.039
Dancing on my own,0KcMtWUzW2MyMZ0874Zqzs,Syzy,The weight of the world,0.434,0.921,3,-4.511,1,0.248,0.0405,0.00231,0.261,0.448,74.916
Industry Corporate Freak,33aigucvBFkOAa2yRHy7g5,Syzy,Industry Corporate Freak,0.643,0.927,10,-3.277,0,0.196,6.31e-05,0.785,0.266,0.0394,124.053
Internet G - SYZY Remix,6HOmA5sZXuLJd2LE0YhYwd,Syzy,Internet G (SYZY Remix),0.497,0.887,11,-2.039,1,0.0761,0.0119,0.491,0.0907,0.0552,145.093
Internet G,07kBPTAavwerTHrxPqLlap,Syzy,Internet G (SYZY Remix),0.508,0.977,1,-3.832,0,0.0741,0.0124,0.663,0.161,0.0384,144.51
crush - Syzy Remix,5SCMFWO3zaajXSQLtda0nC,Syzy,crush (Syzy Remix),0.479,0.95,8,-2.842,1,0.161,0.0314,0.00304,0.725,0.379,75.021
Goin' Ham,2Q1oVOFlhUzjBdGmmMZTPe,Syzy,Plz Enjoy Music EP,0.58,0.902,7,-1.545,1,0.238,0.00098,0.455,0.543,0.069,146.909
Shadow Mistress,1OJp5v5QWHgTojsVYrl2MN,Syzy,Plz Enjoy Music EP,0.512,0.97,11,-2.129,0,0.409,0.00591,0.209,0.441,0.216,146.624
Stadium Seating,1Aigs56lEwfbIvOGQMPdiC,Syzy,Plz Enjoy Music EP,0.676,0.984,1,-0.387,0,0.086,0.0163,0.0214,0.245,0.227,134.886
Medium Rare Milk,4ozssm0mUomKAxIPZRkCgy,Syzy,Plz Enjoy Music EP,0.506,0.976,1,-1.147,1,0.236,0.0356,0.141,0.404,0.229,149.973
ON YOU (SYZY Remix),0zqNnlKtfyKxljycAX81be,Syzy,ON YOU (SYZY Remix),0.592,0.989,1,-1.981,1,0.358,0.00166,0.329,0.145,0.136,145.271
Forbidden Colors,6OYIyWEoIW7KWNVUA1lMIA,Syzy,Forbidden Colors,0.464,0.93,5,-2.999,0,0.0578,0.0124,0.00391,0.433,0.112,147.215
Feel It All - Akeos & Syzy Remix,1NqHTm3JOUft90RCE8EOpf,Syzy,Feel It All (Akeos & Syzy Remix),0.324,0.969,5,-2.81,0,0.174,0.000858,0.00035,0.665,0.0958,148.934
Heart Break - Syzy Remix,2BN1LMRQ7YOUyiEMeW6jT2,Syzy,Heart Break (Syzy Remix),0.495,0.909,2,-2.5,1,0.108,0.0113,0.00229,0.0995,0.0755,75.001
Sheriff,0BSy7fBbYnsOJhWFKRNZ8I,Syzy,Sunshine EP,0.516,0.901,2,-3.178,1,0.0935,9.38e-05,0.901,0.169,0.167,144.965
Ramune Drink Woi,6FUq9Pfk8x8WmN0iSjog08,Syzy,Sunshine EP,0.67,0.928,1,-1.609,1,0.0875,0.00215,0.572,0.84,0.217,145.878
Sunshine,4ukjtiDzzZ165GJd9D9k57,Syzy,Sunshine EP,0.43,0.837,8,-3.84,0,0.0769,0.000125,0.663,0.316,0.241,69.434
Identity Theft,5WGhSPyDeOGVP8cJ8p0ICs,Syzy,Sunshine EP,0.642,0.957,1,0.655,1,0.102,0.0114,0.68,0.722,0.333,144.851
