track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Sick Boy,58kZ9spgxmlEznXGu6FPdQ,The Chainsmokers,Sick Boy,0.663,0.577,11,-7.518,0,0.0531,0.109,0.0,0.12,0.454,89.996
#SELFIE,1HOlb9rdNOmy9b1Fakicjo,The Chainsmokers,#SELFIE,0.789,0.916,0,-3.262,1,0.249,0.0135,8.09e-06,0.077,0.658,127.956
High,09AvsbivV1FQBRAEBJh7UL,The Chainsmokers,So Far So Good,0.601,0.787,0,-6.178,1,0.031,0.0492,0.0,0.142,0.525,134.981
Hope,4BiiOzZCrXEzHRLYcYFiD5,The Chainsmokers,Sick Boy,0.773,0.699,1,-5.982,0,0.0958,0.488,3.6e-06,0.0814,0.513,104.941
Split (Only U),1Q4jb2UjtWUDUojHsB8mLY,The Chainsmokers,Split (Only U),0.634,0.927,1,-3.282,1,0.136,0.048,0.687,0.0864,0.35,128.016
This Feeling,4NBTZtAt1F13VvlSKe6KTl,The Chainsmokers,Sick Boy,0.575,0.571,1,-7.906,1,0.0439,0.0558,0.0,0.0912,0.449,105.049
All We Know,2rizacJSyD9S1IQUxUxnsK,The Chainsmokers,All We Know,0.662,0.586,0,-8.821,1,0.0307,0.097,0.00272,0.115,0.296,90.0
Jungle,0OvO2X2Q3i98dc5RcgEN3x,The Chainsmokers,Jungle,0.596,0.667,6,-5.651,0,0.0295,0.0524,0.000109,0.205,0.217,140.002
Takeaway,3g0mEQx3NTanacLseoP0Gw,The Chainsmokers,World War Joy,0.528,0.511,3,-8.144,1,0.0324,0.126,0.0,0.101,0.351,100.1
Who Do You Love,2fVHrSxsQbJUuj9MW9zG1e,The Chainsmokers,World War Joy,0.51,0.846,3,-4.595,1,0.0461,0.0101,0.0,0.208,0.475,139.927
Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,Closer,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01
Don't Let Me Down - Illenium Remix,15BlympuVSfZFROojEMY2M,The Chainsmokers,Don't Let Me Down (Remixes),0.428,0.656,11,-3.712,1,0.075,0.0751,0.181,0.15,0.355,79.648
Roses,3vv9phIu6Y1vX3jcqaGz5Z,The Chainsmokers,Roses,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001
White Wine & Adderall,1AApldBkudH6jZAE9ucdUF,The Chainsmokers,White Wine & Adderall,0.613,0.936,9,-1.064,0,0.0496,0.0171,0.386,0.0973,0.254,134.981
Call You Mine,2oejEp50ZzPuQTQ6v54Evp,The Chainsmokers,World War Joy,0.585,0.696,4,-5.6,0,0.0307,0.204,0.0,0.344,0.522,104.01
Spaces,1r4gQdNHdAJfUpREI0ywiu,The Chainsmokers,Spaces,0.592,0.934,10,-4.739,0,0.0433,0.0186,0.305,0.871,0.333,132.042
Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK,The Chainsmokers,Don't Let Me Down,0.533,0.869,11,-5.093,1,0.173,0.156,0.00538,0.136,0.425,159.805
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,Memories...Do Not Open,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,Memories...Do Not Open,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019
The Fate of Ophelia - The Chainsmokers Remix,3JNaLxAymiSUMrmjOarjeo,The Chainsmokers,The Fate of Ophelia (The Chainsmokers Remix),0.712,0.881,5,-3.748,1,0.0597,0.0135,0.003,0.217,0.306,131.991
Addicted,5ZUIPLoTLJZrPQh2kFZEUM,The Chainsmokers,Addicted,0.771,0.741,5,-7.132,0,0.0374,0.0245,0.000163,0.111,0.19,120.064
fault in the stars,585DJiJ7LPSNBSUEE4TxNo,The Chainsmokers,fault in the stars,0.625,0.565,1,-6.272,1,0.0389,0.207,1.04e-06,0.131,0.318,126.049
Self Destruction Mode,05e1CoIPmXLy6aPBotZlTZ,The Chainsmokers,Self Destruction Mode,0.623,0.633,9,-6.15,0,0.0653,0.161,0.0,0.214,0.549,160.045
Celular,0LUG9jzDNXcIdIWeSx9g2C,The Chainsmokers,Celular,0.661,0.834,7,-4.687,1,0.0394,0.0279,0.0,0.157,0.72,139.99
Don't Say,1pJQAHpD51J7GYaFrrFO9S,The Chainsmokers,Memories...Do Not Open,0.567,0.464,5,-9.66,1,0.0302,0.0199,9.31e-06,0.269,0.309,99.806
New York City,4v1CvZazmdpxQLEt3sCeKH,The Chainsmokers,New York City,0.564,0.639,4,-6.828,0,0.038,0.0127,0.0,0.133,0.0624,126.062
Breathe,66Pb9LmThReBZf9qcmtr5W,The Chainsmokers,Breathe,0.29,0.428,11,-7.462,1,0.042,0.846,0.0113,0.206,0.072,128.605
