track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
(I'm) Stranded - 2004 Remaster,13V51LzxJUzVZT7CUirMm5,The Saints,(I'm) Stranded [2004 Remaster],0.415,0.948,6,-4.534,0,0.0405,0.00653,0.0,0.347,0.376,87.04
Say My Name,0eJcHvpws3PMadlPdvdWMN,The Saints,Say My Name,0.488,0.935,11,-1.103,0,0.0904,0.00131,0.000266,0.894,0.598,160.009
This Perfect Day - Single Version / 2004 Remastered,4WWahrLXs9HBQq8gP82s0N,The Saints,(I'm) Stranded [Deluxe Edition],0.104,0.895,11,-4.739,1,0.0661,0.000811,2.05e-06,0.334,0.473,168.517
No Time - 2004 Remaster,59sgt0oqzadhlr8w6qldnf,The Saints,(I'm) Stranded [2004 Remaster],0.253,0.894,9,-2.769,1,0.0504,0.0186,0.0,0.221,0.372,90.615
Be My Lover,4m5JH6q0ldwKW7s2YpcM3B,The Saints,Be My Lover,0.588,0.916,1,-2.137,0,0.109,0.000921,0.762,0.353,0.73,159.874
Know Your Product - 2004 Remaster,37sA21G7FL484ku9J5UJNU,The Saints,Eternally Yours,0.304,0.857,5,-4.238,0,0.0449,7.37e-06,0.251,0.373,0.721,150.851
Private Affair - 2004 Remaster,1MLSapqfstkBKQHYThLere,The Saints,Eternally Yours,0.255,0.955,4,-4.835,1,0.0946,3.55e-05,0.828,0.398,0.748,188.441
Erotic Neurotic - 2004 Remaster,08dsYSccvOw08YBd7o6pU2,The Saints,(I'm) Stranded [2004 Remaster],0.278,0.925,4,-4.37,0,0.0618,0.00876,0.0636,0.0843,0.214,98.795
Wild About You - 2004 Remaster,7jhCXbytpg77SnBlwjlcs7,The Saints,(I'm) Stranded [2004 Remaster],0.342,0.956,2,-4.89,1,0.0846,0.0319,0.0,0.16,0.271,99.334
Lost and Found - 2004 Remaster,5V1OhfJjiDJFF1N8jnAlBr,The Saints,Eternally Yours,0.128,0.966,4,-4.152,1,0.101,9.04e-06,0.0208,0.386,0.708,185.393
The Alarm,6E3v5kpDkUttY5eLWXXfCF,The Saints,The Alarm,0.57,0.869,1,-2.565,1,0.266,0.0276,0.000946,0.206,0.788,160.009
Messin' With The Kid - 2004 Remaster,0g8iY6XlesTTwov0xZrGxK,The Saints,(I'm) Stranded [2004 Remaster],0.328,0.888,0,-5.905,0,0.0539,0.0806,0.66,0.413,0.508,138.678
One Way Street - 2004 Remaster,42WNRm3uLn6TZbUK3nxzlg,The Saints,(I'm) Stranded [2004 Remaster],0.109,0.924,0,-5.516,1,0.0777,0.325,0.0135,0.149,0.183,186.647
Story Of Love - 2004 Remaster,6MyaIfts4EQpHY1YhFbu3w,The Saints,(I'm) Stranded [2004 Remaster],0.387,0.808,11,-5.926,0,0.0448,0.145,0.0646,0.089,0.409,121.075
Kissin' Cousins - 2004 Remaster,1mjaMNwgjhdHOPYMwRhhN8,The Saints,(I'm) Stranded [2004 Remaster],0.295,0.865,9,-6.56,0,0.0424,0.0134,0.0,0.197,0.781,95.371
Nights In Venice - 2004 Remaster,0kdLdqmKx3usvcmDCaZeLg,The Saints,(I'm) Stranded [2004 Remaster],0.172,0.973,5,-6.218,1,0.18,0.015,0.868,0.267,0.0749,183.821
Just Like Fire Would,0u6O0tVMGMR0mMjNfHZmvb,The Saints,All Fools Day,0.534,0.807,7,-5.933,1,0.0327,0.00247,0.481,0.0878,0.961,124.918
Demolition Girl - 2004 Remaster,2ZhvlguJzG3p7WofALyJoK,The Saints,(I'm) Stranded [2004 Remaster],0.142,0.928,10,-5.377,1,0.119,0.0366,0.0449,0.163,0.285,192.961
This Perfect Day - 2004 Remaster,236yvLKRmIFCLekD6i6s9v,The Saints,Eternally Yours,0.202,0.893,9,-4.599,1,0.0474,6.83e-05,0.0974,0.0663,0.773,160.703
"Every Day's a Holiday, Every Night's a Party - 2004 Remaster",0UriIkkypEXaYfTkqhk7dE,The Saints,Prehistoric Sounds (2004 Remaster),0.473,0.922,6,-5.94,0,0.0566,6e-05,0.00359,0.068,0.741,135.653
River Deep Mountain High - 2004 Remaster,7oRArMyxdthcU1PcKSPsu3,The Saints,(I'm) Stranded [Deluxe Edition],0.305,0.951,9,-5.133,1,0.125,0.205,0.0,0.885,0.42,104.119
Swing for the Crime - 2004 Remaster,52daVMRl0Gl92LDguj16LO,The Saints,Prehistoric Sounds (2004 Remaster),0.532,0.873,9,-6.258,1,0.0373,0.00221,0.707,0.0638,0.874,113.397
Memories Are Made of This - 2004 Remaster,76RPysLJHaT8WuOwkC92W0,The Saints,Eternally Yours,0.506,0.873,7,-4.745,1,0.0347,2.23e-05,0.0132,0.12,0.856,121.856
(I'm) Misunderstood - 2004 Remaster,39UdxPm9q7KdjNTNe359Ft,The Saints,Eternally Yours,0.34,0.983,4,-4.377,1,0.0672,5.6e-05,0.0884,0.255,0.843,90.83
Lipstick On Your Collar - 2004 Remastered,0cQZf8308T25v3TijuMOrn,The Saints,(I'm) Stranded [Deluxe Edition],0.444,0.935,11,-4.66,1,0.0496,0.286,0.0477,0.782,0.805,101.624
A Minor Aversion - 2004 Remaster,2YWfC48DXM3PfQdYpDocd2,The Saints,Eternally Yours,0.638,0.927,9,-4.971,0,0.0342,0.0395,0.0114,0.17,0.925,125.532
"No, Your Product - 2004 Remaster",7GgMm37r9dVoINH9tMJIpg,The Saints,Eternally Yours,0.172,0.891,1,-4.057,1,0.0573,0.0011,0.0216,0.282,0.581,168.68
