track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Schall - Thomas Schumacher Remix,7d9Y6KUmE5OiPYPcEGVsdI,Thomas Schumacher,Schall,0.85,0.573,11,-9.085,0,0.268,0.00188,0.651,0.319,0.437,137.002
Schall,0YkojlfDvhwCvTsmInljgb,Thomas Schumacher,Gold!,0.866,0.657,11,-6.82,0,0.27,0.00138,0.855,0.257,0.586,136.972
When I Rock - A.D.H.S. Remix,2RZUzI8KssitQ4SYPr1xUd,Thomas Schumacher,When I Rock (A.D.H.S. Remix),0.6,0.975,9,-6.613,1,0.0969,0.00208,0.369,0.328,0.0879,138.008
I Am Machine,7A8ec8nBw1BEwGgdSL5H90,Thomas Schumacher,I Am Machine,0.656,0.84,6,-7.201,1,0.0758,6.86e-06,0.691,0.247,0.0465,136.009
Interlinked,69yiMI9xUt0xZfaa4q7HJ6,Thomas Schumacher,Interlinked,0.724,0.791,6,-11.086,0,0.0498,0.00426,0.876,0.0797,0.0275,133.006
Mirazh,2lIifZIxqYF0lOuBnqJ5qH,Thomas Schumacher,Mirazh,0.696,0.968,6,-5.003,1,0.148,0.000582,0.864,0.351,0.0356,138.011
Astrosyn (Your House Is My House) - Thomas Schumacher Remix,54ZsmjzBgvVmPDHuFz1hHU,Thomas Schumacher,Astrosyn (Your House Is My House Thomas Schumacher Remix),0.317,0.953,7,-8.705,1,0.0684,2.43e-05,0.758,0.356,0.0814,142.002
Strip Silence,7MtlullydBAfjdespOgTbQ,Thomas Schumacher,Strip Silence,0.718,0.918,1,-5.071,1,0.0542,0.000161,0.891,0.0888,0.215,136.99
Renegade,33jUhN85Ly3yaOdSoVyp1d,Thomas Schumacher,Renegade,0.57,0.981,6,-5.86,0,0.0422,3.18e-06,0.799,0.123,0.1,139.024
Come Closer,6WK7TJ53QPNZnpQBjToHBi,Thomas Schumacher,Come Closer,0.656,0.984,0,-5.868,1,0.0457,7.54e-06,0.86,0.113,0.108,138.0
