track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Let's Go Dancing - Matroda Remix,4bhe0PVXsnv9Zvo9DKD27N,Tiga,Let's Go Dancing (Matroda Remix),0.782,0.934,6,-7.072,1,0.0681,0.0309,0.00878,0.102,0.679,127.99
Let's Go Dancing,5se4SpUxbStmWGZngKWqLU,Tiga,Let's Go Dancing,0.773,0.94,2,-4.518,1,0.053,0.000337,0.797,0.157,0.712,128.986
You Gonna Want Me,3GjQ7r5SWFnMMbwfp22aF3,Tiga,Sexor,0.791,0.7,8,-3.865,1,0.0386,0.00894,0.00385,0.0445,0.562,127.0
Mind Dimension - Ben Sterling Remix,0TaDQnUX1RjbCv3liKFqWP,Tiga,Mind Dimension 2022 (Ben Sterling Remix),0.801,0.734,4,-11.408,0,0.053,2.96e-05,0.926,0.0765,0.117,128.002
Mind Dimension - Tiësto Remix,7aEivHwZvqNHoqsXoNKcWL,Tiga,Mind Dimension (Tiësto Remix),0.844,0.907,6,-5.432,1,0.147,0.0207,0.505,0.0419,0.0743,126.03
Bugatti,6z5zNAr1yKd88C8S9ppMl1,Tiga,No Fantasy Required,0.806,0.454,3,-8.101,0,0.101,0.000456,0.457,0.0728,0.423,121.023
What You Need,4f9ejMo5Nzfe6h5NOQxqor,Tiga,Ciao!,0.64,0.954,7,-3.554,1,0.14,0.00615,0.00675,0.0645,0.0974,128.03
Silence of Love - Reznik Remix,7thJB4egm3ERoPaozZ71oH,Tiga,LMZ:RMX,0.61,0.585,9,-11.901,0,0.0327,0.00706,0.145,0.123,0.417,122.013
Washing Up - Tiga Remix,7FNmPixdhBkPMcfWxMAZAw,Tiga,"Camping, Vol. 2",0.789,0.455,6,-10.357,1,0.0619,0.000358,0.919,0.0967,0.321,128.01
VSOD - Velvet Sky of Dreams,7D0e3LOMtsHW6Xalv2Tvln,Tiga,VSOD (Velvet Sky of Dreams),0.673,0.51,7,-8.469,1,0.0406,0.0172,0.22,0.0918,0.295,117.998
Bugatti - Jauz Extended Remix,43sUmWpEF2W97JNEPQ8O9n,Tiga,"Bugatti (Remixes, Pt. 2)",0.878,0.921,9,-5.162,1,0.132,0.122,0.0228,0.258,0.487,127.996
HAL,0ZY9kPt23t9OVMLyybvKCj,Tiga,HAL,0.791,0.927,4,-10.172,0,0.0499,0.08,0.815,0.0912,0.0326,125.006
Mind Dimension 2,62t4UAR8vGbcA1O0saBUp0,Tiga,Ciao!,0.508,0.481,7,-8.265,1,0.0774,0.0104,0.00408,0.286,0.38,125.002
Plush - Jacques Lu Cont Extended Remix,7mAcoEa0gc7HqnMES2sq6X,Tiga,Plush,0.756,0.905,6,-6.121,1,0.0575,7.17e-05,0.864,0.058,0.592,127.003
You Gonna Want Me (I Know) (Mixed),1XpGAPc27uQqiTDeGaRUgA,Tiga,Armada Music Year Mix 2025,0.783,0.511,11,-12.556,0,0.223,0.000763,0.0,0.115,0.863,127.978
Shoes,02ObgTojHsfNZvjiRpAIMP,Tiga,Ciao!,0.838,0.869,1,-5.171,1,0.039,0.0191,0.51,0.108,0.881,123.01
Silence Of Love,4oqrBk9A3WoouuMTDKGERh,Tiga,Silence Of Love,0.686,0.682,9,-7.728,0,0.0356,0.008,0.0324,0.121,0.479,123.975
Dancing (Again!) - Radio Edit,59KHUymcY4OZLFSTgiiook,Tiga,Dancing (Again!),0.898,0.839,11,-5.883,0,0.219,0.00346,0.000279,0.258,0.398,125.035
Ocean Drive - Tiga's White Linen Vox,29OChpJ0NPS9ueV02CTNGW,Tiga,Crockett's Theme / Ocean Drive,0.785,0.711,7,-8.286,1,0.0679,0.000178,0.56,0.159,0.659,133.998
