track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Born Slippy (Nuxx),7xQYVjs4wZNdCwO0EeAWMC,Underworld,1992 - 2012,0.576,0.953,10,-8.968,1,0.0362,0.00106,0.49,0.474,0.303,140.042
Dark And Long - Dark Train,5u67VJ8GAhnkFA1FolVhD0,Underworld,1992 - 2012,0.572,0.949,10,-8.049,0,0.0468,0.0154,0.788,0.136,0.748,135.006
Cowgirl - Remastered,5nDndZX9lrYjAS4d1aWFxM,Underworld,Dubnobasswithmyheadman (20th Anniversary Remaster),0.649,0.9,7,-10.781,1,0.0369,0.0105,0.926,0.0911,0.22,126.983
Born Slippy - Nuxx / Remastered,0FaCEaPKDuvpDWoQsZ9m9o,Underworld,Second Toughest In The Infants (Deluxe / Remastered),0.616,0.977,1,-6.749,0,0.0388,7.92e-05,0.707,0.11,0.334,140.064
Always Loved A Film,7aFBi1XzzaHiZX23yYbntO,Underworld,Barking,0.687,0.711,8,-7.91,1,0.0396,0.00292,0.0296,0.0425,0.608,130.006
Fen Violet,4BrLRVfZF5Z8ld226xISH0,Underworld,Fen Violet,0.599,0.837,9,-9.36,1,0.0529,0.0072,0.00174,0.134,0.191,136.958
I Exhale,0xNpOEFrmgaMeMESVdnG9Z,Underworld,"Barbara Barbara, we face a shining future",0.652,0.625,4,-9.618,0,0.0268,0.0125,0.833,0.119,0.244,124.991
Cowgirl,39KHNzItGvLam6GG8krYbI,Underworld,1992 - 2012,0.635,0.919,7,-8.002,1,0.037,0.0139,0.938,0.0671,0.169,126.952
Tongue - Remastered,6IlLeHv57fYENyB4XAGiVo,Underworld,Dubnobasswithmyheadman (20th Anniversary Remaster),0.524,0.312,7,-15.261,1,0.0281,0.627,0.786,0.149,0.0557,126.785
To Heal,5K0kPszkKvh6yHEI3wiUCZ,Underworld,Oblivion With Bells,0.122,0.105,7,-23.475,1,0.0491,0.982,0.86,0.106,0.0358,91.055
denver luna,4jFz4l28oyj1K5285HmW7M,Underworld,Strawberry Hotel,0.538,0.604,5,-14.018,0,0.0395,0.321,0.05,0.0678,0.382,135.018
Underneath the Radar,1UPJoPSCpOzYcRBq5nc586,Underworld,Underneath The Radar,0.628,0.66,2,-12.262,1,0.0437,0.00994,0.51,0.398,0.437,144.635
Twist,4pRvssjV9Whs149F9GAmHv,Underworld,A Hundred Days Off,0.602,0.943,4,-11.754,0,0.0385,0.582,0.907,0.0733,0.307,134.998
Shudder / King Of Snake,7LMlABN7q53QvOxEmmjDFZ,Underworld,Beaucoup Fish (Remastered / Super Deluxe),0.537,0.963,6,-7.946,0,0.0607,2.6e-05,0.77,0.625,0.252,139.985
and the colour red,6ceDsKgry3EYs6DeDpASBU,Underworld,Strawberry Hotel,0.794,0.609,4,-13.677,0,0.0391,0.000517,0.823,0.118,0.142,126.99
Pearl’s Girl - Remastered,6iisVF84yFUSmX0kXc9cYk,Underworld,Second Toughest In The Infants (Deluxe / Remastered),0.565,0.915,1,-9.109,0,0.0419,0.00202,0.706,0.0652,0.436,140.338
Little Speaker,5W4DqTOwkzKrv2bJUB7OLO,Underworld,A Hundred Days Off,0.706,0.727,0,-14.617,1,0.0391,0.322,0.932,0.0971,0.308,129.994
Born Slippy (Nuxx) - Radio Edit,3bUNyRrTFJDd4mqvUcb1Aa,Underworld,Born Slippy (Nuxx) [Radio Edit],0.542,0.966,10,-8.255,1,0.0421,0.00107,0.128,0.0984,0.351,140.071
Mmm...Skyscraper I Love You - Remastered,3bi189a44CZvFyeStLL2cL,Underworld,Dubnobasswithmyheadman (20th Anniversary Remaster),0.405,0.624,11,-12.329,0,0.0406,0.0259,0.73,0.136,0.179,119.776
Rez - Remastered,1a6ktLZUBl9Ep9t8Qkz7Tj,Underworld,Dubnobasswithmyheadman (Deluxe / 20th Anniversary Edition),0.583,0.92,2,-11.181,1,0.0336,0.163,0.969,0.0567,0.227,127.004
Mo Move,5dGClop5hvOr0vXADmAYw8,Underworld,A Hundred Days Off,0.644,0.901,11,-10.187,0,0.0474,0.238,0.849,0.105,0.155,130.01
Two Months Off,4zI0wuANmj9DNkBOgXU5Wh,Underworld,A Hundred Days Off,0.582,0.896,10,-9.152,0,0.0638,0.00211,0.728,0.0218,0.665,134.994
Sola Sistim,4hWuNTCyQeQkzBPjjVE9rX,Underworld,A Hundred Days Off,0.64,0.485,5,-10.05,0,0.0497,0.529,0.85,0.109,0.673,63.499
Dirty Epic - Remastered,34bvj4hyJyfdKbd3EWbO0s,Underworld,Dubnobasswithmyheadman (20th Anniversary Remaster),0.584,0.904,11,-9.116,0,0.0424,0.0146,0.906,0.275,0.477,119.949
Cups,2jX3LIqfrXmJSznCL5x5aW,Underworld,Beaucoup Fish (Remastered / Super Deluxe),0.501,0.716,8,-9.773,1,0.0403,0.0485,0.903,0.18,0.693,130.106
Push Upstairs,37EuwBNIMh88S44S9J4JC8,Underworld,Beaucoup Fish (Remastered / Super Deluxe),0.54,0.575,10,-9.963,0,0.0582,0.000575,0.856,0.295,0.602,139.991
8 Ball,1tnhrn0zNTQGbo77wNwy44,Underworld,1992 - 2012,0.685,0.464,5,-15.19,1,0.044,0.602,0.823,0.11,0.219,99.998
Jumbo,3VIMS1p3sNifH0RQnmDf7s,Underworld,Beaucoup Fish (Remastered / Super Deluxe),0.63,0.596,5,-11.2,0,0.0379,0.206,0.771,0.125,0.882,139.991
Ballet Lane,6CkVAHK8Y5YvJ08MszZaV1,Underworld,A Hundred Days Off,0.56,0.602,11,-15.974,0,0.0319,0.893,0.829,0.0841,0.472,119.988
Trim,2Ixb8EhCUPd2pBSTv4Ws9a,Underworld,A Hundred Days Off,0.751,0.347,0,-12.98,1,0.0501,0.151,0.625,0.167,0.621,139.995
River Of Bass - Remastered,1L0XL0BncHpNO90HsEleeZ,Underworld,Dubnobasswithmyheadman (20th Anniversary Remaster),0.702,0.367,10,-19.58,0,0.0453,0.465,0.928,0.115,0.327,93.047
Moon In Water,1L3AZIJzMvE08VvBkeFJvg,Underworld,Barking,0.631,0.565,5,-12.619,1,0.0294,0.00914,0.176,0.125,0.402,115.019
Low Burn,5NTsABt49BzCCB1NiqMEgp,Underworld,"Barbara Barbara, we face a shining future",0.594,0.803,11,-10.64,1,0.0303,0.0571,0.784,0.0655,0.316,128.001
Best Mamgu Ever,0mfvprOhN50DUawR9ZCh1i,Underworld,Oblivion With Bells,0.585,0.455,6,-13.233,1,0.0379,0.572,0.867,0.0544,0.458,89.995
Moaner,42MDEG1z2DNSAtx8y0jZ6u,Underworld,Beaucoup Fish (Remastered / Super Deluxe),0.567,0.757,10,-8.426,0,0.0494,2.21e-05,0.867,0.111,0.314,139.984
g-town euphoria (luna) [edit],2Oru5dabtJj9PPGuz7FpIT,Underworld,g-town euphoria (luna),0.511,0.927,5,-10.991,0,0.0537,0.00114,0.583,0.336,0.273,142.029
Dark & Long - Remastered,2nZPzVKtW9j8aztHy8HKAa,Underworld,Dubnobasswithmyheadman (20th Anniversary Remaster),0.682,0.821,9,-9.712,1,0.0442,0.000278,0.85,0.0611,0.466,120.027
Human Behaviour - Underworld Mix,6YhQrOW4eETKcwCK18KUkj,Underworld,Human Behaviour (The Underworld Mixes),0.69,0.578,8,-13.16,0,0.0361,0.00074,0.73,0.0729,0.113,109.989
Surfboy - Remastered,3v5tGrdebsDTYBhPz2C86c,Underworld,Dubnobasswithmyheadman (20th Anniversary Remaster),0.649,0.798,4,-10.634,0,0.0547,0.000809,0.882,0.0647,0.149,130.111
Capa's Last Transmission Home,7lQeGVduru8oyY0l1H0nP5,Underworld,Sunshine (Music from the Motion Picture),0.352,0.0627,2,-23.806,1,0.0344,0.985,0.795,0.0821,0.0394,94.286
"Rez / Cowgirl - Live / Brussels, Belgium / 1999",3kZUxaKYp0DIXwxO0AcO4f,Underworld,"Everything, Everything (Live)",0.544,0.951,1,-8.535,1,0.0476,0.0797,0.74,0.687,0.315,134.991
Bruce Lee,4OOT2V1bFPr9i3NqvOx0ef,Underworld,Beaucoup Fish (Remastered / Super Deluxe),0.842,0.717,8,-7.277,1,0.0791,0.0242,0.000596,0.145,0.522,99.993
Mercury,5ECrgNZBLAKa7I88dKpUbx,Underworld,Sunshine (Music from the Motion Picture),0.161,0.17,7,-19.671,1,0.0459,0.928,0.827,0.0928,0.0386,172.864
Kittens,3bbtDcEqi0Cl5YSJF9f7KH,Underworld,Beaucoup Fish (Remastered / Super Deluxe),0.586,0.926,2,-8.968,1,0.0525,0.000195,0.885,0.11,0.0362,134.999
Banstyle / Sappys Curry - Remastered,2S1NjcFBUTEG4pK3Kydb5c,Underworld,Second Toughest In The Infants (Remastered),0.578,0.616,8,-12.233,0,0.0329,0.614,0.872,0.0691,0.586,159.996
Spoonman - Remastered,6MYWqb0293ddywftfB0wro,Underworld,Dubnobasswithmyheadman (20th Anniversary Remaster),0.545,0.899,0,-11.559,1,0.0372,0.00171,0.917,0.333,0.699,124.985
alleswirdgut - Underworld Remix,10YwDxJAwjbsaMWA00uiKk,Underworld,alleswirdgut (Underworld Remix),0.76,0.912,4,-6.444,0,0.239,0.23,0.891,0.109,0.117,150.002
Too Little Too Late (feat. Underworld),0TyCrPvcYd5zXESYdiYDgG,Underworld,Four,0.63,0.726,6,-9.43,0,0.0303,0.0123,0.507,0.107,0.363,128.0
Scribble,7075X4OobG0KsYx9mhgfKx,Underworld,Barking,0.41,0.839,4,-7.538,1,0.0385,0.000188,0.826,0.638,0.0463,169.967
Beautiful Burnout,1I61h0TNyzE86dx1tZzj3b,Underworld,Oblivion With Bells,0.651,0.921,4,-11.826,0,0.0448,0.094,0.79,0.0929,0.344,130.007
Crocodile,01MSUfnXYRPeOuNrN1m0ze,Underworld,Oblivion With Bells,0.633,0.588,7,-13.099,1,0.0829,0.000798,0.894,0.301,0.401,125.023
Dark & Long - Dark Train / Remastered 2014,268kiUnIMPZ68qBkebifQ8,Underworld,Dubnobasswithmyheadman (Deluxe / 20th Anniversary Edition),0.563,0.961,10,-7.608,0,0.0507,0.00275,0.659,0.164,0.752,135.014
Techno Shinkansen,3CpTPBDnJckCkLM2gJusZf,Underworld,Strawberry Hotel,0.539,0.91,9,-14.131,0,0.046,0.0601,0.761,0.612,0.19,130.011
"Kanada's Death, Pt. 2 (Adagio in D Minor)",5rfdl4CzGdmmeZAurq91Px,Underworld,Sunshine (Music from the Motion Picture),0.343,0.487,7,-15.672,1,0.0384,0.094,0.776,0.0992,0.0364,119.826
Rez,19tWn3jmeDlZTKMHJLMs2S,Underworld,1992 - 2012,0.585,0.893,2,-11.254,1,0.0327,0.193,0.96,0.064,0.173,127.006
Bird 1,5opyNgOYUjQ5k9hHXbrNcn,Underworld,Barking,0.732,0.451,2,-10.953,1,0.0522,0.0707,0.915,0.106,0.117,135.02
Nylon Strung,6m3LyXhjaDfB0f18sARNSO,Underworld,"Barbara Barbara, we face a shining future",0.559,0.692,2,-10.16,1,0.0381,0.000783,0.852,0.0704,0.687,120.001
Luetin,6tvyIx0xfPcA4oXQF1x4DE,Underworld,A Hundred Days Off,0.704,0.805,10,-9.158,0,0.0679,0.029,0.914,0.0832,0.815,118.001
Juanita: Kiteless: To Dream Of Love - Remastered,3FaOFERx6qrXC5WagBdFsl,Underworld,Second Toughest In The Infants (Remastered),0.641,0.931,4,-9.402,0,0.0442,0.00109,0.892,0.123,0.475,135.054
M.E. - Remastered,7GLKGCFfJEyWwbCndjsfgB,Underworld,Dubnobasswithmyheadman (20th Anniversary Remaster),0.54,0.871,10,-8.496,0,0.0389,0.0368,0.665,0.0753,0.9,197.94
Dinosaur Adventure 3D,6coeJZjCS1TPW6efi5sfCW,Underworld,A Hundred Days Off,0.627,0.966,2,-7.201,1,0.0457,0.000364,0.819,0.0545,0.705,134.961
Pearl's Girl,1FLp2tw8G1yUqoLv69R8Ul,Underworld,1992 - 2012,0.56,0.939,1,-7.751,0,0.0439,0.00261,0.664,0.0643,0.46,140.331
