track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Next to Me - Vintage Culture Remix,2bidvM5hM1LGiEDkgp0EUz,Vintage Culture,Next to Me (Remixes),0.548,0.846,4,-7.534,0,0.0295,0.000324,0.0284,0.242,0.109,123.001
Lost,1OeW24Ek3LEthuQz1UyYCj,Vintage Culture,Lost,0.782,0.536,0,-9.175,1,0.265,0.00706,1.42e-05,0.437,0.577,128.05
Doses & Mimosas (Vintage Culture & Zerky Remix) - Radio Edit,3yZsBXwiQkqLjnWYip17Uu,Vintage Culture,Doses & Mimosas (Vintage Culture & Zerky Remix) [Radio Edit],0.782,0.728,5,-6.568,1,0.146,0.00245,7.9e-05,0.241,0.602,122.035
Analog Ascent,1HBiN4vgEq75YD0HFvhM7F,Vintage Culture,"Vintage Culture & Friends, Vol. 6 (Pt. II)",0.805,0.548,5,-7.973,1,0.0639,0.0149,0.91,0.0732,0.695,128.015
Weak,62gzfhHi2supfHWfi6iHbA,Vintage Culture,Weak,0.829,0.682,10,-8.029,0,0.0702,0.0472,0.00848,0.091,0.451,123.034
Meu Verão,1M3osJunuDlz44RtVyCacx,Vintage Culture,Meu Verão,0.78,0.731,9,-6.958,0,0.0327,0.0522,0.0027,0.0973,0.536,126.951
Pontos de Exclamação - Vintage Culture & Future Class Remix,25usEf5iGk9HL0LM9VTxue,Vintage Culture,Pontos de Exclamação (Vintage Culture & Future Class Remix),0.786,0.75,11,-6.277,0,0.102,0.0742,0.0277,0.109,0.696,124.032
Weak - Mav's Version,3j6Zfk3H6v9IO6r48YdKVo,Vintage Culture,Weak (Mav's Version),0.783,0.486,1,-10.095,1,0.118,0.819,8.73e-05,0.0966,0.613,111.063
Coffee (Give Me Something),4DBLAy03Xk88LOVtrOQ1RD,Vintage Culture,Coffee (Give Me Something),0.588,0.8,0,-7.875,0,0.0377,0.00782,0.000819,0.289,0.263,124.001
My Girl,4tbC0eXSu3Bd5gnPoY3YXB,Vintage Culture,My Girl,0.655,0.963,6,-5.72,1,0.0599,0.013,0.564,0.0734,0.677,123.998
