track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
I Don't Remember,3ACGEHYrvkK5lfWtLLoFoi,VNSSA,No Big Deal,0.806,0.838,4,-5.304,1,0.172,0.0191,0.134,0.212,0.0382,128.013
Rave Grave,2M72ge9OrR7muKhcBi509v,VNSSA,Rave Grave,0.795,0.797,10,-5.96,0,0.0634,0.00438,0.302,0.129,0.627,124.952
WORD,0oSWQjfe5dnRPbXQnZNJ4u,VNSSA,WORD,0.664,0.926,1,-5.519,0,0.0456,0.000917,0.244,0.0781,0.711,125.002
One Pill,3C74wo9oewRgcvMj14O7Xu,VNSSA,One Pill,0.76,0.766,11,-7.167,0,0.0429,0.0281,0.619,0.128,0.469,130.022
Skin,4CgAQivv0iH8UFCnmTEmO2,VNSSA,Skin,0.789,0.805,4,-5.243,1,0.124,0.00182,0.337,0.0862,0.432,126.003
The Biznes,5DCSFGxrLMYYio1NKPNEO6,VNSSA,Rave Grave,0.749,0.904,1,-5.184,0,0.0554,0.00546,0.545,0.0683,0.664,125.005
WORD - Chris Lorenzo Remix,2JB8ohu4iJ5MlFwHa80zQ4,VNSSA,WORD (Chris Lorenzo Remix),0.774,0.81,11,-5.999,0,0.0615,0.00104,0.56,0.0699,0.732,124.978
Sinking,1J1F3rYmwOUA1VP8xX3NSb,VNSSA,Sinking,0.768,0.794,5,-6.614,0,0.0437,0.0237,0.864,0.0773,0.427,122.997
In The Dark,2QvVxPEyjMOzKGdIQOkB0D,VNSSA,In The Dark,0.677,0.909,6,-5.862,0,0.0438,0.00107,0.867,0.664,0.569,125.997
Giving You,5QcKkO89PDQH50Mh7W4pSr,VNSSA,Giving You,0.82,0.89,1,-5.389,1,0.0578,0.0395,0.0493,0.0854,0.813,129.994
Work My Body,5J5dUBS4yiGLiJQqPJwkPu,VNSSA,Euphoria EP,0.74,0.743,7,-7.915,1,0.0577,0.00574,0.925,0.431,0.486,130.04
Wavy,42jZUFY1FM3NYXJP5atnFc,VNSSA,Dirtybird BBQ: Get Roasted,0.828,0.812,1,-3.968,1,0.0522,0.00449,0.487,0.102,0.815,124.008
Dazed,4T2XkER4cUWoUcYjSqUM3A,VNSSA,Dazed,0.721,0.796,6,-9.234,1,0.0526,0.0209,0.637,0.0965,0.655,124.99
Touch Me,5N1sNoct0d7xq8Yna6UzTi,VNSSA,Touch Me,0.713,0.901,6,-7.907,1,0.0398,0.0017,0.661,0.274,0.463,129.986
The Biznes - Extended,6cKQMDz23eB0gvjxPMeqX7,VNSSA,Rave Grave,0.818,0.871,11,-5.922,1,0.0536,0.00183,0.726,0.0681,0.534,125.012
Rave Grave - Extended,4KVXJJODgPyyrcMhn85dhe,VNSSA,Rave Grave,0.82,0.815,8,-6.974,0,0.0641,0.00348,0.233,0.0549,0.649,125.009
Grindhouse,7ewecejRd83t9kq8gJEuPS,VNSSA,Grindhouse,0.616,0.971,5,-6.187,0,0.0675,0.00635,0.9,0.322,0.397,129.959
Music4TheMasses,40xhB0wBh7Kjyn2O1ZCxYM,VNSSA,Music4TheMasses,0.73,0.887,7,-4.968,1,0.0432,0.0106,0.11,0.336,0.137,129.009
In The Dark - AIMMIA Remix,2yRsW0gmoWU2vmWLNryoDm,VNSSA,In The Dark (Remixes),0.71,0.863,6,-7.49,0,0.0435,0.00023,0.807,0.0732,0.444,127.007
This and That (Edit),4bJS95l8FqSMLNBaruarJ6,VNSSA,This and That (Edit),0.803,0.747,11,-5.731,0,0.045,0.00117,0.792,0.104,0.766,124.012
Rewind - VNSSA Remix,5FZrDvZeHt3JuUw92MUPjy,VNSSA,infina ad nausea: the remixes,0.706,0.923,7,-6.586,0,0.0414,0.00915,0.91,0.339,0.252,130.014
In The Dark - ABCO Remix,7N12otLjxypu4cFB22Y4RW,VNSSA,In The Dark (Remixes),0.757,0.658,2,-10.951,1,0.047,0.0319,0.892,0.231,0.407,126.984
Hypnotized,5TRdoXgY668jO6JLbeHDmh,VNSSA,Midnight Swim,0.773,0.849,7,-5.807,1,0.0768,0.0146,0.133,0.126,0.36,124.015
3am,1x01gaiNoZUvPm2XH6qiYG,VNSSA,Dirtybird Couchout Compilation,0.783,0.812,2,-8.218,1,0.0387,0.000847,0.829,0.239,0.377,120.007
Rave Party,76GFJ5cOidEgKYgBE9pqcH,VNSSA,Music4TheMasses,0.681,0.884,1,-5.963,1,0.0379,0.00253,0.772,0.677,0.16,129.972
Feed The Flame,1XmPMkA9ySHsipmDxKaWvy,VNSSA,Dazed,0.866,0.803,1,-9.928,1,0.0794,0.125,0.842,0.0893,0.413,124.979
Let's Go Dancing,0YKEHiqRlU6347BTqofCni,VNSSA,Let's Go Dancing,0.688,0.992,1,-6.191,1,0.0545,0.000693,0.883,0.148,0.474,129.96
What I Want,5JIs4JdsJiUMLUXYIKDEmG,VNSSA,What I Want,0.805,0.806,8,-6.292,1,0.0598,0.000144,0.639,0.082,0.693,126.988
Cue The Rhythm,6aldzJDenIQAk9uVGmB8Qb,VNSSA,Sinking,0.695,0.92,10,-7.514,1,0.0349,0.0011,0.793,0.109,0.778,126.997
Magic - Steve Darko Remix,3WWa6NS0jcYj5jQGo3COnD,VNSSA,The Magic EP,0.799,0.843,10,-6.443,0,0.0535,0.00143,0.788,0.0637,0.279,123.987
WORD - Black V Neck Remix,6WxvcEw122NM2gFjJjYzmn,VNSSA,WORD (Black V Neck Remix),0.806,0.864,0,-5.392,1,0.0538,0.00171,0.621,0.0772,0.267,125.023
Out Of My Head - The Martin Brothers Remix,15NLYfuk1Jq0Fcu1szkhwp,VNSSA,Dance Night EP,0.791,0.832,1,-6.592,1,0.0374,0.000483,0.858,0.116,0.0704,126.004
Music4TheMasses - Andrea Oliva Remix,1q4SELBOdUcpYPvJp7iwDC,VNSSA,Music4TheMasses (Andrea Oliva Remix),0.742,0.994,9,-9.401,1,0.0738,0.000544,0.849,0.0791,0.256,127.996
Blocked Calls - Sara Landry Remix,41Tp2OfoPfjCaKLPv7T2qd,VNSSA,The Magic EP,0.782,0.951,6,-7.866,1,0.0538,0.0241,0.907,0.108,0.15,131.996
Let's Go Dancing - Extended Mix,2ceWlZiAHQlYMRtv0tPCGY,VNSSA,Let's Go Dancing (Extended Mix),0.759,0.974,1,-6.423,1,0.0601,0.000752,0.912,0.0976,0.32,130.003
WORD - VNSSA & Eric Mark Remix,6Fccfk7dJBgyFtRsI4N1EW,VNSSA,WORD (VNSSA & Eric Mark Remix),0.644,0.851,6,-7.253,0,0.0887,0.00389,0.715,0.0433,0.327,174.013
Infinite Purgatory - VNSSA Remix,6jLt3UaIclmNUo9wWNik19,VNSSA,Infinite Purgatory,0.708,0.879,2,-8.216,1,0.0443,0.00319,0.859,0.122,0.141,132.007
In The Dark - ZOF Remix,1ztZn2HPrkSYG3TJ0XeYLb,VNSSA,In The Dark (Remixes),0.8,0.842,1,-8.054,1,0.0627,0.0045,0.598,0.04,0.437,126.007
WORD - Luke Andy Remix,4jeiv91qXtDegxlHLOCXBh,VNSSA,WORD (Remixes),0.858,0.954,11,-5.282,0,0.0753,0.00875,0.079,0.288,0.577,125.007
Magic - Morelia Remix,1hwmbfL4gYXXdn7HwCrUlI,VNSSA,The Magic EP,0.799,0.873,11,-9.599,0,0.0781,0.00168,0.561,0.1,0.675,127.001
Sound System - VNSSA Remix,1g87QqhKH1VdFDRDhlzkYb,VNSSA,Sound System,0.758,0.912,11,-5.917,1,0.0604,0.00303,0.823,0.0669,0.364,122.936
Locomotor - VNSSA Remix,162djQgsq48EseEW6WUQBm,VNSSA,Locomotor,0.781,0.836,7,-6.744,1,0.102,0.00234,0.466,0.13,0.518,126.004
WORD - Worthy Remix,3DygK2ws9DOrnvKui8j7on,VNSSA,WORD (Remixes),0.824,0.982,0,-5.901,1,0.0581,0.0207,0.674,0.0957,0.678,123.993
