track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"TITS, LIPS, HIPS, KISS (10/10 Remix)",3KkesrPkSGFZYXUHtk1Zfn,VTSS,"TITS, LIPS, HIPS, KISS (10/10 Remix)",0.763,0.682,9,-7.723,0,0.0529,0.00091,0.837,0.0704,0.739,144.996
Make You Scream - yunè pinku Remix,5sB6nWsUKo40L5AeJ7Ja7Q,VTSS,Make You Scream (yunè pinku Remix),0.614,0.763,5,-9.594,0,0.034,0.152,0.882,0.11,0.442,124.008
Make You Scream,0EeMLsi9eUQokrejzb7WTH,VTSS,Make You Scream,0.753,0.528,9,-11.393,1,0.0431,0.00165,0.126,0.0922,0.596,130.029
Steady Pace,42Nbp4cNwh3VbncOXjnEkM,VTSS,Steady Pace,0.818,0.893,11,-4.154,0,0.0484,0.000769,0.0118,0.0439,0.967,134.98
f@k€ - VTSS remix,0Ii836ApF3PKY2AIavpXpE,VTSS,f@k€ (VTSS remix),0.678,0.971,2,-7.199,1,0.0369,0.0124,0.279,0.104,0.271,150.025
"eat, sleep, slay, 🔁 - VTSS Remix",4OqyDu0rSap0eiri9xMMRH,VTSS,"eat, sleep, slay, 🔁 (VTSS Remix)",0.656,0.689,2,-7.072,1,0.0542,0.000112,0.622,0.112,0.45,160.013
Notoriously Fast,1qqbDfljuA35Jrt9H5wNKj,VTSS,Notoriously Fast (Kai Whiston Remix),0.651,0.548,8,-8.108,1,0.0414,0.0222,0.353,0.109,0.506,150.012
Incredibly Annoying,7iHetqDyri7aXIyl69QqHG,VTSS,Incredibly Annoying,0.65,0.655,7,-9.546,1,0.0587,0.0127,0.599,0.265,0.918,149.982
Atlantyda,0ChvWY0uRIGvXfhqvv8jC1,VTSS,The World Of Monnom Black II,0.509,0.984,11,-3.841,0,0.0451,1.49e-05,0.935,0.0621,0.491,140.009
TRISHA,3eKCphLVlWBovVgh7veu2l,VTSS,TRISHA,0.647,0.795,11,-5.558,0,0.0503,5.35e-05,0.661,0.119,0.706,148.985
Goin Nuts,5jt1fxz71bodmjOzvtqEV4,VTSS,Goin Nuts,0.467,0.88,10,-8.615,0,0.13,0.0103,0.638,0.236,0.493,120.222
Body Mind Hell,30JmGKxf1oItI6lOLNNSeq,VTSS,Body Mind Hell,0.8,0.815,1,-8.639,1,0.0533,0.0264,0.0778,0.279,0.675,119.997
Linked,2T5mlgEJyFxWWyZKbiqDhy,VTSS,Self Will,0.529,0.934,2,-10.048,1,0.0769,0.00095,0.523,0.238,0.265,132.937
Trust me,7pZLO4oJ38FKtBt9yfOMkO,VTSS,Trust me,0.721,0.658,10,-10.126,0,0.12,0.00319,0.811,0.121,0.647,106.903
Locomotiva Ibiza 2099 feat. VTSS,3VuPtliMz0oXO9bDnA1CHq,VTSS,Locomotiva Ibiza 2099 I,0.757,0.788,10,-6.535,0,0.0448,0.000132,0.858,0.473,0.479,125.005
Sick Bitch - VTSS Remix,5iUL4WPbblPKMVLOsKg7JI,VTSS,Dedicated 2 Disrespect: The Remixes,0.618,0.985,4,-8.132,0,0.112,0.0175,0.113,0.759,0.283,148.019
Boing Beat - VTSS Remix,2tDrNpxe5PboAmdXTASPdA,VTSS,Boing Beat (VTSS Remix),0.774,0.888,6,-4.998,0,0.0388,0.00151,0.0222,0.424,0.591,149.986
Hush Now - VTSS Remix,3c8N5n3mfJkcjL93iGohKo,VTSS,Hush Now (VTSS Remix),0.758,0.941,11,-8.69,0,0.0437,0.0013,0.884,0.105,0.467,144.992
Versatility,2NByKAfVEnLCAooKrJhv5D,VTSS,Self Will,0.536,0.946,7,-8.133,1,0.0602,0.00183,0.927,0.691,0.414,133.999
Code Red,4PkWgt6DOdCDQPHnVyKefW,VTSS,Identity Process,0.564,0.866,11,-7.59,0,0.0445,3.11e-05,0.000525,0.672,0.419,139.011
Bring The Noize,0F9yHPiUSumOXl6YZmiKAv,VTSS,Identity Process,0.556,0.999,6,-8.306,0,0.054,0.000123,0.929,0.0936,0.22,135.995
Batman Church,2DQqFR582yd15BiqMKj2x2,VTSS,Chanting from a Tiny Book,0.623,0.932,6,-6.888,1,0.0543,0.00411,0.85,0.11,0.446,144.978
MDM508,0Xyl6iHhzSjnG3gmuOhD4p,VTSS,Borderline Tenderness,0.462,0.937,7,-6.311,1,0.0507,5.84e-06,0.762,0.102,0.126,135.011
Sensor 150,26gghCMjQzugNgdanhThL6,VTSS,Identity Process,0.395,0.96,0,-6.249,1,0.0348,9.33e-06,0.842,0.237,0.124,138.0
"TITS, LIPS, HIPS, KISS - 10/10 Remix",15Oo9O9q42iQCmDm2T8rxI,VTSS,Dance Trends,0.763,0.682,9,-7.723,0,0.0529,0.00091,0.837,0.0704,0.738,144.996
Steady Pace - Extended Mix Sped Up,1UbewPbivFDF3WcX8B88uI,VTSS,Steady Pace,0.755,0.95,11,-4.408,0,0.0538,0.000719,0.112,0.198,0.85,144.978
