track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
WET,7MysdJNLp89Xl3zoSd5bC5,Wax Motif,WET,0.802,0.668,1,-6.29,1,0.0535,0.00118,0.783,0.048,0.2,125.007
Gimme That Money,1oGns5fvUsvrsm9TtYQdmN,Wax Motif,Gimme That Money,0.836,0.8,0,-5.658,1,0.0461,0.00556,0.0262,0.0905,0.78,128.004
Telugu Tech,5XyvNxXQYEWf8654gd4zak,Wax Motif,Telugu Tech,0.791,0.806,9,-5.069,1,0.0533,0.00312,0.735,0.0635,0.239,130.005
Krush Groove,09AltYSSNSYNerbYcIIB3j,Wax Motif,Krush Groove,0.799,0.886,2,-3.999,1,0.0553,0.00117,0.92,0.067,0.417,125.991
I Can’t Hold On,2e6he0ydsChPv44oTVC7CO,Wax Motif,Death To Genres (Vol. 3),0.715,0.758,4,-4.797,0,0.152,0.00305,0.107,0.345,0.385,129.048
Static Theory,1w3Q0fhdINUxWbmQX0mg1x,Wax Motif,Static Theory,0.755,0.83,8,-6.34,0,0.124,0.104,0.66,0.0872,0.74,128.052
Get It All,3F0kp2nBvoc0FlRGiJcoJH,Wax Motif,Good Times Ahead,0.722,0.77,11,-4.233,1,0.0374,0.0337,0.00163,0.11,0.395,128.009
Come Again,26ZRdrysoHQ8jefT9S3aJX,Wax Motif,House of Wax,0.826,0.809,2,-6.585,1,0.0434,0.00242,0.739,0.0824,0.235,124.005
Keep Raving,0IJQeY73GsMXqwA5EBzYuP,Wax Motif,Keep Raving,0.799,0.854,9,-4.882,1,0.095,0.0539,0.264,0.242,0.502,126.025
Traga (feat. Sto Cultr),5x3y3r1RLucr9dEBtvceHL,Wax Motif,Traga (feat. Sto Cultr),0.8,0.907,1,-5.794,1,0.0599,0.0652,0.0481,0.453,0.27,125.028
In My Hands (with Camden Cox),5tQBXtnSjBN6ohQYLCxBlX,Wax Motif,In My Hands (with Camden Cox),0.679,0.83,8,-5.333,0,0.056,0.0131,0.047,0.0929,0.297,134.947
Regulate - Destructo & Wax Motif Remix,7EiPI4VyHcR7AYNh5cM7ZZ,Wax Motif,Regulate...G Funk Era (20th Anniversary),0.694,0.708,4,-9.063,0,0.0491,0.578,0.0445,0.0898,0.547,118.02
DON'T KILL THE PARTY (Wax Motif Remix),4tF7dWs3Ayenne8NPLIJFN,Wax Motif,DON'T KILL THE PARTY PACK,0.816,0.52,11,-6.335,1,0.0438,0.00195,0.000288,0.0847,0.63,132.006
Teen Scene (ft Buddy) - Wax Motif Remix,79IJUGY4ELv8iMeAGYk83S,Wax Motif,Teen Scene (Remixes),0.862,0.816,1,-4.009,0,0.0797,0.00736,0.00113,0.0789,0.216,124.015
All Black Everything (with Scrufizzer),6YUnDSu5OYQhv1X8uJbuh8,Wax Motif,House of Wax,0.837,0.879,0,-5.063,1,0.0761,0.0422,0.0341,0.024,0.6,125.973
Teen Scene (ft. Buddy) - Wax Motif Remix,6HpXwNzOm3rW4ox4alBn34,Wax Motif,Habits (Remixes),0.867,0.82,11,-3.655,1,0.0842,0.00843,0.00095,0.0856,0.23,124.017
Hard Street,4lhJBpSji4xKsXcB9Yhxrw,Wax Motif,House of Wax,0.763,0.839,3,-5.268,0,0.129,0.00441,0.0424,0.0723,0.333,127.031
212,2qCKJpRqf9qcG2VsyGbqtF,Wax Motif,212,0.764,0.949,9,-5.869,1,0.14,0.00465,0.53,0.284,0.536,128.038
Divided Souls,1k8Sk12EWAnl9jQwEauMri,Wax Motif,House of Wax,0.683,0.998,6,-4.738,0,0.108,0.127,0.188,0.0603,0.373,125.071
So Hypnotic,0fP54t1bmoVfEaGF5yRNvK,Wax Motif,¥€$,0.798,0.656,1,-7.586,1,0.0493,0.0086,0.303,0.0433,0.399,127.006
Love To The World,0TR69tw5aybYHbSC1w4xy5,Wax Motif,Love To The World,0.757,0.976,7,-4.61,0,0.0974,0.0075,0.169,0.0394,0.922,123.015
Fly Kicks - Wax Motif Remix,26xlCgHpcF4GE0FFVsS6Oy,Wax Motif,Night Bass Remixed Vol. 1,0.897,0.692,11,-4.985,0,0.0492,0.0187,0.725,0.0603,0.607,125.023
Issa Vibe,2I5faAdg3IZbd6HEn6Blfz,Wax Motif,House of Wax,0.66,0.956,5,-7.227,1,0.0499,0.00249,0.706,0.385,0.752,122.998
La Samba,6N8VWb3F4GPP3pwj1jaDNU,Wax Motif,La Samba,0.777,0.951,8,-5.035,1,0.0844,0.0194,0.872,0.0643,0.627,130.047
Need You,242Vk1BeoFnD508Nax7hij,Wax Motif,Need You,0.841,0.814,7,-5.206,0,0.18,0.0476,0.129,0.0881,0.313,131.995
On The Low,4iXj0bNwBMHgomSBfrG1M4,Wax Motif,On The Low,0.8,0.858,2,-2.672,0,0.0445,0.0274,0.000147,0.356,0.312,126.074
Choose Violence,5l2IQU9OOv2ayWXc8Hf4Ix,Wax Motif,Choose Violence,0.706,0.952,2,-8.099,1,0.0824,0.00139,0.317,0.306,0.736,130.009
See In Color,2RxDAFchouApF3yUwE6gxE,Wax Motif,See In Color,0.767,0.862,10,-6.907,0,0.0435,0.158,0.000477,0.174,0.548,127.028
Catching Plays (feat. Pusha T & Starrah),52YOe0MUTK6tyoUrzqDhMM,Wax Motif,Renegade,0.87,0.608,11,-5.862,1,0.206,0.00268,8.18e-05,0.0482,0.607,127.98
