track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Push To Start (feat. No/Me),6t4VHEcJ7Kek9pgGHlDp6R,Westend,Push To Start (feat. No/Me),0.851,0.988,1,-6.013,0,0.0588,0.00965,0.313,0.0639,0.671,128.017
Take Your Places,2adebVLvCyhgIM4eGNfS6n,Westend,Take Your Places,0.797,0.812,2,-4.532,1,0.0558,0.00138,0.0628,0.0717,0.812,130.005
Dirty Blonde,4xTFiSi0CmH8hrkMeMGca4,Westend,Dirty Blonde,0.627,0.985,11,-4.288,1,0.0416,0.00671,0.723,0.24,0.0355,133.0
Over,1Ef6SrzW4vM7uJT11jAJvO,Westend,Over,0.517,0.944,6,-4.667,1,0.0376,0.000761,0.449,0.273,0.825,125.018
Jumpin',01VjC3TYrAmpiJlxVowW24,Westend,Jumpin',0.924,0.69,11,-5.499,0,0.0662,0.00354,0.00435,0.329,0.592,125.959
Running,7bMWMh0hw63TtpM5UWKPZQ,Westend,Running,0.645,0.904,9,-6.347,0,0.0426,0.0909,0.147,0.536,0.336,125.026
Push To Start - T78 Remix,3RKCzGsThiB77vKvmNxUgG,Westend,Push To Start (T78 Remix),0.675,0.905,0,-4.98,1,0.063,0.000362,0.508,0.145,0.503,135.005
Feel (feat. MRYN),27cOULnIkVv1nFDmTZECkE,Westend,Feel (feat. MRYN),0.673,0.837,6,-5.324,1,0.0983,0.0469,1.69e-05,0.109,0.446,124.985
All For You - Westend Remix,2bR5Zu8IgFhhIlBXvpXeKG,Westend,All For You (Westend Remix),0.685,0.829,2,-6.205,1,0.0388,0.0021,0.865,0.333,0.648,126.025
Moderation (At Night),5eXT7f6HoLbTNMBdPSYQtE,Westend,Moderation (At Night),0.674,0.856,6,-6.454,1,0.0317,0.25,0.0107,0.042,0.311,124.965
Lighter,0LJeMisvD34COpkt7QFFIO,Westend,Lighter,0.547,0.948,0,-5.69,1,0.0511,0.00292,0.767,0.434,0.131,128.025
Let Me Take You (Mixed),5ZZeLU4vkRvrwFzL5awXMU,Westend,"Armada Music Year Mix 2022, Vol. 2",0.808,0.937,4,-4.086,0,0.0798,0.00074,0.326,0.31,0.481,126.079
EYAH (You'll Be Alright),2TE1Pr3iaDJdWvGSfMm3TS,Westend,EYAH (You'll Be Alright),0.675,0.685,10,-7.407,0,0.0438,0.0288,0.0012,0.233,0.243,127.089
Perfect,4dSaMwZ6jgV0KX5dvzeOR0,Westend,Perfect,0.665,0.969,9,-3.829,0,0.0408,0.0163,0.012,0.299,0.899,124.995
Get This Party Started,3aBNMuz8S7wZguV8xuwLem,Westend,Get This Party Started,0.756,0.748,11,-6.714,0,0.0511,0.000953,0.395,0.0749,0.678,126.076
Drum Death,1gkTO34Xg6FO8W9HrxYR4E,Westend,Drum Death,0.749,0.97,0,-4.414,1,0.0799,0.0019,0.874,0.16,0.641,128.008
Rhythm Machine,7qhYyXBbL12mPyj93PyUBb,Westend,Rhythm Machine,0.809,0.907,3,-5.815,1,0.0443,0.00193,0.313,0.054,0.506,128.007
Maracuya,3SIGASmke2qRU6oJV3y1iR,Westend,Maracuya,0.8,0.829,9,-4.879,1,0.0379,0.0171,0.000136,0.0979,0.136,125.977
Let Me Take You,0q6ty9Ga2ebtTKa2C74jrC,Westend,Let Me Take You,0.874,0.908,6,-3.573,0,0.0593,0.00839,0.0891,0.343,0.905,125.981
Get This Party Started - Extended Mix,4DjZSprhGxLQmtRIam936m,Westend,Get This Party Started,0.854,0.75,11,-7.546,0,0.0881,0.000394,0.691,0.0571,0.753,126.012
Detonate,0DABDbAh6TgoKpU4Q4o8Kz,Westend,Dirtybird BBQ: Get Roasted,0.804,0.93,0,-4.871,1,0.0753,0.00439,0.692,0.103,0.567,125.98
Lovers In A Past Life (with Rag'n'Bone Man) - Westend Remix,1mEsNYnNvLyG7enKUZ6l83,Westend,Lovers In A Past Life (Westend Remix),0.621,0.899,9,-5.004,1,0.0611,0.0158,0.105,0.0987,0.724,129.967
New Dawn - Westend Remix,3ivQf9vDS7WrTEo4diyydB,Westend,New Dawn (Westend Remix),0.763,0.746,9,-8.172,1,0.0653,0.0107,0.527,0.0439,0.635,125.053
Freaky Time,3azjfnKurXPhaU28r8ZZ0D,Westend,Freaky Time,0.771,0.941,7,-4.181,1,0.0725,0.000717,0.0731,0.138,0.625,128.035
