track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Dopamine,7vFKcXQ39f74XNrZmXADIT,Wooli,Dopamine,0.599,0.853,7,-1.936,0,0.0513,0.0358,3.87e-05,0.175,0.263,144.945
Mind Control,1wJwKX5JrkB7r4wdlfjh1y,Wooli,Harbinger,0.703,0.968,10,-0.596,0,0.274,0.126,0.0829,0.0799,0.125,139.968
Floot Loops,74geScZgtEMlGbS264lrjD,Wooli,Floot Loops,0.694,0.97,6,0.076,0,0.0485,0.00348,0.0197,0.208,0.211,145.034
You Were Right,0m3EsIfqAfo48vGr18KVpq,Wooli,ILLENIUM,0.501,0.76,0,-5.582,1,0.053,0.0412,0.0,0.12,0.198,149.658
Psyclone,37Yw0rdyHAQlXA0V1mUmKZ,Wooli,Psyclone,0.636,0.928,10,-4.079,0,0.164,0.00139,0.278,0.0919,0.0464,149.969
Oxygen,6f0XqZKDhD5EOTziuKYyq1,Wooli,Evolution EP,0.516,0.62,4,-5.894,1,0.0325,0.266,0.0,0.116,0.148,145.067
Reasons,5cqOmjN3auHvZlhbebzKQx,Wooli,Reasons,0.448,0.899,7,-2.668,0,0.0987,0.00131,1.62e-05,0.0762,0.272,149.995
Reasons - TDWP Version feat. LØLØ,2udXkSxzo6KziHfIVgOcoo,Wooli,Reasons,0.441,0.957,7,-4.149,0,0.0794,0.000801,0.000106,0.092,0.203,149.972
Throw It Up,6jc8ABfRupRa87DShTBnmh,Wooli,Mammoth EP,0.489,0.965,8,-3.479,1,0.468,0.00136,0.000273,0.32,0.276,149.957
ACID,24KFdeWtel3jLwZ399zwq2,Wooli,ACID,0.512,0.996,11,-0.412,0,0.284,0.0117,0.873,0.427,0.0389,139.879
Satellite - Wooli Remix,3tiC6D3N07kUIJXKNDRHjy,Wooli,Satellite (Wooli Remix),0.632,0.859,1,-3.327,1,0.0586,0.0561,5.93e-05,0.117,0.16,145.103
Melt Ur Brain - Original Mix,08FNpvmZIUpLGm9lJWIjql,Wooli,String Theory EP,0.719,0.885,8,0.168,1,0.511,0.223,0.705,0.109,0.463,144.718
Thicc Boi,3HoOPtaBf2SmrPohseDUYJ,Wooli,Mammoth EP,0.657,0.955,11,-2.142,1,0.36,0.0158,0.0218,0.181,0.0765,75.03
On Repeat,5RQzUsayVws2Rbw6qtXzV6,Wooli,On Repeat,0.363,0.862,11,-2.745,0,0.0451,0.0867,0.000594,0.297,0.3,145.089
Song Of The Year,0lwjrh66nXwlyfsHtoA0Xe,Wooli,Song Of The Year,0.62,0.963,10,-1.071,0,0.177,0.00846,0.0483,0.571,0.227,140.111
Walk On Water (Wooli & Trivecta Remix),50y6kX6Sd8wK5lZJcyAmX0,Wooli,Walk On Water (Wooli & Trivecta Remix),0.406,0.888,8,-0.915,1,0.0597,0.0664,4.75e-06,0.0788,0.314,145.127
Titans,0StQdn3iO5vdHFH8ZR6Cuo,Wooli,Titans,0.665,0.951,10,-1.093,0,0.222,0.00812,0.00661,0.135,0.105,128.188
Restraint,4e4f0d6zswn0ZzqoZ14G8M,Wooli,Restraint,0.707,0.981,10,0.135,0,0.0577,0.0676,0.0162,0.119,0.438,147.0
Let Me Go,3rWq4OYtJ9SHvufBDTMcn0,Wooli,Thrones of Blood,0.369,0.932,5,-2.394,0,0.104,0.00816,0.0,0.103,0.207,149.838
Lock In,0A6IKTxklEXg3GhSZrudG7,Wooli,Lock In,0.646,0.96,0,-0.035,0,0.466,0.0182,0.0471,0.316,0.339,144.977
Lockdown,2BUDOrTS82npIINrWb1uXj,Wooli,Evolution EP,0.403,0.887,1,-2.682,0,0.222,0.000765,0.000114,0.305,0.196,150.083
Sunshine,1AavLJdHNs4ZduRV0YLXmu,Wooli,Sunshine,0.564,0.96,8,-2.25,1,0.111,0.0232,0.0,0.335,0.396,139.98
Rise Up,5zJWZLWlChbh820KLmMPIF,Wooli,Rise Up,0.282,0.917,2,-0.936,0,0.062,0.0566,1.6e-06,0.164,0.0901,72.862
Erase You,4TKZcBhAxUgOMuYKeZhZhC,Wooli,Erase You,0.388,0.567,4,-4.652,1,0.0323,0.406,0.0,0.118,0.113,75.072
Light In The Dark - Cyclops Remix,5Ob8kX0HhgzC0HX7I3K0Ot,Wooli,Find My Way (Deluxe),0.482,0.776,10,-2.449,1,0.0416,0.00263,0.000126,0.334,0.0533,145.006
Don't Look Down (Hold On),65krG6c3veTz66mIdSU16f,Wooli,Don't Look Down (Hold On),0.502,0.784,2,-3.264,0,0.0609,0.00872,0.0,0.0734,0.0613,90.045
Hallelujah,78a91L74IHZVQNyh3wgE3d,Wooli,Hallelujah,0.464,0.918,2,-2.152,0,0.122,0.026,0.00019,0.956,0.101,140.058
Into Pieces - Wooli x Grabbitz Remix,00aIKTpRUwcoGvOfCUMYQr,Wooli,ANTIFRACTALS,0.531,0.883,11,-2.862,0,0.0515,0.0134,4.77e-06,0.081,0.264,155.089
Zombie (feat. Valerie Broussard),5AZJbQwaYGHWCY53k7fO57,Wooli,Zombie (feat. Valerie Broussard),0.302,0.817,4,-3.493,0,0.0863,0.00354,4.77e-06,0.097,0.0538,157.084
Name Drop,02yaX0Reb1fQYIQdri4Ow8,Wooli,Name Drop,0.319,0.983,1,-0.48,1,0.38,0.0079,0.00144,0.1,0.28,75.373
Lucy in the Sky (feat. Delaney Kai),4feh4n8m3fHkn4KHpeKP39,Wooli,Lucy in the Sky (feat. Delaney Kai),0.267,0.824,1,-5.236,0,0.0447,0.00171,0.123,0.0724,0.144,149.919
Her - Wooli Remix,2KN2JahgN1YUkg0Xu8ZFiJ,Wooli,Virus: The Remixes,0.492,0.952,5,-1.874,0,0.342,0.00382,0.252,0.649,0.24,75.007
Cruel Love (feat. shYbeast & Frank Zummo) - Wooli Remix,37fRdoIm7yVr13OLdlDEsP,Wooli,Cruel Love (feat. shYbeast & Frank Zummo) [Wooli Remix],0.507,0.789,5,-3.132,0,0.0458,0.0266,0.0,0.0655,0.294,77.477
Elephant March,2HtyBpz9up4qwQR6G057AE,Wooli,Elephant March,0.367,0.992,10,-2.68,0,0.53,0.000633,0.849,0.358,0.188,149.987
Need U,15STK6LsiqhwnlTaOsZmsv,Wooli,Mammoth EP,0.276,0.727,5,-4.15,0,0.0638,0.0145,6.63e-06,0.124,0.0438,159.901
Falling,7ztm8z7TFKsqcVZ5d0x6nE,Wooli,Falling,0.546,0.923,11,-3.488,0,0.105,0.0115,0.222,0.112,0.418,149.922
Oxygen - Ray Volpe Remix,5xdLM5xMEOCNXm6P2ZK48V,Wooli,Evolution (The Remixes),0.543,0.785,1,-4.512,0,0.0504,0.00154,0.42,0.157,0.0383,150.007
Don't Forget Me,0Yp9DwiuSeLdOOkgWVsZ56,Wooli,Don't Forget Me,0.266,0.873,3,-2.813,0,0.0572,0.000402,7.1e-06,0.584,0.131,150.032
You Were Right - Kill The Noise Remix,0wvg5G8YGHDY7iEfixCwTy,Wooli,ILLENIUM (Remixes),0.526,0.91,0,-1.334,1,0.265,0.0776,1.53e-06,0.121,0.338,72.388
Another Me - MUST DIE! Remix,6QzSbRo0G9NXDZfgvJXa9l,Wooli,Evolution (The Remixes),0.472,0.967,7,-2.708,0,0.0749,0.000476,0.00225,0.0968,0.165,150.088
Lockdown - Kompany Remix,0IHSAULL6jRYaDURDyVY12,Wooli,Evolution (The Remixes),0.323,0.996,8,-0.071,1,0.401,0.00758,0.00433,0.104,0.0789,149.89
Wdgaf (Wooli Vip),2Ecb2vjbJ3PTO8CgdIp7zz,Wooli,Wdgaf (Wooli Vip),0.697,0.994,1,-1.191,1,0.204,0.000223,6.72e-06,0.433,0.128,150.098
THE DROP - Wooli Remix,6WwmESjbOvMwshFVDIqlD4,Wooli,THE DROP (The Remixes Pt. 1),0.558,0.964,4,-3.277,1,0.164,0.0042,0.0334,0.131,0.229,150.06
Born To Survive - Wooli & Ray Volpe Remix,7eXLJtP9DiUMHgyYjvoLRD,Wooli,Born To Survive (Wooli & Ray Volpe Remix),0.512,0.803,5,-5.027,0,0.0505,0.000272,0.0217,0.874,0.174,150.04
Light In The Dark - REAPER Remix,6fcyLbdAWTXBK7eib7MAhk,Wooli,Find My Way (Deluxe),0.515,0.946,2,-1.986,1,0.0518,0.0422,0.00764,0.168,0.238,173.99
Bad Mood,79ayP2CwH1cZuV2X71AAko,Wooli,Bad Mood,0.554,0.997,6,-0.222,0,0.518,0.000853,6.44e-05,0.219,0.0839,150.12
Into Pieces (Wooli x Grabbitz Remix),0pdBRmEzLemKCNS3kaZr7b,Wooli,Into Pieces (Wooli x Grabbitz Remix),0.531,0.883,11,-2.862,0,0.0515,0.0134,4.77e-06,0.081,0.264,155.089
Bussback,56p7ocnzcI01YD4fJ2Av8U,Wooli,Bussback,0.524,0.965,3,-1.351,0,0.275,0.00237,0.064,0.151,0.388,150.023
Evolution,1sINcsgzd31gQkhImnr17l,Wooli,Evolution EP,0.503,0.951,6,-1.894,0,0.329,0.0224,0.0,0.439,0.144,74.931
Briddim Bomb,3bwAry0fyAbjtrwjlXzkpZ,Wooli,Briddim Bomb,0.579,0.974,0,-2.998,1,0.512,0.022,0.000191,0.0938,0.108,74.976
Make It Wobble (feat. Takura),05m2Tzl316LsHUL1FHGS93,Wooli,Make It Wobble (feat. Takura),0.524,0.963,9,-0.862,1,0.336,0.00961,0.00202,0.0992,0.248,107.71
Combust,3J9Gh2jFlM1kUtPEKhXjsM,Wooli,Rise Up,0.339,0.938,7,-1.236,0,0.264,0.00797,0.825,0.414,0.107,77.623
Evolution - Samplifire Remix,51Jb0VYBhPjCK7CS3hE3iG,Wooli,Evolution (The Remixes),0.588,0.987,4,-1.531,1,0.501,0.00308,0.0101,0.113,0.334,150.049
Voodoo,1hyCdGjRfUUaf4b0RNSIXm,Wooli,Voodoo,0.656,0.986,6,-3.25,1,0.275,0.00184,0.0131,0.228,0.286,149.983
