track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Anadrol,6EXi0RWDxqvxDEHFbqR7XB,Yosuf,Anadrol,0.3,0.966,7,-3.671,1,0.102,0.00106,0.333,0.574,0.17,89.72
You're On My Mind Broe,3lhWBYZSGzzoQwkHRKCV2j,Yosuf,You're On My Mind Broe,0.463,0.926,5,-1.722,0,0.411,0.0394,0.0,0.385,0.46,180.069
Testosterone,3FNbaKdIVzFu9FjmheLOIF,Yosuf,Testosterone,0.419,0.994,7,-2.141,1,0.223,0.0135,0.00642,0.102,0.218,174.985
wasteLAND,2Ms62CSDF9gky1oKuGtc6Y,Yosuf,wasteLAND,0.513,0.989,5,-1.589,0,0.1,0.0024,0.204,0.423,0.0637,100.033
The Way I Are,14DPHSu9oR9549Gkx5jgIa,Yosuf,The Way I Are,0.475,0.964,1,-3.811,1,0.146,0.0104,0.00117,0.21,0.477,160.051
Snake Pit,5GQRu63MroIMnM7DPH75Mi,Yosuf,Timmy Trumpet's SINPHONY No. 2,0.345,0.92,1,-3.528,1,0.0419,2.73e-05,0.834,0.705,0.263,180.14
BURN IT ALL,4zoMgQAWPdC43Le8IeVrl8,Yosuf,BURN IT ALL,0.3,0.985,1,-3.209,1,0.0867,0.000129,0.0837,0.113,0.119,140.005
Barbatos,1FcqtBSUMc0qdtkJ1NKpLs,Yosuf,Barbatos,0.428,0.714,10,-5.013,0,0.0454,0.0793,0.0275,0.533,0.207,85.031
Sexy Back,7fqNZnJ5s8TVEPnESyvegl,Yosuf,Sexy Back,0.506,0.989,9,-2.417,1,0.182,0.0116,1.4e-05,0.154,0.361,164.893
Malika,5pfriZbRjhQcwZpq9I1C4C,Yosuf,Malika,0.372,0.939,11,-3.504,1,0.326,0.0086,0.00472,0.0936,0.367,173.899
Sweet Dreams,0pZpFpP9nInJjyfVAQTMsf,Yosuf,Sweet Dreams,0.506,0.966,1,-1.928,1,0.0511,0.00179,0.000856,0.451,0.241,169.966
Superdrol,5fKpIAPqOSOzJ4A2udxcb3,Yosuf,Superdrol,0.409,0.97,8,-1.966,0,0.0976,0.00156,0.281,0.208,0.336,169.998
