track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Out of Time (feat. Bea Miller),05nNwJQSvfjaAmJRcjWJKy,zedd,Telos,0.452,0.618,2,-6.594,0,0.0327,0.0798,0.000328,0.122,0.156,129.917
Tangerine Rays (feat. Bea Miller),5D5UVZe2jPOiYrmPjjBhNa,zedd,Telos,0.504,0.421,1,-5.532,1,0.0342,0.302,0.00208,0.617,0.271,109.92
Shanti,6OGlyV2uRCOcluvtswkvd2,zedd,Telos,0.652,0.677,11,-6.57,1,0.0446,0.0729,0.318,0.196,0.167,123.99
No Gravity (feat. Bava),6r4ual3l2rTXnxp6T8WM1g,zedd,Telos,0.602,0.753,9,-5.931,0,0.029,0.175,0.696,0.202,0.337,101.014
Sona (feat. the olllam),57B0KiRu388xFAHKYYJWiP,zedd,Telos,0.442,0.825,11,-6.695,0,0.0297,0.0412,0.724,0.747,0.671,90.637
Lucky (feat. Remi Wolf),6DtU5J0xK0Law03cXT6ar5,zedd,Telos,0.815,0.474,2,-4.077,1,0.0459,0.265,0.0,0.0749,0.72,95.989
Dream Brother,4wsCp4k8t9y9e3RMzNPHPe,zedd,Telos,0.587,0.833,7,-6.69,1,0.0395,0.0125,0.00703,0.362,0.124,122.045
Descensus (feat. Dora Jar),37qlyulYbvMAdwFnhw4Czl,zedd,Telos,0.634,0.695,0,-5.748,0,0.0445,0.0152,0.00267,0.225,0.285,122.957
Automatic Yes (feat. John Mayer),6oAwQp0fXsZObpl5PLl2GN,zedd,Telos,0.687,0.828,2,-5.68,0,0.077,0.0487,0.0301,0.175,0.723,97.836
1685 (feat. Muse),6vgc41jaY9ed6TbQUp8ccd,zedd,Telos,0.235,0.745,0,-8.281,1,0.0582,0.0776,0.19,0.306,0.2,90.163
Addicted To A Memory,0xTGfdrWzJLKRD4U6hxSsg,zedd,True Colors,0.663,0.763,1,-4.94,0,0.0437,0.00098,0.0249,0.145,0.0699,128.001
I Want You To Know,1JDIArrcepzWDTAWXdGYmP,zedd,True Colors,0.579,0.846,9,-2.876,0,0.0574,0.00537,6.88e-06,0.145,0.367,129.999
Beautiful Now,2ISSQPb9LHHiV6ng2NXosL,zedd,True Colors,0.628,0.832,11,-4.126,0,0.0282,0.0079,1.46e-05,0.074,0.56,128.003
Transmission,1Bh8jtOXIBIRUUghbrwUTX,zedd,True Colors,0.543,0.874,7,-3.467,0,0.0537,0.105,0.0,0.135,0.408,100.03
Done With Love,0qlAureWHln3vDCsqnkyRE,zedd,True Colors,0.58,0.759,2,-5.584,0,0.0386,0.0591,0.000143,0.117,0.129,127.877
True Colors,2KTsF6TFius01SCYmnIkJG,zedd,True Colors,0.623,0.739,2,-4.947,0,0.0342,0.376,1.95e-05,0.0949,0.44,125.952
Straight Into The Fire,1Aw0wPIW70GsV9KoD8m7Ps,zedd,True Colors,0.583,0.86,8,-4.347,1,0.0839,0.0238,1.33e-06,0.0977,0.288,127.024
Papercut,62hWYjPL57rbUd5rhvI3Of,zedd,True Colors,0.647,0.921,5,-4.556,0,0.041,0.046,0.00583,0.357,0.242,126.0
Bumble Bee,0L2tjlCReyNfmL37wZh6kF,zedd,True Colors,0.593,0.964,1,-5.359,1,0.0563,0.00319,0.727,0.113,0.0368,127.957
Daisy,4ccQmBycgXDYtIA7Z1i32V,zedd,True Colors,0.587,0.598,2,-5.774,1,0.0363,0.124,0.0,0.151,0.2,112.056
Illusion,3ID8CH6UCMCIhcGg4Yfy4d,zedd,True Colors,0.753,0.725,7,-5.898,1,0.0299,0.253,0.00734,0.115,0.35,128.012
Hourglass,6NwrXtcFbc8OX7wJyBqE89,zedd,Clarity,0.646,0.832,8,-5.008,1,0.0778,0.0319,0.00147,0.0947,0.0468,127.025
Shave It Up,4mtCNSfEwcwvm9iLG1bADY,zedd,Clarity,0.539,0.965,5,-4.213,0,0.0379,0.000176,0.83,0.334,0.293,129.942
Spectrum,1dFkD1JfRMzwO6hwUsE8aS,zedd,Clarity,0.609,0.801,0,-4.417,0,0.034,0.0137,0.00349,0.127,0.407,129.99
Lost At Sea,3Gwq0zKnMWluOEPKh93BeC,zedd,Clarity,0.567,0.796,6,-3.534,1,0.0364,0.0247,0.0,0.124,0.305,127.983
Clarity,60wwxj6Dd9NJlirf84wr2c,zedd,Clarity,0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128.0
Codec,25erct5EXEr421xrRI6eOW,zedd,Clarity,0.755,0.74,7,-4.928,1,0.0468,0.00287,0.355,0.0762,0.506,128.009
